NUMBER_OF_LINES,NUM_UNIQUE_OPERATORS,LOC_BLANK,LOC_COMMENTS,NUM_UNIQUE_OPERANDS,PARAMETER_COUNT,HALSTEAD_PROG_TIME,CYCLOMATIC_DENSITY,LOC_CODE_AND_COMMENT,CALL_PAIRS,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,NUM_OPERANDS,PERCENT_COMMENTS,LOC_EXECUTABLE,LOC_TOTAL,NODE_COUNT,DESIGN_DENSITY,HALSTEAD_VOLUME,HALSTEAD_EFFORT,Defective
71,19,23,20,25,0,553.2,0.2,3,6,43.1,15.2,40,48.9,24,27,20,0.4,655.1,9958,N
33,14,8,5,13,1,137.8,0.1,6,1,29.6,9.2,17,45.8,13,19,7,0.5,271,2481,N
55,12,19,0,34,0,482.5,0.1,2,1,64,11.7,66,5.7,33,35,23,1,745.7,8685,N
34,22,6,0,18,1,708.3,0.2,6,0,21.3,24.4,40,22.2,21,27,11,0.3,521.5,12749,N
406,45,134,31,110,5,16996,0.2,63,9,101.8,54.8,268,34.7,177,240,79,0.6,5580.8,305928.6,N
33,15,9,5,8,0,154.6,0.3,4,2,12.4,15,16,39.1,14,18,11,0.6,185.5,2782,N
764,69,164,191,251,1,83315.8,0.2,37,26,157,97.7,711,38.7,361,398,173,0.7,15345.6,1499684.3,N
155,36,27,48,57,1,3487.1,0.2,3,11,60.5,32.2,102,40.2,76,79,42,0.8,1948.7,62767.7,N
26,14,5,0,17,1,201.2,0.2,0,1,34.2,10.3,25,0,20,20,9,1,351.8,3620.9,N
44,18,7,5,14,0,655.7,0.2,4,3,24.7,21.9,34,25,27,31,17,0.6,540,11802.9,N
58,13,16,24,19,1,103.8,0.2,2,7,36.2,7.2,21,63.4,15,17,14,1,260,1867.9,N
40,15,15,8,17,0,180.8,0.3,3,3,26.8,11,25,45.8,13,16,13,1,295,3253.7,N
70,19,19,16,33,1,536.1,0.1,2,4,48.5,14.1,49,41.9,25,27,13,1,684.1,9649.3,N
57,15,19,10,19,1,284.5,0.2,5,5,28.4,13.4,34,40.5,22,27,13,1,381.6,5120.9,N
75,21,15,19,25,2,907.3,0.2,5,4,30.6,23.1,55,46.2,28,33,19,0.7,707,16332.1,N
53,16,13,18,19,2,849,0.1,3,1,25.6,24.4,58,53.9,18,21,6,1,625.8,15282,N
68,21,14,20,23,1,2373.1,0.2,2,3,27.1,39.7,87,47.8,24,26,18,0.6,1075.5,42716.4,N
73,22,12,12,40,1,1120.7,0.1,2,4,54.4,19.3,70,26.9,38,40,19,1,1047.9,20172.8,N
74,18,23,9,37,1,667.2,0.1,10,5,54.6,14.8,61,38,31,41,18,1,809.4,12009.6,N
536,52,155,170,165,1,36307.6,0.2,14,5,127.7,71.5,454,48.4,196,210,113,0.7,9135.4,653537.1,Y
124,17,42,44,31,0,491.8,0.2,5,10,53.3,12.9,47,60.5,32,37,26,1,687,8852.8,N
153,26,30,45,35,1,1885,0.1,6,5,46.2,27.1,73,41.8,71,77,40,0.9,1251.4,33930.4,Y
32,19,9,7,18,0,305.2,0.1,0,2,27.1,14.3,27,31.8,15,15,6,1,385.5,5493.4,Y
126,24,26,32,66,2,2367.9,0.1,5,4,97.5,20.9,115,37.4,62,67,32,0.7,2038.4,42622,N
132,21,40,47,39,0,985.2,0.1,3,12,61.6,17,63,55,41,44,36,0.8,1045.5,17733.6,N
41,16,7,8,16,0,395.8,0.2,0,2,31.7,15,30,24.2,25,25,14,0.3,475,7125,N
305,24,93,57,122,1,7918.6,0.1,11,10,175.2,28.5,290,32.2,143,154,58,0.9,4996.9,142535.3,Y
31,17,9,2,21,0,433.3,0.2,2,3,36.7,14.6,36,19.1,17,19,10,1,535.3,7799.9,N
35,13,12,2,28,1,187.9,0.2,2,2,54.3,7.9,34,18.2,18,20,12,1,428.6,3382.9,N
102,19,31,30,35,0,1015,0.2,7,5,53.6,18.5,68,52.9,33,40,22,0.8,989.8,18269.6,Y
215,24,62,46,168,0,9228.6,0,7,3,234,26.6,373,36.6,92,99,13,1,6234.8,166113.9,Y
101,25,36,14,65,0,2145.6,0.1,6,5,79,22.1,115,31.3,44,50,25,1,1746.3,38620.3,Y
120,20,39,28,77,1,1334.9,0.1,4,7,124.4,13.9,107,40,48,52,28,1,1729.2,24028.8,N
240,26,77,31,128,1,7996.5,0.1,4,6,208,26.3,259,21.6,127,131,61,1,5471.9,143936.4,N
100,12,55,23,22,0,166.2,0.2,0,9,51.3,7.6,28,52.3,21,21,17,1,391.7,2991.4,N
117,17,17,34,61,0,1394.9,0.2,0,2,108.8,15.2,109,34.3,65,65,36,0.7,1653.1,25107.6,N
54,18,12,8,46,0,1339.8,0.1,1,2,68.4,18.8,96,22,32,33,6,1,1284,24116.9,N
58,12,13,20,13,0,103.2,0.2,1,7,30.2,7.9,17,47.7,23,24,17,1,236.8,1858.3,N
19,6,3,6,4,1,8.3,0.2,1,0,10.6,3.8,5,46.7,8,9,5,0.5,39.9,149.5,N
88,28,22,1,34,2,4176.1,0.2,1,8,40.2,43.2,105,3.1,63,64,46,0.8,1738.6,75170,N
36,13,12,0,17,2,192.6,0.2,1,4,30.3,10.7,28,4.4,22,23,17,1,323.9,3467.2,N
54,19,15,1,24,2,1343.2,0.2,1,4,34.4,26.5,67,5.3,36,37,34,0.9,911.6,24176.7,N
32,7,5,2,20,2,118.1,0.1,1,1,56.7,6.1,35,11.5,23,24,21,1,347.1,2126,N
35,14,12,1,14,2,175.1,0.2,1,3,23.8,11.5,23,9.1,20,21,16,0.8,274,3151.2,N
31,13,9,0,15,2,161.1,0.2,4,3,26.8,10.4,24,19.1,17,21,15,1,278.8,2899.8,N
105,33,27,1,37,2,5130.6,0.2,3,7,36.4,50.4,113,5.2,73,76,53,0.8,1832.7,92351,N
19,7,7,1,5,2,11.2,0.2,4,1,16.4,3.5,5,45.5,6,10,6,1,57.4,200.8,N
34,14,10,1,18,2,251.2,0.2,5,5,31.1,12.1,31,26.1,17,22,19,0.8,375,4520.8,N
91,30,22,1,36,2,4118,0.2,3,7,39.5,43.3,104,5.9,64,67,48,0.7,1710.6,74124.4,N
24,16,3,0,8,1,191.6,0.2,0,1,13.5,16,16,0,20,20,10,0.5,215.5,3447.9,N
28,16,3,0,12,1,333.3,0.3,0,1,20,17.3,26,0,24,24,14,0.3,346.1,5999.6,N
28,16,3,0,12,1,333.3,0.3,0,1,20,17.3,26,0,24,24,14,0.3,346.1,5999.6,N
10,8,0,0,5,1,18.8,0.3,0,0,14.7,4.8,6,0,9,9,7,0.3,70.3,337.5,N
10,9,0,0,7,1,44.3,0.6,0,0,19.3,6.4,10,0,9,9,9,0.2,124,797.1,N
10,10,0,0,4,1,50.8,0.3,0,0,9.1,10,8,0,9,9,7,0.3,91.4,913.8,N
15,11,0,0,14,2,102.2,0.1,0,0,36.8,7.1,18,0,14,14,6,0.5,260.1,1839,N
146,26,39,14,67,8,2659.8,0.1,9,8,97.9,22.1,114,27.7,60,69,21,1,2164.5,47876.6,N
42,12,9,6,18,0,179.1,0.1,10,2,39.8,9,27,50,16,26,9,1,358.2,3223.8,N
21,11,4,4,9,1,48.4,0.2,0,2,23.3,6.1,10,25,12,12,6,1,142.6,871.6,N
17,11,3,0,8,2,93.1,0.2,0,0,18.1,9.6,14,0,13,13,6,0.5,174.2,1676.3,N
283,50,55,91,71,3,18014.5,0.2,3,25,54,77.5,220,41.4,133,136,42,0.9,4185.9,324260.8,Y
35,14,5,13,10,3,97.4,0.1,0,3,21.2,9.1,13,44.8,16,16,7,1,192.6,1752.4,N
58,25,22,5,20,3,525.4,0.1,3,2,28.8,18.1,29,22.9,27,30,10,0.8,521.7,9456.3,N
69,23,19,15,22,3,578.9,0.2,3,2,35,17.3,33,36.7,31,34,13,0.8,604.1,10420.8,N
80,20,12,28,20,2,440,0.1,2,3,30.9,16,32,44.8,37,39,16,0.6,494.9,7919,N
38,16,5,6,20,2,375.3,0.2,0,1,38.8,13.2,33,18.8,26,26,11,0.5,511.8,6756.1,N
49,17,6,8,29,2,522.1,0.2,0,1,59.2,12.6,43,19.1,34,34,15,0.5,745.7,9398.2,N
85,15,21,30,15,1,807.2,0.2,2,5,26.3,23.5,47,50.8,31,33,19,0.7,618.3,14529.3,N
23,12,7,0,15,2,120.5,0.1,0,0,37.5,7.6,19,0,15,15,6,0.5,285.3,2168.2,N
44,15,10,12,11,2,269.2,0.2,6,2,18.1,16.4,24,54.6,15,21,13,1,296.1,4845.7,N
259,34,53,13,94,0,15842.8,0.2,45,13,91.3,55.9,309,30.9,130,175,135,0.9,5103,285170.8,N
49,15,12,3,21,0,725.8,0.1,3,8,30.5,20.7,58,16.7,30,33,23,1,630.7,13065.1,N
49,12,10,0,27,0,514.5,0.2,4,8,64.3,12,54,10.5,34,38,27,1,771.7,9260,N
162,35,47,28,52,1,5504.6,0.1,27,7,47.3,45.8,136,48.3,59,86,43,0.7,2164.8,99082.6,N
65,15,7,30,13,6,403.4,0.2,11,1,18.9,19.6,34,71.9,16,27,13,0.3,370.2,7261,N
199,19,33,95,52,4,7766.6,0.2,5,1,79.2,42,230,60.6,65,70,50,0.1,3327,139798.5,N
254,28,46,96,68,1,10695.2,0.2,20,6,72.7,51.5,250,56,91,111,79,0.2,3740.3,192513.3,Y
29,17,5,3,18,0,325.4,0.2,0,3,38.9,12.3,26,13,20,20,14,1,477,5856.8,N
80,21,9,6,26,3,1934.3,0.2,6,0,31,33.5,83,17.1,58,64,30,0.1,1038.7,34816.7,Y
140,21,17,53,37,2,1800.1,0.2,19,0,50.8,25.3,89,59,50,69,42,0.1,1282.9,32401.8,N
14,10,1,0,12,2,131.6,0.3,0,0,21.8,10.4,25,0,12,12,11,0.3,227.4,2369.1,N
186,35,24,55,63,1,7187.5,0.2,13,7,56,48.1,173,42.2,93,106,64,0.4,2692.2,129374.5,N
112,32,24,18,64,0,5827.9,0.3,0,6,73.6,37.8,151,20.7,69,69,51,0.7,2778.9,104901.8,N
22,13,4,0,8,2,85.1,0.2,1,0,13.7,10.6,13,5.9,16,17,9,0.3,145,1531,N
26,11,5,0,6,2,119.9,0.2,0,0,10,14.7,16,0,20,20,8,0.3,147.2,2158.2,N
320,36,26,119,133,1,11022,0.1,20,16,133.4,38.6,285,47.4,154,174,57,0.8,5143.6,198396.4,N
99,22,6,19,50,6,1596.1,0.2,1,3,86.2,18.3,83,21.7,72,73,47,0.4,1573.3,28729,N
254,46,21,50,96,3,7002.6,0.1,13,10,77.8,40.3,168,33.5,125,138,56,0.7,3131.6,126046.5,N
53,17,6,17,18,2,657.2,0.2,0,2,27.4,20.8,44,37,29,29,18,0.4,569.4,11829.8,N
57,14,8,11,19,4,328.8,0.2,1,1,35.6,12.9,35,40,18,19,11,0.3,459,5919.2,N
81,25,17,8,41,4,1955,0.2,0,7,48.9,26.8,88,12.7,55,55,44,0.7,1311.6,35190.2,N
121,21,14,39,55,2,815.1,0.1,0,2,59.9,15.7,82,45.4,47,47,12,0.3,937.2,14671.3,N
59,21,10,14,17,1,633,0.2,2,2,21.8,22.9,37,33.3,32,34,21,0.3,498.6,11393.4,N
26,12,2,2,16,2,142.8,0.1,0,4,34.6,8.6,23,8.7,21,21,13,1,298.1,2570.7,N
20,11,4,1,7,3,43.7,0.1,0,0,12.7,7.9,10,6.7,14,14,6,0.5,100.1,786.3,N
34,15,6,6,24,2,284.1,0.1,0,6,40.4,11.3,36,22.2,21,21,14,1,454.5,5113.6,N
49,20,9,11,21,1,471.7,0.1,0,4,36.6,15.2,32,28.2,28,28,15,0.7,557.2,8490.4,Y
30,17,2,9,19,1,240.5,0.1,0,3,32,11.6,26,33.3,18,18,9,1,372.2,4329.7,N
55,17,3,13,27,0,834.2,0.1,2,5,48.3,17.6,56,29.4,36,38,28,1,851.7,15014.7,N
228,29,22,33,104,3,4346.9,0.2,12,13,151.5,22.7,163,22,160,172,94,0.6,3443,78245,N
222,32,10,62,119,0,8350.3,0.1,0,12,171.8,29.6,220,29.4,149,149,77,0.9,5081.4,150305.8,Y
555,48,42,339,314,7,30751,0.2,45,24,293.7,43.4,568,48.3,411,456,232,0.6,12749.8,553518.6,Y
170,24,16,29,114,0,4933.4,0.1,3,5,164.1,23.3,221,20.9,121,124,63,0.8,3817.3,88801.9,Y
14,7,0,0,6,0,14.4,0.2,0,0,21.2,3.5,6,0,13,13,6,0.5,74,259,N
233,36,2,58,108,0,17097.6,0.2,33,8,104.3,54.3,326,41.6,128,161,94,0.4,5664.2,307757.1,N
25,16,4,0,8,1,337,0.3,0,0,13.8,21,21,0,20,20,16,0.2,288.9,6065.9,N
49,20,0,20,29,0,385.9,0.2,2,3,38.4,13.5,39,44.9,27,29,14,0.3,516.5,6946.8,N
69,21,8,7,54,0,2075.5,0.2,6,4,105,18.9,97,21.7,47,53,46,0.7,1980.8,37359.4,N
71,12,10,18,21,1,151.3,0.2,2,9,45.8,7.7,27,55.6,16,18,17,0.7,353.1,2724,N
78,17,15,21,42,7,1911.4,0.1,0,4,61.4,23.7,117,33.9,41,41,23,1,1453,34405.3,N
22,10,4,0,7,2,78,0.1,3,0,16.3,9.3,13,17.7,14,17,6,0.5,151.2,1404.3,N
22,10,4,0,7,2,78,0.1,3,0,16.3,9.3,13,17.7,14,17,6,0.5,151.2,1404.3,N
79,15,12,39,38,1,498.1,0.1,0,4,61.9,12,61,59.1,27,27,17,0.3,744.6,8965,N
55,16,3,6,16,2,670.8,0.1,6,2,22.8,23,46,36.4,21,27,8,1,525,12075,N
22,14,0,5,11,4,78.8,0.2,0,1,24.3,7.6,12,23.8,16,16,6,0.7,185.8,1418.5,N
138,23,10,20,39,4,3218.4,0.1,12,3,52.2,33.3,113,36.8,55,67,39,0.3,1738.6,57931.9,N
61,20,6,22,19,7,740,0.2,10,3,27.3,22.1,42,59.3,22,32,21,0.4,602.5,13319.2,N
174,17,2,78,52,7,936.6,0.1,14,10,89.4,13.7,84,53.8,79,93,42,0.5,1227.8,16858.8,Y
204,32,6,58,147,1,7070.9,0.2,1,2,171.9,27.2,250,30,138,139,89,1,4677.4,127275.8,N
48,18,0,23,21,0,254.8,0.2,1,9,34.3,11.6,27,51.1,23,24,18,1,396.4,4587,N
80,20,0,15,41,1,710,0.2,4,5,66.1,13.9,57,24.1,60,64,31,0.5,919.3,12780,N
35,15,1,0,17,0,264.7,0.2,1,4,27.2,13.2,30,3,32,33,17,0.6,360,4764.7,N
41,17,1,11,24,2,358.3,0.1,0,5,47.2,11.7,33,28.2,28,28,12,1,551.8,6449.5,N
68,19,1,12,36,0,546.7,0.1,0,5,56.5,13.2,50,22.6,41,41,18,0.8,745.8,9840.4,Y
24,16,1,3,17,2,163.5,0.1,0,4,33.2,9.4,20,13.6,19,19,8,1,312.8,2943.6,N
25,15,2,3,16,2,139.7,0.1,0,4,31.7,8.9,19,13.6,19,19,8,1,282.4,2515,N
79,19,2,35,38,3,731.3,0.1,3,7,60.5,14.8,59,50,38,41,17,0.3,892.4,13163.4,N
63,17,14,7,52,1,1283.4,0.1,0,14,93.8,15.7,96,14.6,41,41,19,1,1472.2,23101.5,N
42,17,5,6,33,0,695.1,0.1,0,9,58.1,14.7,57,16.7,30,30,13,1,852.2,12512.2,N
227,31,10,65,110,6,14535.6,0.1,2,8,118.8,46.9,333,31,149,151,61,0.4,5576,261640.6,N
26,16,0,6,16,2,158.3,0.1,0,4,31.6,9.5,19,24,19,19,8,1,300,2850,N
231,38,12,65,95,1,12276.7,0.1,23,12,83,51.6,258,40.4,130,153,86,0.5,4282.6,220979.9,Y
77,32,6,7,41,7,2143.8,0.1,6,6,45.1,29.3,75,18.6,57,63,31,0.8,1318.4,38588.3,Y
50,18,1,6,59,0,1014.9,0.1,0,4,94.8,13.9,91,12.5,42,42,8,1,1316,18268.2,N
35,13,1,13,17,1,209.5,0.1,6,2,28.7,11.5,30,57.6,14,20,7,0.5,328.8,3771.1,N
36,17,1,12,20,1,269,0.1,0,5,36.8,11.5,27,35.3,22,22,9,1,422,4842.1,N
37,12,0,9,26,2,210.7,0.1,0,0,55,8.3,36,25,27,27,10,0.3,456.6,3793,N
38,11,1,4,8,2,315.3,0.2,1,0,14.3,19.9,29,13.9,31,32,15,0.2,284.6,5674.4,N
179,24,5,39,91,18,5803.4,0.1,7,5,124.1,29,220,26.6,127,134,53,0.8,3600.7,104460.7,N
63,14,3,4,44,8,830.3,0.1,6,3,102.2,12.1,76,17,49,55,30,1,1236,14944.8,Y
65,20,13,5,57,0,1498.5,0.1,1,4,99.2,16.5,94,11.8,45,46,21,1,1635.6,26973.6,N
228,19,67,41,32,2,8370.6,0.1,27,10,46.4,57,192,42.5,92,119,63,1,2643.4,150671,N
46,16,9,11,13,4,315.6,0.2,7,0,24,15.4,25,50,18,25,12,0.3,369.2,5680.1,N
83,19,15,22,27,3,1198.7,0.1,9,4,46.8,21.5,61,46.3,36,45,26,1,1005.3,21576.5,N
33,15,6,0,16,0,267.1,0.1,4,1,24.3,14.1,30,15.4,22,26,13,1,341.8,4807.1,N
84,25,21,22,37,2,1617.6,0.1,10,4,45.4,25.3,75,51.6,30,40,17,0.5,1149.2,29117.2,N
42,24,9,10,19,0,850.9,0.2,6,1,22.8,25.9,41,50,16,22,12,0.5,591.5,15315.8,N
43,24,10,10,19,0,850.9,0.2,7,1,22.8,25.9,41,53.1,15,22,12,0.5,591.5,15315.8,N
153,27,46,31,66,0,4536.3,0.1,35,8,83.4,31.3,153,62.3,40,75,40,0.8,2609.1,81653.7,N
124,32,33,28,62,2,4820.8,0.1,18,5,71.5,34.8,135,51.1,44,62,25,0.7,2490.7,86774.3,N
47,12,10,0,25,0,675.8,0.1,5,1,44.4,16.6,69,13.9,31,36,29,1,734.5,12163.9,N
80,21,25,21,20,2,558.2,0.2,11,4,25.2,20,38,59.3,22,33,20,0.5,503.6,10047,N
45,19,9,13,25,0,534.3,0.2,2,4,46.1,14.4,38,42.9,20,22,14,1,666.1,9617.8,N
42,15,10,4,29,1,743,0.1,2,2,48.8,16.6,64,19.4,25,27,7,1,808,13373.7,N
26,14,6,4,10,4,112.3,0.1,5,1,21.1,9.8,14,47.4,10,15,6,0.5,206.3,2022,N
26,14,6,4,10,4,112.3,0.1,5,1,21.1,9.8,14,47.4,10,15,6,0.5,206.3,2022,N
34,14,7,8,13,1,127.5,0.2,4,1,30.9,8.6,16,46.2,14,18,11,0.7,266.3,2294.1,N
68,22,20,16,31,4,664,0.2,4,4,53.8,14.9,42,42.6,27,31,18,0.8,801.9,11951,N
50,17,14,12,26,0,325,0.2,3,3,47.4,11.1,34,42.9,20,23,14,1,526.4,5850.6,N
77,21,19,18,31,4,655,0.2,4,4,55.6,14.6,43,44,28,32,19,0.7,809.5,11789.4,N
143,28,36,29,50,4,2646.9,0.2,21,8,68.8,26.3,94,52.6,45,66,38,0.7,1810.2,47644.4,N
19,12,3,2,5,2,87.2,0.2,2,0,10.9,12,10,26.7,11,13,5,0.5,130.8,1569.6,N
19,12,3,2,8,2,138.3,0.2,2,0,17.3,12,16,26.7,11,13,5,0.5,207.5,2489.4,N
73,18,9,22,19,6,369.7,0.2,14,4,35.3,13.7,29,57.1,27,41,24,0.8,484.5,6655.2,N
32,10,5,12,6,3,38.5,0.1,4,1,15.6,6.7,8,61.5,10,14,5,1,104,693.3,N
17,11,1,3,6,3,50.6,0.2,3,0,13.4,8.3,9,40,9,12,5,0.5,110.4,910.5,N
17,11,1,3,9,3,94.6,0.2,3,0,20.3,9.2,15,40,9,12,5,0.5,185.8,1703.6,N
211,32,49,57,101,1,5190.5,0.1,6,8,125.8,27.3,172,39.1,98,104,52,0.7,3428.9,93428.2,N
343,27,77,56,148,4,7136.6,0.1,20,9,243.1,23,252,30.7,172,192,114,1,5588.4,128457.9,N
82,20,40,11,30,1,866.2,0.1,2,3,44.8,18.7,56,31.7,28,30,15,1,835.3,15592.1,Y
105,19,31,29,48,0,1727.4,0.1,1,7,84.4,19.2,97,41.1,43,44,31,1,1619.7,31093.8,N
113,19,34,31,22,5,1230.8,0,11,4,37.9,24.2,56,53.9,36,47,11,1,916.1,22154,N
52,16,14,5,27,5,248.7,0.1,11,2,49.8,9.5,32,43.2,21,32,13,0.8,472.1,4476.1,N
24,21,5,1,17,1,576.4,0.2,1,1,25,20.4,33,11.1,16,17,13,0.5,509.1,10375.6,N
26,14,4,7,10,1,117,0.2,0,2,16.8,11.2,16,33.3,14,14,11,1,188,2105.4,N
185,34,39,51,70,1,9281.8,0.2,6,6,66.1,50.3,207,39.3,88,94,60,0.5,3323.4,167073,N
61,26,18,6,40,3,939.3,0.1,7,6,49.3,18.5,57,31,29,36,14,0.8,912.7,16907.8,N
163,45,49,37,96,3,24346.9,0.3,16,14,78.4,74.8,319,46.9,60,76,85,0.7,5861.6,438244.1,N
121,37,31,25,54,2,6069.3,0.2,12,5,47.5,48,140,41.6,52,64,33,0.6,2277.7,109246.6,N
306,50,84,76,100,9,18156.4,0.1,44,10,75,66,264,54.3,101,145,65,0.4,4951.7,326814.9,N
81,31,17,6,70,0,10042.2,0.1,28,3,78.3,48.1,217,54,29,57,31,0.8,3761.9,180758.8,N
50,27,16,8,33,0,1807.5,0.2,3,5,37.5,29.5,72,33.3,22,25,24,0.7,1104.6,32535.2,N
45,20,5,3,20,1,943.8,0.2,7,3,29.5,24,48,25.6,29,36,13,1,707.8,16987.6,N
18,16,1,0,12,1,176.3,0.3,1,1,22,12,18,6.3,15,16,9,0.5,264.4,3172.9,N
31,13,7,7,13,2,126.5,0.1,2,3,25.2,9.5,19,39.1,14,16,8,0.5,239.7,2277.4,N
86,35,17,0,39,3,3203.9,0.2,5,3,45.9,35.5,79,7.4,63,68,27,0.2,1626.9,57670.7,N
16,13,3,1,9,2,71.6,0.2,2,0,24.7,7.2,10,25,9,11,5,0.5,178.4,1288.3,N
15,13,3,0,9,2,69.8,0.2,2,0,24.1,7.2,10,18.2,9,11,5,0.5,173.9,1256.1,N
26,17,6,1,15,1,256.9,0.2,1,3,25,13.6,24,10.5,17,18,10,0.5,340,4624,N
60,12,25,0,26,0,315.7,0.2,7,8,50.4,10.6,46,20.6,27,34,29,1,535.3,5682.3,N
78,8,13,0,57,0,502.5,0.1,2,5,183.7,7,100,3.1,62,64,52,1,1288.8,9044.1,N
29,4,7,9,6,1,6.9,0.2,0,3,22.8,2.3,7,42.9,12,12,7,1,53.2,124,N
27,12,2,0,11,2,300.2,0.2,0,1,20.2,16.4,30,0,24,24,12,0.5,330.2,5403.6,N
23,12,5,0,15,0,247.6,0.2,4,2,25.6,13.2,33,23.5,13,17,15,1,337.6,4456.3,N
71,16,22,13,40,1,9234.2,0.1,3,0,58.7,53.2,266,33.3,32,35,11,0.3,3124.4,166215.8,N
12,10,1,0,11,0,65.7,0.2,0,4,22.4,7.3,16,0,10,10,9,1,162.5,1181.9,N
34,17,9,3,21,0,970,0.1,4,2,29.6,24.3,60,29.2,17,21,13,1,719,17460.6,N
9,10,1,0,5,1,70.3,0.3,0,0,8.8,12,12,0,7,7,5,0.5,105.5,1265.8,N
11,11,1,0,7,1,134.3,0.3,0,0,12.1,14.1,18,0,9,9,8,0.3,171,2418,N
13,12,1,0,9,2,175.4,0.3,0,0,14.7,14.7,22,0,11,11,8,0.3,215.2,3156.6,N
9,10,1,0,5,1,70.3,0.3,0,0,8.8,12,12,0,7,7,5,0.5,105.5,1265.8,N
11,11,1,0,7,1,134.3,0.3,0,0,12.1,14.1,18,0,9,9,8,0.3,171,2418,N
13,12,1,0,9,2,175.4,0.3,0,0,14.7,14.7,22,0,11,11,8,0.3,215.2,3156.6,N
9,10,1,0,5,1,70.3,0.3,0,0,8.8,12,12,0,7,7,5,0.5,105.5,1265.8,N
11,11,1,0,7,1,134.3,0.3,0,0,12.1,14.1,18,0,9,9,8,0.3,171,2418,N
13,12,1,0,9,2,175.4,0.3,0,0,14.7,14.7,22,0,11,11,8,0.3,215.2,3156.6,N
151,25,40,13,54,1,2420.1,0.1,25,4,71,24.8,107,44.2,48,73,23,0.7,1758.8,43561.8,N
12,9,2,2,8,0,35.1,0.3,0,2,16.5,6.2,11,22.2,7,7,6,1,102.2,632.3,N
12,9,2,2,8,0,35.1,0.3,0,2,16.5,6.2,11,22.2,7,7,6,1,102.2,632.3,N
12,9,2,2,8,0,35.1,0.3,0,2,16.5,6.2,11,22.2,7,7,6,1,102.2,632.3,N
12,9,2,2,8,0,35.1,0.3,0,2,16.5,6.2,11,22.2,7,7,6,1,102.2,632.3,N
12,9,2,2,8,0,35.1,0.3,0,2,16.5,6.2,11,22.2,7,7,6,1,102.2,632.3,N
12,9,2,2,8,0,35.1,0.3,0,2,16.5,6.2,11,22.2,7,7,6,1,102.2,632.3,N
12,9,2,2,8,0,35.1,0.3,0,2,16.5,6.2,11,22.2,7,7,6,1,102.2,632.3,N
23,17,8,14,11,0,203.9,0.2,2,0,17,14.7,19,51.6,15,17,9,0.3,250,3670.2,N
9,7,2,8,4,0,12.6,0.2,0,0,11.9,4.4,5,47.1,9,9,6,0.5,51.9,227,N
11,7,4,10,4,0,11.8,0.3,0,0,11.1,4.4,5,55.6,8,8,5,0.5,48.4,211.9,N
17,11,3,5,8,0,36.5,0.3,0,0,17.2,6.2,9,38.5,8,8,5,0.5,106.2,657.1,N
11,7,4,10,4,0,11.8,0.3,0,0,11.1,4.4,5,55.6,8,8,5,0.5,48.4,211.9,N
15,9,3,2,9,0,33.1,0.2,0,2,19.7,5.5,11,18.2,9,9,6,1,108.4,596.3,N
50,13,13,19,14,0,242.8,0.2,4,3,22.5,13.9,30,63.9,13,17,16,0.7,313.8,4371.1,N
34,11,9,0,17,0,230.2,0.4,0,4,30.5,11.7,36,0,24,24,27,0.9,355.7,4143.4,N
