HALSTEAD_LEVEL,PARAMETER_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,NUM_UNIQUE_OPERATORS,LOC_EXECUTABLE,NODE_COUNT,ESSENTIAL_COMPLEXITY,DESIGN_COMPLEXITY,BRANCH_COUNT,CALL_PAIRS,NORMALIZED_CYLOMATIC_COMPLEXITY,MODIFIED_CONDITION_COUNT,DECISION_COUNT,MAINTENANCE_SEVERITY,MULTIPLE_CONDITION_COUNT,CONDITION_COUNT,DESIGN_DENSITY,LOC_COMMENTS,NUM_UNIQUE_OPERANDS,Defective
0.06,5,5,0.45,12,2,14,4,3,9,1,0.36,4,6,0.8,7,14,0.6,0,6,N
0.11,3,3,0.75,9,1,8,1,2,5,3,0.38,2,2,0.33,3,6,0.67,0,6,N
0.12,4,3,0.75,9,1,8,1,2,5,3,0.38,2,2,0.33,3,6,0.67,0,7,N
0.09,4,4,0.8,13,1,15,3,4,7,6,0.31,3,4,0.75,5,10,1.0,2,14,N
0.1,3,6,0.32,14,2,12,1,2,8,1,0.27,1,2,0.17,2,4,0.33,0,13,N
0.27,1,3,1.5,5,1,8,1,3,5,3,0.75,3,2,0.33,4,8,1.0,0,4,N
0.3,1,2,1.0,5,1,6,1,2,3,2,0.5,2,2,0.5,3,6,1.0,0,3,N
0.3,1,2,1.0,5,1,5,1,1,3,0,0.5,2,2,0.5,3,6,0.5,0,3,N
0.25,2,1,0.5,8,1,3,1,1,1,1,0.25,1,2,1.0,2,4,1.0,0,3,N
0.11,0,4,1.0,8,1,13,1,1,7,0,0.67,3,6,0.25,6,12,0.25,0,5,N
0.12,1,4,0.8,11,1,12,1,1,7,1,0.57,3,6,0.25,6,12,0.25,0,8,N
0.12,1,4,0.8,12,1,12,1,1,7,1,0.57,3,6,0.25,6,12,0.25,0,9,N
0.25,1,2,1.0,6,1,5,1,1,3,0,0.5,2,2,0.5,3,6,0.5,0,3,N
0.15,1,5,0.83,7,1,15,1,1,9,1,0.63,4,8,0.2,8,16,0.2,0,7,N
0.14,1,6,0.86,7,1,18,1,1,11,1,0.67,5,10,0.17,10,20,0.17,0,8,N
0.16,1,3,0.75,10,1,9,1,1,5,1,0.5,2,4,0.33,4,8,0.33,0,7,N
0.15,1,5,0.83,7,1,15,1,1,9,1,0.63,4,8,0.2,8,16,0.2,0,7,N
0.17,1,2,0.67,11,1,6,1,1,3,1,0.4,1,2,0.5,2,4,0.5,0,10,N
0.08,4,6,0.86,11,2,14,5,1,11,0,0.6,6,8,0.83,10,20,0.17,0,6,N
0.07,5,6,0.86,12,2,16,5,3,11,1,0.55,6,8,0.83,10,20,0.5,0,7,N
0.5,2,2,1.0,4,0,5,1,1,3,0,2.0,2,2,0.5,3,6,0.5,0,2,N
0.5,1,1,1.0,4,0,2,1,1,1,0,1.0,1,2,1.0,2,4,1.0,0,1,N
0.5,2,2,1.0,4,0,5,1,1,3,0,2.0,2,2,0.5,3,6,0.5,0,2,N
0.13,2,2,0.5,9,1,7,1,2,3,3,0.33,1,2,0.5,2,4,1.0,0,6,N
0.14,3,2,0.5,9,1,7,1,2,3,3,0.29,1,2,0.5,2,4,1.0,0,7,N
0.2,2,2,0.4,5,1,6,1,1,3,0,0.29,1,2,0.5,2,4,0.5,0,2,N
0.2,3,2,1.0,6,1,7,1,1,3,1,0.5,1,2,0.5,2,4,0.5,0,3,N
0.05,2,4,0.67,11,1,10,1,1,7,0,0.5,3,6,0.25,6,12,0.25,0,3,N
0.06,3,4,0.67,12,1,11,1,2,7,1,0.44,3,6,0.25,6,12,0.5,0,4,N
0.2,2,2,1.0,5,1,6,1,1,3,0,0.5,1,2,0.5,2,4,0.5,0,2,N
0.2,2,2,1.0,5,1,6,1,1,3,0,0.5,1,2,0.5,2,4,0.5,0,2,N
0.05,5,4,0.44,13,2,11,3,1,7,1,0.31,3,4,0.75,5,10,0.25,0,6,N
0.06,6,4,0.44,12,2,12,3,2,7,2,0.31,3,4,0.75,5,10,0.5,0,7,N
0.2,2,2,0.4,5,1,6,1,1,3,0,0.29,1,2,0.5,2,4,0.5,0,2,N
0.2,3,2,1.0,6,1,7,1,1,3,1,0.5,1,2,0.5,2,4,0.5,0,3,N
0.05,2,4,0.67,11,1,10,1,1,7,0,0.5,3,6,0.25,6,12,0.25,0,3,N
0.06,3,4,0.67,12,1,11,1,2,7,1,0.44,3,6,0.25,6,12,0.5,0,4,N
0.2,2,2,1.0,5,1,6,1,1,3,0,0.5,1,2,0.5,2,4,0.5,0,2,N
0.2,2,2,1.0,5,1,6,1,1,3,0,0.5,1,2,0.5,2,4,0.5,0,2,N
0.09,3,3,0.38,10,2,7,3,1,5,0,0.25,2,2,1.0,3,6,0.33,0,4,N
0.1,4,3,0.38,10,2,8,3,2,5,1,0.23,2,2,1.0,3,6,0.67,0,5,N
0.04,2,6,0.24,15,4,23,5,3,11,2,0.21,5,10,0.83,10,20,0.5,1,9,N
0.05,3,6,0.24,13,4,25,5,5,11,3,0.21,5,10,0.83,10,20,0.83,1,10,N
0.16,3,2,0.67,8,1,6,1,2,3,2,0.33,1,2,0.5,2,4,1.0,0,5,N
0.17,4,2,0.67,8,1,6,1,2,3,2,0.33,1,2,0.5,2,4,1.0,0,6,N
0.33,2,1,0.5,6,1,2,1,1,1,0,0.25,1,2,1.0,2,4,1.0,0,2,N
0.29,2,2,1.0,7,1,8,1,1,3,2,0.33,1,2,0.5,2,4,0.5,0,6,N
0.29,2,2,1.0,7,1,8,1,1,3,2,0.33,1,2,0.5,2,4,0.5,0,6,N
0.33,2,1,0.5,6,1,2,1,1,1,0,0.25,1,2,1.0,2,4,1.0,0,2,N
0.33,2,1,0.5,6,1,2,1,1,1,0,0.25,1,2,1.0,2,4,1.0,0,2,N
0.19,1,2,0.5,9,1,7,1,2,3,3,0.33,1,2,0.5,2,4,1.0,0,7,N
0.14,1,3,1.0,10,1,11,1,3,5,3,0.6,2,4,0.33,4,8,1.0,0,7,N
0.05,2,2,0.13,13,2,16,1,1,3,6,0.11,1,2,0.5,2,4,0.5,0,11,N
0.29,2,2,1.0,7,1,7,1,1,3,1,0.33,1,2,0.5,2,4,0.5,0,5,N
0.29,2,2,1.0,7,1,8,1,1,3,2,0.33,1,2,0.5,2,4,0.5,0,6,N
0.29,2,2,1.0,7,1,8,1,1,3,2,0.33,1,2,0.5,2,4,0.5,0,6,N
0.07,2,3,1.5,9,1,6,1,1,5,0,0.75,3,2,0.33,4,8,0.33,0,2,N
0.03,2,6,0.55,15,1,31,1,6,11,5,0.43,5,10,0.17,10,20,1.0,0,8,N
0.29,2,2,1.0,7,1,8,1,1,3,2,0.33,1,2,0.5,2,4,0.5,0,6,N
0.29,2,2,1.0,7,1,8,1,1,3,2,0.33,1,2,0.5,2,4,0.5,0,6,N
0.33,2,1,0.5,6,1,2,1,1,1,0,0.25,1,2,1.0,2,4,1.0,0,2,N
0.33,2,1,0.5,6,1,2,1,1,1,0,0.25,1,2,1.0,2,4,1.0,0,2,N
0.06,1,4,0.22,16,4,25,1,4,7,13,0.18,3,6,0.25,6,12,1.0,2,14,N
0.25,2,1,0.5,8,1,3,1,1,1,1,0.13,1,2,1.0,2,4,1.0,4,3,N
0.29,2,2,1.0,7,1,7,1,1,3,1,0.33,1,2,0.5,2,4,0.5,0,5,N
0.29,2,2,1.0,7,1,8,1,1,3,2,0.33,1,2,0.5,2,4,0.5,0,6,N
0.29,2,2,1.0,7,1,8,1,1,3,2,0.33,1,2,0.5,2,4,0.5,0,6,N
0.11,2,4,1.33,7,1,7,3,1,7,0,0.67,4,2,0.75,7,10,0.25,0,3,N
0.17,2,2,1.0,6,1,5,1,1,3,0,0.5,2,2,0.5,3,6,0.5,0,2,N
0.29,2,2,1.0,7,1,8,1,1,3,2,0.33,1,2,0.5,2,4,0.5,0,6,N
0.29,2,2,1.0,7,1,8,1,1,3,2,0.33,1,2,0.5,2,4,0.5,0,6,N
0.29,2,2,1.0,7,1,8,1,1,3,2,0.33,1,2,0.5,2,4,0.5,0,6,N
0.29,2,2,1.0,7,1,8,1,1,3,2,0.33,1,2,0.5,2,4,0.5,0,6,N
0.33,2,1,0.5,6,1,2,1,1,1,0,0.25,1,2,1.0,2,4,1.0,0,2,N
0.33,2,1,0.5,6,1,2,1,1,1,0,0.25,1,2,1.0,2,4,1.0,0,2,N
0.06,2,6,0.43,11,2,20,6,5,11,5,0.3,5,4,1.0,7,14,0.83,3,8,N
0.17,1,2,0.5,7,1,5,1,1,3,0,0.33,1,2,0.5,2,4,0.5,0,3,N
0.16,3,2,0.67,8,1,6,1,2,3,2,0.29,1,2,0.5,2,4,1.0,0,5,N
0.17,4,2,0.67,8,1,6,1,2,3,2,0.29,1,2,0.5,2,4,1.0,0,6,N
0.17,4,2,0.4,7,1,8,1,2,3,3,0.22,1,2,0.5,2,4,1.0,0,7,N
0.18,5,2,0.4,7,1,8,1,2,3,3,0.22,1,2,0.5,2,4,1.0,0,8,N
0.04,3,8,0.32,13,4,26,8,5,15,2,0.29,7,14,1.0,14,28,0.63,0,5,N
0.14,2,2,0.67,8,1,6,1,2,3,2,0.4,1,2,0.5,2,4,1.0,0,4,N
0.16,3,2,0.67,8,1,6,1,2,3,2,0.33,1,2,0.5,2,4,1.0,0,5,N
0.11,2,3,0.33,10,2,11,1,1,5,1,0.27,2,4,0.33,4,8,0.33,0,8,N
0.1,2,4,0.4,11,2,15,1,2,7,2,0.33,3,6,0.25,6,12,0.5,0,9,N
0.04,2,6,0.24,15,4,23,5,3,11,2,0.21,5,10,0.83,10,20,0.5,1,9,N
0.05,3,6,0.24,13,4,25,5,5,11,3,0.21,5,10,0.83,10,20,0.83,1,10,N
0.14,2,2,0.5,8,1,7,1,2,3,3,0.33,1,2,0.5,2,4,1.0,0,5,N
0.15,3,2,0.5,8,1,7,1,2,3,3,0.29,1,2,0.5,2,4,1.0,0,6,N
0.19,1,2,1.0,8,0,6,1,2,3,1,1.0,1,2,0.5,2,4,1.0,0,3,N
0.07,3,3,0.75,12,1,11,1,2,5,2,0.43,2,4,0.33,4,8,0.67,0,6,N
0.13,1,3,0.6,9,1,7,3,2,5,1,0.43,2,2,1.0,3,6,0.67,0,4,N
0.07,1,5,0.71,10,1,13,5,4,9,2,0.56,4,4,1.0,6,12,0.8,0,4,N
0.13,1,3,0.6,9,1,7,3,2,5,1,0.43,2,2,1.0,3,6,0.67,0,4,N
0.07,1,5,0.71,10,1,13,5,4,9,2,0.56,4,4,1.0,6,12,0.8,0,4,N
0.13,2,3,0.3,11,1,9,3,1,5,0,0.25,2,4,1.0,4,8,0.33,0,10,N
0.1,3,2,0.5,9,1,7,1,2,3,2,0.29,1,2,0.5,2,4,1.0,0,6,N
0.12,2,2,0.4,11,1,10,1,2,3,5,0.29,1,2,0.5,2,4,1.0,0,9,N
0.11,4,3,0.43,9,2,8,1,1,5,0,0.3,2,4,0.33,4,8,0.33,0,4,N
0.09,4,3,0.43,11,2,9,1,2,5,1,0.3,2,4,0.33,4,8,0.67,0,4,N
0.1,3,2,0.5,9,1,7,1,2,3,2,0.29,1,2,0.5,2,4,1.0,0,6,N
0.1,4,5,0.33,11,4,13,4,4,9,4,0.28,4,6,0.8,7,14,0.8,0,9,N
0.13,4,3,0.5,9,2,8,1,1,5,0,0.33,2,4,0.33,4,8,0.33,0,4,N
0.03,6,15,0.42,21,5,64,10,14,29,20,0.23,14,18,0.67,23,46,0.93,22,30,N
0.11,5,3,0.43,10,2,9,1,1,5,0,0.27,2,4,0.33,4,8,0.33,0,5,N
0.1,5,3,0.3,10,2,10,1,2,5,1,0.21,2,4,0.33,4,8,0.67,0,5,N
0.13,4,3,0.5,9,2,9,1,2,5,1,0.33,2,4,0.33,4,8,0.67,0,4,N
0.3,1,2,1.0,5,1,6,1,2,3,2,0.5,1,2,0.5,2,4,1.0,0,3,N
0.09,2,4,0.67,13,1,14,1,4,7,4,0.44,3,6,0.25,6,12,1.0,1,9,N
