DECISION_DENSITY,PERCENT_COMMENTS,MAINTENANCE_SEVERITY,DESIGN_DENSITY,LOC_CODE_AND_COMMENT,NUM_UNIQUE_OPERATORS,HALSTEAD_LEVEL,NUMBER_OF_LINES,LOC_TOTAL,LOC_BLANK,HALSTEAD_DIFFICULTY,CALL_PAIRS,PARAMETER_COUNT,LOC_EXECUTABLE,ESSENTIAL_DENSITY,LOC_COMMENTS,MODIFIED_CONDITION_COUNT,CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,DECISION_COUNT,Defective
2,0,0.5,0.5,0,9,0.1,14,7,3,7.5,0,3,7,0,0,1,4,2,2,N
2,18.8,0.3,1,1,18,0.1,43,27,9,21.9,3,0,26,0,5,3,12,6,6,Y
2,18.8,0.3,1,1,18,0.1,43,27,9,21.9,3,0,26,0,5,3,12,6,6,N
2,18.8,0.3,1,1,18,0.1,43,27,9,21.9,3,0,26,0,5,3,12,6,6,Y
0,0,1,1,0,4,0.5,5,2,1,2,0,0,2,0,0,0,0,0,0,N
0,0,1,1,0,7,0.3,12,3,3,3.5,0,4,3,0,0,0,0,0,0,N
0,0,1,1,0,6,0.1,20,11,4,15.4,0,3,11,0,0,0,0,0,0,N
2,29.8,0.2,0.8,6,13,0,70,46,11,22.8,3,1,40,0,11,4,16,8,8,Y
2.1,27.5,0.3,0.8,11,18,0,135,85,31,24.5,15,0,74,0.3,17,11,42,21,20,Y
2,15.8,0.3,1,1,15,0.1,28,17,7,17.5,2,1,16,0,2,2,8,4,4,Y
0,70,1,1,8,14,0.1,29,14,7,13.3,1,0,6,0,6,0,0,0,0,Y
2,27.3,0.5,0.5,3,14,0.1,21,11,4,10.2,2,5,8,0,0,1,4,2,2,N
0,20,1,1,0,7,0.2,12,4,4,4.1,2,2,4,0,1,0,0,0,0,N
2,87.5,0.3,0.3,10,11,0.1,23,12,5,7.9,1,0,2,0,4,2,8,4,4,Y
2,10.9,0.2,0.8,0,16,0.1,67,41,18,20.9,9,2,41,0,5,4,16,8,8,N
2,39.5,0.3,0.8,4,22,0,57,27,17,36.9,4,0,23,0,11,3,12,6,6,Y
3,23.7,0.7,0.3,7,18,0,48,36,8,22.8,1,0,29,0.7,2,6,18,9,6,Y
0,13.8,0.2,1,0,18,0,48,25,17,22.5,1,1,25,0,4,0,0,0,0,N
0,15.4,0.3,1,0,18,0,63,33,22,26.1,2,1,33,0,6,0,0,0,0,N
0,20,1,1,0,8,0.3,11,4,4,4,0,1,4,0,1,0,0,0,0,N
0,15.4,0.3,1,0,18,0,63,33,22,26.1,2,1,33,0,6,0,0,0,0,N
0,20,1,1,0,11,0.2,11,4,4,6.3,1,1,4,0,1,0,0,0,0,N
0,16.7,0.2,1,0,20,0,53,30,15,25.9,1,1,30,0,6,0,0,0,0,N
2,15.4,0.3,1,1,12,0.1,37,23,7,13.8,1,2,22,0,3,2,8,4,4,Y
2,32.3,0.3,0.3,3,11,0.1,50,24,15,14.3,0,2,21,0,7,3,12,6,6,N
2,28.6,0.3,0.7,1,13,0.1,29,16,6,11.4,1,1,15,0,5,2,8,4,4,Y
2,10.5,0.5,1,0,12,0.1,31,17,7,9.3,3,4,17,0,2,1,4,2,2,N
2,10,0.5,0.5,1,11,0.1,16,10,4,8.9,1,1,9,0,0,1,4,2,2,Y
0,0,1,1,0,9,0.1,16,10,4,8.4,1,1,10,0,0,0,0,0,0,N
3,8.3,1,0.3,0,13,0.1,32,22,6,13,1,1,22,1,2,2,6,3,2,N
2,14.3,0.5,0.5,1,11,0.1,28,19,5,10,1,1,18,0,2,1,4,2,2,N
2,11.1,0.5,0.5,0,11,0.1,25,16,5,11,1,1,16,0,2,1,4,2,2,N
2,17.8,0.3,0.5,8,16,0,51,45,4,23.1,1,1,37,0,0,1,4,2,2,Y
0,0,1,1,0,9,0.2,11,7,2,6.8,1,1,7,0,0,0,0,0,0,N
0,0,1,1,0,10,0.1,18,11,5,10,1,1,11,0,0,0,0,0,0,N
0,50,1,1,1,7,0.3,29,8,13,3.9,6,0,7,0,6,0,0,0,0,Y
2,27.9,0.3,0.3,1,11,0.1,56,32,11,17.5,1,0,31,0,11,3,12,6,6,Y
2,42.9,0.3,0.7,3,14,0.1,23,11,7,21,1,0,8,0,3,2,8,4,4,Y
2,29.3,0.1,0.8,13,35,0,102,66,25,35,8,0,53,0,9,4,16,8,8,Y
2,46,0.2,0.8,14,13,0,43,34,4,31.1,2,0,20,0,3,4,16,8,8,Y
0,16.7,1,1,1,7,0.2,12,6,4,4.1,1,1,5,0,0,0,0,0,0,Y
2,17.1,0.3,1,2,17,0.1,51,31,14,15,4,1,29,0,4,1,4,2,2,Y
0,0,1,1,0,3,0,5,2,1,0,0,0,2,0,0,0,0,0,0,N
2.8,22.1,1,0.6,6,16,0,98,66,19,32,1,1,60,1,11,7,22,11,8,Y
0,14.3,1,1,0,8,0.1,28,18,5,13.3,1,1,18,0,3,0,0,0,0,N
0,23.1,1,1,0,8,0.1,20,10,5,9.6,1,1,10,0,3,0,0,0,0,N
0,28.6,1,1,1,8,0.2,13,6,4,5.6,1,1,5,0,1,0,0,0,0,Y
0,0,1,1,0,3,0.7,5,2,1,1.5,0,1,2,0,0,0,0,0,0,N
2,39.6,0.2,1,11,21,0.1,70,40,20,17,6,0,29,0,8,1,4,2,2,Y
2,28.6,0.3,1,2,13,0.1,38,22,8,15.2,3,1,20,0,6,2,8,4,4,Y
2,27.3,0.5,1,2,14,0.1,30,18,6,12.8,2,0,16,0,4,1,4,2,2,Y
2.5,52.3,0.6,0.7,24,22,0,87,55,20,30.4,3,0,31,0.5,10,3,10,5,4,Y
2,16.2,0.3,1,2,14,0.1,49,33,10,21.5,1,1,31,0,4,2,8,4,4,N
2,0,0.5,0.5,0,12,0.1,16,10,4,9.8,1,1,10,0,0,1,4,2,2,N
2,30.5,0.1,0.1,15,20,0,70,56,9,37.8,1,1,41,0,3,7,28,14,14,Y
0,0,1,1,0,9,0.1,19,12,5,8,1,1,12,0,0,0,0,0,0,N
2,50.9,0.1,0.4,23,19,0,67,50,10,29.4,2,1,27,0,5,7,28,14,14,Y
2,18.6,0.2,0.2,5,18,0,54,40,9,27,1,1,35,0,3,5,20,10,10,Y
2.3,42.1,0.1,0.7,14,15,0.1,78,47,19,15.8,10,0,33,0,10,8,28,14,12,Y
2,27.3,0.5,1,2,11,0.1,17,10,4,11,1,0,8,0,1,1,4,2,2,N
2,32,0.3,0.3,6,11,0.1,32,23,5,13.4,0,0,17,0,2,3,12,6,6,Y
2,17.9,0.3,0.5,3,14,0,34,26,4,25.7,2,0,23,0,2,3,12,6,6,Y
5,0,0.3,0.3,0,8,0.2,10,5,2,6.4,0,0,5,0,0,4,10,5,2,N
2,8.3,0.3,0.3,1,11,0.1,22,12,3,11,0,5,11,0,0,2,8,4,4,Y
2,17.7,0.3,0.7,1,12,0.1,25,15,6,14.6,1,0,14,0,2,2,8,4,4,Y
2.1,35.1,0.5,0.5,8,23,0,105,58,23,30.7,10,2,50,0.5,19,11,42,21,20,Y
2,28.8,0.1,0.7,8,20,0,85,55,17,27.6,6,1,47,0,11,8,32,16,16,N
2,43.6,0.2,1,6,15,0.1,58,28,17,12.8,8,0,22,0,11,4,16,8,8,Y
2,12,0.3,0.5,0,14,0,31,22,4,23.3,2,1,22,0,3,3,12,6,6,N
2,32.7,1,0.5,6,21,0,60,39,9,39.2,1,1,33,1,10,5,20,10,10,N
0,36.1,1,1,62,11,0,224,195,14,73.8,0,0,133,0,13,0,0,0,0,Y
2,53.9,0.3,0.3,2,14,0.1,20,8,3,13,0,3,6,0,5,2,8,4,4,Y
2,24.2,0.2,0.6,2,16,0.1,41,27,6,16.9,3,0,25,0,6,4,16,8,8,Y
0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,N
2,15.4,0.5,0.5,1,11,0.1,21,12,6,10.4,1,1,11,0,1,1,4,2,2,Y
0,0,1,1,0,8,0.2,10,6,2,4.8,2,0,6,0,0,0,0,0,0,N
4,90,1,0.5,17,12,0.1,25,19,3,14,2,1,2,1,1,3,8,4,2,Y
2.3,42.7,0.7,0.6,27,23,0,102,78,11,50.8,3,1,51,0.6,11,14,50,25,22,Y
2,48.3,0.2,0.6,15,18,0,72,45,12,27,5,0,30,0,13,4,16,8,8,Y
0,0,1,1,0,9,0.1,17,10,5,8.4,1,1,10,0,0,0,0,0,0,N
0,0,1,1,0,9,0.1,18,11,5,8.4,1,1,11,0,0,0,0,0,0,N
2,8.3,0.5,1,1,11,0.1,16,12,2,8.3,4,1,11,0,0,1,4,2,2,Y
0,60,1,1,1,6,0.3,8,3,1,3,0,1,2,0,2,0,0,0,0,Y
2,34.8,0.5,0.5,1,9,0.1,33,16,8,12.5,0,1,15,0,7,1,4,2,2,Y
3,33.3,1,0.6,9,12,0,33,27,4,22.5,1,1,18,1,0,6,18,9,6,Y
2,39.1,0.1,0.9,8,12,0.1,60,36,12,9.9,9,0,28,0,10,6,24,12,12,Y
0,0,1,1,0,8,0.1,16,7,3,7.6,1,5,7,0,0,0,0,0,0,N
0,26.2,1,1,55,10,0.1,226,210,14,11.7,1,0,155,0,0,0,0,0,0,Y
2.2,37.3,0.1,0.9,18,29,0,85,60,16,72.5,4,1,42,0,7,6,22,11,10,N
0,0,1,1,0,6,0.1,14,8,4,11,0,1,8,0,0,0,0,0,0,N
0,0,1,1,0,6,0.1,14,8,4,11,0,1,8,0,0,0,0,0,0,N
0,28.6,1,1,1,7,0.2,13,6,4,4.2,2,1,5,0,1,0,0,0,0,N
0,12.5,1,1,0,7,0.1,14,7,4,7.5,1,1,7,0,1,0,0,0,0,N
2.5,25.6,0.8,0.8,4,17,0.1,53,33,12,17.7,4,1,29,0.7,6,3,10,5,4,N
0,50,1,1,0,6,0.3,13,4,3,3,1,0,4,0,4,0,0,0,0,N
0,0,1,1,0,7,0.2,9,5,2,4.1,1,0,5,0,0,0,0,0,0,N
0,50,1,1,1,7,0.3,11,4,3,3.5,1,0,3,0,2,0,0,0,0,Y
0,25,1,1,0,5,0.4,8,3,2,2.5,1,0,3,0,1,0,0,0,0,N
0,0,1,1,0,5,0.4,7,3,2,2.5,0,0,3,0,0,0,0,0,0,N
0,25,1,1,0,5,0.4,8,3,2,2.5,1,0,3,0,1,0,0,0,0,N
0,0,1,1,0,3,0,5,2,1,0,0,0,2,0,0,0,0,0,0,N
0,0,1,1,0,4,0.5,6,3,1,2,0,0,3,0,0,0,0,0,0,N
0,0,1,1,0,5,0.4,7,3,2,2.5,0,0,3,0,0,0,0,0,0,N
0,0,1,1,0,5,0.4,7,3,2,2.5,0,0,3,0,0,0,0,0,0,N
2,6.7,0.3,0.3,0,13,0.1,38,28,6,13.5,1,1,28,0,2,2,8,4,4,N
2,12.9,0.3,0.3,2,14,0.1,38,29,5,16,1,1,27,0,2,2,8,4,4,Y
0,0,1,1,0,9,0.1,17,10,5,8.4,1,1,10,0,0,0,0,0,0,N
0,0,1,1,0,9,0.1,17,10,5,8.4,1,1,10,0,0,0,0,0,0,N
2,18.2,0.5,0.5,0,13,0.1,48,27,13,19,1,1,27,0,6,1,4,2,2,N
2,16.1,0.5,0.5,0,13,0.1,43,26,10,19,1,1,26,0,5,1,4,2,2,N
2.6,66.7,0.1,0.2,14,23,0.1,51,26,13,20,6,0,12,0,10,8,26,13,10,Y
3.3,40,0.1,0.3,4,19,0.1,40,22,8,18.4,1,1,18,0,8,7,20,10,6,Y
2.7,55.2,0.7,0.2,19,23,0,120,58,31,41.5,3,0,39,0.7,29,12,38,19,14,Y
2,39.6,0.3,0.3,4,14,0,75,36,18,27.1,1,2,32,0,17,2,8,4,4,N
2.1,54.5,0.1,0.3,18,21,0,150,69,36,87.8,1,0,51,0,43,10,38,19,18,Y
2.1,16.9,0.4,0.2,5,24,0,76,59,9,38.3,1,0,54,0.4,6,8,30,15,14,Y
2,11.1,0.5,1,0,13,0.1,14,8,3,7.2,1,0,8,0,1,1,4,2,2,N
4,30,1,0.5,3,11,0.1,15,10,3,9.2,1,0,7,1,0,3,8,4,2,Y
2.3,80,0.2,0.3,17,14,0.1,39,23,7,13,1,1,6,0,7,5,18,9,8,Y
2,15.4,0.5,0.5,2,10,0.1,19,13,4,7.1,1,1,11,0,0,1,4,2,2,N
2,16.7,0.5,1,1,9,0.2,10,6,2,4.5,1,0,5,0,0,1,4,2,2,Y
2,12.5,0.5,1,1,8,0.2,13,8,3,4.6,1,0,7,0,0,1,4,2,2,Y
2,12.5,0.5,1,1,9,0.2,13,8,3,6.2,1,1,7,0,0,1,4,2,2,Y
3,0,1,1,0,12,0.1,14,9,3,9.3,2,1,9,1,0,2,6,3,2,N
3,30,1,0.7,2,11,0.1,15,9,3,7.3,1,0,7,1,1,2,6,3,2,Y
2,11.8,0.3,0.8,0,13,0.1,23,15,4,10.5,2,0,15,0,2,3,12,6,6,N
2,0,0.5,1,0,8,0.2,14,8,4,4.6,1,1,8,0,0,1,4,2,2,N
0,0,1,1,0,4,0.5,9,4,3,2,1,0,4,0,0,0,0,0,0,N
2,9.1,0.3,0.7,1,8,0.2,16,11,3,4.4,1,0,10,0,0,2,8,4,4,Y
2,0,0.5,1,0,8,0.2,13,8,3,4.6,1,0,8,0,0,1,4,2,2,N
2,0,0.3,1,0,12,0.1,20,14,4,9.7,2,0,14,0,0,2,8,4,4,N
2,36.4,0.3,0.7,4,9,0.2,16,11,3,5,1,1,7,0,0,2,8,4,4,Y
2,0,0.3,1,0,12,0.1,20,14,4,9.7,2,0,14,0,0,2,8,4,4,N
2,8.3,0.5,0.5,1,11,0.1,18,12,4,8.3,1,1,11,0,0,1,4,2,2,N
2,0,0.5,1,0,9,0.2,13,8,3,6,2,1,8,0,0,1,4,2,2,N
2,0,0.5,1,0,9,0.2,13,8,3,5.6,2,0,8,0,0,1,4,2,2,N
2,0,0.5,0.5,0,10,0.1,20,15,3,7.7,1,0,15,0,0,1,4,2,2,N
2,0,0.5,1,0,8,0.2,13,8,3,4.6,1,1,8,0,0,1,4,2,2,N
5,0,1,0.4,0,13,0.1,16,11,3,10.1,1,1,11,1,0,4,10,7,2,N
2,8.3,0.5,0.5,1,10,0.2,18,12,4,6.5,1,2,11,0,0,1,4,2,2,N
0,0,1,1,0,4,0.5,8,3,3,2,1,0,3,0,0,0,0,0,0,N
2,16.7,0.3,1,1,13,0.1,24,16,4,10.4,3,0,15,0,2,2,8,4,4,Y
2,7.7,0.3,1,0,11,0.2,18,12,3,6.8,3,0,12,0,1,2,8,4,4,N
2,8.3,0.3,0.7,1,13,0.1,17,12,3,11.1,1,1,11,0,0,2,8,4,4,Y
2,22,0.1,0.1,6,24,0,144,102,19,91.1,5,1,96,0,21,19,76,38,38,Y
0,70,1,1,0,6,0.3,16,3,4,3,0,1,3,0,7,0,0,0,0,N
2,30.8,0.2,1,5,20,0,77,41,23,39.1,4,1,36,0,11,4,16,8,8,Y
2,36.7,0.3,0.8,5,19,0,76,36,25,29.6,7,1,31,0,13,3,12,6,6,N
2.1,32.8,0.2,0.5,20,26,0,143,102,19,98.4,3,1,82,0.1,20,14,54,27,26,Y
2,18.2,0.3,0.3,1,13,0.1,28,19,4,15.8,0,0,18,0,3,3,12,6,6,Y
2,42.1,0.5,0.5,4,16,0.1,29,15,8,11.8,3,1,11,0,4,1,4,2,2,N
2,15.5,0.2,0.2,2,16,0,78,51,18,35.8,1,1,49,0,7,4,16,8,8,Y
2,10.3,0.2,0.4,1,16,0.1,41,27,10,12.3,1,1,26,0,2,1,4,2,2,Y
0,0,1,1,0,6,0.2,8,4,2,4.5,1,1,4,0,0,0,0,0,0,N
2.2,34.2,0.4,0.5,11,25,0,95,63,14,49.5,9,0,52,0.3,16,12,44,22,20,Y
2.3,39,0.6,0.2,9,16,0,81,45,20,29,1,1,36,0.5,14,4,14,7,6,Y
2,35.7,0.5,1,3,12,0.1,23,12,7,9.8,2,1,9,0,2,1,4,2,2,Y
2,7.1,0.3,0.3,1,16,0.1,21,14,5,14.7,1,1,13,0,0,2,8,4,4,Y
2,52.4,0.3,0.3,21,12,0.1,49,41,5,15.5,1,1,20,0,1,3,12,6,6,Y
0,0,1,1,0,6,0.3,8,3,3,3,0,1,3,0,0,0,0,0,0,N
2,43.9,0.1,0.9,9,13,0.1,50,32,7,16,5,0,23,0,9,6,24,12,12,Y
2.6,23.7,0.1,0.3,4,18,0,46,33,6,30.5,2,0,29,0,5,8,26,13,10,Y
3.7,20,0.8,0.2,1,16,0,43,29,6,33,1,0,28,0.8,6,8,22,11,6,Y
2,10,0.5,0.5,1,15,0.1,16,10,4,15,1,0,9,0,0,1,4,2,2,Y
2.5,31.6,1,0.3,0,12,0.1,26,13,5,10.5,0,1,13,1,6,3,10,5,4,N
2,12.5,0.5,0.5,1,11,0.1,12,8,2,11,0,2,7,0,0,1,4,2,2,N
2,81.8,0.3,0.3,14,11,0.1,26,18,2,13.2,1,0,4,0,4,2,8,4,4,Y
3,16.7,0.6,0.6,0,14,0.1,17,10,3,18,1,0,10,0.5,2,6,18,9,6,N
0,50,1,1,3,9,0.2,10,6,2,6,0,0,3,0,0,0,0,0,0,Y
2,0,0.5,0.5,0,10,0.1,21,15,4,19.4,1,0,15,0,0,1,4,2,2,N
2,13.6,0.3,0.7,0,13,0.1,32,19,8,20.7,1,0,19,0,3,2,8,4,4,N
2,27.1,0.1,0.4,12,13,0,200,117,54,37,5,0,105,0,27,7,28,14,14,Y
0,40,1,1,0,4,0.5,20,6,8,2,4,0,6,0,4,0,0,0,0,N
2,25,0.5,0.5,2,9,0.1,13,8,3,9.9,0,0,6,0,0,1,4,2,2,Y
2,31.1,0.5,1,6,15,0,62,37,15,29.7,1,0,31,0,8,1,4,2,2,N
2,30.9,0.3,0.3,10,11,0,83,48,26,43.3,1,0,38,0,7,2,8,4,4,Y
2,48.4,0.3,0.3,10,8,0.1,47,26,14,16,0,0,16,0,5,2,8,4,4,Y
2,26.2,0.2,0.2,37,19,0,262,192,50,61.5,1,0,155,0,18,4,16,8,8,Y
2,13.6,0.5,0.5,0,10,0.1,32,19,8,8.1,0,0,19,0,3,1,4,2,2,Y
2,7.3,0.3,0.3,3,11,0,85,67,14,37.3,0,0,64,0,2,2,8,4,4,Y
2,43.9,0.3,0.7,24,18,0,123,79,23,38.6,1,0,55,0,19,2,8,4,4,Y
2,38.1,0.5,1,0,7,0.3,31,13,8,3.9,7,0,13,0,8,1,4,2,2,Y
0,21.7,1,1,4,7,0,33,22,8,28.6,0,0,18,0,1,0,0,0,0,Y
0,15,1,1,6,8,0.1,43,40,1,12.2,0,0,34,0,0,0,0,0,0,N
0,3.6,1,1,0,8,0.1,60,54,2,13.5,0,0,54,0,2,0,0,0,0,N
0,8,1,1,1,8,0.1,30,24,3,13.1,0,0,23,0,1,0,0,0,0,Y
0,77.8,1,1,6,6,0.2,12,8,1,5.1,0,0,2,0,1,0,0,0,0,N
0,72.2,1,1,13,8,0.1,22,18,2,10,0,0,5,0,0,0,0,0,0,N
0,40,1,1,0,6,0.3,32,9,15,3,7,0,9,0,6,0,0,0,0,N
2,31.8,0.5,0.5,0,11,0.1,40,15,16,9.5,5,0,15,0,7,1,4,2,2,N
2,18.2,0.5,0.5,0,11,0.1,19,9,6,9.6,1,0,9,0,2,1,4,2,2,N
2,0,0.3,1,0,8,0.1,24,16,6,7.7,3,0,16,0,0,2,8,4,4,N
2,31.8,0.3,0.7,1,13,0.1,37,16,13,10.7,5,0,15,0,6,2,8,4,4,N
0,0,1,1,0,6,0.2,9,5,2,4.5,0,0,5,0,0,0,0,0,0,N
2,0,0.5,1,0,8,0.2,20,13,5,5.5,4,0,13,0,0,1,4,2,2,N
2.3,12.5,0.5,0.7,0,16,0,50,35,8,22.3,5,0,35,0.4,5,5,18,9,8,N
0,0,1,1,0,9,0.1,23,14,6,9.8,3,2,14,0,0,0,0,0,0,N
2.3,11.9,0.5,0.5,0,19,0,53,37,9,23.4,5,0,37,0.4,5,5,18,9,8,N
2,44.8,0.2,0.2,9,14,0,79,41,19,28.4,1,0,32,0,17,5,20,10,10,N
0,16.5,1,1,9,10,0.1,158,105,41,16.9,0,0,96,0,10,0,0,0,0,N
0,47.6,1,1,3,7,0.2,37,14,14,4.2,10,0,11,0,7,0,0,0,0,Y
2,28.2,0.5,1,1,12,0.1,61,29,20,12.7,6,0,28,0,10,1,4,2,2,Y
2,30.2,0.2,0.5,6,15,0.1,72,43,17,17.7,1,0,37,0,10,5,20,10,10,Y
2,2,0.3,0.7,2,18,0,216,198,14,50.7,1,0,196,0,2,2,8,4,4,Y
0,30,1,1,0,7,0.2,32,14,10,5.4,5,0,14,0,6,0,0,0,0,N
2,68.8,0.5,0.5,7,12,0.1,27,12,7,10.3,0,3,5,0,4,1,4,2,2,Y
2,20,0.5,1,1,11,0.1,16,9,4,10.1,1,0,8,0,1,1,4,2,2,N
2.2,40.9,0.1,0.7,7,16,0,67,33,21,26.4,8,0,26,0,11,6,22,11,10,Y
2.2,12.5,0.2,0.2,0,15,0,35,21,9,23.3,2,0,21,0,3,6,22,11,10,N
2,31.3,0.2,0.7,2,12,0.1,57,24,17,13.8,5,7,22,0,8,5,20,10,10,N
2,18.2,0.5,1,1,8,0.1,17,10,4,8,1,0,9,0,1,1,4,2,2,Y
2,29.1,0.1,0.8,10,16,0,112,66,27,44.5,4,5,56,0,13,7,28,14,14,Y
2,46.5,0.5,1,1,10,0.1,67,24,22,17.3,5,0,23,0,19,1,4,2,2,N
2,30.4,0.2,0.2,0,13,0,40,16,11,23.7,1,5,16,0,7,4,16,8,8,N
2,29.4,0.5,1,1,11,0.1,25,13,6,9.6,1,0,12,0,4,1,4,2,2,Y
2,28.4,0.3,1,4,16,0,117,62,34,83.3,5,0,58,0,19,2,8,4,4,N
2,0,1,1,0,9,0.2,7,2,2,5.6,0,2,2,0,0,1,4,2,2,N
2,28.1,0.3,0.5,1,17,0,45,24,11,23,3,0,23,0,8,3,12,6,6,Y
2,39.4,0.5,1,8,15,0,41,28,6,38.5,4,0,20,0,5,1,4,2,2,Y
2.1,51.1,0.2,0.3,68,24,0,217,160,27,84.5,9,0,92,0.1,28,18,70,35,34,Y
2,21.2,0.2,0.7,2,17,0,38,28,3,37.2,1,0,26,0,5,5,20,10,10,N
2,72.7,0.5,1,12,12,0.2,51,21,16,6.7,14,0,9,0,12,1,4,2,2,Y
2,68.8,0.3,0.5,19,15,0.1,117,43,38,11.6,15,0,24,0,34,3,12,6,6,Y
2.7,45.2,0.8,0.7,13,18,0.1,61,36,17,21.4,3,1,23,0.8,6,5,16,8,6,Y
2,40.9,0.3,0.8,5,13,0.1,33,18,9,13.5,5,0,13,0,4,3,12,6,6,Y
2,42.6,0.2,0.3,16,20,0,65,47,9,24.2,3,1,31,0,7,5,20,10,10,Y
2.4,58.4,0.6,0.6,52,23,0,151,104,24,43.5,8,1,52,0.5,21,15,52,26,22,Y
2.3,67.8,0.6,0.3,22,21,0,76,41,15,64.9,2,1,19,0.6,18,9,32,16,14,Y
0,10,0.2,0.2,2,13,0.1,30,20,8,9.2,1,2,18,0,0,0,0,0,0,Y
2,29.8,0.1,0.7,13,14,0,119,79,23,36.5,2,0,66,0,15,10,40,20,20,Y
0,9.5,0.3,0.3,0,11,0.1,30,19,7,9.8,0,2,19,0,2,0,0,0,0,N
2.3,22.2,0.8,0.6,6,14,0.1,46,34,7,17.8,1,2,28,0.8,2,4,14,7,6,Y
2,36.7,0.2,1,9,16,0.1,67,40,16,16,10,0,31,0,9,5,20,10,10,Y
2.2,36.9,0.3,0.2,13,17,0,79,54,12,23,2,0,41,0.2,11,11,40,20,18,Y
2,45.9,0.1,0.5,14,17,0,84,47,21,22.3,3,0,33,0,14,7,28,14,14,Y
2,18.2,0.3,0.3,2,10,0.1,28,20,4,12.1,0,0,18,0,2,2,8,4,4,Y
2,36,0.2,0.4,6,20,0,66,38,14,44.6,1,0,32,0,12,4,16,8,8,Y
2.5,23.3,0.1,0.3,3,19,0,55,36,10,46.4,1,0,33,0,7,6,20,10,8,Y
0,0,1,1,0,5,0.3,10,6,2,4,0,0,6,0,0,0,0,0,0,N
2.2,26.1,0.1,0.5,7,22,0,89,58,18,46.8,5,0,51,0,11,7,26,13,12,Y
2,10.9,0.5,0.5,1,13,0,65,42,17,32.5,0,0,41,0,4,1,4,2,2,N
5,20,1,0.2,2,11,0.1,15,10,3,8.9,0,0,8,1,0,4,10,5,2,Y
