HALSTEAD_DIFFICULTY,ESSENTIAL_COMPLEXITY,MODIFIED_CONDITION_COUNT,NUM_OPERANDS,ESSENTIAL_DENSITY,NUM_UNIQUE_OPERATORS,HALSTEAD_LENGTH,CONDITION_COUNT,PARAMETER_COUNT,DECISION_COUNT,DESIGN_DENSITY,LOC_BLANK,EDGE_COUNT,BRANCH_COUNT,MULTIPLE_CONDITION_COUNT,NUMBER_OF_LINES,NUM_OPERATORS,NODE_COUNT,PERCENT_COMMENTS,CYCLOMATIC_COMPLEXITY,Defective
40.25,1,9,168,0.0,46,438,34,3,16,0.72,21,72,31,17,254,270,56,33.51,18,N
20.78,1,4,44,0.0,17,111,16,2,8,0.4,6,21,9,8,53,67,18,36.96,5,N
12.89,1,2,35,0.0,14,91,8,4,4,0.33,8,12,5,4,57,56,11,40.0,3,N
26.83,5,10,88,0.4,25,217,36,4,16,0.73,17,53,21,18,81,129,44,12.7,11,N
15.65,1,2,82,0.0,21,150,8,2,4,0.33,14,13,5,4,121,68,12,45.35,3,N
22.85,4,5,37,0.6,21,95,20,1,10,0.33,10,25,11,10,59,58,21,33.33,6,N
8.63,1,2,23,0.0,12,62,8,2,4,1.0,2,14,5,4,26,39,13,8.7,3,N
7.86,1,1,10,0.0,11,24,4,3,2,0.5,4,6,3,2,20,14,6,6.67,2,N
11.25,1,2,36,0.0,15,86,8,2,4,1.0,6,15,5,4,34,50,14,22.22,3,N
15.24,1,2,32,0.0,20,104,8,1,4,0.67,9,16,5,4,49,72,15,28.21,3,Y
11.63,1,1,26,0.0,17,72,4,1,2,1.0,2,9,3,2,30,46,9,33.33,2,N
17.63,1,1,56,0.0,17,156,4,0,2,1.0,3,30,6,2,55,100,28,29.41,4,N
22.73,7,21,163,0.19,29,488,78,3,36,0.63,22,124,58,39,228,325,94,21.95,32,N
29.58,1,16,220,0.0,32,702,64,0,32,0.9,10,95,37,32,222,482,77,29.38,20,Y
43.41,30,66,568,0.4,48,1500,238,7,106,0.56,42,303,141,119,555,932,232,48.3,73,Y
23.26,3,14,221,0.14,24,537,54,0,26,0.8,16,76,29,27,170,316,63,20.92,15,Y
3.5,1,1,6,0.0,7,20,4,0,2,0.5,0,6,3,2,14,14,6,0.0,2,N
54.33,12,24,326,0.46,36,790,90,0,42,0.36,2,117,49,45,233,464,94,41.55,25,N
21.0,1,4,21,0.0,16,63,16,1,8,0.2,4,19,9,8,25,42,16,0.0,5,N
13.45,1,5,39,0.0,20,92,14,0,4,0.33,0,18,11,7,49,53,14,44.9,6,N
18.86,9,9,97,0.89,21,318,32,0,14,0.7,8,54,19,16,69,221,46,21.67,10,N
7.71,1,2,27,0.0,12,70,8,1,4,0.67,10,18,5,4,71,43,17,55.56,3,N
23.68,1,3,117,0.0,17,247,12,7,6,1.0,15,25,7,6,78,130,23,33.87,4,N
9.29,1,1,13,0.0,10,37,4,2,2,0.5,4,6,3,2,22,24,6,17.65,2,N
9.29,1,1,13,0.0,10,37,4,2,2,0.5,4,6,3,2,22,24,6,17.65,2,N
12.04,1,2,61,0.0,15,130,8,1,4,0.33,12,18,5,4,79,69,17,59.09,3,N
23.0,1,1,46,0.0,16,105,4,2,2,1.0,3,8,3,2,55,59,8,36.36,2,N
7.64,3,2,12,1.0,14,40,6,4,2,0.67,0,7,5,3,22,28,6,23.81,3,N
33.32,1,8,113,0.0,23,292,32,4,16,0.33,10,46,17,16,138,179,39,36.78,9,N
22.11,1,4,42,0.0,20,114,16,7,8,0.4,6,24,9,8,61,72,21,59.26,5,N
13.73,4,11,84,0.27,17,201,42,7,20,0.5,2,52,23,21,174,117,42,53.8,12,Y
27.21,1,20,250,0.0,32,625,80,1,40,0.96,6,112,47,40,204,375,89,29.95,25,N
11.57,1,3,27,0.0,18,75,10,0,4,1.0,0,20,7,5,48,48,18,51.06,4,N
13.9,1,4,57,0.0,20,155,16,1,8,0.46,0,42,19,8,80,98,31,24.05,13,N
13.24,1,4,30,0.0,15,72,16,0,8,0.6,1,20,9,8,35,42,17,3.03,5,N
11.69,1,2,33,0.0,17,103,8,2,4,1.0,1,13,5,4,41,70,12,28.21,3,N
13.19,3,3,50,0.67,19,129,12,0,6,0.75,1,20,7,6,68,79,18,22.64,4,Y
9.41,1,1,20,0.0,16,62,4,2,2,1.0,1,8,3,2,24,42,8,13.64,2,N
8.91,1,1,19,0.0,15,57,4,2,2,1.0,2,8,3,2,25,38,8,13.64,2,N
14.75,3,3,59,0.67,19,153,10,3,4,0.25,2,19,7,5,79,94,17,50.0,4,N
15.69,1,1,96,0.0,17,241,4,1,2,1.0,14,19,3,2,63,145,19,14.58,2,N
14.68,1,1,57,0.0,17,151,4,0,2,1.0,5,13,3,2,42,94,13,16.67,2,N
46.92,11,14,333,0.71,31,781,56,6,28,0.4,10,74,29,28,227,448,61,31.02,15,N
9.5,1,1,19,0.0,16,60,4,2,2,1.0,0,8,3,2,26,41,8,24.0,2,N
51.6,9,16,258,0.42,38,607,60,1,28,0.5,12,104,37,30,231,349,86,40.37,20,Y
29.27,1,5,75,0.0,32,213,20,7,10,0.78,6,38,15,10,77,138,31,18.57,9,Y
13.88,1,1,91,0.0,18,210,4,0,2,1.0,1,8,3,2,50,119,8,12.5,2,N
11.47,1,1,30,0.0,13,67,4,1,2,0.5,1,7,3,2,35,37,7,57.58,2,N
11.48,1,1,27,0.0,17,81,4,1,2,1.0,1,9,3,2,36,54,9,35.29,2,N
8.31,1,2,36,0.0,12,87,8,2,4,0.33,0,11,5,4,37,51,10,25.0,3,N
19.94,1,4,29,0.0,11,67,16,2,8,0.2,1,18,9,8,38,38,15,13.89,5,N
29.01,8,9,220,0.78,24,526,34,18,16,0.8,5,61,19,17,179,306,53,26.59,10,N
12.09,1,4,76,0.0,14,211,16,8,8,1.0,3,33,9,8,63,135,30,16.95,5,Y
16.49,1,3,94,0.0,20,261,12,0,6,1.0,13,23,7,6,65,167,21,11.76,4,N
57.0,15,14,192,1.0,19,466,56,2,28,1.0,67,76,29,28,228,274,63,42.5,15,N
15.38,4,3,25,1.0,16,76,12,4,6,0.25,9,14,7,6,46,51,12,50.0,4,N
21.46,1,5,61,0.0,19,182,20,3,10,1.0,15,30,11,10,83,121,26,46.27,6,N
14.06,1,2,30,0.0,15,69,8,0,4,1.0,6,14,5,4,33,39,13,15.38,3,N
25.34,1,3,75,0.0,25,193,12,2,6,0.5,21,19,7,6,84,118,17,51.61,4,N
25.89,1,3,41,0.0,24,109,12,0,6,0.5,9,14,7,6,42,68,12,50.0,4,N
25.89,1,3,41,0.0,24,109,12,0,6,0.5,10,14,7,6,43,68,12,53.13,4,N
31.3,1,9,153,0.0,27,399,36,0,18,0.8,46,48,19,18,153,246,40,62.26,10,N
34.84,1,5,135,0.0,32,380,20,2,10,0.67,33,29,11,10,124,245,25,51.11,6,N
16.56,1,4,69,0.0,12,141,16,0,8,1.0,10,32,9,8,47,72,29,13.89,5,N
19.95,1,5,38,0.0,21,94,20,2,10,0.5,25,24,11,10,80,56,20,59.26,6,N
14.44,1,3,38,0.0,19,122,12,0,6,1.0,9,16,7,6,45,84,14,42.86,4,N
16.55,1,1,64,0.0,15,148,4,1,2,1.0,10,7,3,2,42,84,7,19.35,2,N
9.8,1,1,14,0.0,14,45,4,4,2,0.5,6,6,3,2,26,31,6,47.37,2,N
9.8,1,1,14,0.0,14,45,4,4,2,0.5,6,6,3,2,26,31,6,47.37,2,N
8.62,1,2,16,0.0,14,56,8,1,4,0.67,7,12,5,4,34,40,11,46.15,3,N
14.9,3,5,42,0.4,22,140,18,4,8,0.83,20,22,11,9,68,98,18,42.55,6,N
11.12,1,3,34,0.0,17,97,12,0,6,1.0,14,16,7,6,50,63,14,42.86,4,N
14.56,5,6,43,0.67,21,142,20,4,8,0.71,19,24,13,10,77,99,19,44.0,7,N
26.32,5,11,94,0.36,28,288,40,4,18,0.67,36,48,23,20,143,194,38,52.63,12,N
12.0,1,1,10,0.0,12,32,4,2,2,0.5,3,5,3,2,19,22,5,26.67,2,N
12.0,1,1,16,0.0,12,48,4,2,2,0.5,3,5,3,2,19,32,5,26.67,2,N
13.74,4,7,29,0.43,18,93,28,6,14,0.75,9,30,15,14,73,64,24,57.14,8,N
6.67,1,1,8,0.0,10,26,4,3,2,1.0,5,5,3,2,32,18,5,61.54,2,N
8.25,1,1,9,0.0,11,27,4,3,2,0.5,1,5,3,2,17,18,5,40.0,2,N
9.17,1,1,15,0.0,11,43,4,3,2,0.5,1,5,3,2,17,28,5,40.0,2,N
27.25,10,9,172,1.0,32,486,30,1,12,0.7,49,60,19,15,211,314,52,39.13,10,N
22.99,15,24,252,0.58,27,750,94,4,46,0.96,77,137,49,47,343,498,114,30.65,25,N
18.67,1,2,56,0.0,20,148,8,1,4,1.0,40,16,5,4,82,92,15,31.71,3,Y
19.2,1,3,97,0.0,19,267,12,0,6,1.0,31,33,7,6,105,170,31,41.1,4,N
24.18,1,1,56,0.0,19,171,4,5,2,1.0,34,11,3,2,113,115,11,53.85,2,N
9.48,1,3,32,0.0,16,87,12,5,6,0.75,14,15,7,6,52,55,13,43.24,4,N
20.38,1,3,33,0.0,21,97,12,1,6,0.5,5,15,7,6,24,64,13,11.11,4,N
11.2,1,2,16,0.0,14,41,8,1,4,1.0,4,12,5,4,26,25,11,33.33,3,N
50.27,9,18,207,0.44,34,496,66,1,30,0.47,39,77,37,33,185,289,60,39.31,19,N
18.53,1,1,57,0.0,26,151,4,3,2,0.75,18,16,6,2,61,94,14,30.95,4,N
74.77,5,20,319,0.2,45,821,78,3,38,0.71,49,104,41,39,163,502,85,46.9,21,N
47.96,3,9,140,0.22,37,350,34,2,16,0.6,31,41,19,17,121,210,33,41.57,10,N
66.0,9,17,264,0.44,50,685,66,9,32,0.42,84,82,37,33,306,421,65,54.3,19,N
48.05,1,7,217,0.0,31,565,28,0,14,0.75,17,37,15,14,81,348,31,53.97,8,N
29.45,5,5,72,0.8,27,187,18,0,8,0.67,16,28,11,9,50,115,24,33.33,6,N
24.0,1,1,48,0.0,20,133,4,1,2,1.0,5,17,8,2,45,85,13,25.64,6,N
12.0,4,3,18,1.0,16,55,8,1,2,0.5,1,11,7,4,18,37,9,6.25,4,N
9.5,1,1,19,0.0,13,51,4,2,2,0.5,7,8,3,2,31,32,8,39.13,2,N
35.45,4,4,79,0.21,35,262,14,3,6,0.2,17,40,20,7,86,183,27,7.35,15,N
7.22,1,2,10,0.0,13,40,8,2,4,0.5,3,5,3,4,16,30,5,25.0,2,N
7.22,1,2,10,0.0,13,39,8,2,4,0.5,3,5,3,4,15,29,5,18.18,2,N
13.6,1,3,24,0.0,17,68,8,1,2,0.5,6,12,7,4,26,44,10,10.53,4,N
10.62,1,3,46,0.0,12,102,12,0,6,1.0,25,32,9,6,60,56,29,20.59,5,N
7.02,1,8,100,0.0,8,214,32,0,16,1.0,13,59,17,16,78,114,52,3.13,9,N
2.33,1,1,7,0.0,4,16,4,1,2,1.0,7,7,3,2,29,9,7,42.86,2,N
16.36,1,3,30,0.0,12,73,12,2,6,0.5,2,14,7,6,27,43,12,0.0,4,N
13.2,1,2,33,0.0,12,71,8,0,4,1.0,5,16,5,4,23,38,15,23.53,3,N
53.2,1,4,266,0.0,16,538,16,1,8,0.33,22,12,5,8,71,272,11,33.33,3,N
7.27,1,1,16,0.0,10,37,4,0,2,1.0,1,9,3,2,12,21,9,0.0,2,N
24.29,1,2,60,0.0,17,137,8,0,4,1.0,9,14,5,4,34,77,13,29.17,3,N
12.0,1,1,12,0.0,10,27,4,1,2,0.5,1,5,3,2,9,15,5,0.0,2,N
14.14,1,2,18,0.0,11,41,8,1,4,0.33,1,9,5,4,11,23,8,0.0,3,N
14.67,1,2,22,0.0,12,49,8,2,4,0.33,1,9,5,4,13,27,8,0.0,3,N
12.0,1,1,12,0.0,10,27,4,1,2,0.5,1,5,3,2,9,15,5,0.0,2,N
14.14,1,2,18,0.0,11,41,8,1,4,0.33,1,9,5,4,11,23,8,0.0,3,N
14.67,1,2,22,0.0,12,49,8,2,4,0.33,1,9,5,4,13,27,8,0.0,3,N
12.0,1,1,12,0.0,10,27,4,1,2,0.5,1,5,3,2,9,15,5,0.0,2,N
14.14,1,2,18,0.0,11,41,8,1,4,0.33,1,9,5,4,11,23,8,0.0,3,N
14.67,1,2,22,0.0,12,49,8,2,4,0.33,1,9,5,4,13,27,8,0.0,3,N
24.77,5,4,107,0.8,25,279,16,1,8,0.67,40,27,11,8,151,172,23,44.19,6,N
6.19,1,1,11,0.0,9,25,4,0,2,1.0,2,6,3,2,12,14,6,22.22,2,N
6.19,1,1,11,0.0,9,25,4,0,2,1.0,2,6,3,2,12,14,6,22.22,2,N
6.19,1,1,11,0.0,9,25,4,0,2,1.0,2,6,3,2,12,14,6,22.22,2,N
6.19,1,1,11,0.0,9,25,4,0,2,1.0,2,6,3,2,12,14,6,22.22,2,N
6.19,1,1,11,0.0,9,25,4,0,2,1.0,2,6,3,2,12,14,6,22.22,2,N
6.19,1,1,11,0.0,9,25,4,0,2,1.0,2,6,3,2,12,14,6,22.22,2,N
6.19,1,1,11,0.0,9,25,4,0,2,1.0,2,6,3,2,12,14,6,22.22,2,N
14.68,3,3,19,0.67,17,52,10,0,4,0.25,8,11,7,5,23,33,9,51.61,4,N
4.38,1,1,5,0.0,7,15,4,0,2,0.5,2,6,3,2,9,10,6,47.06,2,N
4.38,1,1,5,0.0,7,14,4,0,2,0.5,4,5,3,2,11,9,5,55.56,2,N
6.19,1,1,9,0.0,11,25,4,0,2,0.5,3,5,3,2,17,16,5,38.46,2,N
4.38,1,1,5,0.0,7,14,4,0,2,0.5,4,5,3,2,11,9,5,55.56,2,N
5.5,1,1,11,0.0,9,26,4,0,2,1.0,3,6,3,2,15,15,6,18.18,2,N
13.93,1,2,30,0.0,13,66,8,0,4,0.67,13,17,5,4,50,36,16,63.89,3,N
11.65,1,8,36,0.0,11,74,32,0,16,0.89,9,34,17,16,34,38,27,0.0,9,N
22.46,1,3,37,0.0,17,97,12,0,6,0.75,16,15,7,6,57,60,13,37.5,4,N
37.2,15,19,280,0.64,38,696,74,5,36,0.74,82,117,43,37,390,416,96,37.59,23,N
16.36,1,3,54,0.0,20,130,12,6,6,0.75,22,19,7,6,95,76,17,55.56,4,N
10.29,1,1,27,0.0,16,70,4,1,2,1.0,9,10,3,2,40,43,10,40.0,2,N
13.82,3,2,19,1.0,16,46,8,0,4,0.67,12,10,5,4,34,27,9,33.33,3,N
19.35,3,3,50,0.67,24,133,10,2,4,0.75,14,16,7,5,95,83,14,46.3,4,N
41.38,13,17,150,0.71,32,372,58,2,24,0.39,38,67,35,29,218,222,51,41.9,18,N
21.71,5,11,76,0.36,24,187,40,5,18,0.58,39,49,23,20,177,111,39,47.69,12,N
17.86,1,3,47,0.0,19,104,12,0,6,1.0,19,16,7,6,84,57,14,48.78,4,N
21.94,1,7,108,0.0,26,307,28,6,14,0.88,25,46,15,14,142,199,40,38.79,8,Y
15.43,1,1,54,0.0,12,114,4,1,2,1.0,27,7,3,2,70,60,7,47.62,2,Y
7.0,1,1,7,0.0,8,21,4,0,2,1.0,1,6,3,2,12,14,6,0.0,2,N
28.98,4,8,136,0.38,26,342,30,5,14,0.78,34,44,17,15,132,206,37,31.96,9,N
12.55,5,4,31,1.0,17,84,12,2,4,0.6,9,13,9,6,49,53,10,43.59,5,Y
22.14,1,6,126,0.0,26,349,24,9,12,1.0,32,38,13,12,138,223,33,39.8,7,Y
9.75,1,2,27,0.0,13,74,8,0,4,1.0,13,10,5,4,49,47,9,45.71,3,N
10.58,1,1,25,0.0,11,57,4,2,2,0.5,3,8,3,2,23,32,8,0.0,2,N
5.4,1,1,6,0.0,9,23,4,1,2,0.5,6,6,3,2,24,17,6,41.18,2,N
9.63,1,1,14,0.0,11,42,4,2,2,0.5,3,6,3,2,19,28,6,0.0,2,N
47.6,9,6,154,0.35,34,402,16,3,4,0.79,30,55,32,8,186,248,33,42.58,24,Y
10.56,1,1,13,0.0,13,39,4,3,2,1.0,6,8,3,2,36,26,8,65.51,2,N
18.57,1,3,43,0.0,19,121,12,1,6,1.0,13,16,7,6,73,78,14,45.76,4,Y
36.74,11,10,124,1.0,32,354,34,1,14,0.82,31,46,21,17,141,230,37,32.11,11,Y
18.91,1,5,52,0.0,24,152,20,3,10,1.0,12,30,11,10,74,100,26,27.87,6,N
6.87,1,1,20,0.0,11,62,4,2,2,0.5,0,6,3,2,16,42,6,0.0,2,N
64.92,9,17,193,0.47,37,516,62,1,28,0.56,51,75,35,31,241,323,59,43.39,18,Y
2.5,1,1,6,0.0,5,15,4,2,2,1.0,2,6,3,2,17,9,6,14.29,2,N
2.78,1,2,10,0.0,5,25,8,2,4,1.0,4,10,5,4,26,15,9,19.05,3,N
10.13,3,3,9,0.67,9,29,12,2,6,0.25,0,14,7,6,18,20,12,0.0,4,N
30.8,4,5,22,0.6,14,54,16,2,6,0.17,3,18,11,8,19,32,14,0.0,6,N
9.0,1,1,10,0.0,9,28,4,2,2,0.5,3,5,3,2,18,18,5,0.0,2,N
8.0,1,1,6,0.0,8,16,4,1,2,0.5,2,5,3,2,13,10,5,0.0,2,N
26.6,7,12,133,0.5,22,343,42,1,18,0.69,25,59,25,23,117,210,48,23.08,13,N
