CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,EDGE_COUNT,MAINTENANCE_SEVERITY,HALSTEAD_EFFORT,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,PARAMETER_COUNT,HALSTEAD_CONTENT,NODE_COUNT,NUM_UNIQUE_OPERATORS,HALSTEAD_VOLUME,CALL_PAIRS,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_UNIQUE_OPERANDS,LOC_EXECUTABLE,NUM_OPERATORS,HALSTEAD_DIFFICULTY,CYCLOMATIC_DENSITY,Defective
5,4,23,0.2,16658.75,0.04,925.49,1,32.18,20,13,732.25,3,0.07,49,14,40,105,22.75,0.11,Y
12,10,61,0.33,42701.09,0.04,2372.28,0,71.39,51,18,1746.0,15,0.09,125,46,74,166,24.46,0.14,Y
3,3,12,0.33,5408.68,0.06,300.48,1,17.66,11,15,309.07,2,0.11,28,12,16,37,17.5,0.18,Y
1,1,2,1.0,3780.76,0.08,210.04,0,21.37,3,14,284.27,1,0.03,19,10,6,43,13.3,0.07,Y
2,1,8,0.5,1938.6,0.1,107.7,5,18.7,8,14,190.4,2,0.1,16,11,8,25,10.18,0.18,N
1,1,3,1.0,317.31,0.24,17.63,2,19.03,4,7,77.71,2,0.08,7,6,4,14,4.08,0.25,N
3,1,10,0.33,1304.74,0.13,72.49,0,20.67,9,11,164.23,1,0.13,13,9,2,25,7.94,0.25,Y
5,4,30,0.2,20251.07,0.05,1125.06,2,46.59,27,16,971.34,9,0.07,86,33,41,87,20.85,0.12,N
4,3,20,0.25,24819.33,0.03,1378.85,0,18.2,18,22,672.09,4,0.07,47,14,23,83,36.93,0.15,Y
7,2,24,0.71,11910.2,0.04,661.68,0,22.98,19,18,523.19,1,0.15,43,17,29,59,22.76,0.19,Y
5,5,16,0.2,13507.21,0.04,750.4,1,26.68,13,18,600.32,1,0.1,40,16,25,78,22.5,0.2,N
4,4,16,0.25,21778.37,0.04,1209.91,1,31.97,14,18,834.42,2,0.06,58,20,33,101,26.1,0.12,N
1,1,1,1.0,375.06,0.25,20.84,1,23.44,2,8,93.77,0,0.09,7,7,4,17,4.0,0.25,N
4,4,16,0.25,21778.37,0.04,1209.91,1,31.97,14,18,834.42,2,0.06,58,20,33,101,26.1,0.12,N
1,1,2,1.0,681.48,0.16,37.86,1,17.25,3,11,108.42,1,0.09,8,7,4,18,6.29,0.25,N
5,5,16,0.2,16988.95,0.04,943.83,1,25.36,13,20,656.39,1,0.09,44,17,30,82,25.88,0.17,N
3,3,12,0.33,4246.27,0.07,235.9,2,22.3,11,12,307.7,1,0.08,23,10,22,46,13.8,0.13,Y
4,1,14,0.25,4333.9,0.07,240.77,2,21.19,12,11,303.07,0,0.08,26,10,21,43,14.3,0.17,N
3,2,10,0.33,2148.39,0.09,119.36,1,16.6,9,13,188.87,1,0.1,14,8,15,29,11.38,0.19,Y
2,2,8,0.5,1971.45,0.11,109.53,4,22.93,8,12,212.61,3,0.06,17,11,17,30,9.27,0.12,N
2,1,7,0.5,1328.8,0.11,73.82,1,16.64,7,11,148.68,1,0.13,13,8,9,22,8.94,0.2,Y
1,1,2,1.0,1337.14,0.12,74.29,1,19.15,3,9,160.0,1,0.06,13,7,10,27,8.36,0.1,N
3,1,9,1.0,5130.52,0.08,285.03,1,30.36,8,13,394.66,1,0.09,28,14,22,55,13.0,0.14,N
2,1,7,0.5,2720.25,0.1,151.13,1,27.2,7,11,272.03,1,0.07,20,11,18,41,10.0,0.11,N
2,1,6,0.5,2995.56,0.09,166.42,1,24.76,6,11,272.32,1,0.08,20,10,16,42,11.0,0.13,N
4,2,15,0.25,19076.12,0.04,1059.78,1,35.88,13,16,827.28,1,0.08,49,17,37,115,23.06,0.09,Y
1,1,2,1.0,817.52,0.15,45.42,1,17.94,3,9,121.11,1,0.09,9,6,7,22,6.75,0.14,N
1,1,2,1.0,2126.66,0.1,118.15,1,21.27,3,10,212.67,1,0.06,16,8,11,35,10.0,0.09,N
1,1,7,1.0,451.11,0.26,25.06,0,29.83,8,7,116.0,6,0.03,10,9,7,19,3.89,0.13,Y
4,1,20,0.25,15713.29,0.06,872.96,0,51.31,18,11,897.9,1,0.07,70,22,31,108,17.5,0.13,Y
3,2,10,0.33,3568.26,0.05,198.24,0,8.09,9,14,169.92,1,0.13,15,5,8,25,21.0,0.27,Y
11,9,33,0.09,42678.84,0.03,2371.05,0,34.84,24,35,1219.4,8,0.11,76,38,53,121,35.0,0.17,Y
5,4,19,0.2,15095.42,0.03,838.63,0,15.65,16,13,486.08,2,0.12,43,9,20,66,31.06,0.15,Y
1,1,2,1.0,271.98,0.24,15.11,1,16.3,3,7,66.61,1,0.08,7,6,5,11,4.08,0.17,Y
4,4,15,0.25,6639.14,0.07,368.84,1,29.51,13,17,442.61,4,0.08,30,17,29,57,15.0,0.13,Y
1,1,1,1.0,0.0,0.0,0.0,0,0.0,2,3,4.75,0,0.2,0,0,2,3,0.0,0.5,N
8,5,31,1.0,42352.03,0.03,2352.89,1,41.36,25,16,1323.5,1,0.08,80,20,60,176,32.0,0.12,Y
1,1,3,1.0,5127.24,0.08,284.85,1,28.84,4,8,384.54,1,0.04,20,6,18,81,13.33,0.06,N
1,1,3,1.0,1811.74,0.1,100.65,1,19.66,4,8,188.72,1,0.05,12,5,10,39,9.6,0.1,N
1,1,2,1.0,435.17,0.18,24.18,1,13.88,3,8,77.71,1,0.08,7,5,5,14,5.6,0.17,Y
1,1,1,1.0,12.0,0.67,0.67,1,5.33,2,3,8.0,0,0.2,1,1,2,3,1.5,0.5,N
5,5,21,0.2,12581.62,0.06,698.98,0,43.45,18,21,739.35,6,0.07,47,29,29,84,17.02,0.13,Y
3,3,13,0.33,6999.51,0.07,388.86,1,30.43,12,13,461.51,3,0.08,35,15,20,61,15.17,0.14,Y
2,2,8,0.5,4403.53,0.08,244.64,0,26.74,8,14,343.13,2,0.07,22,12,16,51,12.83,0.11,Y
7,5,24,0.57,61416.25,0.03,3412.01,0,66.27,19,22,2017.49,3,0.08,119,43,31,216,30.44,0.13,Y
3,3,13,0.33,14986.93,0.05,832.61,1,32.42,12,14,697.07,1,0.06,43,14,31,102,21.5,0.09,N
2,1,7,0.5,1390.58,0.1,77.25,1,14.63,7,12,142.62,1,0.13,13,8,10,20,9.75,0.2,N
8,1,33,0.13,40642.28,0.03,2257.9,1,28.48,27,20,1075.83,1,0.11,68,18,41,137,37.78,0.14,Y
1,1,2,1.0,1534.53,0.13,85.25,1,23.98,3,9,191.82,1,0.05,16,9,12,30,8.0,0.08,N
8,3,36,0.13,29575.64,0.03,1643.09,1,34.3,30,19,1007.22,2,0.12,68,22,27,120,29.36,0.16,Y
6,1,25,0.17,20519.43,0.04,1139.97,1,28.15,21,18,759.98,1,0.11,54,18,35,93,27.0,0.15,Y
9,6,36,0.11,13404.4,0.06,744.69,0,53.47,29,15,846.59,10,0.12,57,27,33,100,15.83,0.19,Y
2,2,7,0.5,1651.29,0.09,91.74,0,13.65,7,11,150.12,1,0.12,14,7,8,22,11.0,0.2,N
4,1,13,0.25,3312.04,0.07,184.0,0,18.32,11,11,246.35,0,0.13,22,9,17,35,13.44,0.17,Y
4,2,15,0.25,7986.92,0.04,443.72,0,12.12,13,14,311.18,2,0.12,22,6,23,50,25.67,0.15,Y
4,1,9,0.25,734.17,0.16,40.79,0,17.92,7,8,114.71,0,0.4,8,5,5,23,6.4,0.8,N
3,1,9,0.33,1708.56,0.09,94.92,5,14.12,8,11,155.32,0,0.14,12,6,11,26,11.0,0.25,Y
3,2,11,0.33,2599.73,0.07,144.43,0,12.24,10,12,178.41,1,0.12,17,7,14,25,14.57,0.2,Y
12,6,67,0.5,110843.58,0.03,6157.98,2,117.86,57,23,3614.46,10,0.11,232,87,50,301,30.67,0.21,Y
9,6,48,0.11,65929.86,0.04,3662.77,1,86.67,41,20,2390.44,6,0.11,171,62,47,205,27.58,0.16,N
5,5,22,0.2,6670.63,0.08,370.59,0,41.03,19,15,523.19,8,0.09,34,20,22,68,12.75,0.18,Y
4,2,16,0.25,10132.78,0.04,562.93,1,18.61,14,14,434.26,2,0.13,30,9,22,66,23.33,0.18,N
6,3,22,1.0,44060.1,0.03,2447.78,1,28.62,18,21,1122.93,1,0.1,71,19,33,140,39.24,0.15,N
1,1,1,1.0,1401719.45,0.01,77873.3,0,257.7,2,11,19006.37,0,0.0,1180,88,133,1687,73.75,0.01,Y
3,1,10,0.33,1884.3,0.08,104.68,3,11.15,9,14,144.95,0,0.15,13,7,6,20,13.0,0.38,Y
5,3,21,0.2,7990.71,0.06,443.93,0,28.01,18,16,473.13,3,0.12,38,18,25,55,16.89,0.19,Y
1,1,1,1.0,0.0,0.0,0.0,0,0.0,2,2,2.0,0,1.0,0,0,0,2,0.0,1.0,N
2,1,6,0.5,2424.6,0.1,134.7,1,22.46,6,11,233.38,1,0.1,17,9,11,37,10.39,0.17,Y
1,1,3,1.0,355.24,0.21,19.74,0,15.42,4,8,74.01,2,0.1,6,5,6,14,4.8,0.17,N
4,2,11,1.0,4304.47,0.07,239.14,1,21.96,9,12,307.46,2,0.16,21,9,2,49,14.0,0.21,Y
15,9,61,0.67,83227.41,0.02,4623.75,1,32.25,48,23,1638.6,3,0.15,106,24,51,189,50.79,0.19,Y
5,3,26,0.2,24973.53,0.04,1387.42,0,34.26,23,18,924.95,5,0.07,63,21,30,112,27.0,0.11,Y
1,1,2,1.0,1470.86,0.12,81.71,1,21.06,3,9,176.0,1,0.06,13,7,10,31,8.36,0.1,N
1,1,2,1.0,1689.91,0.12,93.88,1,23.74,3,9,200.29,1,0.06,15,8,11,34,8.44,0.09,N
2,2,8,0.5,1884.3,0.12,104.68,1,27.68,8,11,228.4,4,0.13,15,10,11,37,8.25,0.17,Y
1,1,1,1.0,81.0,0.33,4.5,1,9.0,2,6,27.0,0,0.13,2,2,2,7,3.0,0.33,Y
2,1,7,0.5,3231.69,0.08,179.54,1,20.68,7,9,258.54,0,0.06,25,9,15,37,12.5,0.13,Y
7,4,25,1.0,9335.36,0.04,518.63,1,18.44,20,12,414.91,1,0.21,30,8,18,66,22.5,0.26,Y
7,6,31,0.14,5988.69,0.1,332.71,0,60.82,26,12,603.51,9,0.12,43,26,28,72,9.92,0.19,Y
1,1,2,1.0,1297.09,0.13,72.06,5,22.72,3,8,171.67,1,0.06,17,9,7,25,7.56,0.14,N
1,1,196,1.0,306039.54,0.09,17002.2,0,2246.32,197,10,26219.5,1,0.0,1403,601,155,1430,11.67,0.0,Y
15,13,45,0.07,166891.74,0.01,9271.76,1,31.75,32,29,2301.96,4,0.18,125,25,42,275,72.5,0.25,N
1,1,1,1.0,2247.77,0.09,124.88,1,18.58,2,6,204.34,0,0.07,22,6,8,35,11.0,0.13,N
1,1,1,1.0,2247.77,0.09,124.88,1,18.58,2,6,204.34,0,0.07,22,6,8,35,11.0,0.13,N
1,1,3,1.0,255.97,0.24,14.22,1,14.51,4,7,60.94,2,0.08,6,5,5,11,4.2,0.17,N
1,1,2,1.0,1027.99,0.13,57.11,1,18.28,3,7,137.06,1,0.07,15,7,7,21,7.5,0.14,N
4,3,17,0.75,16602.83,0.06,922.38,1,52.95,15,17,937.57,4,0.08,50,24,29,125,17.71,0.12,N
1,1,2,1.0,134.92,0.33,7.5,0,14.99,3,6,44.97,1,0.08,5,5,4,8,3.0,0.25,N
1,1,2,1.0,287.09,0.24,15.95,0,17.22,3,7,70.31,1,0.11,7,6,5,12,4.08,0.2,N
1,1,2,1.0,188.21,0.29,10.46,0,15.36,3,7,53.77,1,0.09,5,5,3,10,3.5,0.25,Y
1,1,2,1.0,67.5,0.4,3.75,0,10.8,3,5,27.0,1,0.13,3,3,3,6,2.5,0.33,N
1,1,1,1.0,56.15,0.4,3.12,0,8.98,2,5,22.46,0,0.14,2,2,3,6,2.5,0.33,N
1,1,2,1.0,67.5,0.4,3.75,0,10.8,3,5,27.0,1,0.13,3,3,3,6,2.5,0.33,N
1,1,1,1.0,0.0,0.0,0.0,0,0.0,2,3,4.75,0,0.2,0,0,2,3,0.0,0.5,N
1,1,1,1.0,36.19,0.5,2.0,0,9.05,2,4,18.09,0,0.17,2,2,3,5,2.0,0.33,N
1,1,1,1.0,56.15,0.4,3.12,0,8.98,2,5,22.46,0,0.14,2,2,3,6,2.5,0.33,N
1,1,1,1.0,56.15,0.4,3.12,0,8.98,2,5,22.46,0,0.14,2,2,3,6,2.5,0.33,N
3,1,12,0.33,5249.74,0.07,291.65,1,28.96,11,13,389.9,1,0.08,29,14,28,53,13.46,0.11,N
3,1,11,0.33,7999.44,0.06,444.41,1,31.25,10,14,499.96,1,0.08,32,14,27,72,16.0,0.1,Y
1,1,2,1.0,1370.57,0.12,76.14,1,19.62,3,9,164.0,1,0.06,13,7,10,28,8.36,0.1,N
1,1,2,1.0,1571.14,0.12,87.29,1,22.5,3,9,188.0,1,0.06,13,7,10,34,8.36,0.1,N
2,1,7,0.5,11878.01,0.05,659.89,1,32.9,7,13,625.16,1,0.04,38,13,27,95,19.0,0.07,N
2,1,7,0.5,11967.32,0.05,664.85,1,33.15,7,13,629.86,1,0.05,38,13,26,96,19.0,0.08,N
9,2,33,0.11,10770.44,0.05,598.36,0,27.0,26,23,539.23,6,0.18,33,19,12,67,19.97,0.35,Y
8,2,22,0.13,8874.62,0.05,493.03,1,26.2,16,19,482.15,1,0.2,31,16,18,63,18.41,0.36,Y
13,3,45,0.69,62590.96,0.02,3477.28,0,36.37,34,23,1508.87,3,0.11,101,28,39,165,41.48,0.22,Y
3,1,12,0.33,22353.19,0.04,1241.84,2,30.51,11,14,825.86,1,0.04,58,15,32,112,27.07,0.08,N
11,3,42,0.09,122506.36,0.01,6805.91,0,15.89,33,21,1395.0,1,0.07,92,11,51,187,87.82,0.16,Y
9,2,36,0.44,53395.15,0.03,2966.4,0,36.36,29,24,1393.31,1,0.12,99,31,54,142,38.32,0.15,Y
2,2,6,0.5,1062.83,0.14,59.05,0,20.38,6,13,147.16,1,0.14,10,9,8,23,7.22,0.25,N
4,2,9,1.0,1545.09,0.11,85.84,0,18.39,7,11,168.56,1,0.27,15,9,7,24,9.17,0.4,Y
6,2,19,0.17,4312.2,0.08,239.57,1,25.52,15,14,331.71,1,0.15,26,14,6,43,13.0,0.26,Y
2,1,6,0.5,1440.99,0.14,80.05,1,28.24,6,10,201.74,1,0.11,20,14,11,24,7.14,0.15,N
2,2,5,0.5,334.04,0.22,18.56,0,16.5,5,9,74.23,1,0.2,6,6,5,13,4.5,0.33,Y
2,2,5,0.5,357.2,0.22,19.84,0,17.09,5,8,78.14,1,0.15,8,7,7,12,4.57,0.25,Y
2,2,5,0.5,682.86,0.16,37.94,1,17.84,5,9,110.36,1,0.15,11,8,7,16,6.19,0.25,Y
3,3,9,1.0,1434.82,0.11,79.71,1,16.47,8,12,153.73,2,0.21,14,9,9,21,9.33,0.33,N
3,2,8,1.0,1204.38,0.14,66.91,0,22.4,7,11,164.23,1,0.2,12,9,7,26,7.33,0.33,Y
4,3,15,0.25,2418.38,0.1,134.35,0,21.94,13,13,230.32,2,0.17,21,13,15,28,10.5,0.27,N
2,2,6,0.5,339.34,0.22,18.85,1,16.23,6,8,74.23,1,0.14,8,7,8,11,4.57,0.25,N
1,1,2,1.0,44.92,0.5,2.5,0,11.23,3,4,22.46,1,0.11,3,3,4,5,2.0,0.25,N
3,2,8,0.33,454.16,0.23,25.23,0,22.99,7,8,102.19,1,0.19,10,9,10,15,4.44,0.27,Y
2,2,5,0.5,357.2,0.22,19.84,0,17.09,5,8,78.14,1,0.15,8,7,8,12,4.57,0.25,N
3,3,10,0.33,2250.48,0.1,125.03,0,23.96,9,12,232.19,2,0.15,21,13,14,29,9.69,0.21,N
3,2,9,0.33,521.24,0.2,28.96,1,20.85,8,9,104.25,1,0.19,10,9,7,15,5.0,0.27,Y
3,3,10,0.33,2250.48,0.1,125.03,0,23.96,9,12,232.19,2,0.15,21,13,14,29,9.69,0.21,N
2,1,6,0.5,1492.78,0.12,82.93,1,21.93,6,11,180.94,1,0.11,18,12,11,22,8.25,0.17,N
2,2,6,0.5,725.57,0.17,40.31,1,20.15,6,9,120.93,2,0.15,12,9,8,17,6.0,0.25,N
2,2,7,0.5,597.79,0.18,33.21,0,18.89,7,9,106.27,2,0.15,10,8,8,16,5.63,0.25,N
2,1,6,0.5,1635.44,0.13,90.86,0,27.64,6,10,212.61,1,0.1,20,13,15,27,7.69,0.13,N
2,2,5,0.5,339.34,0.22,18.85,1,16.23,5,8,74.23,1,0.15,8,7,8,11,4.57,0.25,N
5,2,11,1.0,1938.86,0.1,107.71,1,18.96,8,13,191.76,1,0.31,14,9,11,29,10.11,0.45,N
2,1,6,0.5,1094.35,0.15,60.8,2,25.6,6,10,167.37,1,0.11,17,13,11,20,6.54,0.17,N
1,1,2,1.0,36.19,0.5,2.0,0,9.05,3,4,18.09,1,0.13,2,2,3,5,2.0,0.33,N
3,3,12,0.33,2599.82,0.1,144.43,0,24.04,11,13,249.98,3,0.13,24,15,15,28,10.4,0.19,Y
3,3,12,0.33,1210.43,0.15,67.25,0,26.42,11,11,178.81,3,0.17,16,13,12,23,6.77,0.25,N
3,2,9,0.33,1949.43,0.09,108.3,1,15.97,8,13,176.42,1,0.18,17,10,11,22,11.05,0.25,Y
20,2,93,0.05,243939.5,0.01,13552.19,1,29.39,75,24,2677.38,5,0.14,205,27,96,267,91.11,0.2,Y
1,1,1,1.0,99.0,0.33,5.5,1,11.0,2,6,33.0,0,0.06,2,2,3,9,3.0,0.33,N
5,5,24,0.2,47217.09,0.03,2623.17,1,30.9,21,20,1207.88,4,0.06,86,22,36,138,39.09,0.12,Y
4,3,23,0.25,28803.52,0.03,1600.2,1,32.79,21,19,971.78,7,0.05,78,25,31,100,29.64,0.11,N
15,7,62,0.2,232360.35,0.01,12908.91,1,23.98,49,26,2360.7,3,0.1,159,21,82,266,98.43,0.15,Y
4,1,14,0.25,2728.99,0.06,151.61,0,10.95,12,13,172.88,0,0.14,17,7,18,23,15.79,0.21,Y
2,1,8,0.5,4154.21,0.09,230.79,1,30.01,8,16,353.11,3,0.07,25,17,11,45,11.76,0.13,N
5,1,18,0.2,39329.66,0.03,2184.98,1,30.75,15,16,1099.68,1,0.06,76,17,49,142,35.76,0.1,Y
5,2,15,0.2,4193.22,0.08,232.96,1,27.87,12,16,341.84,1,0.12,23,15,26,46,12.27,0.19,Y
1,1,2,1.0,313.92,0.22,17.44,1,15.5,3,6,69.76,1,0.13,6,4,4,15,4.5,0.25,N
13,6,54,0.38,67672.14,0.02,3759.56,0,27.67,43,25,1368.32,9,0.14,91,23,52,154,49.46,0.21,Y
5,1,18,0.6,30595.0,0.03,1699.72,1,36.38,15,16,1055.0,1,0.06,58,16,36,153,29.0,0.11,Y
2,2,8,0.5,1820.94,0.1,101.16,1,18.89,8,12,185.47,2,0.09,18,11,9,23,9.82,0.17,Y
3,1,10,0.33,4089.46,0.07,227.19,1,19.01,9,16,278.83,1,0.14,22,12,13,36,14.67,0.21,Y
4,1,15,0.25,10260.06,0.06,570.0,1,42.54,13,12,660.69,1,0.08,44,17,20,92,15.53,0.1,Y
1,1,1,1.0,81.0,0.33,4.5,1,9.0,2,6,27.0,0,0.13,2,2,3,7,3.0,0.33,N
7,6,30,0.14,8555.65,0.06,475.31,0,33.28,25,13,533.62,5,0.14,37,15,23,74,16.03,0.22,Y
9,3,29,0.11,18713.14,0.03,1039.61,0,20.17,22,18,614.32,2,0.2,44,13,29,80,30.46,0.27,Y
9,2,25,0.78,14676.46,0.03,815.36,0,13.48,18,16,444.74,1,0.21,33,8,28,64,33.0,0.31,Y
2,1,6,0.5,3411.47,0.07,189.53,0,15.16,6,15,227.43,1,0.13,14,7,9,37,15.0,0.2,Y
4,1,10,1.0,1588.31,0.1,88.24,1,14.41,8,12,151.27,0,0.15,14,8,13,21,10.5,0.31,N
2,1,6,0.5,1100.0,0.09,61.11,2,9.09,6,11,100.0,0,0.17,10,5,7,15,11.0,0.25,N
3,1,11,0.33,2112.0,0.08,117.33,0,12.12,10,11,160.0,1,0.12,12,5,4,28,13.2,0.17,Y
5,3,15,0.6,3953.09,0.06,219.62,0,12.2,12,14,219.62,1,0.29,18,7,10,32,18.0,0.5,N
1,1,1,1.0,632.92,0.17,35.16,0,17.58,2,9,105.49,0,0.1,8,6,3,19,6.0,0.17,Y
2,1,9,0.5,5897.84,0.05,327.66,0,15.71,9,10,304.4,1,0.1,31,8,15,42,19.38,0.13,N
3,2,13,0.33,7775.68,0.05,431.98,0,18.18,12,13,375.97,1,0.09,35,11,19,47,20.68,0.16,N
8,3,54,0.13,147695.29,0.03,8205.29,0,108.11,48,13,3996.0,5,0.04,290,51,105,376,36.96,0.07,Y
1,1,5,1.0,90.0,0.5,5.0,0,22.5,6,4,45.0,4,0.05,4,4,6,11,2.0,0.17,N
2,1,6,0.5,1017.71,0.1,56.54,0,10.38,6,9,102.8,0,0.15,11,5,6,16,9.9,0.25,Y
2,2,7,0.5,31674.07,0.03,1759.67,0,36.01,7,15,1067.94,1,0.03,87,22,31,118,29.66,0.05,N
3,1,17,0.33,56334.14,0.02,3129.67,0,30.09,16,11,1302.02,1,0.04,118,15,38,159,43.27,0.06,Y
3,1,13,0.33,8854.91,0.06,491.94,0,34.59,12,8,553.43,0,0.06,52,13,16,74,16.0,0.12,Y
5,1,27,0.2,501990.12,0.02,27888.34,0,132.94,24,19,8169.17,1,0.02,511,79,155,724,61.45,0.03,Y
2,1,7,0.5,3883.41,0.12,215.74,0,59.53,7,10,480.8,0,0.06,42,26,19,51,8.08,0.11,Y
3,1,10,0.33,62299.43,0.03,3461.08,0,44.68,9,11,1668.34,0,0.04,129,19,64,211,37.34,0.04,Y
3,2,11,0.33,111439.21,0.03,6191.07,0,74.79,10,18,2887.03,1,0.02,193,45,55,290,38.6,0.04,Y
2,2,11,0.5,519.3,0.26,28.85,0,35.04,11,7,134.89,7,0.06,11,10,13,22,3.85,0.15,Y
1,1,1,1.0,14596.38,0.03,810.91,0,17.87,2,7,510.66,0,0.03,49,6,18,89,28.58,0.05,Y
1,1,1,1.0,19761.56,0.08,1097.86,0,132.54,2,8,1618.4,0,0.02,116,38,34,177,12.21,0.03,N
1,1,1,1.0,39084.89,0.07,2171.38,0,215.91,2,8,2904.96,0,0.02,185,55,54,301,13.45,0.02,N
1,1,1,1.0,8997.69,0.08,499.87,0,52.34,2,8,686.26,0,0.03,59,18,23,87,13.11,0.04,Y
1,1,1,1.0,685.11,0.19,38.06,0,25.9,2,6,133.22,0,0.08,12,7,2,24,5.14,0.13,N
1,1,1,1.0,6105.34,0.1,339.19,0,61.05,2,8,610.53,0,0.05,50,20,5,77,10.0,0.06,N
