BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,Defective
3,3,7,0,4,2,0.22,2,2.0,2,1.0,7,1,0,2,4,15.5,8.57,1138.58,0.04,N
5,4,18,1,8,3,0.14,4,2.0,2,0.67,14,1,0,3,5,22.46,14.39,4653.68,0.11,N
5,3,18,1,8,3,0.14,4,2.0,2,0.67,13,1,0,3,4,19.43,16.14,5069.44,0.1,N
5,1,14,1,8,3,0.18,4,2.0,2,0.67,11,1,0,3,5,15.13,14.95,3381.36,0.08,N
5,0,14,1,8,3,0.18,4,2.0,1,0.33,10,1,0,3,4,14.37,14.67,3092.19,0.07,N
5,1,8,0,8,3,0.3,4,2.0,2,0.67,10,3,1,2,5,15.41,11.9,2182.44,0.06,N
5,1,7,0,8,3,0.33,4,2.0,2,0.67,10,3,1,2,4,13.81,12.44,2139.14,0.06,N
11,0,13,0,20,6,0.43,10,2.0,1,0.17,20,1,0,1,3,8.78,13.33,1560.0,0.04,N
11,1,13,0,20,6,0.43,10,2.0,4,0.67,25,1,0,1,4,10.33,15.75,2563.7,0.05,N
9,10,35,0,14,5,0.12,6,2.33,4,0.8,30,3,0,6,8,43.37,24.25,25506.03,0.35,N
9,10,35,0,14,5,0.12,6,2.33,4,0.8,30,3,0,6,9,45.29,24.8,27844.43,0.37,N
13,1,16,0,24,7,0.35,12,2.0,5,0.71,25,7,1,4,5,11.55,35.0,14143.26,0.13,N
13,2,16,0,24,7,0.35,12,2.0,7,1.0,26,7,1,4,6,14.12,29.25,12076.68,0.14,N
3,2,8,2,4,2,0.2,2,2.0,2,1.0,8,1,0,2,4,14.37,18.94,5158.22,0.09,N
3,2,8,2,4,2,0.2,2,2.0,2,1.0,8,1,0,2,5,16.21,18.15,5341.28,0.1,N
3,2,10,2,4,2,0.17,2,2.0,2,1.0,8,1,0,2,5,18.5,11.25,2341.67,0.07,N
3,2,10,2,4,2,0.17,2,2.0,2,1.0,8,1,0,2,6,20.75,11.45,2722.81,0.08,N
11,8,29,0,18,6,0.18,8,2.25,4,0.67,31,3,0,4,5,28.97,28.95,24283.0,0.28,N
11,9,29,0,18,6,0.18,8,2.25,5,0.83,32,3,0,4,6,32.25,27.61,24598.68,0.3,N
5,3,10,0,8,3,0.25,4,2.0,2,0.67,12,1,0,2,4,16.72,15.27,3900.84,0.09,N
5,3,10,0,8,3,0.25,4,2.0,2,0.67,12,1,0,2,5,18.2,15.75,4515.95,0.1,N
5,4,5,0,8,3,0.5,4,2.0,2,0.67,13,1,0,1,4,19.31,8.89,1525.99,0.06,N
5,5,5,0,8,3,0.5,4,2.0,3,1.0,14,1,0,1,5,21.72,9.6,2001.56,0.07,N
11,4,14,0,18,6,0.38,8,2.25,4,0.67,22,4,0,2,7,18.65,20.42,7773.35,0.13,N
11,3,14,0,18,6,0.38,8,2.25,3,0.5,21,4,0,2,6,16.23,21.14,7252.56,0.11,N
5,0,7,0,6,3,0.33,2,3.0,1,0.33,8,3,1,2,4,12.51,18.0,4052.52,0.08,N
5,1,7,0,6,3,0.33,2,3.0,2,0.67,9,3,1,2,5,13.51,17.87,4318.2,0.08,N
5,3,13,0,8,3,0.18,4,2.0,3,1.0,11,1,0,4,3,15.13,20.3,6236.01,0.1,N
5,3,13,0,8,3,0.18,4,2.0,3,1.0,11,1,0,4,4,16.59,21.0,7314.07,0.12,N
5,2,3,0,8,3,0.75,4,2.0,2,0.67,12,1,0,1,3,10.57,12.86,1747.72,0.05,N
7,1,5,0,10,4,0.67,4,2.5,2,0.5,11,4,1,1,2,7.46,11.0,902.49,0.03,N
3,1,1,0,4,2,1.0,2,2.0,2,1.0,6,1,0,1,2,6.75,6.67,299.82,0.01,N
7,1,9,0,12,4,0.33,6,2.0,2,0.5,17,3,0,3,4,9.49,14.0,1859.68,0.04,N
3,3,4,0,4,2,0.4,2,2.0,2,1.0,8,1,0,1,4,14.13,8.57,1038.11,0.04,N
7,4,16,0,10,4,0.2,4,2.5,3,0.75,16,3,0,4,7,23.28,16.67,6466.18,0.13,N
5,0,12,0,8,3,0.21,4,2.0,1,0.33,10,1,0,2,5,11.04,18.86,3925.09,0.07,N
11,3,19,3,20,6,0.27,10,2.0,2,0.33,25,5,0,3,7,17.87,23.79,10108.93,0.14,N
11,2,19,3,20,6,0.27,10,2.0,1,0.17,24,5,0,3,6,17.09,23.54,9471.05,0.13,N
13,2,20,4,22,7,0.3,10,2.2,1,0.14,23,7,1,3,5,15.01,26.31,10391.54,0.13,N
13,3,20,4,22,7,0.3,10,2.2,2,0.29,24,7,1,3,6,15.78,26.43,11025.26,0.14,N
3,5,10,0,4,2,0.18,2,2.0,2,1.0,9,1,0,1,5,29.37,8.65,2199.7,0.08,N
15,7,38,0,26,8,0.18,12,2.17,4,0.5,37,4,0,7,8,28.74,34.11,33446.1,0.33,N
3,5,6,1,4,2,0.29,2,2.0,2,1.0,10,1,0,1,4,26.87,6.36,1087.97,0.06,N
3,6,9,0,4,2,0.18,2,2.0,2,1.0,10,1,0,2,4,25.37,11.25,3210.79,0.1,N
3,6,9,0,4,2,0.18,2,2.0,2,1.0,10,1,0,2,5,27.58,11.15,3430.95,0.1,N
3,3,12,0,4,2,0.13,2,2.0,2,1.0,9,1,0,3,5,23.84,19.04,8641.77,0.15,N
3,3,14,0,4,2,0.12,2,2.0,2,1.0,9,1,0,3,6,25.77,19.64,9942.83,0.17,N
3,1,2,0,4,2,0.67,2,2.0,2,1.0,8,1,0,1,3,10.24,5.6,321.21,0.02,N
3,1,2,0,4,2,0.67,2,2.0,2,1.0,8,1,0,1,4,12.69,5.25,349.69,0.02,N
3,0,7,0,4,2,0.22,2,2.0,1,0.5,6,1,0,2,2,7.69,11.67,1046.41,0.03,N
3,1,7,0,4,2,0.22,2,2.0,2,1.0,7,1,0,2,3,9.45,11.0,1143.6,0.03,N
9,1,8,0,16,5,0.5,8,2.0,2,0.4,18,3,0,2,3,8.77,19.5,3333.86,0.06,N
9,2,8,0,16,5,0.5,8,2.0,5,1.0,20,3,0,2,4,10.38,18.42,3520.47,0.06,N
5,0,4,0,8,3,0.6,4,2.0,1,0.33,8,1,0,1,3,7.7,13.5,1403.51,0.03,N
5,1,4,0,8,3,0.6,4,2.0,2,0.67,9,1,0,1,4,8.53,15.0,1920.0,0.04,N
5,1,9,0,8,3,0.25,4,2.0,2,0.67,9,1,0,3,5,9.96,15.6,2423.05,0.05,N
5,0,9,0,8,3,0.25,4,2.0,1,0.33,8,1,0,3,4,9.59,13.5,1748.46,0.04,N
5,4,17,1,8,3,0.15,4,2.0,2,0.67,14,1,0,3,5,22.46,14.39,4653.68,0.11,N
5,3,18,1,8,3,0.14,4,2.0,2,0.67,13,1,0,3,4,19.43,16.14,5069.44,0.1,N
5,1,13,1,8,3,0.19,4,2.0,2,0.67,11,1,0,3,5,15.13,14.95,3381.36,0.08,N
5,0,14,1,8,3,0.18,4,2.0,1,0.33,10,1,0,3,4,14.37,14.67,3092.19,0.07,N
3,0,1,0,4,2,1.0,2,2.0,1,0.5,6,1,0,1,1,5.0,6.0,180.0,0.01,N
5,4,3,0,8,3,0.75,4,2.0,3,1.0,13,1,0,1,1,14.36,8.36,1002.86,0.04,N
7,0,7,0,12,4,0.44,6,2.0,1,0.25,13,4,1,2,2,5.74,20.0,2294.27,0.04,N
7,1,7,0,12,4,0.44,6,2.0,2,0.5,14,4,1,2,3,6.77,19.5,2574.0,0.04,N
3,2,6,4,4,2,0.25,2,2.0,2,1.0,7,1,0,2,2,19.8,6.11,739.53,0.04,N
3,2,6,4,4,2,0.25,2,2.0,2,1.0,7,1,0,2,2,19.8,6.11,739.53,0.04,N
5,7,5,6,8,3,0.5,4,2.0,3,1.0,17,1,0,1,3,24.08,11.85,3379.63,0.1,N
3,4,2,0,4,2,0.67,2,2.0,2,1.0,9,1,0,1,1,16.73,4.5,338.78,0.03,N
3,5,3,0,4,2,0.5,2,2.0,2,1.0,10,1,0,1,3,19.7,8.25,1340.75,0.05,N
3,2,2,0,4,2,0.67,2,2.0,2,1.0,6,1,0,1,1,13.4,5.25,369.2,0.02,N
3,2,2,0,4,2,0.67,2,2.0,2,1.0,6,1,0,1,1,13.4,5.25,369.2,0.02,N
3,2,2,0,4,2,0.67,2,2.0,2,1.0,8,1,0,1,1,10.15,9.0,822.39,0.03,N
5,7,6,2,8,3,0.43,4,2.0,2,0.67,16,1,0,1,4,23.88,12.66,3824.79,0.1,N
3,5,5,2,4,2,0.33,2,2.0,2,1.0,9,1,0,1,2,20.94,8.18,1401.55,0.06,N
3,4,4,0,4,2,0.4,2,2.0,2,1.0,10,1,0,1,3,19.35,6.25,755.8,0.04,N
3,4,4,2,4,2,0.4,2,2.0,2,1.0,8,1,0,1,3,19.45,8.0,1244.72,0.05,N
5,4,4,2,8,3,0.6,4,2.0,3,1.0,12,1,0,1,3,17.8,10.05,1796.26,0.06,N
3,6,3,2,4,2,0.5,2,2.0,2,1.0,11,1,0,1,0,11.09,4.0,177.52,0.01,N
5,7,3,2,6,3,0.75,2,3.0,3,1.0,14,3,1,1,1,13.22,5.6,414.45,0.02,N
7,0,1,0,10,4,2.0,2,5.0,1,0.25,9,3,0,1,3,7.14,10.67,811.81,0.03,N
1,1,1,0,4,1,0.5,2,2.0,1,1.0,2,1,0,1,2,9.51,3.0,85.59,0.01,N
3,1,2,0,6,2,0.67,2,3.0,1,0.5,6,1,0,1,3,9.09,8.8,704.0,0.03,N
3,2,2,0,6,2,0.67,2,3.0,2,1.0,6,1,0,1,4,11.98,7.5,673.94,0.03,N
5,6,6,0,6,3,0.38,2,3.0,3,1.0,14,3,1,2,1,16.52,11.25,2090.73,0.06,N
7,5,8,4,12,4,0.44,6,2.0,2,0.5,19,1,0,1,3,19.61,15.3,4590.0,0.1,N
17,2,34,0,32,9,0.23,16,2.0,3,0.33,36,3,0,6,3,24.75,23.0,13091.58,0.19,N
3,4,4,0,4,2,0.4,2,2.0,2,1.0,9,1,0,1,3,20.22,7.5,1137.16,0.05,N
3,0,2,0,4,2,0.67,2,2.0,1,0.5,5,1,0,1,3,8.3,6.67,369.01,0.02,N
3,0,2,0,4,2,0.67,2,2.0,1,0.5,5,1,0,1,3,8.3,6.67,369.01,0.02,N
5,0,2,0,8,3,1.0,4,2.0,1,0.33,8,1,0,1,4,10.04,5.0,250.95,0.02,N
5,1,2,0,8,3,1.0,4,2.0,2,0.67,9,1,0,1,4,10.04,5.0,250.95,0.02,N
3,1,1,0,4,2,1.0,2,2.0,1,0.5,7,1,0,1,0,7.83,4.67,170.53,0.01,N
3,1,4,0,4,2,0.33,2,2.0,2,1.0,6,1,0,2,2,8.24,5.0,206.05,0.01,N
3,0,3,0,4,2,0.5,2,2.0,1,0.5,5,1,0,1,1,7.19,9.0,582.53,0.02,N
3,2,1,0,4,2,1.0,2,2.0,2,1.0,7,1,0,1,0,9.25,4.67,201.53,0.01,N
7,2,4,0,12,4,0.8,6,2.0,2,0.5,13,1,0,1,1,17.95,7.94,1133.07,0.05,N
3,0,1,0,4,2,1.0,2,2.0,1,0.5,5,1,0,1,3,7.83,4.67,170.53,0.01,N
3,0,2,0,4,2,0.67,2,2.0,1,0.5,5,1,0,1,3,9.87,5.63,312.22,0.02,N
9,3,12,4,16,5,0.31,8,2.0,5,1.0,24,5,1,4,2,18.2,14.0,3567.06,0.08,N
13,4,28,1,18,7,0.21,6,3.0,5,0.71,37,7,1,5,2,16.67,30.46,15468.34,0.17,N
5,0,3,0,6,3,0.75,2,3.0,1,0.33,7,3,1,1,3,6.92,8.0,442.81,0.02,N
3,1,7,0,4,2,0.22,2,2.0,2,1.0,8,1,0,2,4,13.18,10.93,1573.71,0.05,N
3,1,7,0,4,2,0.22,2,2.0,2,1.0,8,1,0,2,5,15.3,10.69,1747.39,0.05,N
9,3,12,1,16,5,0.31,8,2.0,5,1.0,23,5,1,4,2,20.76,10.29,2198.48,0.07,N
7,3,6,1,12,4,0.5,6,2.0,4,1.0,18,4,1,2,2,17.33,8.33,1203.58,0.05,N
5,1,7,0,8,3,0.33,4,2.0,2,0.67,10,3,1,2,4,11.78,9.17,990.0,0.04,N
5,2,7,0,8,3,0.33,4,2.0,2,0.67,11,3,1,2,5,15.91,8.13,1050.3,0.04,N
5,1,2,0,6,3,1.0,2,3.0,2,0.67,8,3,1,1,3,6.29,10.0,629.07,0.02,N
11,4,13,2,20,6,0.35,10,2.0,4,0.67,29,5,0,4,2,20.12,14.17,4037.5,0.1,N
9,4,7,2,16,5,0.56,8,2.0,5,1.0,24,4,0,2,2,17.27,12.25,2591.12,0.07,N
7,4,9,0,12,4,0.36,6,2.0,4,1.0,22,4,1,2,2,14.35,14.7,3100.35,0.07,N
7,5,12,0,12,4,0.27,6,2.0,2,0.5,27,3,0,3,2,14.77,23.25,7985.96,0.11,N
7,4,9,0,12,4,0.36,6,2.0,4,1.0,22,4,1,2,2,12.52,18.4,4237.92,0.08,N
3,2,3,0,4,2,0.5,2,2.0,1,0.5,8,1,0,1,1,12.14,5.33,345.2,0.02,N
3,1,2,0,4,2,0.67,2,2.0,2,1.0,6,1,0,1,3,7.26,6.67,322.88,0.02,N
3,1,1,0,4,2,1.0,2,2.0,2,1.0,6,1,0,1,3,7.78,5.33,221.4,0.01,N
3,1,2,0,4,2,0.67,2,2.0,2,1.0,6,1,0,1,3,9.75,6.25,380.74,0.02,N
3,1,4,0,4,2,0.4,2,2.0,1,0.5,6,1,0,1,2,11.76,10.83,1380.58,0.04,N
9,5,18,2,16,5,0.24,8,2.0,4,0.8,22,4,0,3,3,18.05,15.33,4242.98,0.09,N
5,7,15,8,8,3,0.18,4,2.0,2,0.67,19,1,0,2,3,14.33,25.0,8955.08,0.12,N
9,0,9,0,14,5,0.45,6,2.33,1,0.2,15,4,0,2,4,9.49,16.8,2678.11,0.05,N
9,1,9,0,14,5,0.45,6,2.33,3,0.6,17,4,0,2,5,11.21,16.0,2868.91,0.06,N
5,3,3,0,6,3,0.75,2,3.0,2,0.67,9,1,0,1,3,11.72,9.0,949.37,0.04,N
5,3,3,0,6,3,0.75,2,3.0,2,0.67,9,1,0,1,4,13.88,8.36,969.43,0.04,N
7,6,4,2,10,4,0.8,4,2.5,4,1.0,17,3,0,1,4,24.49,10.68,2792.65,0.09,N
8,1,17,0,4,6,0.32,2,2.0,2,0.33,16,1,0,2,3,24.17,10.23,2529.6,0.08,N
5,3,1,0,8,3,1.5,2,4.0,3,1.0,9,1,0,1,1,11.83,3.75,166.42,0.01,N
3,2,1,0,6,2,1.0,2,3.0,2,1.0,6,1,0,1,1,9.0,3.33,100.0,0.01,N
3,0,1,0,6,2,1.0,2,3.0,1,0.5,5,1,0,1,1,9.0,3.33,100.0,0.01,N
1,1,1,0,4,1,0.5,2,2.0,1,1.0,2,1,0,1,2,11.24,4.0,179.89,0.01,N
7,0,3,0,12,4,1.0,6,2.0,1,0.25,15,1,0,1,0,10.93,8.8,846.66,0.03,N
7,1,4,0,12,4,0.8,6,2.0,1,0.25,14,1,0,1,1,16.48,8.25,1121.45,0.05,N
7,1,4,0,12,4,0.8,6,2.0,1,0.25,14,1,0,1,1,17.74,8.67,1332.34,0.05,N
3,0,1,0,6,2,1.0,2,3.0,1,0.5,5,1,0,1,1,7.92,4.0,126.8,0.01,N
9,1,5,0,16,5,0.83,8,2.0,1,0.2,18,1,0,1,1,19.33,6.5,816.68,0.04,N
11,1,6,0,20,6,0.86,10,2.0,1,0.17,22,1,0,1,1,22.33,7.0,1093.93,0.05,N
5,1,3,0,8,3,0.75,4,2.0,1,0.33,10,1,0,1,1,15.9,6.43,656.91,0.03,N
9,1,5,0,16,5,0.83,8,2.0,1,0.2,18,1,0,1,1,19.33,6.5,816.68,0.04,N
3,1,2,0,4,2,0.67,2,2.0,1,0.5,6,1,0,1,1,21.78,6.05,797.21,0.04,N
11,0,5,0,20,6,0.86,8,2.5,1,0.17,18,5,0,2,4,12.42,12.83,2045.78,0.05,N
11,1,5,0,20,6,0.86,8,2.5,3,0.5,20,5,0,2,5,13.32,13.71,2505.06,0.06,N
3,0,0,0,6,2,1.0,2,3.0,1,0.5,5,1,0,0,2,7.75,2.0,31.02,0.01,N
1,0,0,0,4,1,1.0,2,2.0,1,1.0,1,1,0,0,1,5.8,2.0,23.22,0.0,N
3,0,0,0,6,2,1.0,2,3.0,1,0.5,5,1,0,0,2,7.75,2.0,31.02,0.01,N
3,3,3,0,4,2,0.5,2,2.0,2,1.0,7,1,0,1,2,11.98,7.5,673.94,0.03,N
3,3,3,0,4,2,0.5,2,2.0,2,1.0,7,1,0,1,3,14.14,7.07,707.14,0.03,N
3,0,4,0,4,2,0.4,2,2.0,1,0.5,6,1,0,1,2,6.18,5.0,154.4,0.01,N
3,1,1,0,4,2,1.0,2,2.0,1,0.5,7,1,0,1,3,6.97,5.0,174.35,0.01,N
7,0,5,0,12,4,0.67,6,2.0,1,0.25,12,1,0,1,2,5.1,20.17,2073.1,0.03,N
7,1,5,0,12,4,0.67,6,2.0,2,0.5,13,1,0,1,3,6.44,18.0,2088.0,0.04,N
3,0,1,0,4,2,1.0,2,2.0,1,0.5,6,1,0,1,2,5.05,5.0,126.33,0.01,N
3,0,1,0,4,2,1.0,2,2.0,1,0.5,6,1,0,1,2,5.05,5.0,126.33,0.01,N
7,1,7,0,10,4,0.44,4,2.5,1,0.25,13,3,0,2,5,10.84,18.42,3676.94,0.07,N
7,2,7,0,10,4,0.44,4,2.5,2,0.5,14,3,0,2,6,13.49,15.43,3211.43,0.07,N
3,0,4,0,4,2,0.4,2,2.0,1,0.5,6,1,0,1,2,6.18,5.0,154.4,0.01,N
3,1,1,0,4,2,1.0,2,2.0,1,0.5,7,1,0,1,3,6.97,5.0,174.35,0.01,N
7,0,5,0,12,4,0.67,6,2.0,1,0.25,12,1,0,1,2,5.1,20.17,2073.1,0.03,N
7,1,5,0,12,4,0.67,6,2.0,2,0.5,13,1,0,1,3,6.44,18.0,2088.0,0.04,N
3,0,1,0,4,2,1.0,2,2.0,1,0.5,6,1,0,1,2,5.05,5.0,126.33,0.01,N
3,0,1,0,4,2,1.0,2,2.0,1,0.5,6,1,0,1,2,5.05,5.0,126.33,0.01,N
5,0,6,0,6,3,0.38,2,3.0,1,0.33,8,3,1,2,3,8.11,11.25,1027.99,0.03,N
5,1,6,0,6,3,0.38,2,3.0,2,0.67,9,3,1,2,4,10.16,10.0,1015.79,0.03,N
11,2,21,1,20,6,0.24,10,2.0,3,0.5,27,5,0,4,2,13.94,25.0,8711.43,0.12,N
11,3,21,1,20,6,0.24,10,2.0,5,0.83,29,5,0,4,3,17.18,20.8,7433.12,0.12,N
3,2,2,0,4,2,0.67,2,2.0,2,1.0,6,1,0,1,3,10.99,6.4,449.97,0.02,N
3,2,2,0,4,2,0.67,2,2.0,2,1.0,6,1,0,1,4,13.33,6.0,479.73,0.03,N
1,0,1,0,4,1,0.5,2,2.0,1,1.0,1,1,0,1,2,8.0,3.0,72.0,0.01,N
3,2,1,0,4,2,1.0,2,2.0,1,0.5,8,1,0,1,2,14.8,3.5,181.32,0.02,N
3,2,1,0,4,2,1.0,2,2.0,1,0.5,8,1,0,1,2,14.8,3.5,181.32,0.02,N
1,0,1,0,4,1,0.5,2,2.0,1,1.0,1,1,0,1,2,8.0,3.0,72.0,0.01,N
1,0,1,0,4,1,0.5,2,2.0,1,1.0,1,1,0,1,2,8.0,3.0,72.0,0.01,N
3,3,3,0,4,2,0.5,2,2.0,2,1.0,7,1,0,1,1,16.32,5.14,432.0,0.03,N
5,3,2,0,8,3,1.0,4,2.0,3,1.0,12,1,0,1,1,14.31,7.14,729.9,0.03,N
3,6,14,0,4,2,0.13,2,2.0,1,0.5,16,1,0,2,2,20.4,20.68,8723.93,0.14,N
3,1,1,0,4,2,1.0,2,2.0,1,0.5,7,1,0,1,2,12.29,3.5,150.57,0.01,N
3,2,1,0,4,2,1.0,2,2.0,1,0.5,8,1,0,1,2,14.8,3.5,181.32,0.02,N
3,2,1,0,4,2,1.0,2,2.0,1,0.5,8,1,0,1,2,14.8,3.5,181.32,0.02,N
5,0,1,0,8,3,1.5,2,4.0,1,0.33,7,1,0,1,2,5.89,13.5,1074.15,0.03,N
11,5,10,0,20,6,0.55,10,2.0,6,1.0,35,1,0,1,2,11.99,30.94,11475.71,0.12,N
3,2,1,0,4,2,1.0,2,2.0,1,0.5,8,1,0,1,2,14.8,3.5,181.32,0.02,N
3,2,1,0,4,2,1.0,2,2.0,1,0.5,8,1,0,1,2,14.8,3.5,181.32,0.02,N
1,0,1,0,4,1,0.5,2,2.0,1,1.0,1,1,0,1,2,8.0,3.0,72.0,0.01,N
1,0,1,0,4,1,0.5,2,2.0,1,1.0,1,1,0,1,2,8.0,3.0,72.0,0.01,N
7,13,14,2,12,4,0.22,6,2.0,4,1.0,27,1,0,4,1,25.76,15.43,6132.21,0.13,N
1,1,1,4,4,1,0.5,2,2.0,1,1.0,2,1,0,1,2,11.24,4.0,179.89,0.01,N
3,1,1,0,4,2,1.0,2,2.0,1,0.5,7,1,0,1,2,12.29,3.5,150.57,0.01,N
3,2,1,0,4,2,1.0,2,2.0,1,0.5,8,1,0,1,2,14.8,3.5,181.32,0.02,N
3,2,1,0,4,2,1.0,2,2.0,1,0.5,8,1,0,1,2,14.8,3.5,181.32,0.02,N
7,0,2,0,10,4,1.33,2,5.0,1,0.25,9,3,0,1,2,8.54,9.33,744.11,0.03,N
3,0,1,0,6,2,1.0,2,3.0,1,0.5,5,1,0,1,2,7.0,6.0,252.0,0.01,N
3,2,1,0,4,2,1.0,2,2.0,1,0.5,8,1,0,1,2,14.8,3.5,181.32,0.02,N
3,2,1,0,4,2,1.0,2,2.0,1,0.5,8,1,0,1,2,14.8,3.5,181.32,0.02,N
3,2,1,0,4,2,1.0,2,2.0,1,0.5,8,1,0,1,2,14.8,3.5,181.32,0.02,N
3,2,1,0,4,2,1.0,2,2.0,1,0.5,8,1,0,1,2,14.8,3.5,181.32,0.02,N
1,0,1,0,4,1,0.5,2,2.0,1,1.0,1,1,0,1,2,8.0,3.0,72.0,0.01,N
1,0,1,0,4,1,0.5,2,2.0,1,1.0,1,1,0,1,2,8.0,3.0,72.0,0.01,N
11,5,12,3,14,6,0.43,4,3.5,5,0.83,24,6,1,2,2,15.45,16.5,4205.45,0.08,N
3,0,3,0,4,2,0.5,2,2.0,1,0.5,5,1,0,1,1,9.68,5.83,329.42,0.02,N
3,2,2,0,4,2,0.67,2,2.0,2,1.0,6,1,0,1,3,10.99,6.4,449.97,0.02,N
3,2,2,0,4,2,0.67,2,2.0,2,1.0,6,1,0,1,4,13.33,6.0,479.73,0.03,N
3,3,4,0,4,2,0.4,2,2.0,2,1.0,8,1,0,1,4,15.86,6.0,571.1,0.03,N
3,3,4,0,4,2,0.4,2,2.0,2,1.0,8,1,0,1,5,18.55,5.69,599.95,0.04,N
15,2,21,0,28,8,0.32,14,2.0,5,0.63,32,8,1,4,3,9.14,26.0,6179.83,0.08,N
3,2,2,0,4,2,0.67,2,2.0,2,1.0,6,1,0,1,2,8.71,7.0,426.61,0.02,N
3,2,2,0,4,2,0.67,2,2.0,2,1.0,6,1,0,1,3,10.99,6.4,449.97,0.02,N
5,1,7,0,8,3,0.33,4,2.0,1,0.33,12,1,0,2,2,12.87,8.75,985.14,0.04,N
7,2,8,0,12,4,0.4,6,2.0,2,0.5,17,1,0,2,2,14.14,10.39,1526.6,0.05,N
11,2,21,1,20,6,0.24,10,2.0,3,0.5,27,5,0,4,2,13.94,25.0,8711.43,0.12,N
11,3,21,1,20,6,0.24,10,2.0,5,0.83,29,5,0,4,3,17.18,20.8,7433.12,0.12,N
3,3,3,0,4,2,0.5,2,2.0,2,1.0,7,1,0,1,2,10.79,7.2,559.51,0.03,N
3,3,3,0,4,2,0.5,2,2.0,2,1.0,7,1,0,1,3,13.14,6.67,583.79,0.03,N
