HALSTEAD_EFFORT,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,HALSTEAD_LENGTH,NUM_OPERATORS,NUMBER_OF_LINES,NUM_OPERANDS,LOC_COMMENTS,LOC_EXECUTABLE,LOC_TOTAL,NUM_UNIQUE_OPERANDS,HALSTEAD_CONTENT,EDGE_COUNT,CONDITION_COUNT,NODE_COUNT,LOC_BLANK,BRANCH_COUNT,MULTIPLE_CONDITION_COUNT,DECISION_COUNT,PERCENT_COMMENTS,Defective
1858.26,103.24,236.84,51,34,58,17,20,23,24,13,30.19,20,16,17,13,9,8,8,47.73,N
149.49,8.3,39.86,12,7,19,5,6,8,9,4,10.63,5,4,5,3,3,2,2,46.67,N
75169.98,4176.1,1738.63,292,187,88,105,1,63,64,34,40.21,55,28,46,22,19,14,14,3.08,N
3467.15,192.62,323.85,66,38,36,28,0,22,23,17,30.25,19,12,17,12,7,6,6,4.35,N
24176.72,1343.15,911.61,168,101,54,67,1,36,37,24,34.37,39,24,34,15,13,12,12,5.26,N
2126.03,118.11,347.11,73,38,32,35,2,23,24,20,56.67,21,4,21,5,3,2,2,11.54,N
3151.22,175.07,274.02,57,34,35,23,1,20,21,14,23.83,19,16,16,12,9,8,8,9.09,N
2899.8,161.1,278.83,58,34,31,24,0,17,21,15,26.81,17,12,15,9,7,6,6,19.05,N
92350.98,5130.61,1832.66,299,186,105,113,1,73,76,37,36.37,66,44,53,27,27,22,22,5.19,N
200.76,11.15,57.36,16,11,19,5,1,6,10,5,16.39,6,4,6,7,3,2,2,45.45,N
4520.83,251.16,375.0,75,44,34,31,1,17,22,18,31.11,21,12,19,10,7,6,6,26.09,N
74124.42,4118.02,1710.56,283,179,91,104,1,64,67,36,39.47,59,36,48,22,23,18,18,5.88,N
3447.89,191.55,215.49,47,31,24,16,0,20,20,8,13.47,12,10,10,3,7,5,4,0.0,N
5999.58,333.31,346.13,72,46,28,26,0,24,24,12,19.97,18,16,14,3,11,8,6,0.0,N
5999.58,333.31,346.13,72,46,28,26,0,24,24,12,19.97,18,16,14,3,11,8,6,0.0,N
337.48,18.75,70.31,19,13,10,6,0,9,9,5,14.65,8,6,7,0,5,3,2,0.0,N
797.14,44.29,124.0,31,21,10,10,0,9,9,7,19.29,12,10,9,0,9,7,2,0.0,N
913.77,50.76,91.38,24,16,10,8,0,9,9,4,9.14,8,6,7,0,5,3,2,0.0,N
1838.97,102.16,260.06,56,38,15,18,0,14,14,14,36.78,6,4,6,0,3,2,2,0.0,N
47876.6,2659.81,2164.46,331,217,146,114,14,60,69,67,97.85,24,16,21,39,9,8,8,27.71,N
3223.83,179.1,358.2,73,46,42,27,6,16,26,18,39.8,10,8,9,9,5,4,4,50.0,N
871.59,48.42,142.62,33,23,21,10,4,12,12,9,23.34,6,4,6,4,3,2,2,25.0,N
1676.34,93.13,174.17,41,27,17,14,0,13,13,8,18.1,6,4,6,3,3,2,2,0.0,N
324260.81,18014.49,4185.91,605,385,283,220,91,133,136,71,54.04,70,12,42,55,34,6,6,41.41,Y
1752.37,97.35,192.57,42,29,35,13,13,16,16,10,21.16,7,4,7,5,3,2,2,44.83,N
9456.28,525.35,521.73,95,66,58,29,5,27,30,20,28.78,12,10,10,22,7,5,4,22.86,N
10420.79,578.93,604.1,110,77,69,33,15,31,34,22,35.02,16,14,13,19,9,7,6,36.73,N
7919.03,439.95,494.94,93,61,80,32,28,37,39,20,30.93,19,16,16,12,9,8,8,44.78,N
6756.06,375.34,511.82,99,66,38,33,6,26,26,20,38.77,13,10,11,5,7,5,4,18.75,N
9398.15,522.12,745.68,135,92,49,43,8,34,34,29,59.16,19,20,15,6,11,10,10,19.05,N
14529.3,807.18,618.27,126,79,85,47,30,31,33,15,26.31,24,22,19,21,13,11,10,50.79,N
2168.23,120.46,285.29,60,41,23,19,0,15,15,15,37.54,6,4,6,7,3,2,2,0.0,N
4845.73,269.21,296.13,63,39,44,24,12,15,21,11,18.1,15,12,13,10,7,6,6,54.55,N
285170.84,15842.82,5103.0,729,420,259,309,13,130,175,94,91.32,162,112,135,53,57,56,56,30.85,N
13065.14,725.84,630.73,122,64,49,58,3,30,33,21,30.45,25,12,23,12,7,6,6,16.67,N
9260.02,514.45,771.67,146,92,49,54,0,34,38,27,64.31,31,20,27,10,11,10,10,10.53,N
99082.56,5504.59,2164.83,336,200,162,136,28,59,86,52,47.3,50,20,43,47,15,10,10,48.25,N
7260.95,403.39,370.17,77,43,65,34,30,16,27,13,18.87,15,12,13,7,7,6,6,71.93,N
139798.54,7766.59,3327.01,541,311,199,230,95,65,70,52,79.18,60,44,50,33,23,22,22,60.61,N
192513.32,10695.18,3740.26,568,318,254,250,96,91,111,68,72.67,97,70,79,46,39,35,32,56.04,Y
5856.79,325.38,477.02,93,67,29,26,3,20,20,18,38.85,15,8,14,5,5,4,4,13.04,N
34816.7,1934.26,1038.71,187,104,80,83,6,58,64,26,30.99,38,36,30,9,19,18,18,17.14,Y
32401.84,1800.1,1282.9,219,130,140,89,53,50,69,37,50.79,55,50,42,17,29,25,22,59.02,N
2369.07,131.62,227.43,51,26,14,25,0,12,12,12,21.83,12,8,11,1,5,4,4,0.0,N
129374.54,7187.47,2692.19,407,234,186,173,55,93,106,63,56.02,79,60,64,24,33,30,28,42.24,N
104901.75,5827.87,2778.85,422,271,112,151,18,69,69,64,73.61,68,52,51,24,37,26,20,20.69,N
1531.0,85.06,144.95,33,20,22,13,0,16,17,8,13.72,10,8,9,4,5,4,4,5.88,N
2158.18,119.9,147.15,36,20,26,16,0,20,20,6,10.03,9,8,8,5,5,4,4,0.0,N
198396.43,11022.02,5143.61,695,410,320,285,119,154,174,133,133.35,72,28,57,26,28,14,12,47.44,N
28729.02,1596.06,1573.33,255,172,99,83,19,72,73,50,86.16,61,54,47,6,31,28,24,21.74,N
126046.47,7002.58,3131.59,438,270,254,168,50,125,138,96,77.8,72,34,56,21,31,17,16,33.51,N
11829.84,657.21,569.35,111,67,53,44,17,29,29,18,27.4,21,16,18,6,9,8,8,36.96,N
5919.2,328.84,459.04,91,56,57,35,11,18,19,19,35.6,12,8,11,8,5,4,4,40.0,N
35190.17,1955.01,1311.63,217,129,81,88,8,55,55,41,48.89,53,36,44,17,21,18,16,12.7,N
14671.27,815.07,937.19,150,68,121,82,39,47,47,55,59.87,13,8,12,14,5,4,4,45.35,N
11393.4,632.97,498.55,95,58,59,37,14,32,34,17,21.82,25,20,21,10,11,10,10,33.33,N
2570.73,142.82,298.06,62,39,26,23,2,21,21,16,34.56,14,8,13,2,5,4,4,8.7,N
786.33,43.68,100.08,24,14,20,10,1,14,14,7,12.74,6,4,6,4,3,2,2,6.67,N
5113.63,284.09,454.54,86,50,34,36,6,21,21,24,40.4,15,8,14,6,5,4,4,22.22,N
8490.44,471.69,557.19,104,72,49,32,11,28,28,21,36.57,16,8,15,9,5,4,4,28.21,Y
4329.68,240.54,372.23,72,46,30,26,9,18,18,19,32.0,9,4,9,2,3,2,2,33.33,N
15014.65,834.15,851.67,156,100,55,56,13,36,38,27,48.31,30,4,28,3,6,2,2,29.41,N
78244.98,4346.94,3442.98,488,325,228,163,33,160,172,104,151.5,124,78,94,22,58,39,36,21.95,N
150305.78,8350.32,5081.36,702,482,222,220,62,149,149,119,171.78,95,64,77,10,37,32,32,29.38,Y
553518.63,30751.03,12749.77,1500,932,555,568,339,411,456,314,293.68,303,238,232,42,141,119,106,48.3,Y
88801.93,4933.44,3817.28,537,316,170,221,29,121,124,114,164.09,76,54,63,16,29,27,26,20.92,Y
259.02,14.39,74.01,20,14,14,6,0,13,13,6,21.15,6,4,6,0,3,2,2,0.0,N
307757.08,17097.62,5664.24,790,464,233,326,58,128,161,108,104.25,117,90,94,2,49,45,42,41.55,N
6065.91,336.99,288.85,63,42,25,21,0,20,20,8,13.75,19,16,16,4,9,8,8,0.0,N
6946.75,385.93,516.54,92,53,49,39,20,27,29,29,38.41,18,14,14,0,11,7,4,44.9,N
37359.42,2075.52,1980.76,318,221,69,97,7,47,53,54,105.02,54,32,46,8,19,16,14,21.67,N
2723.97,151.33,353.11,70,43,71,27,18,16,18,21,45.77,18,8,17,10,5,4,4,55.56,N
34405.27,1911.4,1453.01,247,130,78,117,21,41,41,42,61.36,25,12,23,15,7,6,6,33.87,N
1404.34,78.02,151.24,37,24,22,13,0,14,17,7,16.29,6,4,6,4,3,2,2,17.65,N
1404.34,78.02,151.24,37,24,22,13,0,14,17,7,16.29,6,4,6,4,3,2,2,17.65,N
8964.95,498.05,744.63,130,69,79,61,39,27,27,38,61.85,18,8,17,12,5,4,4,59.09,N
12075.0,670.83,525.0,105,59,55,46,6,21,27,16,22.83,8,4,8,3,3,2,2,36.36,N
1418.49,78.8,185.75,40,28,22,12,5,16,16,11,24.32,7,6,6,0,5,3,2,23.81,N
57931.89,3218.44,1738.63,292,179,138,113,20,55,67,39,52.18,46,32,39,10,17,16,16,36.78,N
13319.21,739.96,602.54,114,72,61,42,22,22,32,19,27.26,24,16,21,6,9,8,8,59.26,N
16858.82,936.6,1227.81,201,117,174,84,78,79,93,52,89.42,52,42,42,2,23,21,20,53.8,Y
127275.78,7070.88,4677.38,625,375,204,250,58,138,139,147,171.89,112,80,89,6,47,40,40,29.95,N
4586.97,254.83,396.41,75,48,48,27,23,23,24,21,34.26,20,10,18,0,7,5,4,51.06,N
12780.02,710.0,919.26,155,98,80,57,15,60,64,41,66.12,42,16,31,0,19,8,8,24.05,N
4764.71,264.71,360.0,72,42,35,30,0,32,33,17,27.2,20,16,17,1,9,8,8,3.03,N
6449.49,358.3,551.83,103,70,41,33,11,28,28,24,47.22,13,8,12,1,5,4,4,28.21,N
9840.36,546.69,745.8,129,79,68,50,12,41,41,36,56.52,20,12,18,1,7,6,6,22.64,Y
2943.55,163.53,312.75,62,42,24,20,3,19,19,17,33.23,8,4,8,1,3,2,2,13.64,N
2515.03,139.72,282.39,57,38,25,19,3,19,19,16,31.71,8,4,8,2,3,2,2,13.64,N
13163.37,731.3,892.43,153,94,79,59,35,38,41,38,60.5,19,10,17,2,7,5,4,50.0,N
23101.5,1283.42,1472.15,241,145,63,96,7,41,41,52,93.81,19,4,19,14,3,2,2,14.58,N
12512.17,695.12,852.22,151,94,42,57,6,30,30,33,58.05,13,4,13,5,3,2,2,16.67,N
261640.64,14535.59,5575.99,781,448,227,333,65,149,151,110,118.83,74,56,61,10,29,28,28,31.02,N
2850.0,158.33,300.0,60,41,26,19,6,19,19,16,31.58,8,4,8,0,3,2,2,24.0,N
220979.91,12276.66,4282.56,607,349,231,258,65,130,153,95,83.0,104,60,86,12,37,30,28,40.37,Y
38588.27,2143.79,1318.43,213,138,77,75,7,57,63,41,45.05,38,20,31,6,15,10,10,18.57,Y
18268.21,1014.9,1316.03,210,119,50,91,6,42,42,59,94.81,8,4,8,1,3,2,2,12.5,N
3771.09,209.5,328.76,67,37,35,30,13,14,20,17,28.66,7,4,7,1,3,2,2,57.58,N
4842.06,269.0,421.97,81,54,36,27,12,22,22,20,36.77,9,4,9,1,3,2,2,35.29,N
3793.04,210.72,456.57,87,51,37,36,9,27,27,26,54.96,11,8,10,0,5,4,4,25.0,N
5674.43,315.25,284.61,67,38,38,29,4,31,32,8,14.28,18,16,15,1,9,8,8,13.89,N
104460.67,5803.37,3600.73,526,306,179,220,39,127,134,91,124.12,61,34,53,5,19,17,16,26.59,N
14944.77,830.27,1236.03,211,135,63,76,4,49,55,44,102.23,33,16,30,3,9,8,8,16.95,Y
26973.57,1498.53,1635.63,261,167,65,94,5,45,46,57,99.18,23,12,21,13,7,6,6,11.76,N
150670.96,8370.61,2643.35,466,274,228,192,41,92,119,32,46.37,76,56,63,67,29,28,28,42.5,N
5680.1,315.56,369.21,76,51,46,25,11,18,25,13,24.0,14,12,12,9,7,6,6,50.0,N
21576.47,1198.69,1005.29,182,121,83,61,22,36,45,27,46.84,30,20,26,15,11,10,10,46.27,N
4807.12,267.06,341.84,69,39,33,30,0,22,26,16,24.31,14,8,13,6,5,4,4,15.38,N
29117.23,1617.62,1149.16,193,118,84,75,22,30,40,37,45.35,19,12,17,21,7,6,6,51.61,N
15315.78,850.88,591.46,109,68,42,41,10,16,22,19,22.84,14,12,12,9,7,6,6,50.0,N
15315.78,850.88,591.46,109,68,43,41,10,15,22,19,22.84,14,12,12,10,7,6,6,53.13,N
81653.73,4536.32,2609.12,399,246,153,153,31,40,75,66,83.37,48,36,40,46,19,18,18,62.26,N
86774.3,4820.79,2490.74,380,245,124,135,28,44,62,62,71.49,29,20,25,33,11,10,10,51.11,N
12163.87,675.77,734.53,141,72,47,69,0,31,36,25,44.36,32,16,29,10,9,8,8,13.89,N
10047.02,558.17,503.61,94,56,80,38,21,22,33,20,25.24,24,20,20,25,11,10,10,59.26,N
9617.77,534.32,666.05,122,84,45,38,13,20,22,25,46.13,16,12,14,9,7,6,6,42.86,N
13373.72,742.98,808.0,148,84,42,64,4,25,27,29,48.82,7,4,7,10,3,2,2,19.35,N
2021.97,112.33,206.32,45,31,26,14,4,10,15,10,21.05,6,4,6,6,3,2,2,47.37,N
2021.97,112.33,206.32,45,31,26,14,4,10,15,10,21.05,6,4,6,6,3,2,2,47.37,N
2294.05,127.45,266.27,56,40,34,16,8,14,18,13,30.91,12,8,11,7,5,4,4,46.15,N
11951.03,663.95,801.91,140,98,68,42,16,27,31,31,53.81,22,18,18,20,11,9,8,42.55,N
5850.56,325.03,526.35,97,63,50,34,12,20,23,26,47.35,16,12,14,14,7,6,6,42.86,N
11789.43,654.97,809.46,142,99,77,43,18,28,32,31,55.58,24,20,19,19,13,10,8,44.0,N
47644.35,2646.91,1810.2,288,194,143,94,29,45,66,50,68.78,48,40,38,36,23,20,18,52.63,N
1569.59,87.2,130.8,32,22,19,10,2,11,13,5,10.9,5,4,5,3,3,2,2,26.67,N
2489.43,138.3,207.45,48,32,19,16,2,11,13,8,17.29,5,4,5,3,3,2,2,26.67,N
6655.21,369.73,484.48,93,64,73,29,22,27,41,19,35.27,30,28,24,9,15,14,14,57.14,N
693.33,38.52,104.0,26,18,32,8,12,10,14,6,15.6,5,4,5,5,3,2,2,61.54,N
910.48,50.58,110.36,27,18,17,9,3,9,12,6,13.38,5,4,5,1,3,2,2,40.0,N
1703.56,94.64,185.84,43,28,17,15,3,9,12,9,20.27,5,4,5,1,3,2,2,40.0,N
93428.15,5190.45,3428.87,486,314,211,172,57,98,104,101,125.84,60,30,52,49,19,15,12,39.13,N
128457.87,7136.55,5588.41,750,498,343,252,56,172,192,148,243.12,137,94,114,77,49,47,46,30.65,N
15592.09,866.23,835.29,148,92,82,56,11,28,30,30,44.75,16,8,15,40,5,4,4,31.71,Y
31093.83,1727.43,1619.65,267,170,105,97,29,43,44,48,84.37,33,12,31,31,7,6,6,41.1,N
22153.96,1230.78,916.14,171,115,113,56,31,36,47,22,37.89,11,4,11,34,3,2,2,53.85,N
4476.07,248.67,472.09,87,55,52,32,5,21,32,27,49.79,15,12,13,14,7,6,6,43.24,N
10375.62,576.42,509.05,97,64,24,33,1,16,17,17,24.97,15,12,13,5,7,6,6,11.11,N
2105.41,116.97,187.98,41,25,26,16,7,14,14,10,16.78,12,8,11,4,5,4,4,33.33,N
167072.98,9281.83,3323.42,496,289,185,207,51,88,94,70,66.11,77,66,60,39,37,33,30,39.31,N
16907.83,939.32,912.7,151,94,61,57,6,29,36,40,49.27,16,4,14,18,6,2,2,30.95,N
438244.07,24346.89,5861.57,821,502,163,319,37,60,76,96,78.4,104,78,85,49,41,39,38,46.9,N
109246.59,6069.25,2277.73,350,210,121,140,25,52,64,54,47.49,41,34,33,31,19,17,16,41.57,N
326814.89,18156.38,4951.74,685,421,306,264,76,101,145,100,75.03,82,66,65,84,37,33,32,54.3,N
180758.79,10042.15,3761.89,565,348,81,217,6,29,57,70,78.29,37,28,31,17,15,14,14,53.97,N
32535.15,1807.51,1104.59,187,115,50,72,8,22,25,33,37.5,28,18,24,16,11,9,8,33.33,N
16987.59,943.76,707.82,133,85,45,48,3,29,36,20,29.49,17,4,13,5,8,2,2,25.64,N
3172.85,176.27,264.4,55,37,18,18,0,15,16,12,22.03,11,8,9,1,7,4,2,6.25,N
2277.36,126.52,239.72,51,32,31,19,7,14,16,13,25.23,8,4,8,7,3,2,2,39.13,N
57670.7,3203.93,1626.88,262,183,86,79,0,63,68,39,45.89,40,14,27,17,20,7,6,7.35,N
1288.28,71.57,178.38,40,30,16,10,1,9,11,9,24.7,5,8,5,3,3,4,4,25.0,N
1256.07,69.78,173.92,39,29,15,10,0,9,11,9,24.08,5,8,5,3,3,4,4,18.18,N
4624.0,256.89,340.0,68,44,26,24,1,17,18,15,25.0,12,8,10,6,7,4,2,10.53,N
5682.29,315.68,535.29,102,56,60,46,0,27,34,26,50.43,32,12,29,25,9,6,6,20.59,N
9044.12,502.45,1288.79,214,114,78,100,0,62,64,57,183.65,59,32,52,13,17,16,16,3.13,N
124.02,6.89,53.15,16,9,29,7,9,12,12,6,22.78,7,4,7,7,3,2,2,42.86,N
5403.6,300.2,330.22,73,43,27,30,0,24,24,11,20.18,14,12,12,2,7,6,6,0.0,N
4456.28,247.57,337.6,71,38,23,33,0,13,17,15,25.58,16,8,15,5,5,4,4,23.53,N
166215.79,9234.21,3124.36,538,272,71,266,13,32,35,40,58.73,12,16,11,22,5,8,8,33.33,N
1181.93,65.66,162.52,37,21,12,16,0,10,10,11,22.35,9,4,9,1,3,2,2,0.0,N
17460.6,970.03,718.97,137,77,34,60,3,17,21,21,29.6,14,8,13,9,5,4,4,29.17,N
1265.83,70.32,105.49,27,15,9,12,0,7,7,5,8.79,5,4,5,1,3,2,2,0.0,N
2417.96,134.33,170.97,41,23,11,18,0,9,9,7,12.09,9,8,8,1,5,4,4,0.0,N
3156.61,175.37,215.22,49,27,13,22,0,11,11,9,14.67,9,8,8,1,5,4,4,0.0,N
1265.83,70.32,105.49,27,15,9,12,0,7,7,5,8.79,5,4,5,1,3,2,2,0.0,N
2417.96,134.33,170.97,41,23,11,18,0,9,9,7,12.09,9,8,8,1,5,4,4,0.0,N
3156.61,175.37,215.22,49,27,13,22,0,11,11,9,14.67,9,8,8,1,5,4,4,0.0,N
1265.83,70.32,105.49,27,15,9,12,0,7,7,5,8.79,5,4,5,1,3,2,2,0.0,N
2417.96,134.33,170.97,41,23,11,18,0,9,9,7,12.09,9,8,8,1,5,4,4,0.0,N
3156.61,175.37,215.22,49,27,13,22,0,11,11,9,14.67,9,8,8,1,5,4,4,0.0,N
43561.75,2420.1,1758.75,279,172,151,107,13,48,73,54,71.01,27,16,23,40,11,8,8,44.19,N
632.28,35.13,102.19,25,14,12,11,2,7,7,8,16.52,6,4,6,2,3,2,2,22.22,N
632.28,35.13,102.19,25,14,12,11,2,7,7,8,16.52,6,4,6,2,3,2,2,22.22,N
632.28,35.13,102.19,25,14,12,11,2,7,7,8,16.52,6,4,6,2,3,2,2,22.22,N
632.28,35.13,102.19,25,14,12,11,2,7,7,8,16.52,6,4,6,2,3,2,2,22.22,N
632.28,35.13,102.19,25,14,12,11,2,7,7,8,16.52,6,4,6,2,3,2,2,22.22,N
632.28,35.13,102.19,25,14,12,11,2,7,7,8,16.52,6,4,6,2,3,2,2,22.22,N
632.28,35.13,102.19,25,14,12,11,2,7,7,8,16.52,6,4,6,2,3,2,2,22.22,N
3670.2,203.9,249.98,52,33,23,19,14,15,17,11,17.03,11,10,9,8,7,5,4,51.61,N
227.03,12.61,51.89,15,10,9,5,8,9,9,4,11.86,6,4,6,2,3,2,2,47.06,N
211.89,11.77,48.43,14,9,11,5,10,8,8,4,11.07,5,4,5,4,3,2,2,55.56,N
657.1,36.51,106.2,25,16,17,9,5,8,8,8,17.16,5,4,5,3,3,2,2,38.46,N
211.89,11.77,48.43,14,9,11,5,10,8,8,4,11.07,5,4,5,4,3,2,2,55.56,N
596.3,33.13,108.42,26,15,15,11,2,9,9,9,19.71,6,4,6,3,3,2,2,18.18,N
4371.1,242.84,313.82,66,36,50,30,19,13,17,14,22.53,17,8,16,13,5,4,4,63.89,N
4143.37,230.19,355.74,74,38,34,36,0,24,24,17,30.54,34,32,27,9,17,16,16,0.0,N
10795.37,599.74,480.56,97,60,57,37,15,25,25,14,21.39,15,12,13,16,7,6,6,37.5,N
194194.61,10788.59,5219.89,696,416,390,280,100,176,182,143,140.31,117,74,96,82,43,37,36,37.59,N
12184.85,676.94,744.63,130,76,95,54,31,32,41,33,45.51,19,12,17,22,7,6,6,55.56,N
3750.81,208.38,364.66,70,43,40,27,12,18,18,21,35.45,10,4,10,9,3,2,2,40.0,N
3022.38,167.91,218.72,46,27,34,19,4,14,17,11,15.83,10,8,9,12,5,4,4,33.33,N
14882.34,826.8,768.92,133,83,95,50,21,29,33,31,39.73,16,10,14,14,7,5,4,46.3,N
99929.77,5551.65,2414.97,372,222,218,150,70,104,109,58,58.36,67,58,51,38,35,29,24,41.9,N
24543.69,1363.54,1130.3,187,111,177,76,58,68,72,42,52.05,49,40,39,39,23,20,18,47.69,N
10140.57,563.36,567.78,104,57,84,47,16,21,25,25,31.79,16,12,14,19,7,6,6,48.78,N
43721.41,2428.97,1993.0,307,199,142,108,39,71,77,64,90.85,46,28,40,25,15,14,14,38.79,Y
8872.37,492.91,575.06,114,60,70,54,19,22,23,21,37.27,7,4,7,27,3,2,2,47.62,Y
526.99,29.28,75.28,21,14,12,7,0,10,10,4,10.75,6,4,6,1,3,2,2,0.0,N
63864.99,3548.06,2203.49,342,206,132,136,26,66,71,61,76.03,44,30,37,34,17,15,14,31.96,N
5531.32,307.3,440.83,84,53,49,31,17,22,22,21,35.13,13,12,10,9,9,6,4,43.59,Y
51324.87,2851.38,2318.71,349,223,138,126,23,59,75,74,104.75,38,24,33,32,13,12,12,39.8,Y
3574.45,198.58,366.61,74,47,49,27,7,19,28,18,37.6,10,8,9,13,5,4,4,45.71,N
