PARAMETER_COUNT,HALSTEAD_LEVEL,NUM_OPERANDS,HALSTEAD_CONTENT,ESSENTIAL_DENSITY,HALSTEAD_VOLUME,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_PROG_TIME,MODIFIED_CONDITION_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUMBER_OF_LINES,DECISION_DENSITY,DESIGN_DENSITY,CYCLOMATIC_DENSITY,HALSTEAD_LENGTH,DECISION_COUNT,MULTIPLE_CONDITION_COUNT,NUM_UNIQUE_OPERATORS,LOC_EXECUTABLE,Defective
1,0.07,34,29.72,1.0,404.17,13.6,5496.65,305.37,2,0.19,16,3.0,0.67,0.27,85,2,3,12,11,N
1,0.04,79,47.78,0.75,1132.43,23.7,26838.69,1491.04,4,0.15,33,2.33,1.0,0.21,195,6,7,21,24,N
0,0.1,13,15.96,0.0,155.59,9.75,1517.0,84.28,1,0.17,12,2.0,1.0,0.22,36,2,2,12,9,N
0,0.07,51,46.32,0.0,699.99,15.11,10577.6,587.64,1,0.14,29,2.0,1.0,0.19,129,2,2,16,21,N
0,0.11,26,36.54,0.0,339.29,9.29,3150.52,175.03,1,0.17,12,2.0,1.0,0.18,74,2,2,10,11,N
0,0.05,77,67.77,0.0,1271.18,18.76,23842.81,1324.6,4,0.16,44,2.0,0.86,0.19,217,8,8,19,35,N
0,0.03,235,142.73,0.29,4688.48,32.85,154013.92,8556.33,17,0.17,151,2.42,0.92,0.21,680,24,29,26,117,N
0,0.12,13,17.23,0.0,149.34,8.67,1294.27,71.9,2,0.22,9,3.0,1.0,0.33,34,2,3,12,6,N
2,0.14,8,13.38,0.0,98.1,7.33,719.39,39.97,1,0.29,7,2.0,1.0,0.33,24,2,2,11,6,N
0,0.06,37,28.85,0.33,500.37,17.34,8678.36,482.13,4,0.28,25,2.33,0.86,0.33,101,6,7,15,21,N
0,0.29,5,19.46,0.0,68.11,3.5,238.4,13.24,1,0.4,5,2.0,1.0,0.5,19,2,2,7,4,N
0,0.09,83,115.58,0.0,1357.5,11.75,15944.27,885.79,5,0.12,50,2.0,1.0,0.17,223,10,10,15,36,N
0,0.06,110,100.52,0.33,1811.1,18.02,32631.05,1812.84,4,0.11,63,2.0,1.0,0.15,289,8,8,19,47,N
0,0.12,13,23.55,0.67,199.04,8.45,1681.86,93.44,2,0.24,17,3.0,0.5,0.25,44,2,3,13,16,N
0,0.04,143,96.22,0.0,2246.34,23.35,52445.24,2913.62,1,0.14,85,2.0,0.83,0.16,373,2,2,16,73,N
2,0.06,32,25.63,0.0,410.0,16.0,6560.0,364.44,2,0.14,21,2.0,1.0,0.19,82,4,4,16,16,N
1,0.06,33,24.85,0.0,410.0,16.5,6765.0,375.83,1,0.08,24,2.0,1.0,0.11,82,2,2,16,18,N
2,0.07,26,28.87,0.0,422.26,14.62,6175.54,343.09,3,0.19,21,2.0,0.75,0.21,83,6,6,18,19,N
1,0.12,14,23.36,0.0,196.21,8.4,1648.21,91.57,2,0.25,12,2.0,0.67,0.3,44,4,4,12,10,N
1,0.12,10,14.87,0.0,127.44,8.57,1092.32,60.68,1,0.2,10,2.0,0.5,0.22,30,2,2,12,9,N
1,0.11,17,26.73,1.0,246.12,9.21,2266.4,125.91,2,0.2,15,2.0,1.0,0.21,53,4,4,13,14,N
1,0.19,8,19.99,0.0,106.61,5.33,568.57,31.59,2,0.4,5,3.0,1.0,0.5,28,2,3,8,4,N
0,0.12,13,20.53,0.0,166.8,8.13,1355.23,75.29,1,0.2,10,2.0,1.0,0.22,40,2,2,10,9,N
1,0.08,21,24.56,1.0,300.83,12.25,3685.14,204.73,2,0.17,18,2.0,1.0,0.18,64,4,4,14,17,N
0,0.12,23,35.16,0.0,288.85,8.21,2372.72,131.82,1,0.17,12,2.0,1.0,0.18,63,2,2,10,11,N
1,0.05,33,24.12,1.0,447.7,18.56,8310.37,461.69,2,0.16,19,2.0,0.67,0.17,88,4,4,18,18,N
2,0.07,32,27.13,0.0,408.6,15.06,6152.97,341.83,1,0.12,17,2.0,1.0,0.13,81,2,2,16,16,N
1,0.12,28,41.57,0.0,342.35,8.24,2819.37,156.63,1,0.15,13,2.0,1.0,0.17,72,2,2,10,12,N
1,0.11,14,17.88,0.0,166.91,9.33,1557.81,86.54,1,0.2,10,2.0,1.0,0.22,38,2,2,12,9,N
1,0.08,32,35.04,0.0,442.61,12.63,5590.85,310.6,2,0.13,23,2.0,1.0,0.14,87,4,4,15,22,N
1,0.1,33,39.51,0.0,398.35,10.08,4016.74,223.15,1,0.07,27,2.0,1.0,0.11,82,2,2,11,18,N
2,0.07,28,25.59,0.0,358.2,14.0,5014.84,278.6,1,0.13,15,2.0,1.0,0.15,73,2,2,15,13,N
0,0.13,22,34.43,0.0,270.51,7.86,2125.46,118.08,1,0.17,12,2.0,1.0,0.18,59,2,2,10,11,N
0,0.15,11,19.29,0.0,129.66,6.72,871.59,48.42,1,0.33,6,2.0,1.0,0.5,30,2,2,11,4,N
0,0.07,19,17.22,0.0,236.35,13.72,3243.25,180.18,1,0.13,16,2.0,1.0,0.29,53,2,2,13,7,N
1,0.14,8,15.86,0.0,114.22,7.2,822.39,45.69,1,0.25,8,2.0,1.0,0.33,30,2,2,9,6,N
1,0.04,144,89.21,0.0,2140.96,24.0,51383.14,2854.62,3,0.07,56,2.0,1.0,0.11,347,6,6,18,37,N
2,0.04,39,22.86,0.0,564.71,24.7,13948.3,774.91,5,0.21,29,2.25,0.67,0.26,111,8,9,19,23,N
1,0.12,16,27.86,1.0,241.48,8.67,2092.83,116.27,2,0.27,11,2.0,1.0,0.33,52,4,4,13,9,N
0,0.18,10,24.71,0.0,138.97,5.63,781.73,43.43,1,0.22,9,2.0,1.0,0.29,34,2,2,9,7,N
1,0.08,18,16.47,0.0,214.05,13.0,2782.69,154.59,1,0.18,11,2.0,1.0,0.22,48,2,2,13,9,N
2,0.07,18,15.19,0.0,212.61,14.0,2976.5,165.36,3,0.4,10,4.0,0.75,0.5,47,2,4,14,8,N
1,0.1,14,15.23,0.0,159.91,10.5,1679.07,93.28,1,0.2,10,2.0,1.0,0.25,37,2,2,12,8,N
3,0.16,22,42.03,0.0,260.06,6.19,1609.1,89.39,1,0.17,12,2.0,0.5,0.22,56,2,2,9,9,N
0,0.07,34,31.49,0.0,440.92,14.0,6172.93,342.94,1,0.15,13,2.0,1.0,0.17,89,2,2,14,12,N
0,0.09,18,20.1,0.0,235.23,11.7,2752.14,152.9,1,0.13,16,2.0,1.0,0.29,52,2,2,13,7,N
1,0.04,158,88.41,0.0,2457.36,27.8,68305.52,3794.75,6,0.08,86,2.0,1.0,0.12,397,12,12,19,57,N
2,0.04,39,24.1,0.0,595.23,24.7,14702.26,816.79,5,0.13,45,2.25,0.67,0.24,117,8,9,19,25,N
1,0.06,29,28.83,0.67,445.88,15.47,6896.24,383.12,3,0.16,25,2.0,1.0,0.18,90,6,6,16,22,N
1,0.08,18,17.15,0.0,222.97,13.0,2898.63,161.04,1,0.18,11,2.0,1.0,0.22,50,2,2,13,9,N
1,0.1,14,15.23,0.0,159.91,10.5,1679.07,93.28,1,0.2,10,2.0,1.0,0.25,37,2,2,12,8,N
0,0.08,34,33.66,0.0,445.0,13.22,5883.89,326.88,1,0.15,13,2.0,1.0,0.17,89,2,2,14,12,N
2,0.19,9,18.99,0.0,97.67,5.14,502.31,27.91,1,0.33,6,2.0,1.0,0.5,25,2,2,8,4,N
2,0.05,60,46.13,0.8,954.5,20.69,19748.29,1097.13,5,0.21,28,2.25,1.0,0.3,170,8,9,20,20,N
2,0.05,67,50.81,0.33,1078.02,21.22,22872.08,1270.67,6,0.2,35,2.2,1.0,0.3,192,10,11,19,23,N
0,0.06,37,28.85,0.33,500.37,17.34,8678.36,482.13,4,0.28,25,2.33,0.86,0.33,101,6,7,15,21,N
0,0.05,93,75.66,0.57,1507.8,19.93,30048.37,1669.35,5,0.13,64,2.25,1.0,0.16,246,8,9,21,50,N
0,0.12,13,23.55,0.67,199.04,8.45,1681.86,93.44,2,0.24,17,3.0,0.5,0.25,44,2,3,13,16,N
0,0.06,98,90.48,0.0,1542.14,17.04,26283.38,1460.19,1,0.11,73,2.0,1.0,0.15,259,2,2,16,54,N
0,0.08,55,61.09,0.6,808.93,13.24,10710.87,595.05,3,0.18,33,2.0,1.0,0.22,152,6,6,13,27,N
0,0.13,19,28.73,0.0,227.43,7.92,1800.5,100.03,1,0.22,9,2.0,1.0,0.25,51,2,2,10,8,N
3,0.04,68,47.44,0.55,1075.33,22.67,24374.21,1354.12,11,0.34,35,2.83,0.83,0.43,186,12,17,22,28,N
0,0.04,109,65.16,0.0,1823.51,27.99,51033.62,2835.2,7,0.13,75,2.0,0.9,0.15,314,14,14,19,67,N
2,0.06,40,31.14,0.0,533.83,17.14,9151.3,508.41,2,0.15,20,2.0,1.0,0.2,101,4,4,18,15,N
1,0.04,79,58.14,0.0,1391.88,23.94,33320.87,1851.16,10,0.22,50,2.11,0.91,0.27,243,18,19,20,41,N
3,0.08,35,42.6,0.0,532.5,12.5,6656.28,369.79,4,0.26,19,2.0,1.0,0.33,103,8,8,15,15,N
0,0.08,46,52.27,0.0,651.18,12.46,8112.64,450.7,1,0.19,32,2.0,0.67,0.21,125,2,2,13,28,N
3,0.02,232,93.63,0.53,4090.58,43.69,178710.34,9928.35,15,0.15,121,2.15,0.83,0.22,608,26,28,29,81,N
0,0.13,19,28.73,0.0,227.43,7.92,1800.5,100.03,1,0.2,10,2.0,1.0,0.25,51,2,2,10,8,N
2,0.06,128,104.52,0.5,1893.2,18.11,34291.94,1905.11,2,0.1,73,2.0,0.71,0.12,311,4,4,15,58,N
0,0.03,134,72.83,0.0,2147.13,29.48,63297.51,3516.53,4,0.09,54,2.0,1.0,0.11,348,8,8,22,44,N
0,0.04,92,69.5,0.44,1665.06,23.96,39892.13,2216.23,5,0.15,66,2.0,0.8,0.17,269,10,10,25,58,N
2,0.11,14,16.2,0.0,141.78,8.75,1240.55,68.92,1,0.2,10,2.0,1.0,0.25,34,2,2,10,8,N
1,0.06,24,18.54,1.0,333.67,18.0,6006.03,333.67,3,0.33,12,4.0,0.75,0.36,68,2,4,18,11,N
2,0.07,21,18.62,0.0,276.9,14.88,4118.96,228.83,1,0.18,11,2.0,1.0,0.22,57,2,2,17,9,N
3,0.06,25,19.09,1.0,340.86,17.86,6086.79,338.15,2,0.25,12,3.0,0.67,0.3,67,2,3,20,10,N
1,0.05,68,54.94,0.0,1120.82,20.4,22864.72,1270.26,4,0.13,53,2.0,0.86,0.21,193,8,8,21,34,N
1,0.07,48,48.84,0.0,694.56,14.22,9878.21,548.79,1,0.18,22,2.0,0.75,0.2,128,2,2,16,20,N
1,0.03,127,64.37,0.0,2132.99,33.13,70666.9,3925.94,9,0.17,77,2.13,0.92,0.25,348,16,17,24,52,N
0,0.03,335,167.64,0.17,6126.3,36.55,223888.39,12438.24,9,0.12,153,2.0,0.84,0.16,867,18,18,24,121,N
3,0.06,42,37.16,0.0,610.76,16.43,10037.72,557.65,5,0.32,19,2.25,0.83,0.43,114,8,9,18,14,N
0,0.13,19,28.73,0.0,227.43,7.92,1800.5,100.03,1,0.2,10,2.0,1.0,0.25,51,2,2,10,8,N
2,0.02,119,41.06,0.62,1730.49,42.15,72932.91,4051.83,13,0.31,45,2.44,1.0,0.37,323,18,22,17,38,N
1,0.14,17,32.94,0.0,229.06,6.95,1593.02,88.5,2,0.3,10,2.0,1.0,0.33,53,4,4,9,9,N
3,0.03,180,88.04,0.4,3256.33,36.99,120439.45,6691.08,18,0.24,88,2.2,0.9,0.31,487,30,33,30,66,N
0,0.11,26,37.99,0.0,356.7,9.39,3349.04,186.06,1,0.21,19,2.0,0.5,0.27,72,2,2,13,15,N
2,0.04,74,42.13,0.67,1128.77,26.79,30243.28,1680.18,6,0.18,40,2.0,0.86,0.21,200,12,12,21,34,N
2,0.15,13,25.23,0.0,164.0,6.5,1066.0,59.22,1,0.22,9,2.0,1.0,0.33,41,2,2,8,6,Y
1,0.07,44,35.13,0.0,535.13,15.23,8150.47,452.8,8,0.43,21,2.0,0.89,0.45,120,16,16,9,20,N
0,0.04,108,63.66,0.0,1537.84,24.16,37151.02,2063.94,1,0.13,60,2.0,0.75,0.17,266,2,2,17,48,N
2,0.04,114,65.15,0.0,1768.4,27.14,47999.33,2666.63,5,0.15,65,2.0,0.8,0.22,297,10,10,20,46,N
2,0.09,39,43.46,0.0,484.26,11.14,5396.06,299.78,2,0.17,18,2.0,1.0,0.2,96,4,4,12,15,Y
1,0.08,35,41.69,0.75,514.95,12.35,6361.1,353.39,4,0.19,26,2.0,1.0,0.25,106,8,8,12,20,N
1,0.07,47,46.86,1.0,681.72,14.55,9917.4,550.97,8,0.35,26,3.0,1.0,0.45,134,8,12,13,20,Y
0,0.06,58,58.91,0.0,949.05,16.11,15290.22,849.46,1,0.19,52,2.0,0.8,0.23,176,2,2,15,42,N
3,0.03,125,65.25,0.5,2231.5,34.2,76313.12,4239.62,10,0.16,79,2.11,0.92,0.22,351,18,19,29,59,Y
1,0.05,42,31.92,0.0,599.71,18.79,11268.26,626.01,5,0.21,28,2.0,0.33,0.25,116,10,10,17,24,N
0,0.05,112,90.12,0.5,1746.85,19.38,33861.93,1881.22,4,0.09,56,2.0,1.0,0.1,285,8,8,18,47,Y
0,0.05,142,118.08,0.67,2433.94,20.61,50170.62,2787.26,5,0.12,84,2.0,1.0,0.14,385,10,10,18,73,N
0,0.02,308,125.82,0.0,5632.57,44.77,252155.78,14008.65,13,0.11,127,2.0,0.71,0.13,829,26,26,25,106,Y
0,0.11,19,28.48,0.0,270.51,9.5,2569.87,142.77,2,0.18,17,2.0,1.0,0.27,59,4,4,12,11,Y
1,0.1,33,46.32,0.0,473.13,10.21,4832.73,268.48,2,0.14,21,2.0,1.0,0.23,93,4,4,13,12,Y
1,0.1,21,29.1,0.0,305.53,10.5,3208.05,178.23,2,0.13,23,2.0,1.0,0.25,65,4,4,13,12,Y
1,0.06,56,42.86,0.0,757.99,17.68,13404.49,744.69,2,0.18,28,2.0,0.8,0.2,153,4,4,12,25,N
1,0.09,23,28.84,0.0,331.71,11.5,3814.64,211.92,3,0.19,21,2.0,1.0,0.33,69,6,6,14,12,Y
2,0.07,21,18.62,0.0,276.9,14.88,4118.96,228.83,1,0.17,12,2.0,1.0,0.22,57,2,2,17,9,Y
3,0.06,25,19.09,1.0,340.86,17.86,6086.79,338.15,2,0.23,13,3.0,0.67,0.3,67,2,3,20,10,Y
0,0.07,31,32.17,0.0,440.0,13.68,6017.65,334.31,1,0.14,28,2.0,0.75,0.18,88,2,2,15,21,Y
0,0.07,28,25.41,0.0,355.74,14.0,4980.42,276.69,1,0.21,19,2.0,0.75,0.25,74,2,2,14,16,Y
1,0.03,265,141.86,0.33,4903.46,34.57,169489.04,9416.06,17,0.15,144,2.13,0.86,0.2,715,30,32,24,111,Y
0,0.07,47,44.98,0.0,660.68,14.69,9703.67,539.09,2,0.12,25,2.0,0.33,0.18,125,4,4,15,16,N
0,0.12,30,55.49,0.0,470.46,8.48,3988.71,221.59,2,0.16,31,2.0,1.0,0.22,91,4,4,13,23,Y
0,0.03,189,92.86,0.0,3259.56,35.1,114410.43,6356.14,4,0.12,122,2.0,0.6,0.17,495,8,8,26,86,Y
1,0.09,18,28.45,0.5,302.61,10.64,3218.64,178.81,2,0.21,24,2.0,0.8,0.24,66,4,4,13,21,N
0,0.06,26,22.8,0.5,387.64,17.0,6589.95,366.11,4,0.22,23,2.33,0.8,0.31,79,6,7,17,16,N
0,0.12,11,15.92,0.0,137.61,8.64,1189.32,66.07,1,0.15,13,2.0,1.0,0.22,33,2,2,11,9,N
0,0.07,16,16.11,0.0,220.89,13.71,3029.38,168.3,3,0.27,15,2.0,1.0,0.31,52,6,6,12,13,N
