LOC_EXECUTABLE,NUMBER_OF_LINES,NUM_OPERATORS,LOC_TOTAL,NUM_UNIQUE_OPERANDS,HALSTEAD_LENGTH,HALSTEAD_ERROR_EST,NUM_UNIQUE_OPERATORS,NUM_OPERANDS,HALSTEAD_VOLUME,LOC_COMMENTS,HALSTEAD_CONTENT,MODIFIED_CONDITION_COUNT,CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,DECISION_COUNT,EDGE_COUNT,NODE_COUNT,BRANCH_COUNT,LOC_BLANK,Defective
23,58,34,24,13,51,0.1,12,17,236.8,20,30.2,4,16,8,8,20,17,9,13,N
8,19,7,9,4,12,0,6,5,39.9,6,10.6,1,4,2,2,5,5,3,3,N
63,88,187,64,34,292,0.6,28,105,1738.6,1,40.2,7,28,14,14,55,46,19,22,N
22,36,38,23,17,66,0.1,13,28,323.9,0,30.3,3,12,6,6,19,17,7,12,N
36,54,101,37,24,168,0.3,19,67,911.6,1,34.4,6,24,12,12,39,34,13,15,N
23,32,38,24,20,73,0.1,7,35,347.1,2,56.7,1,4,2,2,21,21,3,5,N
20,35,34,21,14,57,0.1,14,23,274,1,23.8,4,16,8,8,19,16,9,12,N
17,31,34,21,15,58,0.1,13,24,278.8,0,26.8,3,12,6,6,17,15,7,9,N
73,105,186,76,37,299,0.6,33,113,1832.7,1,36.4,11,44,22,22,66,53,27,27,N
6,19,11,10,5,16,0,7,5,57.4,1,16.4,1,4,2,2,6,6,3,7,N
17,34,44,22,18,75,0.1,14,31,375,1,31.1,3,12,6,6,21,19,7,10,N
64,91,179,67,36,283,0.6,30,104,1710.6,1,39.5,9,36,18,18,59,48,23,22,N
20,24,31,20,8,47,0.1,16,16,215.5,0,13.5,3,10,5,4,12,10,7,3,N
24,28,46,24,12,72,0.1,16,26,346.1,0,20,5,16,8,6,18,14,11,3,N
24,28,46,24,12,72,0.1,16,26,346.1,0,20,5,16,8,6,18,14,11,3,N
9,10,13,9,5,19,0,8,6,70.3,0,14.7,2,6,3,2,8,7,5,0,N
9,10,21,9,7,31,0,9,10,124,0,19.3,4,10,7,2,12,9,9,0,N
9,10,16,9,4,24,0,10,8,91.4,0,9.1,2,6,3,2,8,7,5,0,N
14,15,38,14,14,56,0.1,11,18,260.1,0,36.8,1,4,2,2,6,6,3,0,N
60,146,217,69,67,331,0.7,26,114,2164.5,14,97.9,4,16,8,8,24,21,9,39,N
16,42,46,26,18,73,0.1,12,27,358.2,6,39.8,2,8,4,4,10,9,5,9,N
12,21,23,12,9,33,0.1,11,10,142.6,4,23.3,1,4,2,2,6,6,3,4,N
13,17,27,13,8,41,0.1,11,14,174.2,0,18.1,1,4,2,2,6,6,3,3,N
133,283,385,136,71,605,1.4,50,220,4185.9,91,54,3,12,6,6,70,42,34,55,Y
16,35,29,16,10,42,0.1,14,13,192.6,13,21.2,1,4,2,2,7,7,3,5,N
27,58,66,30,20,95,0.2,25,29,521.7,5,28.8,3,10,5,4,12,10,7,22,N
31,69,77,34,22,110,0.2,23,33,604.1,15,35,4,14,7,6,16,13,9,19,N
37,80,61,39,20,93,0.2,20,32,494.9,28,30.9,4,16,8,8,19,16,9,12,N
26,38,66,26,20,99,0.2,16,33,511.8,6,38.8,3,10,5,4,13,11,7,5,N
34,49,92,34,29,135,0.3,17,43,745.7,8,59.2,5,20,10,10,19,15,11,6,N
31,85,79,33,15,126,0.2,15,47,618.3,30,26.3,6,22,11,10,24,19,13,21,N
15,23,41,15,15,60,0.1,12,19,285.3,0,37.5,1,4,2,2,6,6,3,7,N
15,44,39,21,11,63,0.1,15,24,296.1,12,18.1,3,12,6,6,15,13,7,10,N
130,259,420,175,94,729,1.7,34,309,5103,13,91.3,28,112,56,56,162,135,57,53,N
30,49,64,33,21,122,0.2,15,58,630.7,3,30.5,3,12,6,6,25,23,7,12,N
34,49,92,38,27,146,0.3,12,54,771.7,0,64.3,5,20,10,10,31,27,11,10,N
59,162,200,86,52,336,0.7,35,136,2164.8,28,47.3,5,20,10,10,50,43,15,47,N
16,65,43,27,13,77,0.1,15,34,370.2,30,18.9,3,12,6,6,15,13,7,7,N
65,199,311,70,52,541,1.1,19,230,3327,95,79.2,11,44,22,22,60,50,23,33,N
91,254,318,111,68,568,1.3,28,250,3740.3,96,72.7,19,70,35,32,97,79,39,46,Y
20,29,67,20,18,93,0.2,17,26,477,3,38.9,2,8,4,4,15,14,5,5,N
58,80,104,64,26,187,0.4,21,83,1038.7,6,31,9,36,18,18,38,30,19,9,Y
50,140,130,69,37,219,0.4,21,89,1282.9,53,50.8,14,50,25,22,55,42,29,17,N
12,14,26,12,12,51,0.1,10,25,227.4,0,21.8,2,8,4,4,12,11,5,1,N
93,186,234,106,63,407,0.9,35,173,2692.2,55,56,16,60,30,28,79,64,33,24,N
69,112,271,69,64,422,0.9,32,151,2778.9,18,73.6,16,52,26,20,68,51,37,24,N
16,22,20,17,8,33,0.1,13,13,145,0,13.7,2,8,4,4,10,9,5,4,N
20,26,20,20,6,36,0.1,11,16,147.2,0,10,2,8,4,4,9,8,5,5,N
154,320,410,174,133,695,1.7,36,285,5143.6,119,133.4,8,28,14,12,72,57,28,26,N
72,99,172,73,50,255,0.5,22,83,1573.3,19,86.2,15,54,28,24,61,47,31,6,N
125,254,270,138,96,438,1,46,168,3131.6,50,77.8,9,34,17,16,72,56,31,21,N
29,53,67,29,18,111,0.2,17,44,569.4,17,27.4,4,16,8,8,21,18,9,6,N
18,57,56,19,19,91,0.2,14,35,459,11,35.6,2,8,4,4,12,11,5,8,N
55,81,129,55,41,217,0.4,25,88,1311.6,8,48.9,10,36,18,16,53,44,21,17,N
47,121,68,47,55,150,0.3,21,82,937.2,39,59.9,2,8,4,4,13,12,5,14,N
32,59,58,34,17,95,0.2,21,37,498.6,14,21.8,5,20,10,10,25,21,11,10,N
21,26,39,21,16,62,0.1,12,23,298.1,2,34.6,2,8,4,4,14,13,5,2,N
14,20,14,14,7,24,0,11,10,100.1,1,12.7,1,4,2,2,6,6,3,4,N
21,34,50,21,24,86,0.2,15,36,454.5,6,40.4,2,8,4,4,15,14,5,6,N
28,49,72,28,21,104,0.2,20,32,557.2,11,36.6,2,8,4,4,16,15,5,9,Y
18,30,46,18,19,72,0.1,17,26,372.2,9,32,1,4,2,2,9,9,3,2,N
36,55,100,38,27,156,0.3,17,56,851.7,13,48.3,1,4,2,2,30,28,6,3,N
160,228,325,172,104,488,1.2,29,163,3443,33,151.5,21,78,39,36,124,94,58,22,N
149,222,482,149,119,702,1.7,32,220,5081.4,62,171.8,16,64,32,32,95,77,37,10,Y
411,555,932,456,314,1500,4.3,48,568,12749.8,339,293.7,66,238,119,106,303,232,141,42,Y
121,170,316,124,114,537,1.3,24,221,3817.3,29,164.1,14,54,27,26,76,63,29,16,Y
13,14,14,13,6,20,0,7,6,74,0,21.2,1,4,2,2,6,6,3,0,N
128,233,464,161,108,790,1.9,36,326,5664.2,58,104.3,24,90,45,42,117,94,49,2,N
20,25,42,20,8,63,0.1,16,21,288.9,0,13.8,4,16,8,8,19,16,9,4,N
27,49,53,29,29,92,0.2,20,39,516.5,20,38.4,5,14,7,4,18,14,11,0,N
47,69,221,53,54,318,0.7,21,97,1980.8,7,105,9,32,16,14,54,46,19,8,N
16,71,43,18,21,70,0.1,12,27,353.1,18,45.8,2,8,4,4,18,17,5,10,N
41,78,130,41,42,247,0.5,17,117,1453,21,61.4,3,12,6,6,25,23,7,15,N
14,22,24,17,7,37,0.1,10,13,151.2,0,16.3,1,4,2,2,6,6,3,4,N
14,22,24,17,7,37,0.1,10,13,151.2,0,16.3,1,4,2,2,6,6,3,4,N
27,79,69,27,38,130,0.3,15,61,744.6,39,61.9,2,8,4,4,18,17,5,12,N
21,55,59,27,16,105,0.2,16,46,525,6,22.8,1,4,2,2,8,8,3,3,N
16,22,28,16,11,40,0.1,14,12,185.8,5,24.3,2,6,3,2,7,6,5,0,N
55,138,179,67,39,292,0.6,23,113,1738.6,20,52.2,8,32,16,16,46,39,17,10,N
22,61,72,32,19,114,0.2,20,42,602.5,22,27.3,4,16,8,8,24,21,9,6,N
79,174,117,93,52,201,0.4,17,84,1227.8,78,89.4,11,42,21,20,52,42,23,2,Y
138,204,375,139,147,625,1.6,32,250,4677.4,58,171.9,20,80,40,40,112,89,47,6,N
23,48,48,24,21,75,0.1,18,27,396.4,23,34.3,3,10,5,4,20,18,7,0,N
60,80,98,64,41,155,0.3,20,57,919.3,15,66.1,4,16,8,8,42,31,19,0,N
32,35,42,33,17,72,0.1,15,30,360,0,27.2,4,16,8,8,20,17,9,1,N
28,41,70,28,24,103,0.2,17,33,551.8,11,47.2,2,8,4,4,13,12,5,1,N
41,68,79,41,36,129,0.3,19,50,745.8,12,56.5,3,12,6,6,20,18,7,1,Y
19,24,42,19,17,62,0.1,16,20,312.8,3,33.2,1,4,2,2,8,8,3,1,N
19,25,38,19,16,57,0.1,15,19,282.4,3,31.7,1,4,2,2,8,8,3,2,N
38,79,94,41,38,153,0.3,19,59,892.4,35,60.5,3,10,5,4,19,17,7,2,N
41,63,145,41,52,241,0.5,17,96,1472.2,7,93.8,1,4,2,2,19,19,3,14,N
30,42,94,30,33,151,0.3,17,57,852.2,6,58.1,1,4,2,2,13,13,3,5,N
149,227,448,151,110,781,1.9,31,333,5576,65,118.8,14,56,28,28,74,61,29,10,N
19,26,41,19,16,60,0.1,16,19,300,6,31.6,1,4,2,2,8,8,3,0,N
130,231,349,153,95,607,1.4,38,258,4282.6,65,83,16,60,30,28,104,86,37,12,Y
57,77,138,63,41,213,0.4,32,75,1318.4,7,45.1,5,20,10,10,38,31,15,6,Y
42,50,119,42,59,210,0.4,18,91,1316,6,94.8,1,4,2,2,8,8,3,1,N
14,35,37,20,17,67,0.1,13,30,328.8,13,28.7,1,4,2,2,7,7,3,1,N
22,36,54,22,20,81,0.1,17,27,422,12,36.8,1,4,2,2,9,9,3,1,N
27,37,51,27,26,87,0.2,12,36,456.6,9,55,2,8,4,4,11,10,5,0,N
31,38,38,32,8,67,0.1,11,29,284.6,4,14.3,4,16,8,8,18,15,9,1,N
127,179,306,134,91,526,1.2,24,220,3600.7,39,124.1,9,34,17,16,61,53,19,5,N
49,63,135,55,44,211,0.4,14,76,1236,4,102.2,4,16,8,8,33,30,9,3,Y
45,65,167,46,57,261,0.6,20,94,1635.6,5,99.2,3,12,6,6,23,21,7,13,N
92,228,274,119,32,466,0.9,19,192,2643.4,41,46.4,14,56,28,28,76,63,29,67,N
18,46,51,25,13,76,0.1,16,25,369.2,11,24,3,12,6,6,14,12,7,9,N
36,83,121,45,27,182,0.3,19,61,1005.3,22,46.8,5,20,10,10,30,26,11,15,N
22,33,39,26,16,69,0.1,15,30,341.8,0,24.3,2,8,4,4,14,13,5,6,N
30,84,118,40,37,193,0.4,25,75,1149.2,22,45.4,3,12,6,6,19,17,7,21,N
16,42,68,22,19,109,0.2,24,41,591.5,10,22.8,3,12,6,6,14,12,7,9,N
15,43,68,22,19,109,0.2,24,41,591.5,10,22.8,3,12,6,6,14,12,7,10,N
40,153,246,75,66,399,0.9,27,153,2609.1,31,83.4,9,36,18,18,48,40,19,46,N
44,124,245,62,62,380,0.8,32,135,2490.7,28,71.5,5,20,10,10,29,25,11,33,N
31,47,72,36,25,141,0.2,12,69,734.5,0,44.4,4,16,8,8,32,29,9,10,N
22,80,56,33,20,94,0.2,21,38,503.6,21,25.2,5,20,10,10,24,20,11,25,N
20,45,84,22,25,122,0.2,19,38,666.1,13,46.1,3,12,6,6,16,14,7,9,N
25,42,84,27,29,148,0.3,15,64,808,4,48.8,1,4,2,2,7,7,3,10,N
10,26,31,15,10,45,0.1,14,14,206.3,4,21.1,1,4,2,2,6,6,3,6,N
10,26,31,15,10,45,0.1,14,14,206.3,4,21.1,1,4,2,2,6,6,3,6,N
14,34,40,18,13,56,0.1,14,16,266.3,8,30.9,2,8,4,4,12,11,5,7,N
27,68,98,31,31,140,0.3,22,42,801.9,16,53.8,5,18,9,8,22,18,11,20,N
20,50,63,23,26,97,0.2,17,34,526.4,12,47.4,3,12,6,6,16,14,7,14,N
28,77,99,32,31,142,0.3,21,43,809.5,18,55.6,6,20,10,8,24,19,13,19,N
45,143,194,66,50,288,0.6,28,94,1810.2,29,68.8,11,40,20,18,48,38,23,36,N
11,19,22,13,5,32,0,12,10,130.8,2,10.9,1,4,2,2,5,5,3,3,N
11,19,32,13,8,48,0.1,12,16,207.5,2,17.3,1,4,2,2,5,5,3,3,N
27,73,64,41,19,93,0.2,18,29,484.5,22,35.3,7,28,14,14,30,24,15,9,N
10,32,18,14,6,26,0,10,8,104,12,15.6,1,4,2,2,5,5,3,5,N
9,17,18,12,6,27,0,11,9,110.4,3,13.4,1,4,2,2,5,5,3,1,N
9,17,28,12,9,43,0.1,11,15,185.8,3,20.3,1,4,2,2,5,5,3,1,N
98,211,314,104,101,486,1.1,32,172,3428.9,57,125.8,9,30,15,12,60,52,19,49,N
172,343,498,192,148,750,1.9,27,252,5588.4,56,243.1,24,94,47,46,137,114,49,77,N
28,82,92,30,30,148,0.3,20,56,835.3,11,44.8,2,8,4,4,16,15,5,40,Y
43,105,170,44,48,267,0.5,19,97,1619.7,29,84.4,3,12,6,6,33,31,7,31,N
36,113,115,47,22,171,0.3,19,56,916.1,31,37.9,1,4,2,2,11,11,3,34,N
21,52,55,32,27,87,0.2,16,32,472.1,5,49.8,3,12,6,6,15,13,7,14,N
16,24,64,17,17,97,0.2,21,33,509.1,1,25,3,12,6,6,15,13,7,5,N
14,26,25,14,10,41,0.1,14,16,188,7,16.8,2,8,4,4,12,11,5,4,N
88,185,289,94,70,496,1.1,34,207,3323.4,51,66.1,18,66,33,30,77,60,37,39,N
29,61,94,36,40,151,0.3,26,57,912.7,6,49.3,1,4,2,2,16,14,6,18,N
60,163,502,76,96,821,2,45,319,5861.6,37,78.4,20,78,39,38,104,85,41,49,N
52,121,210,64,54,350,0.8,37,140,2277.7,25,47.5,9,34,17,16,41,33,19,31,N
101,306,421,145,100,685,1.7,50,264,4951.7,76,75,17,66,33,32,82,65,37,84,N
29,81,348,57,70,565,1.3,31,217,3761.9,6,78.3,7,28,14,14,37,31,15,17,N
22,50,115,25,33,187,0.4,27,72,1104.6,8,37.5,5,18,9,8,28,24,11,16,N
29,45,85,36,20,133,0.2,20,48,707.8,3,29.5,1,4,2,2,17,13,8,5,N
15,18,37,16,12,55,0.1,16,18,264.4,0,22,3,8,4,2,11,9,7,1,N
14,31,32,16,13,51,0.1,13,19,239.7,7,25.2,1,4,2,2,8,8,3,7,N
63,86,183,68,39,262,0.5,35,79,1626.9,0,45.9,4,14,7,6,40,27,20,17,N
9,16,30,11,9,40,0.1,13,10,178.4,1,24.7,2,8,4,4,5,5,3,3,N
9,15,29,11,9,39,0.1,13,10,173.9,0,24.1,2,8,4,4,5,5,3,3,N
17,26,44,18,15,68,0.1,17,24,340,1,25,3,8,4,2,12,10,7,6,N
27,60,56,34,26,102,0.2,12,46,535.3,0,50.4,3,12,6,6,32,29,9,25,N
62,78,114,64,57,214,0.4,8,100,1288.8,0,183.7,8,32,16,16,59,52,17,13,N
12,29,9,12,6,16,0,4,7,53.2,9,22.8,1,4,2,2,7,7,3,7,N
24,27,43,24,11,73,0.1,12,30,330.2,0,20.2,3,12,6,6,14,12,7,2,N
13,23,38,17,15,71,0.1,12,33,337.6,0,25.6,2,8,4,4,16,15,5,5,N
32,71,272,35,40,538,1,16,266,3124.4,13,58.7,4,16,8,8,12,11,5,22,N
10,12,21,10,11,37,0.1,10,16,162.5,0,22.4,1,4,2,2,9,9,3,1,N
17,34,77,21,21,137,0.2,17,60,719,3,29.6,2,8,4,4,14,13,5,9,N
7,9,15,7,5,27,0,10,12,105.5,0,8.8,1,4,2,2,5,5,3,1,N
9,11,23,9,7,41,0.1,11,18,171,0,12.1,2,8,4,4,9,8,5,1,N
11,13,27,11,9,49,0.1,12,22,215.2,0,14.7,2,8,4,4,9,8,5,1,N
7,9,15,7,5,27,0,10,12,105.5,0,8.8,1,4,2,2,5,5,3,1,N
9,11,23,9,7,41,0.1,11,18,171,0,12.1,2,8,4,4,9,8,5,1,N
11,13,27,11,9,49,0.1,12,22,215.2,0,14.7,2,8,4,4,9,8,5,1,N
7,9,15,7,5,27,0,10,12,105.5,0,8.8,1,4,2,2,5,5,3,1,N
9,11,23,9,7,41,0.1,11,18,171,0,12.1,2,8,4,4,9,8,5,1,N
11,13,27,11,9,49,0.1,12,22,215.2,0,14.7,2,8,4,4,9,8,5,1,N
48,151,172,73,54,279,0.6,25,107,1758.8,13,71,4,16,8,8,27,23,11,40,N
7,12,14,7,8,25,0,9,11,102.2,2,16.5,1,4,2,2,6,6,3,2,N
7,12,14,7,8,25,0,9,11,102.2,2,16.5,1,4,2,2,6,6,3,2,N
7,12,14,7,8,25,0,9,11,102.2,2,16.5,1,4,2,2,6,6,3,2,N
7,12,14,7,8,25,0,9,11,102.2,2,16.5,1,4,2,2,6,6,3,2,N
7,12,14,7,8,25,0,9,11,102.2,2,16.5,1,4,2,2,6,6,3,2,N
7,12,14,7,8,25,0,9,11,102.2,2,16.5,1,4,2,2,6,6,3,2,N
7,12,14,7,8,25,0,9,11,102.2,2,16.5,1,4,2,2,6,6,3,2,N
15,23,33,17,11,52,0.1,17,19,250,14,17,3,10,5,4,11,9,7,8,N
9,9,10,9,4,15,0,7,5,51.9,8,11.9,1,4,2,2,6,6,3,2,N
8,11,9,8,4,14,0,7,5,48.4,10,11.1,1,4,2,2,5,5,3,4,N
8,17,16,8,8,25,0,11,9,106.2,5,17.2,1,4,2,2,5,5,3,3,N
8,11,9,8,4,14,0,7,5,48.4,10,11.1,1,4,2,2,5,5,3,4,N
9,15,15,9,9,26,0,9,11,108.4,2,19.7,1,4,2,2,6,6,3,3,N
13,50,36,17,14,66,0.1,13,30,313.8,19,22.5,2,8,4,4,17,16,5,13,N
24,34,38,24,17,74,0.1,11,36,355.7,0,30.5,8,32,16,16,34,27,17,9,N
25,57,60,25,14,97,0.2,17,37,480.6,15,21.4,3,12,6,6,15,13,7,16,N
176,390,416,182,143,696,1.7,38,280,5219.9,100,140.3,19,74,37,36,117,96,43,82,N
32,95,76,41,33,130,0.3,20,54,744.6,31,45.5,3,12,6,6,19,17,7,22,N
18,40,43,18,21,70,0.1,16,27,364.7,12,35.5,1,4,2,2,10,10,3,9,N
14,34,27,17,11,46,0.1,16,19,218.7,4,15.8,2,8,4,4,10,9,5,12,N
29,95,83,33,31,133,0.3,24,50,768.9,21,39.7,3,10,5,4,16,14,7,14,N
104,218,222,109,58,372,0.8,32,150,2415,70,58.4,17,58,29,24,67,51,35,38,N
68,177,111,72,42,187,0.4,24,76,1130.3,58,52.1,11,40,20,18,49,39,23,39,N
21,84,57,25,25,104,0.2,19,47,567.8,16,31.8,3,12,6,6,16,14,7,19,N
71,142,199,77,64,307,0.7,26,108,1993,39,90.9,7,28,14,14,46,40,15,25,Y
22,70,60,23,21,114,0.2,12,54,575.1,19,37.3,1,4,2,2,7,7,3,27,Y
10,12,14,10,4,21,0,8,7,75.3,0,10.8,1,4,2,2,6,6,3,1,N
66,132,206,71,61,342,0.7,26,136,2203.5,26,76,8,30,15,14,44,37,17,34,N
22,49,53,22,21,84,0.2,17,31,440.8,17,35.1,4,12,6,4,13,10,9,9,Y
59,138,223,75,74,349,0.8,26,126,2318.7,23,104.8,6,24,12,12,38,33,13,32,Y
19,49,47,28,18,74,0.1,13,27,366.6,7,37.6,2,8,4,4,10,9,5,13,N
19,23,32,19,13,57,0.1,11,25,261.3,0,24.7,1,4,2,2,8,8,3,3,N
10,24,17,11,5,23,0,9,6,87.6,6,16.2,1,4,2,2,6,6,3,6,N
15,19,28,15,8,42,0.1,11,14,178.4,0,18.5,1,4,2,2,6,6,3,3,N
89,186,248,93,55,402,0.9,34,154,2603.2,62,54.7,6,16,8,4,55,33,32,30,Y
10,36,26,14,8,39,0.1,13,13,171.3,15,16.2,1,4,2,2,8,8,3,6,N
32,73,78,35,22,121,0.2,19,43,648.3,24,34.9,3,12,6,6,16,14,7,13,Y
74,141,230,81,54,354,0.8,32,124,2274.9,28,61.9,10,34,17,14,46,37,21,31,Y
44,74,100,45,33,152,0.3,24,52,886.6,16,46.9,5,20,10,10,30,26,11,12,N
15,16,42,15,16,62,0.1,11,20,294.8,0,42.9,1,4,2,2,6,6,3,0,N
107,241,323,116,55,516,1.1,37,193,3366.2,73,51.9,17,62,31,28,75,59,35,51,Y
12,17,9,14,6,15,0,5,6,51.9,0,20.8,1,4,2,2,6,6,3,2,N
17,26,15,21,9,25,0,5,10,95.2,0,34.3,2,8,4,4,10,9,5,4,N
17,18,20,17,4,29,0,9,9,107.3,0,10.6,3,12,6,6,14,12,7,0,N
15,19,32,15,5,54,0.1,14,22,229.4,0,7.5,5,16,8,6,18,14,11,3,N
14,18,18,14,5,28,0,9,10,106.6,0,11.9,1,4,2,2,5,5,3,3,N
10,13,10,10,3,16,0,8,6,55.4,0,6.9,1,4,2,2,5,5,3,2,N
70,117,210,76,55,343,0.7,22,133,2149.5,15,80.8,12,42,23,18,59,48,25,25,N
24,35,55,27,15,85,0.1,16,30,421.1,2,26.3,3,12,6,6,17,15,7,5,N
12,44,62,19,17,106,0.2,14,44,525.1,9,29,2,8,4,4,10,9,5,15,N
9,20,25,11,8,43,0.1,12,18,185.8,2,13.8,1,4,2,2,5,5,3,6,N
9,19,32,11,8,53,0.1,13,21,232.8,2,13.6,1,4,2,2,5,5,3,5,N
8,36,46,23,12,74,0.1,14,28,347.8,2,21.3,6,22,11,10,23,18,13,10,N
19,44,46,20,18,72,0.1,14,26,360,9,35.6,2,8,4,4,13,12,5,14,N
76,157,327,104,94,526,1.2,32,199,3670.1,17,108.4,15,52,26,22,68,54,31,35,N
8,24,27,15,9,43,0.1,12,16,188.9,2,17.7,2,8,4,4,11,10,5,6,N
27,72,114,35,25,159,0.3,23,45,888,19,42.9,4,16,8,8,23,20,9,17,N
20,54,116,30,28,205,0.4,19,89,1138.7,7,37.7,2,8,4,4,11,10,5,16,N
27,58,155,41,37,279,0.5,20,124,1627.4,5,48.6,5,20,10,10,26,22,11,11,N
423,750,1229,503,227,2027,5.6,72,798,16670.1,165,131.7,65,248,124,118,345,251,162,81,N
10,35,15,12,8,28,0,7,13,109.4,2,19.2,3,12,6,6,12,10,7,20,N
49,212,223,84,68,399,0.9,24,176,2602.9,12,83.8,15,60,30,30,67,53,31,115,N
