HALSTEAD_EFFORT,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,HALSTEAD_LENGTH,NUM_OPERATORS,NUM_OPERANDS,NUMBER_OF_LINES,LOC_CODE_AND_COMMENT,EDGE_COUNT,HALSTEAD_CONTENT,LOC_COMMENTS,NUM_UNIQUE_OPERANDS,NODE_COUNT,CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,BRANCH_COUNT,DECISION_COUNT,HALSTEAD_DIFFICULTY,MODIFIED_CONDITION_COUNT,CALL_PAIRS,Defective
5341.28,296.74,294.29,67,34,33,17,8,8,16.21,2,10,8,4,2,3,2,18.15,1,2,N
2341.67,130.09,208.15,49,24,25,18,10,8,18.5,2,10,8,4,2,3,2,11.25,1,2,N
2722.81,151.27,237.71,55,27,28,18,10,8,20.75,2,11,8,4,2,3,2,11.45,1,2,N
24283.0,1349.06,838.72,161,85,76,38,29,31,28.97,0,21,27,18,9,11,8,28.95,5,8,N
24598.68,1366.59,890.82,171,90,81,38,29,32,32.25,0,22,28,18,9,11,8,27.61,5,9,N
3900.84,216.71,255.41,55,31,24,15,10,12,16.72,0,11,11,8,4,5,4,15.27,2,3,N
4515.95,250.89,286.73,61,34,27,15,10,12,18.2,0,12,11,8,4,5,4,15.75,2,3,N
1525.99,84.78,171.67,42,22,20,9,5,13,19.31,0,9,12,8,4,5,4,8.89,2,4,N
2001.56,111.2,208.5,50,26,24,9,5,14,21.72,0,10,13,8,4,5,4,9.6,2,5,N
7773.35,431.85,380.74,81,46,35,22,14,22,18.65,0,12,18,18,9,11,8,20.42,5,4,N
7252.56,402.92,343.13,73,42,31,22,14,21,16.23,0,11,17,18,9,11,8,21.14,5,3,N
4052.52,225.14,225.14,53,32,21,12,7,8,12.51,0,7,7,6,3,5,2,18.0,2,0,N
4318.2,239.9,241.58,55,33,22,12,7,9,13.51,0,8,8,6,3,5,2,17.87,2,1,N
6236.01,346.44,307.19,67,38,29,20,13,11,15.13,0,10,10,8,4,5,4,20.3,2,3,N
7314.07,406.34,348.29,75,42,33,20,13,11,16.59,0,11,10,8,4,5,4,21.0,2,3,N
1747.72,97.1,135.93,32,17,15,7,3,12,10.57,0,7,11,8,4,5,4,12.86,2,2,N
902.49,50.14,82.04,21,13,8,9,5,11,7.46,0,4,9,10,5,7,4,11.0,3,1,N
299.82,16.66,44.97,13,8,5,5,1,6,6.75,0,3,6,4,2,3,2,6.67,1,1,N
1859.68,103.32,132.83,34,20,14,15,9,17,9.49,0,5,15,12,6,7,6,14.0,3,1,N
1038.11,57.67,121.11,31,16,15,9,4,8,14.13,0,7,8,4,2,3,2,8.57,1,3,N
6466.18,359.23,387.97,87,47,40,27,16,16,23.28,0,12,14,10,5,7,4,16.67,3,4,N
3925.09,218.06,208.15,49,27,22,17,12,10,11.04,0,7,9,8,4,5,4,18.86,2,0,N
10108.93,561.61,425.0,85,48,37,29,19,25,17.87,3,14,21,20,10,11,10,23.79,5,3,N
9471.05,526.17,402.37,82,46,36,29,19,24,17.09,3,13,20,20,10,11,10,23.54,5,2,N
10391.54,577.31,395.0,79,43,36,30,20,23,15.01,4,13,18,22,11,13,10,26.31,6,2,N
11025.26,612.51,417.17,82,45,37,31,20,24,15.78,4,14,19,22,11,13,10,26.43,6,3,N
2199.7,122.21,254.19,57,32,25,16,10,9,29.37,0,13,9,4,2,3,2,8.65,1,5,N
33446.1,1858.12,980.43,183,104,79,52,38,37,28.74,0,22,31,26,13,15,12,34.11,7,7,N
1087.97,60.44,170.97,41,21,20,13,6,10,26.87,1,11,10,4,2,3,2,6.36,1,5,N
3210.79,178.38,285.4,64,37,27,15,9,10,25.37,0,12,10,4,2,3,2,11.25,1,6,N
3430.95,190.61,307.6,68,39,29,15,9,10,27.58,0,13,10,4,2,3,2,11.15,1,6,N
8641.77,480.1,453.91,99,54,45,19,12,9,23.84,0,13,9,4,2,3,2,19.04,1,3,N
9942.83,552.38,506.18,109,59,50,21,14,9,25.77,0,14,9,4,2,3,2,19.64,1,3,N
321.21,17.85,57.36,16,8,8,6,2,8,10.24,0,5,8,4,2,3,2,5.6,1,1,N
349.69,19.43,66.61,18,9,9,7,2,8,12.69,0,6,8,4,2,3,2,5.25,1,1,N
1046.41,58.13,89.69,27,17,10,11,7,6,7.69,0,3,6,4,2,3,2,11.67,1,0,N
1143.6,63.53,103.96,29,18,11,11,7,7,9.45,0,4,7,4,2,3,2,11.0,1,1,N
3333.86,185.21,170.97,41,26,15,14,8,18,8.77,0,5,15,16,8,9,8,19.5,4,1,N
3520.47,195.58,191.16,45,28,17,14,8,20,10.38,0,6,17,16,8,9,8,18.42,4,2,N
1403.51,77.97,103.96,29,20,9,8,4,8,7.7,0,3,7,8,4,5,4,13.5,2,0,N
1920.0,106.67,128.0,32,22,10,10,4,9,8.53,0,4,8,8,4,5,4,15.0,2,1,N
2423.05,134.61,155.32,38,25,13,16,9,9,9.96,0,5,8,8,4,5,4,15.6,2,1,N
1748.46,97.14,129.52,35,23,12,15,9,8,9.59,0,4,7,8,4,5,4,13.5,2,0,N
4653.68,258.54,323.33,68,37,31,25,17,14,22.46,1,14,13,8,4,5,4,14.39,2,4,N
5069.44,281.64,313.82,66,36,30,26,18,13,19.43,1,13,12,8,4,5,4,16.14,2,3,N
3381.36,187.85,226.18,50,27,23,22,13,11,15.13,1,10,10,8,4,5,4,14.95,2,1,N
3092.19,171.79,210.83,48,26,22,22,14,10,14.37,1,9,9,8,4,5,4,14.67,2,0,N
180.0,10.0,30.0,10,6,4,4,1,6,5.0,0,2,6,4,2,3,2,6.0,1,0,N
1002.86,55.71,120.0,30,17,13,6,3,13,14.36,0,7,12,8,4,5,4,8.36,2,4,N
2294.27,127.46,114.71,31,19,12,11,7,13,5.74,0,3,11,12,6,7,6,20.0,3,0,N
2574.0,143.0,132.0,33,20,13,12,7,14,6.77,0,4,12,12,6,7,6,19.5,3,1,N
739.53,41.08,121.01,28,18,10,14,6,7,19.8,4,9,7,4,2,3,2,6.11,1,2,N
739.53,41.08,121.01,28,18,10,14,6,7,19.8,4,9,7,4,2,3,2,6.11,1,2,N
3379.63,187.76,285.29,60,38,22,17,5,17,24.08,6,13,16,8,4,5,4,11.85,2,7,N
338.78,18.82,75.28,21,12,9,5,2,9,16.73,0,6,9,4,2,3,2,4.5,1,4,N
1340.75,74.49,162.52,37,22,15,9,3,10,19.7,0,10,10,4,2,3,2,8.25,1,5,N
369.2,20.51,70.32,18,11,7,5,2,6,13.4,0,6,6,4,2,3,2,5.25,1,2,N
369.2,20.51,70.32,18,11,7,5,2,6,13.4,0,6,6,4,2,3,2,5.25,1,2,N
822.39,45.69,91.38,24,14,10,5,2,8,10.15,0,5,8,4,2,3,2,9.0,1,2,N
3824.79,212.49,302.21,61,34,27,15,6,16,23.88,2,16,15,8,4,5,4,12.66,2,7,N
1401.55,77.86,171.3,39,21,18,12,5,9,20.94,2,11,9,4,2,3,2,8.18,1,5,N
755.8,41.99,120.93,29,19,10,9,4,10,19.35,0,8,10,4,2,3,2,6.25,1,4,N
1244.72,69.15,155.59,36,20,16,12,4,8,19.45,2,10,8,4,2,3,2,8.0,1,4,N
1796.26,99.79,178.81,39,22,17,12,4,12,17.8,2,11,11,8,4,5,4,10.05,2,4,N
177.52,9.86,44.38,14,10,4,8,3,11,11.09,2,3,11,4,2,3,2,4.0,1,6,N
414.45,23.02,74.01,20,13,7,8,3,14,13.22,2,5,13,6,3,5,2,5.6,2,7,N
811.81,45.1,76.11,22,14,8,4,1,9,7.14,0,3,7,10,7,7,2,10.67,4,0,N
85.59,4.75,28.53,9,6,3,5,1,2,9.51,0,3,3,4,2,1,2,3.0,1,1,N
704.0,39.11,80.0,20,12,8,6,2,6,9.09,0,5,6,6,3,3,2,8.8,2,1,N
673.94,37.44,89.86,23,13,10,6,2,6,11.98,0,6,6,6,3,3,2,7.5,2,2,N
2090.73,116.15,185.84,43,28,15,10,6,14,16.52,0,8,13,6,3,5,2,11.25,2,6,N
4590.0,255.0,300.0,60,33,27,18,8,19,19.61,4,15,17,12,6,7,6,15.3,3,5,N
13091.58,727.31,569.2,116,70,46,44,34,36,24.75,0,15,29,32,16,17,16,23.0,8,2,N
1137.16,63.18,151.62,34,19,15,9,4,9,20.22,0,11,9,4,2,3,2,7.5,1,4,N
369.01,20.5,55.35,16,11,5,6,2,5,8.3,0,3,5,4,2,3,2,6.67,1,0,N
369.01,20.5,55.35,16,11,5,7,2,5,8.3,0,3,5,4,2,3,2,6.67,1,0,N
250.95,13.94,50.19,14,9,5,5,2,8,10.04,0,4,7,8,4,5,4,5.0,2,0,N
250.95,13.94,50.19,14,9,5,6,2,9,10.04,0,4,8,8,4,5,4,5.0,2,1,N
170.53,9.47,36.54,11,7,4,4,1,7,7.83,0,3,7,4,2,3,2,4.67,1,1,N
206.05,11.45,41.21,13,8,5,8,4,6,8.24,0,3,6,4,2,3,2,5.0,1,1,N
582.53,32.36,64.73,17,14,3,6,3,5,7.19,0,2,5,4,2,3,2,9.0,1,0,N
201.53,11.2,43.19,13,9,4,4,1,7,9.25,0,3,7,4,2,3,2,4.67,1,2,N
1133.07,62.95,142.62,33,20,13,7,4,13,17.95,0,9,11,12,6,7,6,7.94,3,2,N
170.53,9.47,36.54,11,7,4,4,1,5,7.83,0,3,5,4,2,3,2,4.67,1,0,N
312.22,17.35,55.51,15,10,5,5,2,5,9.87,0,4,5,4,2,3,2,5.63,1,0,N
3567.06,198.17,254.79,53,32,21,24,12,24,18.2,4,12,21,16,8,9,8,14.0,4,3,N
15468.34,859.35,507.8,99,63,36,37,28,37,16.67,1,13,32,18,9,13,6,30.46,6,4,N
442.81,24.6,55.35,16,10,6,6,3,7,6.92,0,3,6,6,3,5,2,8.0,2,0,N
1573.71,87.43,144.0,36,19,17,14,7,8,13.18,0,7,8,4,2,3,2,10.93,1,1,N
1747.39,97.08,163.5,40,21,19,15,7,8,15.3,0,8,8,4,2,3,2,10.69,1,1,N
2198.48,122.14,213.62,46,27,19,21,12,23,20.76,1,12,20,16,8,9,8,10.29,4,3,N
1203.58,66.87,144.43,34,19,15,13,6,18,17.33,1,9,16,12,6,7,6,8.33,3,3,N
990.0,55.0,108.0,27,16,11,12,7,10,11.78,0,6,9,8,4,5,4,9.17,2,1,N
1050.3,58.35,129.27,31,18,13,13,7,11,15.91,0,8,10,8,4,5,4,8.13,2,2,N
629.07,34.95,62.91,17,11,6,5,2,8,6.29,0,3,7,6,3,5,2,10.0,2,1,N
4037.5,224.31,285.0,57,32,25,23,13,29,20.12,2,15,25,20,10,11,10,14.17,5,4,N
2591.12,143.95,211.52,45,24,21,15,7,24,17.27,2,12,21,16,8,9,8,12.25,4,4,N
3100.35,172.24,210.91,46,25,21,14,9,22,14.35,0,10,20,12,6,7,6,14.7,3,4,N
7985.96,443.66,343.48,70,39,31,18,12,27,14.77,0,12,25,12,6,7,6,23.25,3,5,N
4237.92,235.44,230.32,49,26,23,14,9,22,12.52,0,10,20,12,6,7,6,18.4,3,4,N
345.2,19.18,64.73,17,9,8,6,3,8,12.14,0,6,8,4,2,3,2,5.33,1,2,N
322.88,17.94,48.43,14,9,5,5,2,6,7.26,0,3,6,4,2,3,2,6.67,1,1,N
221.4,12.3,41.51,12,8,4,4,1,6,7.78,0,3,6,4,2,3,2,5.33,1,1,N
380.74,21.15,60.92,16,11,5,5,2,6,9.75,0,4,6,4,2,3,2,6.25,1,1,N
1380.58,76.7,127.44,30,20,10,7,4,6,11.76,0,6,6,4,2,3,2,10.83,1,1,N
4242.98,235.72,276.72,63,40,23,25,18,22,18.05,2,9,19,16,8,9,8,15.33,4,5,N
8955.08,497.5,358.2,73,48,25,29,15,19,14.33,8,10,18,8,4,5,4,25.0,2,7,N
2678.11,148.78,159.41,39,25,14,14,9,15,9.49,0,5,12,14,7,9,6,16.8,4,0,N
2868.91,159.38,179.31,43,27,16,14,9,17,11.21,0,6,14,14,7,9,6,16.0,4,1,N
949.37,52.74,105.49,27,15,12,8,3,9,11.72,0,6,8,6,3,5,2,9.0,2,3,N
969.43,53.86,116.0,29,16,13,8,3,9,13.88,0,7,8,6,3,5,2,8.36,2,3,N
2792.65,155.15,261.51,55,32,23,13,4,17,24.49,2,14,15,10,5,7,4,10.68,3,6,N
2529.6,140.53,247.25,52,33,19,22,17,16,24.17,0,13,12,4,2,8,2,10.23,1,1,N
166.42,9.25,44.38,14,8,6,4,1,9,11.83,0,4,8,8,4,5,2,3.75,3,3,N
100.0,5.56,30.0,10,6,4,4,1,6,9.0,0,3,6,6,3,3,2,3.33,2,2,N
100.0,5.56,30.0,10,6,4,4,1,5,9.0,0,3,5,6,3,3,2,3.33,2,0,N
179.89,9.99,44.97,13,10,3,4,1,2,11.24,0,3,3,4,2,1,2,4.0,1,1,N
846.66,47.04,96.21,26,15,11,6,3,15,10.93,0,5,13,12,6,7,6,8.8,3,0,N
1121.45,62.3,135.93,32,20,12,7,4,14,16.48,0,8,12,12,6,7,6,8.25,3,1,N
1332.34,74.02,153.73,35,22,13,7,4,14,17.74,0,9,12,12,6,7,6,8.67,3,1,N
126.8,7.04,31.7,10,6,4,4,1,5,7.92,0,3,5,6,3,3,2,4.0,2,0,N
816.68,45.37,125.64,33,20,13,8,5,18,19.33,0,7,15,16,8,9,8,6.5,4,1,N
1093.93,60.77,156.28,40,24,16,9,6,22,22.33,0,8,18,20,10,11,10,7.0,5,1,N
656.91,36.5,102.19,25,16,9,6,3,10,15.9,0,7,9,8,4,5,4,6.43,2,1,N
816.68,45.37,125.64,33,20,13,8,5,18,19.33,0,7,15,16,8,9,8,6.5,4,1,N
797.21,44.29,131.77,30,19,11,5,2,6,21.78,0,10,6,4,2,3,2,6.05,1,1,N
2045.78,113.65,159.41,39,25,14,10,5,18,12.42,0,6,14,20,10,11,8,12.83,6,0,N
2505.06,139.17,182.66,43,27,16,11,5,20,13.32,0,7,16,20,10,11,8,13.71,6,1,N
31.02,1.72,15.51,6,4,2,1,0,5,7.75,0,2,5,6,3,3,2,2.0,2,0,N
23.22,1.29,11.61,5,4,1,1,0,1,5.8,0,1,2,4,2,1,2,2.0,1,0,N
31.02,1.72,15.51,6,4,2,1,0,5,7.75,0,2,5,6,3,3,2,2.0,2,0,N
673.94,37.44,89.86,23,13,10,6,3,7,11.98,0,6,7,4,2,3,2,7.5,1,3,N
707.14,39.29,100.0,25,14,11,7,3,7,14.14,0,7,7,4,2,3,2,7.07,1,3,N
154.4,8.58,30.88,11,7,4,7,4,6,6.18,0,2,6,4,2,3,2,5.0,1,0,N
174.35,9.69,34.87,11,6,5,4,1,7,6.97,0,3,7,4,2,3,2,5.0,1,1,N
2073.1,115.17,102.8,27,16,11,8,5,12,5.1,0,3,10,12,6,7,6,20.17,3,0,N
2088.0,116.0,116.0,29,17,12,9,5,13,6.44,0,4,11,12,6,7,6,18.0,3,1,N
126.33,7.02,25.27,9,5,4,4,1,6,5.05,0,2,6,4,2,3,2,5.0,1,0,N
126.33,7.02,25.27,9,5,4,4,1,6,5.05,0,2,6,4,2,3,2,5.0,1,0,N
3676.94,204.27,199.65,47,30,17,13,7,13,10.84,0,6,11,10,5,7,4,18.42,3,1,N
3211.43,178.41,208.15,49,31,18,13,7,14,13.49,0,7,12,10,5,7,4,15.43,3,2,N
154.4,8.58,30.88,11,7,4,7,4,6,6.18,0,2,6,4,2,3,2,5.0,1,0,N
174.35,9.69,34.87,11,6,5,4,1,7,6.97,0,3,7,4,2,3,2,5.0,1,1,N
2073.1,115.17,102.8,27,16,11,8,5,12,5.1,0,3,10,12,6,7,6,20.17,3,0,N
2088.0,116.0,116.0,29,17,12,9,5,13,6.44,0,4,11,12,6,7,6,18.0,3,1,N
126.33,7.02,25.27,9,5,4,4,1,6,5.05,0,2,6,4,2,3,2,5.0,1,0,N
126.33,7.02,25.27,9,5,4,4,1,6,5.05,0,2,6,4,2,3,2,5.0,1,0,N
1027.99,57.11,91.38,24,15,9,12,6,8,8.11,0,4,7,6,3,5,2,11.25,2,0,N
1015.79,56.43,101.58,26,16,10,13,6,9,10.16,0,5,8,6,3,5,2,10.0,2,1,N
8711.43,483.97,348.46,76,46,30,29,21,27,13.94,1,9,23,20,10,11,10,25.0,5,2,N
7433.12,412.95,357.36,79,47,32,29,21,29,17.18,1,10,25,20,10,11,10,20.8,5,3,N
449.97,25.0,70.31,19,11,8,6,2,6,10.99,0,5,6,4,2,3,2,6.4,1,2,N
479.73,26.65,79.95,21,12,9,6,2,6,13.33,0,6,6,4,2,3,2,6.0,1,2,N
72.0,4.0,24.0,8,6,2,4,1,1,8.0,0,2,2,4,2,1,2,3.0,1,0,N
181.32,10.07,51.81,14,8,6,6,1,8,14.8,0,6,8,4,2,3,2,3.5,1,2,N
181.32,10.07,51.81,14,8,6,6,1,8,14.8,0,6,8,4,2,3,2,3.5,1,2,N
72.0,4.0,24.0,8,6,2,4,1,1,8.0,0,2,2,4,2,1,2,3.0,1,0,N
72.0,4.0,24.0,8,6,2,4,1,1,8.0,0,2,2,4,2,1,2,3.0,1,0,N
432.0,24.0,84.0,21,13,8,6,3,7,16.32,0,7,7,4,2,3,2,5.14,1,3,N
729.9,40.55,102.19,25,15,10,5,2,12,14.31,0,7,11,8,4,5,4,7.14,2,3,N
8723.93,484.66,421.82,92,57,35,19,14,16,20.4,0,11,16,4,2,3,2,20.68,1,6,N
150.57,8.36,43.02,12,7,5,6,1,7,12.29,0,5,7,4,2,3,2,3.5,1,1,N
181.32,10.07,51.81,14,8,6,6,1,8,14.8,0,6,8,4,2,3,2,3.5,1,2,N
181.32,10.07,51.81,14,8,6,6,1,8,14.8,0,6,8,4,2,3,2,3.5,1,2,N
1074.15,59.68,79.57,23,17,6,4,1,7,5.89,0,2,6,8,4,5,2,13.5,3,0,N
11475.71,637.54,370.93,82,49,33,14,10,35,11.99,0,8,31,20,10,11,10,30.94,5,5,N
181.32,10.07,51.81,14,8,6,6,1,8,14.8,0,6,8,4,2,3,2,3.5,1,2,N
181.32,10.07,51.81,14,8,6,6,1,8,14.8,0,6,8,4,2,3,2,3.5,1,2,N
72.0,4.0,24.0,8,6,2,4,1,1,8.0,0,2,2,4,2,1,2,3.0,1,0,N
72.0,4.0,24.0,8,6,2,4,1,1,8.0,0,2,2,4,2,1,2,3.0,1,0,N
6132.21,340.68,397.46,81,54,27,22,14,27,25.76,2,14,25,12,6,7,6,15.43,3,13,N
179.89,9.99,44.97,13,10,3,8,1,2,11.24,4,3,3,4,2,1,2,4.0,1,1,N
150.57,8.36,43.02,12,7,5,6,1,7,12.29,0,5,7,4,2,3,2,3.5,1,1,N
181.32,10.07,51.81,14,8,6,6,1,8,14.8,0,6,8,4,2,3,2,3.5,1,2,N
181.32,10.07,51.81,14,8,6,6,1,8,14.8,0,6,8,4,2,3,2,3.5,1,2,N
744.11,41.34,79.73,24,16,8,6,2,9,8.54,0,3,7,10,7,7,2,9.33,4,0,N
252.0,14.0,42.0,14,10,4,4,1,5,7.0,0,2,5,6,3,3,2,6.0,2,0,N
181.32,10.07,51.81,14,8,6,6,1,8,14.8,0,6,8,4,2,3,2,3.5,1,2,N
181.32,10.07,51.81,14,8,6,6,1,8,14.8,0,6,8,4,2,3,2,3.5,1,2,N
181.32,10.07,51.81,14,8,6,6,1,8,14.8,0,6,8,4,2,3,2,3.5,1,2,N
181.32,10.07,51.81,14,8,6,6,1,8,14.8,0,6,8,4,2,3,2,3.5,1,2,N
72.0,4.0,24.0,8,6,2,4,1,1,8.0,0,2,2,4,2,1,2,3.0,1,0,N
72.0,4.0,24.0,8,6,2,4,1,1,8.0,0,2,2,4,2,1,2,3.0,1,0,N
4205.45,233.64,254.88,60,36,24,20,12,24,15.45,3,8,20,14,7,11,4,16.5,5,5,N
329.42,18.3,56.47,17,12,5,6,3,5,9.68,0,3,5,4,2,3,2,5.83,1,0,N
449.97,25.0,70.31,19,11,8,7,2,6,10.99,0,5,6,4,2,3,2,6.4,1,2,N
479.73,26.65,79.95,21,12,9,7,2,6,13.33,0,6,6,4,2,3,2,6.0,1,2,N
571.1,31.73,95.18,25,13,12,9,4,8,15.86,0,7,8,4,2,3,2,6.0,1,3,N
599.95,33.33,105.49,27,14,13,9,4,8,18.55,0,8,8,4,2,3,2,5.69,1,3,N
6179.83,343.32,237.69,57,37,20,28,21,32,9.14,0,5,26,28,14,15,14,26.0,7,2,N
426.61,23.7,60.94,17,10,7,5,2,6,8.71,0,4,6,4,2,3,2,7.0,1,2,N
449.97,25.0,70.31,19,11,8,6,2,6,10.99,0,5,6,4,2,3,2,6.4,1,2,N
985.14,54.73,112.59,27,13,14,11,7,12,12.87,0,8,11,8,4,5,4,8.75,2,1,N
1526.6,84.81,146.95,34,17,17,12,8,17,14.14,0,9,15,12,6,7,6,10.39,3,2,N
8711.43,483.97,348.46,76,46,30,29,21,27,13.94,1,9,23,20,10,11,10,25.0,5,2,N
7433.12,412.95,357.36,79,47,32,29,21,29,17.18,1,10,25,20,10,11,10,20.8,5,3,N
559.51,31.08,77.71,21,12,9,6,3,7,10.79,0,5,7,4,2,3,2,7.2,1,3,N
583.79,32.43,87.57,23,13,10,7,3,7,13.14,0,6,7,4,2,3,2,6.67,1,3,N
221.4,12.3,41.51,12,8,4,2,0,6,7.78,0,3,6,4,2,3,2,5.33,1,1,N
1751.37,97.3,125.1,30,16,14,7,3,12,8.94,0,6,11,8,4,5,4,14.0,2,2,N
495.4,27.52,62.91,17,10,7,7,4,8,7.99,0,4,7,6,3,5,2,7.88,2,1,N
1770.42,98.36,118.03,31,19,12,9,6,16,7.87,0,4,13,12,6,9,4,15.0,4,2,N
495.4,27.52,62.91,17,10,7,7,4,8,7.99,0,4,7,6,3,5,2,7.88,2,1,N
1770.42,98.36,118.03,31,19,12,9,6,16,7.87,0,4,13,12,6,9,4,15.0,4,2,N
1014.63,56.37,131.77,30,16,14,12,9,10,17.11,0,10,9,8,4,5,4,7.7,2,0,N
1189.65,66.09,113.3,29,15,14,7,3,7,10.79,0,6,7,4,2,3,2,10.5,1,2,N
1257.2,69.84,146.95,34,20,14,7,4,10,17.18,0,9,10,4,2,3,2,8.56,1,5,N
799.29,44.41,88.81,24,16,8,10,5,9,9.87,0,4,8,8,4,5,4,9.0,2,0,N
1074.39,59.69,97.67,25,17,8,10,5,10,8.88,0,4,9,8,4,5,4,11.0,2,1,N
1189.65,66.09,113.3,29,15,14,7,3,7,10.79,0,6,7,4,2,3,2,10.5,1,2,N
1885.8,104.77,181.52,42,25,17,18,11,16,17.47,0,9,13,14,7,9,6,10.39,4,4,N
553.68,30.76,70.31,19,12,7,9,4,9,8.93,0,4,8,8,4,5,4,7.88,2,0,N
44598.88,2477.72,1327.35,234,138,96,66,31,77,39.5,22,30,64,46,23,29,18,33.6,14,20,N
879.05,48.84,97.67,25,16,9,11,5,10,10.85,0,5,9,8,4,5,4,9.0,2,0,N
1172.07,65.11,117.21,30,20,10,14,8,11,11.72,0,5,10,8,4,5,4,10.0,2,1,N
553.68,30.76,70.31,19,12,7,9,4,10,8.93,0,4,9,8,4,5,4,7.88,2,1,N
