HALSTEAD_EFFORT,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,HALSTEAD_LENGTH,NUM_OPERATORS,NUM_OPERANDS,LOC_CODE_AND_COMMENT,HALSTEAD_CONTENT,PERCENT_COMMENTS,NUMBER_OF_LINES,CONDITION_COUNT,NUM_UNIQUE_OPERANDS,LOC_EXECUTABLE,DECISION_COUNT,MULTIPLE_CONDITION_COUNT,LOC_BLANK,HALSTEAD_DIFFICULTY,MODIFIED_CONDITION_COUNT,LOC_COMMENTS,DECISION_DENSITY,Defective
42352.03,2352.89,1323.5,256,176,80,6,41.36,22.08,98,22,20,60,8,11,19,32.0,7,11,2.75,Y
5127.24,284.85,384.54,101,81,20,0,28.84,14.29,28,0,6,18,0,0,5,13.33,0,3,0.0,N
1811.74,100.65,188.72,51,39,12,0,19.66,23.08,20,0,5,10,0,0,5,9.6,0,3,0.0,N
435.17,24.18,77.71,21,14,7,1,13.88,28.57,13,0,5,5,0,0,4,5.6,0,1,0.0,Y
12.0,0.67,8.0,4,3,1,0,5.33,0.0,5,0,1,2,0,0,1,1.5,0,0,0.0,N
12581.62,698.98,739.35,131,84,47,11,43.45,39.58,70,4,29,29,2,2,20,17.02,1,8,2.0,Y
6999.51,388.86,461.51,96,61,35,2,30.43,28.57,38,8,15,20,4,4,8,15.17,2,6,2.0,Y
4403.53,244.64,343.13,73,51,22,2,26.74,27.27,30,4,12,16,2,2,6,12.83,1,4,2.0,Y
61416.25,3412.01,2017.49,335,216,119,24,66.27,52.31,87,10,43,31,4,5,20,30.44,3,10,2.5,Y
14986.93,832.61,697.07,145,102,43,2,32.42,16.21,49,8,14,31,4,4,10,21.5,2,4,2.0,N
1390.58,77.25,142.62,33,20,13,0,14.63,0.0,16,4,8,10,2,2,4,9.75,1,0,2.0,N
40642.28,2257.9,1075.83,205,137,68,15,28.48,30.51,70,28,18,41,14,14,9,37.78,7,3,2.0,Y
1534.53,85.25,191.82,46,30,16,0,23.98,0.0,19,0,9,12,0,0,5,8.0,0,0,0.0,N
29575.64,1643.09,1007.22,188,120,68,23,34.3,50.91,67,28,22,27,14,14,10,29.36,7,5,2.0,Y
20519.43,1139.97,759.98,147,93,54,5,28.15,18.6,54,20,18,35,10,10,9,27.0,5,3,2.0,Y
13404.4,744.69,846.59,157,100,57,14,53.47,42.11,78,28,27,33,12,14,19,15.83,8,10,2.33,Y
1651.29,91.74,150.12,36,22,14,2,13.65,27.27,17,4,7,8,2,2,4,11.0,1,1,2.0,N
3312.04,184.0,246.35,57,35,22,6,18.32,32.0,32,12,9,17,6,6,5,13.44,3,2,2.0,Y
7986.92,443.72,311.18,72,50,22,3,12.12,17.86,34,12,6,23,6,6,4,25.67,3,2,2.0,Y
734.17,40.79,114.71,31,23,8,0,17.92,0.0,10,10,5,5,2,5,2,6.4,4,0,5.0,N
1708.56,94.92,155.32,38,26,12,1,14.12,8.33,22,8,6,11,4,4,3,11.0,2,0,2.0,Y
2599.73,144.43,178.41,42,25,17,1,12.24,17.65,25,8,7,14,4,4,6,14.57,2,2,2.0,Y
110843.58,6157.98,3614.46,533,301,232,8,117.86,35.06,105,42,87,50,20,21,23,30.67,11,19,2.1,Y
65929.86,3662.77,2390.44,376,205,171,8,86.67,28.79,85,32,62,47,16,16,17,27.58,8,11,2.0,N
6670.63,370.59,523.19,102,68,34,6,41.03,43.59,58,16,20,22,8,8,17,12.75,4,11,2.0,Y
10132.78,562.93,434.26,96,66,30,0,18.61,12.0,31,12,9,22,6,6,4,23.33,3,3,2.0,N
44060.1,2447.78,1122.93,211,140,71,6,28.62,32.65,60,20,19,33,10,10,9,39.24,5,10,2.0,N
1401719.45,77873.3,19006.37,2867,1687,1180,62,257.7,36.06,224,0,88,133,0,0,14,73.75,0,13,0.0,Y
1884.3,104.68,144.95,33,20,13,2,11.15,53.85,20,8,7,6,4,4,3,13.0,2,5,2.0,Y
7990.71,443.93,473.13,93,55,38,2,28.01,24.24,41,16,18,25,8,8,6,16.89,4,6,2.0,Y
0.0,0.0,2.0,2,2,0,0,0.0,0.0,1,0,0,0,0,0,0,0.0,0,0,0.0,N
2424.6,134.7,233.38,54,37,17,1,22.46,15.38,21,4,9,11,2,2,6,10.39,1,1,2.0,Y
355.24,19.74,74.01,20,14,6,0,15.42,0.0,10,0,5,6,0,0,2,4.8,0,0,0.0,N
4304.47,239.14,307.46,70,49,21,17,21.96,90.0,25,8,9,2,2,4,3,14.0,3,1,4.0,Y
83227.41,4623.75,1638.6,295,189,106,27,32.25,42.7,102,50,24,51,22,25,11,50.79,14,11,2.27,Y
24973.53,1387.42,924.95,175,112,63,15,34.26,48.28,72,16,21,30,8,8,12,27.0,4,13,2.0,Y
1470.86,81.71,176.0,44,31,13,0,21.06,0.0,17,0,7,10,0,0,5,8.36,0,0,0.0,N
1689.91,93.88,200.29,49,34,15,0,23.74,0.0,18,0,8,11,0,0,5,8.44,0,0,0.0,N
1884.3,104.68,228.4,52,37,15,1,27.68,8.33,16,4,10,11,2,2,2,8.25,1,0,2.0,Y
81.0,4.5,27.0,9,7,2,1,9.0,60.0,8,0,2,2,0,0,1,3.0,0,2,0.0,Y
3231.69,179.54,258.54,62,37,25,1,20.68,34.78,33,4,9,15,2,2,8,12.5,1,7,2.0,Y
9335.36,518.63,414.91,96,66,30,9,18.44,33.33,33,18,8,18,6,9,4,22.5,6,0,3.0,Y
5988.69,332.71,603.51,115,72,43,8,60.82,39.13,60,24,26,28,12,12,12,9.92,6,10,2.0,Y
1297.09,72.06,171.67,42,25,17,0,22.72,0.0,16,0,9,7,0,0,3,7.56,0,0,0.0,N
306039.54,17002.2,26219.5,2833,1430,1403,55,2246.32,26.19,226,0,601,155,0,0,14,11.67,0,0,0.0,Y
166891.74,9271.76,2301.96,400,275,125,18,31.75,37.31,85,22,25,42,10,11,16,72.5,6,7,2.2,N
2247.77,124.88,204.34,57,35,22,0,18.58,0.0,14,0,6,8,0,0,4,11.0,0,0,0.0,N
2247.77,124.88,204.34,57,35,22,0,18.58,0.0,14,0,6,8,0,0,4,11.0,0,0,0.0,N
255.97,14.22,60.94,17,11,6,1,14.51,28.57,13,0,5,5,0,0,4,4.2,0,1,0.0,N
1027.99,57.11,137.06,36,21,15,0,18.28,12.5,14,0,7,7,0,0,4,7.5,0,1,0.0,N
16602.83,922.38,937.57,175,125,50,4,52.95,25.64,53,10,24,29,4,5,12,17.71,3,6,2.5,N
134.92,7.5,44.97,13,8,5,0,14.99,50.0,13,0,5,4,0,0,3,3.0,0,4,0.0,N
287.09,15.95,70.31,19,12,7,0,17.22,0.0,9,0,6,5,0,0,2,4.08,0,0,0.0,N
188.21,10.46,53.77,15,10,5,1,15.36,50.0,11,0,5,3,0,0,3,3.5,0,2,0.0,Y
67.5,3.75,27.0,9,6,3,0,10.8,25.0,8,0,3,3,0,0,2,2.5,0,1,0.0,N
56.15,3.12,22.46,8,6,2,0,8.98,0.0,7,0,2,3,0,0,2,2.5,0,0,0.0,N
67.5,3.75,27.0,9,6,3,0,10.8,25.0,8,0,3,3,0,0,2,2.5,0,1,0.0,N
0.0,0.0,4.75,3,3,0,0,0.0,0.0,5,0,0,2,0,0,1,0.0,0,0,0.0,N
36.19,2.0,18.09,7,5,2,0,9.05,0.0,6,0,2,3,0,0,1,2.0,0,0,0.0,N
56.15,3.12,22.46,8,6,2,0,8.98,0.0,7,0,2,3,0,0,2,2.5,0,0,0.0,N
56.15,3.12,22.46,8,6,2,0,8.98,0.0,7,0,2,3,0,0,2,2.5,0,0,0.0,N
5249.74,291.65,389.9,82,53,29,0,28.96,6.67,38,8,14,28,4,4,6,13.46,2,2,2.0,N
7999.44,444.41,499.96,104,72,32,2,31.25,12.9,38,8,14,27,4,4,5,16.0,2,2,2.0,Y
1370.57,76.14,164.0,41,28,13,0,19.62,0.0,17,0,7,10,0,0,5,8.36,0,0,0.0,N
1571.14,87.29,188.0,47,34,13,0,22.5,0.0,17,0,7,10,0,0,5,8.36,0,0,0.0,N
11878.01,659.89,625.16,133,95,38,0,32.9,18.18,48,4,13,27,2,2,13,19.0,1,6,2.0,N
11967.32,664.85,629.86,134,96,38,0,33.15,16.12,43,4,13,26,2,2,10,19.0,1,5,2.0,N
10770.44,598.36,539.23,100,67,33,14,27.0,66.67,51,26,19,12,10,13,13,19.97,8,10,2.6,Y
8874.62,493.03,482.15,94,63,31,4,26.2,40.0,40,20,16,18,6,10,8,18.41,7,8,3.33,Y
62590.96,3477.28,1508.87,266,165,101,19,36.37,55.17,120,38,28,39,14,19,31,41.48,12,29,2.71,Y
22353.19,1241.84,825.86,170,112,58,4,30.51,39.62,75,8,15,32,4,4,18,27.07,2,17,2.0,N
122506.36,6805.91,1395.0,279,187,92,18,15.89,54.46,150,38,11,51,18,19,36,87.82,10,43,2.11,Y
53395.15,2966.4,1393.31,241,142,99,5,36.36,16.92,76,30,31,54,14,15,9,38.32,8,6,2.14,Y
1062.83,59.05,147.16,33,23,10,0,20.38,11.11,14,4,9,8,2,2,3,7.22,1,1,2.0,N
1545.09,85.84,168.56,39,24,15,3,18.39,30.0,15,8,9,7,2,4,3,9.17,3,0,4.0,Y
4312.2,239.57,331.71,69,43,26,17,25.52,80.0,39,18,14,6,8,9,7,13.0,5,7,2.25,Y
1440.99,80.05,201.74,44,24,20,2,28.24,15.38,19,4,14,11,2,2,4,7.14,1,0,2.0,N
334.04,18.56,74.23,19,13,6,1,16.5,16.67,10,4,6,5,2,2,2,4.5,1,0,2.0,Y
357.2,19.84,78.14,20,12,8,1,17.09,12.5,13,4,7,7,2,2,3,4.57,1,0,2.0,Y
682.86,37.94,110.36,27,16,11,1,17.84,12.5,13,4,8,7,2,2,3,6.19,1,0,2.0,Y
1434.82,79.71,153.73,35,21,14,0,16.47,0.0,14,6,9,9,2,3,3,9.33,2,0,3.0,N
1204.38,66.91,164.23,38,26,12,2,22.4,30.0,15,6,9,7,2,3,3,7.33,2,1,3.0,Y
2418.38,134.35,230.32,49,28,21,0,21.94,11.76,23,12,13,15,6,6,4,10.5,3,2,2.0,N
339.34,18.85,74.23,19,11,8,0,16.23,0.0,14,4,7,8,2,2,4,4.57,1,0,2.0,N
44.92,2.5,22.46,8,5,3,0,11.23,0.0,9,0,3,4,0,0,3,2.0,0,0,0.0,N
454.16,25.23,102.19,25,15,10,1,22.99,9.09,16,8,9,10,4,4,3,4.44,2,0,2.0,Y
357.2,19.84,78.14,20,12,8,0,17.09,0.0,13,4,7,8,2,2,3,4.57,1,0,2.0,N
2250.48,125.03,232.19,50,29,21,0,23.96,0.0,20,8,13,14,4,4,4,9.69,2,0,2.0,N
521.24,28.96,104.25,25,15,10,4,20.85,36.36,16,8,9,7,4,4,3,5.0,2,0,2.0,Y
2250.48,125.03,232.19,50,29,21,0,23.96,0.0,20,8,13,14,4,4,4,9.69,2,0,2.0,N
1492.78,82.93,180.94,40,22,18,1,21.93,8.33,18,4,12,11,2,2,4,8.25,1,0,2.0,N
725.57,40.31,120.93,29,17,12,0,20.15,0.0,13,4,9,8,2,2,3,6.0,1,0,2.0,N
597.79,33.21,106.27,26,16,10,0,18.89,0.0,13,4,8,8,2,2,3,5.63,1,0,2.0,N
1635.44,90.86,212.61,47,27,20,0,27.64,0.0,20,4,13,15,2,2,3,7.69,1,0,2.0,N
339.34,18.85,74.23,19,11,8,0,16.23,0.0,13,4,7,8,2,2,3,4.57,1,0,2.0,N
1938.86,107.71,191.76,43,29,14,0,18.96,0.0,16,10,9,11,2,7,3,10.11,4,0,5.0,N
1094.35,60.8,167.37,37,20,17,1,25.6,8.33,18,4,13,11,2,2,4,6.54,1,0,2.0,N
36.19,2.0,18.09,7,5,2,0,9.05,0.0,8,0,2,3,0,0,3,2.0,0,0,0.0,N
2599.82,144.43,249.98,52,28,24,1,24.04,16.67,24,8,15,15,4,4,4,10.4,2,2,2.0,Y
1210.43,67.25,178.81,39,23,16,0,26.42,7.69,18,8,13,12,4,4,3,6.77,2,1,2.0,N
1949.43,108.3,176.42,39,22,17,1,15.97,8.33,17,8,10,11,4,4,3,11.05,2,0,2.0,Y
243939.5,13552.19,2677.38,472,267,205,6,29.39,21.95,144,76,27,96,38,38,19,91.11,19,21,2.0,Y
99.0,5.5,33.0,11,9,2,0,11.0,70.0,16,0,2,3,0,0,4,3.0,0,7,0.0,N
47217.09,2623.17,1207.88,224,138,86,5,30.9,30.77,77,16,22,36,8,8,23,39.09,4,11,2.0,Y
28803.52,1600.2,971.78,178,100,78,5,32.79,36.73,76,12,25,31,6,6,25,29.64,3,13,2.0,N
232360.35,12908.91,2360.7,425,266,159,20,23.98,32.79,143,54,21,82,26,27,19,98.43,14,20,2.08,Y
2728.99,151.61,172.88,40,23,17,1,10.95,18.18,28,12,7,18,6,6,4,15.79,3,3,2.0,Y
4154.21,230.79,353.11,70,45,25,4,30.01,42.11,29,4,17,11,2,2,8,11.76,1,4,2.0,N
39329.66,2184.98,1099.68,218,142,76,2,30.75,15.52,78,16,17,49,8,8,18,35.76,4,7,2.0,Y
4193.22,232.96,341.84,69,46,23,1,27.87,10.34,41,4,15,26,2,2,10,12.27,1,2,2.0,Y
313.92,17.44,69.76,21,15,6,0,15.5,0.0,8,0,4,4,0,0,2,4.5,0,0,0.0,N
67672.14,3759.56,1368.32,245,154,91,11,27.67,34.18,95,44,23,52,20,22,14,49.46,12,16,2.2,Y
30595.0,1699.72,1055.0,211,153,58,9,36.38,38.98,81,14,16,36,6,7,20,29.0,4,14,2.33,Y
1820.94,101.16,185.47,41,23,18,3,18.89,35.71,23,4,11,9,2,2,7,9.82,1,2,2.0,Y
4089.46,227.19,278.83,58,36,22,1,19.01,7.14,21,8,12,13,4,4,5,14.67,2,0,2.0,Y
10260.06,570.0,660.69,136,92,44,21,42.54,52.38,49,12,17,20,6,6,5,15.53,3,1,2.0,Y
81.0,4.5,27.0,9,7,2,0,9.0,0.0,8,0,2,3,0,0,3,3.0,0,0,0.0,N
8555.65,475.31,533.62,111,74,37,9,33.28,43.9,50,24,15,23,12,12,7,16.03,6,9,2.0,Y
18713.14,1039.61,614.32,124,80,44,4,20.17,23.68,46,26,13,29,10,13,6,30.46,8,5,2.6,Y
14676.46,815.36,444.74,97,64,33,1,13.48,20.0,43,22,8,28,6,11,6,33.0,8,6,3.67,Y
3411.47,189.53,227.43,51,37,14,1,15.16,10.0,16,4,7,9,2,2,4,15.0,1,0,2.0,Y
1588.31,88.24,151.27,35,21,14,0,14.41,31.58,26,10,8,13,4,5,5,10.5,3,6,2.5,N
1100.0,61.11,100.0,25,15,10,1,9.09,12.5,12,4,5,7,2,2,2,11.0,1,0,2.0,N
2112.0,117.33,160.0,40,28,12,14,12.12,81.82,26,8,5,4,4,4,2,13.2,2,4,2.0,Y
3953.09,219.62,219.62,50,32,18,0,12.2,16.67,17,18,7,10,6,9,3,18.0,6,2,3.0,N
632.92,35.16,105.49,27,19,8,3,17.58,50.0,10,0,6,3,0,0,2,6.0,0,0,0.0,Y
5897.84,327.66,304.4,73,42,31,0,15.71,0.0,21,4,8,15,2,2,4,19.38,1,0,2.0,N
7775.68,431.98,375.97,82,47,35,0,18.18,13.64,32,8,11,19,4,4,8,20.68,2,3,2.0,N
147695.29,8205.29,3996.0,666,376,290,12,108.11,27.08,200,28,51,105,14,14,54,36.96,7,27,2.0,Y
90.0,5.0,45.0,15,11,4,0,22.5,40.0,20,0,4,6,0,0,8,2.0,0,4,0.0,N
1017.71,56.54,102.8,27,16,11,2,10.38,25.0,13,4,5,6,2,2,3,9.9,1,0,2.0,Y
31674.07,1759.67,1067.94,205,118,87,6,36.01,31.11,62,4,22,31,2,2,15,29.66,1,8,2.0,N
56334.14,3129.67,1302.02,277,159,118,10,30.09,30.91,83,8,15,38,4,4,26,43.27,2,7,2.0,Y
8854.91,491.94,553.43,126,74,52,10,34.59,48.39,47,8,13,16,4,4,14,16.0,2,5,2.0,Y
501990.12,27888.34,8169.17,1235,724,511,37,132.94,26.19,262,16,79,155,8,8,50,61.45,4,18,2.0,Y
3883.41,215.74,480.8,93,51,42,0,59.53,13.64,32,4,26,19,2,2,8,8.08,1,3,2.0,Y
62299.43,3461.08,1668.34,340,211,129,3,44.68,7.25,85,8,19,64,4,4,14,37.34,2,2,2.0,Y
111439.21,6191.07,2887.03,483,290,193,24,74.79,43.88,123,8,45,55,4,4,23,38.6,2,19,2.0,Y
519.3,28.85,134.89,33,22,11,0,35.04,38.1,31,4,10,13,2,2,8,3.85,1,8,2.0,Y
14596.38,810.91,510.66,138,89,49,4,17.87,21.74,33,0,6,18,0,0,8,28.58,0,1,0.0,Y
19761.56,1097.86,1618.4,293,177,116,6,132.54,15.0,43,0,38,34,0,0,1,12.21,0,0,0.0,N
39084.89,2171.38,2904.96,486,301,185,0,215.91,3.57,60,0,55,54,0,0,2,13.45,0,2,0.0,N
8997.69,499.87,686.26,146,87,59,1,52.34,8.0,30,0,18,23,0,0,3,13.11,0,1,0.0,Y
685.11,38.06,133.22,36,24,12,6,25.9,77.78,12,0,7,2,0,0,1,5.14,0,1,0.0,N
6105.34,339.19,610.53,127,77,50,13,61.05,72.22,22,0,20,5,0,0,2,10.0,0,0,0.0,N
328.18,18.23,109.39,28,19,9,0,36.46,40.0,32,0,9,9,0,0,15,3.0,0,6,0.0,N
3221.11,178.95,340.06,70,39,31,0,35.9,31.82,40,4,18,15,2,2,16,9.47,1,7,2.0,N
1267.48,70.42,131.69,31,17,14,0,13.68,18.18,19,4,8,9,2,2,6,9.63,1,2,2.0,N
2098.48,116.58,272.03,61,34,27,0,35.26,0.0,24,8,14,16,4,4,6,7.71,2,0,2.0,N
3787.08,210.39,353.11,70,37,33,1,32.92,31.82,37,8,20,15,4,4,13,10.73,2,6,2.0,N
371.04,20.61,82.45,23,14,9,0,18.32,0.0,9,0,6,5,0,0,2,4.5,0,0,0.0,N
1143.35,63.52,206.44,47,29,18,0,37.27,0.0,20,4,13,13,2,2,5,5.54,1,0,2.0,N
15883.78,882.43,713.53,135,71,64,0,32.04,12.5,50,18,23,35,8,9,8,22.26,5,5,2.25,N
2418.71,134.37,246.35,57,33,24,0,25.09,0.0,23,0,11,14,0,0,6,9.82,0,0,0.0,N
17851.06,991.73,763.37,139,75,64,0,32.64,11.9,53,18,26,37,8,9,9,23.38,5,5,2.25,N
26259.72,1458.87,925.0,185,112,73,9,32.58,44.83,79,20,18,32,10,10,19,28.39,5,17,2.0,N
107059.51,5947.75,6318.27,918,552,366,9,372.88,16.52,158,0,108,96,0,0,41,16.94,0,10,0.0,N
1034.06,57.45,248.8,55,36,19,3,59.86,47.62,37,0,16,11,0,0,14,4.16,0,7,0.0,Y
7899.91,438.88,623.68,118,61,57,1,49.24,28.21,61,4,27,28,2,2,20,12.67,1,10,2.0,Y
16202.08,900.12,915.37,172,113,59,6,51.72,30.19,72,20,25,37,10,10,17,17.7,5,10,2.0,Y
518878.57,28826.59,10236.58,1472,875,597,2,201.95,2.0,216,8,106,196,4,4,14,50.69,2,2,2.0,Y
