LOC_CODE_AND_COMMENT,CYCLOMATIC_COMPLEXITY,PERCENT_COMMENTS,HALSTEAD_EFFORT,LOC_COMMENTS,NUM_OPERANDS,NUMBER_OF_LINES,CALL_PAIRS,NUM_UNIQUE_OPERATORS,HALSTEAD_PROG_TIME,NUM_OPERATORS,HALSTEAD_ERROR_EST,MAINTENANCE_SEVERITY,LOC_BLANK,HALSTEAD_VOLUME,DESIGN_COMPLEXITY,DECISION_DENSITY,HALSTEAD_LENGTH,PARAMETER_COUNT,HALSTEAD_CONTENT,Defective
0,4,4.6,10577.6,1,51,29,7,16,587.6,78,0.2,0.3,6,700,4,2,129,0,46.3,N
0,2,0,3150.5,0,26,12,8,10,175,48,0.1,0.5,0,339.3,2,2,74,0,36.5,N
1,7,2.8,23842.8,0,77,44,16,19,1324.6,140,0.4,0.1,7,1271.2,6,2,217,0,67.8,N
1,25,7.1,154013.9,8,235,151,36,26,8556.3,445,1.6,0.3,24,4688.5,23,2.4,680,0,142.7,N
0,2,0,1294.3,0,13,9,2,12,71.9,21,0.1,0.5,2,149.3,2,3,34,0,17.2,N
0,2,0,719.4,0,8,7,1,11,40,16,0,0.5,0,98.1,2,2,24,2,13.4,N
0,7,4.6,8678.4,1,37,25,5,15,482.1,64,0.2,0.4,2,500.4,6,2.3,101,0,28.9,N
0,2,0,238.4,0,5,5,3,7,13.2,14,0,0.5,0,68.1,2,2,19,0,19.5,N
0,6,7.7,15944.3,3,83,50,19,15,885.8,140,0.5,0.2,10,1357.5,6,2,223,0,115.6,N
0,7,9.6,32631.1,5,110,63,20,19,1812.8,179,0.6,0.4,10,1811.1,7,2,289,0,100.5,N
0,4,0,1681.9,0,13,17,3,13,93.4,31,0.1,0.8,0,199,2,3,44,0,23.6,N
0,12,1.4,52445.2,1,143,85,10,16,2913.6,230,0.8,0.1,9,2246.3,10,2,373,0,96.2,N
0,3,15.8,6560,3,32,21,5,16,364.4,50,0.1,0.3,0,410,3,2,82,2,25.6,N
0,2,21.7,6765,5,33,24,5,16,375.8,49,0.1,0.5,0,410,2,2,82,1,24.9,N
0,4,0,6175.5,0,26,21,6,18,343.1,57,0.1,0.3,0,422.3,3,2,83,2,28.9,N
0,3,0,1648.2,0,14,12,4,12,91.6,30,0.1,0.3,0,196.2,2,2,44,1,23.4,N
0,2,0,1092.3,0,10,10,1,12,60.7,20,0,0.5,0,127.4,1,2,30,1,14.9,N
0,3,0,2266.4,0,17,15,4,13,125.9,36,0.1,1,0,246.1,3,2,53,1,26.7,N
0,2,0,568.6,0,8,5,3,8,31.6,20,0,0.5,0,106.6,2,3,28,1,20,N
0,2,0,1355.2,0,13,10,5,10,75.3,27,0.1,0.5,0,166.8,2,2,40,0,20.5,N
0,3,0,3685.1,0,21,18,4,14,204.7,43,0.1,1,0,300.8,3,2,64,1,24.6,N
0,2,0,2372.7,0,23,12,6,10,131.8,40,0.1,0.5,0,288.9,2,2,63,0,35.2,N
0,3,0,8310.4,0,33,19,3,18,461.7,55,0.2,1,0,447.7,2,2,88,1,24.1,N
0,2,0,6153,0,32,17,6,16,341.8,49,0.1,0.5,0,408.6,2,2,81,2,27.1,N
0,2,0,2819.4,0,28,13,7,10,156.6,44,0.1,0.5,0,342.4,2,2,72,1,41.6,N
0,2,0,1557.8,0,14,10,3,12,86.5,24,0.1,0.5,0,166.9,2,2,38,1,17.9,N
0,3,0,5590.9,0,32,23,6,15,310.6,55,0.2,0.3,0,442.6,3,2,87,1,35,N
0,2,25,4016.7,6,33,27,7,11,223.2,49,0.1,0.5,2,398.4,2,2,82,1,39.5,N
0,2,0,5014.8,0,28,15,4,15,278.6,45,0.1,0.5,0,358.2,2,2,73,2,25.6,N
0,2,0,2125.5,0,22,12,6,10,118.1,37,0.1,0.5,0,270.5,2,2,59,0,34.4,N
0,2,0,871.6,0,11,6,3,11,48.4,19,0,0.5,1,129.7,2,2,30,0,19.3,N
0,2,41.7,3243.3,5,19,16,5,13,180.2,34,0.1,0.5,3,236.4,2,2,53,0,17.2,N
0,2,0,822.4,0,8,8,2,9,45.7,22,0,0.5,1,114.2,2,2,30,1,15.9,N
0,4,11.9,51383.1,5,144,56,21,18,2854.6,203,0.7,0.3,13,2141,4,2,347,1,89.2,N
0,6,0,13948.3,0,39,29,6,19,774.9,72,0.2,0.2,5,564.7,4,2.3,111,2,22.9,N
0,3,0,2092.8,0,16,11,5,13,116.3,36,0.1,1,1,241.5,3,2,52,1,27.9,N
0,2,0,781.7,0,10,9,4,9,43.4,24,0.1,0.5,1,139,2,2,34,0,24.7,N
0,2,0,2782.7,0,18,11,4,13,154.6,30,0.1,0.5,1,214.1,2,2,48,1,16.5,N
0,4,0,2976.5,0,18,10,4,14,165.4,29,0.1,0.3,1,212.6,3,4,47,2,15.2,N
0,2,0,1679.1,0,14,10,3,12,93.3,23,0.1,0.5,1,159.9,2,2,37,1,15.2,N
0,2,0,1609.1,0,22,12,4,9,89.4,34,0.1,0.5,2,260.1,1,2,56,3,42,N
0,2,0,6172.9,0,34,13,7,14,342.9,55,0.2,0.5,0,440.9,2,2,89,0,31.5,N
0,2,41.7,2752.1,5,18,16,5,13,152.9,34,0.1,0.5,3,235.2,2,2,52,0,20.1,N
0,7,14.9,68305.5,10,158,86,19,19,3794.8,239,0.8,0.1,18,2457.4,7,2,397,1,88.4,N
0,6,37.5,14702.3,15,39,45,6,19,816.8,78,0.2,0.2,4,595.2,4,2.3,117,2,24.1,N
0,4,0,6896.2,0,29,25,7,16,383.1,61,0.2,0.8,2,445.9,4,2,90,1,28.8,N
0,2,0,2898.6,0,18,11,4,13,161,32,0.1,0.5,1,223,2,2,50,1,17.2,N
0,2,0,1679.1,0,14,10,3,12,93.3,23,0.1,0.5,1,159.9,2,2,37,1,15.2,N
0,2,0,5883.9,0,34,13,8,14,326.9,55,0.2,0.5,0,445,2,2,89,0,33.7,N
0,2,0,502.3,0,9,6,3,8,27.9,16,0,0.5,0,97.7,2,2,25,2,19,N
0,6,4.8,19748.3,1,60,28,8,20,1097.1,110,0.3,0.8,5,954.5,6,2.3,170,2,46.1,N
0,7,14.8,22872.1,4,67,35,10,19,1270.7,125,0.4,0.4,6,1078,7,2.2,192,2,50.8,N
0,7,4.6,8678.4,1,37,25,5,15,482.1,64,0.2,0.4,2,500.4,6,2.3,101,0,28.9,N
0,8,5.7,30048.4,3,93,64,15,21,1669.4,153,0.5,0.6,10,1507.8,8,2.3,246,0,75.7,N
0,4,0,1681.9,0,13,17,3,13,93.4,31,0.1,0.8,0,199,2,3,44,0,23.6,N
0,8,6.9,26283.4,4,98,73,14,16,1460.2,161,0.5,0.1,13,1542.1,8,2,259,0,90.5,N
0,6,3.6,10710.9,1,55,33,9,13,595.1,97,0.3,0.7,4,808.9,6,2,152,0,61.1,N
0,2,0,1800.5,0,19,9,4,10,100,32,0.1,0.5,0,227.4,2,2,51,0,28.7,N
0,12,0,24374.2,0,68,35,9,22,1354.1,118,0.4,0.6,5,1075.3,10,2.8,186,3,47.4,N
0,10,1.5,51033.6,1,109,75,17,19,2835.2,205,0.6,0.1,6,1823.5,9,2,314,0,65.2,N
0,3,0,9151.3,0,40,20,5,18,508.4,61,0.2,0.3,4,533.8,3,2,101,2,31.1,N
0,11,6.8,33320.9,3,79,50,14,20,1851.2,164,0.5,0.1,5,1391.9,10,2.1,243,1,58.1,N
0,5,0,6656.3,0,35,19,7,15,369.8,68,0.2,0.2,3,532.5,5,2,103,3,42.6,N
0,6,3.5,8112.6,1,46,32,6,13,450.7,79,0.2,0.2,1,651.2,4,2,125,0,52.3,N
1,18,25.7,178710.3,27,232,121,28,29,9928.4,376,1.4,0.6,9,4090.6,15,2.2,608,3,93.6,N
0,2,0,1800.5,0,19,10,4,10,100,32,0.1,0.5,0,227.4,2,2,51,0,28.7,N
0,7,0,34291.9,0,128,73,15,15,1905.1,183,0.6,0.6,14,1893.2,5,2,311,2,104.5,N
0,5,2.2,63297.5,1,134,54,13,22,3516.5,214,0.7,0.2,8,2147.1,5,2,348,0,72.8,N
0,10,3.3,39892.1,2,92,66,18,25,2216.2,177,0.6,0.5,5,1665.1,8,2,269,0,69.5,N
0,2,0,1240.6,0,14,10,2,10,68.9,20,0.1,0.5,0,141.8,2,2,34,2,16.2,N
0,4,0,6006,0,24,12,5,18,333.7,44,0.1,1,0,333.7,3,4,68,1,18.5,N
0,2,0,4119,0,21,11,2,17,228.8,36,0.1,0.5,0,276.9,2,2,57,2,18.6,N
0,3,0,6086.8,0,25,12,2,20,338.2,42,0.1,1,0,340.9,2,3,67,3,19.1,N
0,7,19.1,22864.7,8,68,53,10,21,1270.3,125,0.4,0.1,9,1120.8,6,2,193,1,54.9,N
0,4,0,9878.2,0,48,22,11,16,548.8,80,0.2,0.3,1,694.6,3,2,128,1,48.8,N
0,13,20,70666.9,13,127,77,14,24,3925.9,221,0.7,0.1,10,2133,12,2.1,348,1,64.4,N
1,19,9.7,223888.4,12,335,153,32,24,12438.2,532,2,0.2,16,6126.3,16,2,867,0,167.6,N
0,6,0,10037.7,0,42,19,6,18,557.7,72,0.2,0.2,3,610.8,5,2.3,114,3,37.2,N
0,2,0,1800.5,0,19,10,4,10,100,32,0.1,0.5,0,227.4,2,2,51,0,28.7,N
0,14,0,72932.9,0,119,45,7,17,4051.8,204,0.6,0.6,6,1730.5,14,2.4,323,2,41.1,N
0,3,0,1593,0,17,10,4,9,88.5,36,0.1,0.3,0,229.1,3,2,53,1,32.9,N
1,21,17.5,120439.5,13,180,88,27,30,6691.1,307,1.1,0.4,6,3256.3,19,2.2,487,3,88,N
0,4,6.3,3349,1,26,19,5,13,186.1,46,0.1,0.3,1,356.7,2,2,72,0,38,N
0,7,0,30243.3,0,74,40,11,21,1680.2,126,0.4,0.7,5,1128.8,6,2,200,2,42.1,N
0,2,0,1066,0,13,9,5,8,59.2,28,0.1,0.5,1,164,2,2,41,2,25.2,Y
0,9,0,8150.5,0,44,21,1,9,452.8,76,0.2,0.1,0,535.1,8,2,120,1,35.1,N
0,8,5.9,37151,3,108,60,7,17,2063.9,158,0.5,0.1,7,1537.8,6,2,266,0,63.7,N
0,10,16.4,47999.3,9,114,65,13,20,2666.6,183,0.6,0.1,8,1768.4,8,2,297,2,65.2,N
0,3,0,5396.1,0,39,18,9,12,299.8,57,0.2,0.3,1,484.3,3,2,96,2,43.5,Y
0,5,0,6361.1,0,35,26,5,12,353.4,71,0.2,0.8,4,515,5,2,106,1,41.7,N
0,9,0,9917.4,0,47,26,5,13,551,87,0.2,1,4,681.7,9,3,134,1,46.9,Y
1,10,10.6,15290.2,4,58,52,9,15,849.5,118,0.3,0.1,3,949.1,8,2,176,0,58.9,N
0,13,9.2,76313.1,6,125,79,16,29,4239.6,226,0.7,0.5,12,2231.5,12,2.1,351,3,65.3,Y
0,6,0,11268.3,0,42,28,3,17,626,74,0.2,0.2,3,599.7,2,2,116,1,31.9,N
1,5,2.1,33861.9,0,112,56,20,18,1881.2,173,0.6,0.6,7,1746.9,5,2,285,0,90.1,Y
0,10,2.7,50170.6,2,142,84,21,18,2787.3,243,0.8,0.7,7,2433.9,10,2,385,0,118.1,N
0,14,0.9,252155.8,1,308,127,27,25,14008.7,521,1.9,0.1,19,5632.6,10,2,829,0,125.8,Y
0,3,21.4,2569.9,3,19,17,5,12,142.8,40,0.1,0.3,1,270.5,3,2,59,0,28.5,Y
1,3,14.3,4832.7,1,33,21,10,13,268.5,60,0.2,0.3,5,473.1,3,2,93,1,46.3,Y
0,3,36.8,3208.1,7,21,23,6,13,178.2,44,0.1,0.3,2,305.5,3,2,65,1,29.1,Y
0,5,0,13404.5,0,56,28,6,12,744.7,97,0.3,0.2,2,758,4,2,153,1,42.9,N
0,4,29.4,3814.6,5,23,21,6,14,211.9,46,0.1,0.3,2,331.7,4,2,69,1,28.8,Y
0,2,10,4119,1,21,12,2,17,228.8,36,0.1,0.5,0,276.9,2,2,57,2,18.6,Y
0,3,9.1,6086.8,1,25,13,2,20,338.2,42,0.1,1,0,340.9,2,3,67,3,19.1,Y
1,4,4.6,6017.7,0,31,28,6,15,334.3,57,0.2,0.3,5,440,3,2,88,0,32.2,Y
0,4,0,4980.4,0,28,19,4,14,276.7,46,0.1,0.3,2,355.7,3,2,74,0,25.4,Y
0,22,9,169489,11,265,144,28,24,9416.1,450,1.6,0.4,21,4903.5,19,2.1,715,1,141.9,Y
1,3,15.8,9703.7,2,47,25,7,15,539.1,78,0.2,0.3,3,660.7,1,2,125,0,45,N
0,5,8,3988.7,2,30,31,8,13,221.6,61,0.2,0.2,5,470.5,5,2,91,0,55.5,Y
2,15,14,114410.4,12,189,122,17,26,6356.1,306,1.1,0.1,19,3259.6,9,2,495,0,92.9,Y
0,5,4.6,3218.6,1,18,24,5,13,178.8,48,0.1,0.6,1,302.6,4,2,66,1,28.5,N
0,5,5.9,6590,1,26,23,5,17,366.1,53,0.1,0.6,4,387.6,4,2.3,79,0,22.8,N
0,2,0,1189.3,0,11,13,2,11,66.1,22,0.1,0.5,2,137.6,2,2,33,0,15.9,N
0,4,0,3029.4,0,16,15,1,12,168.3,36,0.1,0.3,1,220.9,4,2,52,0,16.1,N
