LOC_CODE_AND_COMMENT,PERCENT_COMMENTS,LOC_COMMENTS,LOC_TOTAL,DECISION_COUNT,HALSTEAD_PROG_TIME,LOC_EXECUTABLE,NODE_COUNT,NUMBER_OF_LINES,LOC_BLANK,DECISION_DENSITY,NUM_UNIQUE_OPERANDS,NUM_OPERATORS,NORMALIZED_CYLOMATIC_COMPLEXITY,HALSTEAD_VOLUME,HALSTEAD_LENGTH,HALSTEAD_DIFFICULTY,PARAMETER_COUNT,HALSTEAD_CONTENT,CONDITION_COUNT,Defective
15,30.5,3,56,14,2257.9,41,27,70,9,2,18,137,0.1,1075.8,205,37.8,1,28.5,28,Y
0,0,0,12,0,85.3,12,3,19,5,0,9,30,0.1,191.8,46,8,1,24,0,N
23,50.9,5,50,14,1643.1,27,30,67,10,2,22,120,0.1,1007.2,188,29.4,1,34.3,28,Y
5,18.6,3,40,10,1140,35,21,54,9,2,18,93,0.1,760,147,27,1,28.2,20,Y
14,42.1,10,47,12,744.7,33,29,78,19,2.3,27,100,0.1,846.6,157,15.8,0,53.5,28,Y
2,27.3,1,10,2,91.7,8,7,17,4,2,7,22,0.1,150.1,36,11,0,13.7,4,N
6,32,2,23,6,184,17,11,32,5,2,9,35,0.1,246.4,57,13.4,0,18.3,12,Y
3,17.9,2,26,6,443.7,23,13,34,4,2,6,50,0.1,311.2,72,25.7,0,12.1,12,Y
0,0,0,5,2,40.8,5,7,10,2,5,5,23,0.4,114.7,31,6.4,0,17.9,10,N
1,8.3,0,12,4,94.9,11,8,22,3,2,6,26,0.1,155.3,38,11,5,14.1,8,Y
1,17.7,2,15,4,144.4,14,10,25,6,2,7,25,0.1,178.4,42,14.6,0,12.2,8,Y
8,35.1,19,58,20,6158,50,57,105,23,2.1,87,301,0.1,3614.5,533,30.7,2,117.9,42,Y
8,28.8,11,55,16,3662.8,47,41,85,17,2,62,205,0.1,2390.4,376,27.6,1,86.7,32,N
6,43.6,11,28,8,370.6,22,19,58,17,2,20,68,0.1,523.2,102,12.8,0,41,16,Y
0,12,3,22,6,562.9,22,14,31,4,2,9,66,0.1,434.3,96,23.3,1,18.6,12,N
6,32.7,10,39,10,2447.8,33,18,60,9,2,19,140,0.1,1122.9,211,39.2,1,28.6,20,N
62,36.1,13,195,0,77873.3,133,2,224,14,0,88,1687,0,19006.4,2867,73.8,0,257.7,0,Y
2,53.9,5,8,4,104.7,6,9,20,3,2,7,20,0.2,145,33,13,3,11.2,8,Y
2,24.2,6,27,8,443.9,25,18,41,6,2,18,55,0.1,473.1,93,16.9,0,28,16,Y
0,0,0,0,0,0,0,2,1,0,0,0,2,1,2,2,0,0,0,0,N
1,15.4,1,12,2,134.7,11,6,21,6,2,9,37,0.1,233.4,54,10.4,1,22.5,4,Y
0,0,0,6,0,19.7,6,4,10,2,0,5,14,0.1,74,20,4.8,0,15.4,0,N
17,90,1,19,2,239.1,2,9,25,3,4,9,49,0.2,307.5,70,14,1,22,8,Y
27,42.7,11,78,22,4623.8,51,48,102,11,2.3,24,189,0.2,1638.6,295,50.8,1,32.3,50,Y
15,48.3,13,45,8,1387.4,30,23,72,12,2,21,112,0.1,925,175,27,0,34.3,16,Y
0,0,0,10,0,81.7,10,3,17,5,0,7,31,0.1,176,44,8.4,1,21.1,0,N
0,0,0,11,0,93.9,11,3,18,5,0,8,34,0.1,200.3,49,8.4,1,23.7,0,N
1,8.3,0,12,2,104.7,11,8,16,2,2,10,37,0.1,228.4,52,8.3,1,27.7,4,Y
1,60,2,3,0,4.5,2,2,8,1,0,2,7,0.1,27,9,3,1,9,0,Y
1,34.8,7,16,2,179.5,15,7,33,8,2,9,37,0.1,258.5,62,12.5,1,20.7,4,Y
9,33.3,0,27,6,518.6,18,20,33,4,3,8,66,0.2,414.9,96,22.5,1,18.4,18,Y
8,39.1,10,36,12,332.7,28,26,60,12,2,26,72,0.1,603.5,115,9.9,0,60.8,24,Y
0,0,0,7,0,72.1,7,3,16,3,0,9,25,0.1,171.7,42,7.6,5,22.7,0,N
55,26.2,0,210,0,17002.2,155,197,226,14,0,601,1430,0,26219.5,2833,11.7,0,2246.3,0,Y
18,37.3,7,60,10,9271.8,42,32,85,16,2.2,25,275,0.2,2302,400,72.5,1,31.8,22,N
0,0,0,8,0,124.9,8,2,14,4,0,6,35,0.1,204.3,57,11,1,18.6,0,N
0,0,0,8,0,124.9,8,2,14,4,0,6,35,0.1,204.3,57,11,1,18.6,0,N
1,28.6,1,6,0,14.2,5,4,13,4,0,5,11,0.1,60.9,17,4.2,1,14.5,0,N
0,12.5,1,7,0,57.1,7,3,14,4,0,7,21,0.1,137.1,36,7.5,1,18.3,0,N
4,25.6,6,33,4,922.4,29,15,53,12,2.5,24,125,0.1,937.6,175,17.7,1,53,10,N
0,50,4,4,0,7.5,4,3,13,3,0,5,8,0.1,45,13,3,0,15,0,N
0,0,0,5,0,16,5,3,9,2,0,6,12,0.1,70.3,19,4.1,0,17.2,0,N
1,50,2,4,0,10.5,3,3,11,3,0,5,10,0.1,53.8,15,3.5,0,15.4,0,Y
0,25,1,3,0,3.8,3,3,8,2,0,3,6,0.1,27,9,2.5,0,10.8,0,N
0,0,0,3,0,3.1,3,2,7,2,0,2,6,0.1,22.5,8,2.5,0,9,0,N
0,25,1,3,0,3.8,3,3,8,2,0,3,6,0.1,27,9,2.5,0,10.8,0,N
0,0,0,2,0,0,2,2,5,1,0,0,3,0.2,4.8,3,0,0,0,0,N
0,0,0,3,0,2,3,2,6,1,0,2,5,0.2,18.1,7,2,0,9.1,0,N
0,0,0,3,0,3.1,3,2,7,2,0,2,6,0.1,22.5,8,2.5,0,9,0,N
0,0,0,3,0,3.1,3,2,7,2,0,2,6,0.1,22.5,8,2.5,0,9,0,N
0,6.7,2,28,4,291.7,28,11,38,6,2,14,53,0.1,389.9,82,13.5,1,29,8,N
2,12.9,2,29,4,444.4,27,10,38,5,2,14,72,0.1,500,104,16,1,31.3,8,Y
0,0,0,10,0,76.1,10,3,17,5,0,7,28,0.1,164,41,8.4,1,19.6,0,N
0,0,0,10,0,87.3,10,3,17,5,0,7,34,0.1,188,47,8.4,1,22.5,0,N
0,18.2,6,27,2,659.9,27,7,48,13,2,13,95,0,625.2,133,19,1,32.9,4,N
0,16.1,5,26,2,664.9,26,7,43,10,2,13,96,0.1,629.9,134,19,1,33.2,4,N
14,66.7,10,26,10,598.4,12,26,51,13,2.6,19,67,0.2,539.2,100,20,0,27,26,Y
4,40,8,22,6,493,18,16,40,8,3.3,16,63,0.2,482.2,94,18.4,1,26.2,20,Y
19,55.2,29,58,14,3477.3,39,34,120,31,2.7,28,165,0.1,1508.9,266,41.5,0,36.4,38,Y
4,39.6,17,36,4,1241.8,32,11,75,18,2,15,112,0,825.9,170,27.1,2,30.5,8,N
18,54.5,43,69,18,6805.9,51,33,150,36,2.1,11,187,0.1,1395,279,87.8,0,15.9,38,Y
5,16.9,6,59,14,2966.4,54,29,76,9,2.1,31,142,0.1,1393.3,241,38.3,0,36.4,30,Y
0,11.1,1,8,2,59.1,8,6,14,3,2,9,23,0.1,147.2,33,7.2,0,20.4,4,N
3,30,0,10,2,85.8,7,7,15,3,4,9,24,0.3,168.6,39,9.2,0,18.4,8,Y
17,80,7,23,8,239.6,6,15,39,7,2.3,14,43,0.2,331.7,69,13,1,25.5,18,Y
2,15.4,0,13,2,80.1,11,6,19,4,2,14,24,0.1,201.7,44,7.1,1,28.2,4,N
1,16.7,0,6,2,18.6,5,5,10,2,2,6,13,0.2,74.2,19,4.5,0,16.5,4,Y
1,12.5,0,8,2,19.8,7,5,13,3,2,7,12,0.2,78.1,20,4.6,0,17.1,4,Y
1,12.5,0,8,2,37.9,7,5,13,3,2,8,16,0.2,110.4,27,6.2,1,17.8,4,Y
0,0,0,9,2,79.7,9,8,14,3,3,9,21,0.2,153.7,35,9.3,1,16.5,6,N
2,30,1,9,2,66.9,7,7,15,3,3,9,26,0.2,164.2,38,7.3,0,22.4,6,Y
0,11.8,2,15,6,134.4,15,13,23,4,2,13,28,0.2,230.3,49,10.5,0,21.9,12,N
0,0,0,8,2,18.9,8,6,14,4,2,7,11,0.1,74.2,19,4.6,1,16.2,4,N
0,0,0,4,0,2.5,4,3,9,3,0,3,5,0.1,22.5,8,2,0,11.2,0,N
1,9.1,0,11,4,25.2,10,7,16,3,2,9,15,0.2,102.2,25,4.4,0,23,8,Y
0,0,0,8,2,19.8,8,5,13,3,2,7,12,0.2,78.1,20,4.6,0,17.1,4,N
0,0,0,14,4,125,14,9,20,4,2,13,29,0.2,232.2,50,9.7,0,24,8,N
4,36.4,0,11,4,29,7,8,16,3,2,9,15,0.2,104.3,25,5,1,20.9,8,Y
0,0,0,14,4,125,14,9,20,4,2,13,29,0.2,232.2,50,9.7,0,24,8,N
1,8.3,0,12,2,82.9,11,6,18,4,2,12,22,0.1,180.9,40,8.3,1,21.9,4,N
0,0,0,8,2,40.3,8,6,13,3,2,9,17,0.2,120.9,29,6,1,20.2,4,N
0,0,0,8,2,33.2,8,7,13,3,2,8,16,0.2,106.3,26,5.6,0,18.9,4,N
0,0,0,15,2,90.9,15,6,20,3,2,13,27,0.1,212.6,47,7.7,0,27.6,4,N
0,0,0,8,2,18.9,8,5,13,3,2,7,11,0.2,74.2,19,4.6,1,16.2,4,N
0,0,0,11,2,107.7,11,8,16,3,5,9,29,0.3,191.8,43,10.1,1,19,10,N
1,8.3,0,12,2,60.8,11,6,18,4,2,13,20,0.1,167.4,37,6.5,2,25.6,4,N
0,0,0,3,0,2,3,3,8,3,0,2,5,0.1,18.1,7,2,0,9.1,0,N
1,16.7,2,16,4,144.4,15,11,24,4,2,15,28,0.1,250,52,10.4,0,24,8,Y
0,7.7,1,12,4,67.3,12,11,18,3,2,13,23,0.2,178.8,39,6.8,0,26.4,8,N
1,8.3,0,12,4,108.3,11,8,17,3,2,10,22,0.2,176.4,39,11.1,1,16,8,Y
6,22,21,102,38,13552.2,96,75,144,19,2,27,267,0.1,2677.4,472,91.1,1,29.4,76,Y
0,70,7,3,0,5.5,3,2,16,4,0,2,9,0.1,33,11,3,1,11,0,N
5,30.8,11,41,8,2623.2,36,21,77,23,2,22,138,0.1,1207.9,224,39.1,1,30.9,16,Y
5,36.7,13,36,6,1600.2,31,21,76,25,2,25,100,0.1,971.8,178,29.6,1,32.8,12,N
20,32.8,20,102,26,12908.9,82,49,143,19,2.1,21,266,0.1,2360.7,425,98.4,1,24,54,Y
1,18.2,3,19,6,151.6,18,12,28,4,2,7,23,0.1,172.9,40,15.8,0,11,12,Y
4,42.1,4,15,2,230.8,11,8,29,8,2,17,45,0.1,353.1,70,11.8,1,30,4,N
2,15.5,7,51,8,2185,49,15,78,18,2,17,142,0.1,1099.7,218,35.8,1,30.8,16,Y
1,10.3,2,27,2,233,26,12,41,10,2,15,46,0.1,341.8,69,12.3,1,27.9,4,Y
0,0,0,4,0,17.4,4,3,8,2,0,4,15,0.1,69.8,21,4.5,1,15.5,0,N
11,34.2,16,63,20,3759.6,52,43,95,14,2.2,23,154,0.1,1368.3,245,49.5,0,27.7,44,Y
9,39,14,45,6,1699.7,36,15,81,20,2.3,16,153,0.1,1055,211,29,1,36.4,14,Y
3,35.7,2,12,2,101.2,9,8,23,7,2,11,23,0.1,185.5,41,9.8,1,18.9,4,Y
1,7.1,0,14,4,227.2,13,9,21,5,2,12,36,0.1,278.8,58,14.7,1,19,8,Y
21,52.4,1,41,6,570,20,13,49,5,2,17,92,0.1,660.7,136,15.5,1,42.5,12,Y
0,0,0,3,0,4.5,3,2,8,3,0,2,7,0.1,27,9,3,1,9,0,N
9,43.9,9,32,12,475.3,23,25,50,7,2,15,74,0.1,533.6,111,16,0,33.3,24,Y
4,23.7,5,33,10,1039.6,29,22,46,6,2.6,13,80,0.2,614.3,124,30.5,0,20.2,26,Y
1,20,6,29,6,815.4,28,18,43,6,3.7,8,64,0.2,444.7,97,33,0,13.5,22,Y
1,10,0,10,2,189.5,9,6,16,4,2,7,37,0.1,227.4,51,15,0,15.2,4,Y
0,31.6,6,13,4,88.2,13,8,26,5,2.5,8,21,0.2,151.3,35,10.5,1,14.4,10,N
1,12.5,0,8,2,61.1,7,6,12,2,2,5,15,0.2,100,25,11,2,9.1,4,N
14,81.8,4,18,4,117.3,4,10,26,2,2,5,28,0.1,160,40,13.2,0,12.1,8,Y
0,16.7,2,10,6,219.6,10,12,17,3,3,7,32,0.3,219.6,50,18,0,12.2,18,N
3,50,0,6,0,35.2,3,2,10,2,0,6,19,0.1,105.5,27,6,0,17.6,0,Y
0,0,0,15,2,327.7,15,9,21,4,2,8,42,0.1,304.4,73,19.4,0,15.7,4,N
0,13.6,3,19,4,432,19,12,32,8,2,11,47,0.1,376,82,20.7,0,18.2,8,N
12,27.1,27,117,14,8205.3,105,48,200,54,2,51,376,0,3996,666,37,0,108.1,28,Y
0,40,4,6,0,5,6,6,20,8,0,4,11,0.1,45,15,2,0,22.5,0,N
2,25,0,8,2,56.5,6,6,13,3,2,5,16,0.2,102.8,27,9.9,0,10.4,4,Y
6,31.1,8,37,2,1759.7,31,7,62,15,2,22,118,0,1067.9,205,29.7,0,36,4,N
10,30.9,7,48,4,3129.7,38,16,83,26,2,15,159,0,1302,277,43.3,0,30.1,8,Y
10,48.4,5,26,4,491.9,16,12,47,14,2,13,74,0.1,553.4,126,16,0,34.6,8,Y
37,26.2,18,192,8,27888.3,155,24,262,50,2,79,724,0,8169.2,1235,61.5,0,132.9,16,Y
0,13.6,3,19,2,215.7,19,7,32,8,2,26,51,0.1,480.8,93,8.1,0,59.5,4,Y
3,7.3,2,67,4,3461.1,64,9,85,14,2,19,211,0,1668.3,340,37.3,0,44.7,8,Y
24,43.9,19,79,4,6191.1,55,10,123,23,2,45,290,0,2887,483,38.6,0,74.8,8,Y
0,38.1,8,13,2,28.9,13,11,31,8,2,10,22,0.1,134.9,33,3.9,0,35,4,Y
4,21.7,1,22,0,810.9,18,2,33,8,0,6,89,0,510.7,138,28.6,0,17.9,0,Y
6,15,0,40,0,1097.9,34,2,43,1,0,38,177,0,1618.4,293,12.2,0,132.5,0,N
0,3.6,2,54,0,2171.4,54,2,60,2,0,55,301,0,2905,486,13.5,0,215.9,0,N
1,8,1,24,0,499.9,23,2,30,3,0,18,87,0,686.3,146,13.1,0,52.3,0,Y
6,77.8,1,8,0,38.1,2,2,12,1,0,7,24,0.1,133.2,36,5.1,0,25.9,0,N
13,72.2,0,18,0,339.2,5,2,22,2,0,20,77,0.1,610.5,127,10,0,61.1,0,N
0,40,6,9,0,18.2,9,9,32,15,0,9,19,0,109.4,28,3,0,36.5,0,N
0,31.8,7,15,2,179,15,12,40,16,2,18,39,0.1,340.1,70,9.5,0,35.9,4,N
0,18.2,2,9,2,70.4,9,7,19,6,2,8,17,0.1,131.7,31,9.6,0,13.7,4,N
0,0,0,16,4,116.6,16,12,24,6,2,14,34,0.1,272,61,7.7,0,35.3,8,N
1,31.8,6,16,4,210.4,15,13,37,13,2,20,37,0.1,353.1,70,10.7,0,32.9,8,N
0,0,0,5,0,20.6,5,2,9,2,0,6,14,0.1,82.5,23,4.5,0,18.3,0,N
0,0,0,13,2,63.5,13,8,20,5,2,13,29,0.1,206.4,47,5.5,0,37.3,4,N
0,12.5,5,35,8,882.4,35,24,50,8,2.3,23,71,0.1,713.5,135,22.3,0,32,18,N
0,0,0,14,0,134.4,14,7,23,6,0,11,33,0,246.4,57,9.8,2,25.1,0,N
0,11.9,5,37,8,991.7,37,23,53,9,2.3,26,75,0.1,763.4,139,23.4,0,32.6,18,N
9,44.8,17,41,10,1458.9,32,23,79,19,2,18,112,0.1,925,185,28.4,0,32.6,20,N
9,16.5,10,105,0,5947.8,96,2,158,41,0,108,552,0,6318.3,918,16.9,0,372.9,0,N
3,47.6,7,14,0,57.5,11,12,37,14,0,16,36,0,248.8,55,4.2,0,59.9,0,Y
1,28.2,10,29,2,438.9,28,16,61,20,2,27,61,0,623.7,118,12.7,0,49.2,4,Y
6,30.2,10,43,10,900.1,37,20,72,17,2,25,113,0.1,915.4,172,17.7,0,51.7,20,Y
2,2,2,198,4,28826.6,196,10,216,14,2,106,875,0,10236.6,1472,50.7,0,202,8,Y
0,30,6,14,0,62.7,14,7,32,10,0,11,33,0,208.5,50,5.4,0,38.6,0,N
7,68.8,4,12,2,92.2,5,6,27,7,2,7,26,0.1,161.4,38,10.3,3,15.7,4,Y
1,20,1,9,2,64.1,8,7,16,4,2,6,17,0.1,114.5,28,10.1,0,11.4,4,N
7,40.9,11,33,10,1349.7,26,25,67,21,2.2,20,112,0.1,920.3,178,26.4,0,34.9,22,Y
0,12.5,3,21,10,461.9,21,19,35,9,2.2,10,46,0.2,357.6,77,23.3,0,15.4,22,N
2,31.3,8,24,10,401.9,22,25,57,17,2,23,49,0.1,523.2,102,13.8,7,37.8,20,N
1,18.2,1,10,2,39.8,9,5,17,4,2,4,17,0.1,89.6,25,8,0,11.2,4,Y
10,29.1,13,66,14,3839.3,56,33,112,27,2,25,151,0.1,1553.7,290,44.5,5,34.9,28,Y
1,46.5,19,24,2,404.6,23,13,67,22,2,11,58,0,421.7,96,17.3,0,24.4,4,N
0,30.4,7,16,8,619.2,16,19,40,11,2,14,48,0.1,470.7,99,23.7,5,19.9,16,N
1,29.4,4,13,2,93.1,12,5,25,6,2,8,27,0.1,174.2,41,9.6,0,18.1,4,Y
4,28.4,19,62,4,17843.6,58,15,117,34,2,29,400,0,3855.3,702,83.3,0,46.3,8,N
0,0,0,2,2,22,2,2,7,2,2,4,14,0.1,70.3,19,5.6,2,12.5,4,N
1,28.1,8,24,6,702.1,23,15,45,11,2,17,62,0.1,549.5,108,23,0,23.9,12,Y
8,39.4,5,28,2,3144,20,24,41,6,2,22,169,0.1,1469.1,282,38.5,0,38.1,4,Y
68,51.1,28,160,34,33743.8,92,97,217,27,2.1,71,594,0.1,7187.4,1094,84.5,0,85.1,70,Y
2,21.2,5,28,10,2334.2,26,21,38,3,2,21,123,0.2,1128.3,215,37.2,0,30.3,20,N
12,72.7,12,21,2,143.9,9,19,51,16,2,25,46,0,385.5,74,6.7,0,57.4,4,Y
19,68.8,34,43,6,594.7,24,27,117,38,2,44,89,0,923.6,157,11.6,0,79.7,12,Y
13,45.2,6,36,6,622.3,23,17,61,17,2.7,16,65,0.1,524,103,21.4,1,24.5,16,Y
5,40.9,4,18,6,238.3,13,16,33,9,2,14,38,0.1,318.6,67,13.5,0,23.7,12,Y
