DESIGN_DENSITY,NUM_OPERANDS,NUM_OPERATORS,LOC_TOTAL,LOC_EXECUTABLE,ESSENTIAL_COMPLEXITY,NUMBER_OF_LINES,EDGE_COUNT,CONDITION_COUNT,DECISION_DENSITY,BRANCH_COUNT,MULTIPLE_CONDITION_COUNT,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,HALSTEAD_ERROR_EST,CYCLOMATIC_COMPLEXITY,NODE_COUNT,NUM_UNIQUE_OPERANDS,DECISION_COUNT,CALL_PAIRS,Defective
1.0,133,194,77,77,1,118,94,38,2.11,37,19,0.04,10,0.72,26,70,69,18,23,Y
1.0,79,145,67,67,1,91,58,12,2.0,25,6,0.05,3,0.48,21,39,57,6,22,N
1.0,86,125,56,56,1,76,74,32,2.29,25,16,0.07,9,0.41,15,61,41,14,17,Y
1.0,11,15,10,10,1,14,7,4,2.0,3,2,0.5,1,0.03,2,7,8,2,2,N
1.0,32,45,29,29,1,43,17,4,2.0,7,2,0.2,1,0.14,5,14,23,2,4,N
0.44,120,156,61,61,12,83,74,52,2.89,35,48,0.67,17,0.59,18,58,62,18,9,N
1.0,9,10,9,9,1,11,6,4,2.0,3,2,0.5,1,0.02,2,6,7,2,2,N
0.75,160,248,77,77,5,109,49,28,2.0,15,14,0.63,7,0.87,8,43,57,14,14,N
1.0,56,66,28,28,1,42,32,8,2.0,7,4,0.25,2,0.23,4,30,38,4,15,N
1.0,15,17,12,12,1,14,11,8,2.0,5,4,0.33,2,0.05,3,10,13,4,4,N
0.9,51,59,32,32,4,38,37,32,2.29,19,16,0.4,9,0.21,10,29,33,14,6,N
1.0,19,32,20,20,1,24,17,8,2.0,8,4,0.2,2,0.08,5,14,15,4,5,N
0.86,55,75,29,28,5,42,27,18,3.0,13,9,0.71,6,0.25,7,22,36,6,3,N
0.61,107,125,71,71,10,94,85,60,2.31,35,30,0.56,17,0.47,18,69,48,26,12,Y
1.0,22,27,16,16,1,24,17,4,2.0,3,2,0.5,1,0.07,2,17,17,2,10,N
1.0,45,55,20,20,1,29,13,4,2.0,3,2,0.5,1,0.18,2,13,31,2,9,N
1.0,8,9,6,6,1,8,7,4,2.0,3,2,0.5,1,0.02,2,7,8,2,3,N
1.0,28,33,18,18,1,27,21,8,2.0,5,4,0.33,2,0.1,3,20,24,4,10,N
0.83,61,79,36,36,5,59,35,18,2.25,11,9,0.83,5,0.28,6,31,43,8,12,N
0.2,15,32,11,11,5,14,16,14,2.33,9,7,1.0,4,0.08,5,13,8,6,0,N
0.5,9,17,10,10,1,13,7,4,2.0,3,2,0.5,1,0.04,2,7,7,2,1,N
0.4,29,29,14,14,1,21,21,16,2.0,9,8,0.2,4,0.09,5,18,11,8,1,N
1.0,37,47,25,25,1,38,26,8,2.0,7,4,0.25,2,0.15,4,24,28,4,13,N
0.33,17,36,12,12,1,15,12,8,2.0,5,4,0.33,2,0.08,3,11,9,4,1,N
1.0,82,142,53,53,1,72,40,4,2.0,15,2,0.08,1,0.46,13,29,44,2,15,N
1.0,14,17,6,6,1,15,9,4,2.0,3,2,0.5,1,0.04,2,9,10,2,3,N
1.0,53,56,25,9,1,27,21,4,2.0,3,2,0.5,1,0.19,2,21,33,2,2,N
1.0,53,56,25,9,1,27,21,4,2.0,3,2,0.5,1,0.19,2,21,31,2,2,N
1.0,13,21,12,12,1,20,9,4,2.0,3,2,0.5,1,0.05,2,9,8,2,2,N
1.0,53,56,25,9,1,27,21,4,2.0,3,2,0.5,1,0.19,2,21,33,2,2,N
0.5,33,49,20,20,1,33,24,20,2.0,11,10,0.17,5,0.14,6,20,17,10,2,N
0.88,21,29,11,11,5,29,22,14,3.5,15,8,0.63,5,0.07,8,16,10,4,2,N
0.46,100,128,39,39,1,55,47,42,2.33,25,21,0.08,12,0.45,13,36,42,18,3,N
1.0,44,57,28,28,1,41,31,8,2.0,7,4,0.25,2,0.18,4,29,35,4,17,N
1.0,34,49,28,28,1,36,26,12,2.0,11,6,0.14,3,0.14,7,21,21,6,6,N
0.25,36,49,11,11,1,14,16,12,2.0,7,6,0.25,3,0.12,4,14,8,6,0,N
0.67,6,10,5,5,3,13,8,6,3.0,5,3,1.0,2,0.02,3,7,3,2,1,N
0.5,12,16,7,7,1,14,7,4,2.0,3,2,0.5,1,0.04,2,7,8,2,2,N
0.5,5,11,7,7,1,13,7,4,2.0,3,2,0.5,1,0.02,2,7,4,2,1,N
0.75,18,23,15,15,3,20,16,12,2.0,7,6,0.75,3,0.06,4,14,11,6,3,N
1.0,32,37,17,17,1,33,16,8,2.0,5,4,0.33,2,0.12,3,15,21,4,7,N
1.0,25,36,12,12,1,20,11,8,2.0,5,4,0.33,2,0.1,3,10,18,4,4,N
0.5,5,11,9,9,1,12,6,4,2.0,3,2,0.5,1,0.02,2,6,4,2,0,N
0.5,5,11,9,9,1,12,6,4,2.0,3,2,0.5,1,0.02,2,6,4,2,0,N
1.0,17,24,13,13,1,20,9,4,2.0,3,2,0.5,1,0.06,2,9,12,2,4,N
0.5,5,11,9,9,1,12,6,4,2.0,3,2,0.5,1,0.02,2,6,4,2,0,N
0.5,5,11,9,9,1,12,6,4,2.0,3,2,0.5,1,0.02,2,6,4,2,0,N
1.0,11,17,13,13,3,21,15,12,2.0,7,6,0.75,3,0.04,4,13,9,6,3,N
0.5,21,25,11,11,1,40,10,4,2.0,3,2,0.5,1,0.07,2,10,13,2,3,N
0.5,20,32,16,16,1,27,15,12,2.0,7,6,0.25,3,0.08,4,13,15,6,3,N
0.56,70,85,54,54,7,77,53,48,2.67,31,26,0.44,15,0.3,16,39,41,18,6,N
0.56,61,70,37,37,5,52,42,32,2.29,17,16,0.56,9,0.25,9,35,36,14,4,N
0.6,26,35,19,19,4,29,19,18,2.25,9,9,0.8,5,0.1,5,16,12,8,2,N
1.0,59,66,33,33,1,58,30,12,2.0,7,6,0.25,3,0.22,4,28,33,6,8,N
0.8,32,28,15,15,3,24,18,14,2.33,9,7,0.6,4,0.1,5,15,20,6,5,N
0.63,90,116,59,59,13,86,70,50,2.5,31,25,0.81,15,0.43,16,56,53,20,10,Y
0.5,116,134,66,66,6,120,75,46,2.88,31,24,0.38,15,0.51,16,61,53,16,11,Y
0.5,27,32,12,12,4,22,13,8,4.0,7,4,1.0,3,0.09,4,11,15,2,2,N
0.65,130,147,64,64,7,85,93,56,2.33,33,28,0.41,16,0.58,17,78,64,24,14,Y
1.0,26,41,24,24,1,36,17,4,2.0,6,2,0.25,1,0.12,4,15,23,2,6,N
0.5,90,111,67,66,12,123,67,52,2.6,31,26,0.75,16,0.42,16,53,57,20,9,Y
0.58,102,124,57,57,10,97,59,30,2.5,22,15,0.83,9,0.48,12,49,55,12,12,Y
1.0,54,60,26,26,3,44,19,12,2.0,5,6,1.0,3,0.21,3,18,33,6,7,N
0.79,148,174,83,82,7,126,88,32,2.29,24,16,0.5,9,0.7,14,76,73,14,13,N
1.0,38,44,20,20,1,38,20,8,2.0,5,4,0.33,2,0.14,3,19,31,4,10,N
0.44,39,54,29,29,4,43,33,24,2.4,16,12,0.44,7,0.16,9,26,15,10,4,N
0.33,54,68,35,35,1,50,34,24,2.0,16,12,0.11,6,0.21,9,27,15,12,2,N
0.33,28,33,18,18,1,34,12,8,2.0,5,4,0.33,2,0.1,3,11,16,4,1,N
1.0,28,31,19,19,1,29,13,4,2.0,3,2,0.5,1,0.1,2,13,22,2,5,N
0.67,33,38,17,17,3,21,10,6,3.0,5,3,1.0,2,0.12,3,9,20,2,2,N
1.0,28,40,21,21,1,25,19,12,2.0,7,6,0.25,3,0.11,4,17,21,6,3,N
0.75,14,25,12,12,1,15,15,12,2.0,7,6,0.25,3,0.06,4,13,13,6,4,N
0.75,14,25,12,12,1,15,15,12,2.0,7,6,0.25,3,0.06,4,13,13,6,4,Y
0.88,77,99,52,52,1,89,37,28,2.0,15,14,0.13,7,0.34,8,31,36,14,7,N
0.67,61,63,17,17,3,39,18,6,3.0,5,3,1.0,2,0.23,3,17,33,2,4,N
0.86,110,130,63,63,1,107,77,38,2.11,25,19,0.07,10,0.49,14,65,52,18,9,Y
0.77,95,111,52,52,7,77,69,40,2.5,25,20,0.54,12,0.42,13,58,54,16,14,Y
0.83,94,98,44,44,4,73,50,16,2.67,11,8,0.67,5,0.37,6,46,40,6,10,N
0.5,12,23,10,10,1,11,14,12,2.0,7,6,0.25,3,0.05,4,12,12,6,2,N
0.75,87,101,45,45,6,69,58,38,2.38,23,19,0.5,11,0.39,12,48,55,16,14,Y
0.86,24,42,17,17,1,23,26,20,2.5,13,10,0.14,6,0.1,7,21,15,8,6,N
0.86,32,50,18,18,1,24,27,20,2.5,13,10,0.14,6,0.13,7,22,16,8,6,N
0.6,22,28,17,17,1,23,16,14,2.33,9,7,0.2,4,0.08,5,13,15,6,2,N
0.5,15,26,10,10,1,11,14,12,2.0,7,6,0.25,3,0.06,4,12,11,6,1,Y
1.0,28,31,13,13,1,22,14,10,2.5,7,5,0.25,3,0.1,4,12,22,4,4,N
1.0,12,16,11,11,1,17,11,4,2.0,3,2,0.5,1,0.03,2,11,8,2,5,N
1.0,19,25,13,13,1,20,12,4,2.0,3,2,0.5,1,0.06,2,12,14,2,6,N
1.0,35,41,19,19,1,30,34,20,2.5,13,10,0.14,6,0.12,7,29,21,8,8,N
1.0,21,28,10,10,1,13,23,14,3.5,11,7,0.17,5,0.07,6,19,17,4,9,N
0.67,29,38,20,20,5,27,20,16,2.67,11,8,0.83,5,0.11,6,16,18,6,4,N
0.75,11,22,12,12,1,15,15,12,2.0,7,6,0.25,3,0.05,4,13,10,6,4,N
0.75,14,25,12,12,1,15,15,12,2.0,7,6,0.25,3,0.06,4,13,12,6,4,N
1.0,54,63,30,30,1,40,19,8,2.0,5,4,0.33,2,0.22,3,18,30,4,6,N
0.5,19,28,9,9,4,13,16,8,4.0,7,4,1.0,3,0.07,4,14,15,2,5,N
0.5,16,25,9,9,4,13,16,8,4.0,7,4,1.0,3,0.06,4,14,13,2,5,N
0.5,19,28,9,9,4,13,16,8,4.0,7,4,1.0,3,0.07,4,14,15,2,5,Y
0.5,19,28,9,9,4,13,16,8,4.0,7,4,1.0,3,0.07,4,14,15,2,5,N
0.67,59,79,27,27,3,42,12,8,2.0,5,4,1.0,2,0.25,3,11,25,4,2,N
1.0,15,25,14,14,1,18,8,4,2.0,3,2,0.5,1,0.06,2,8,13,2,2,N
0.83,63,86,48,40,1,111,29,20,2.0,11,10,0.17,5,0.29,6,25,34,10,7,N
1.0,59,101,48,48,1,65,21,8,2.0,5,4,0.33,2,0.29,3,20,30,4,10,N
0.6,8,14,9,9,5,17,14,10,5.0,9,5,1.0,4,0.03,5,11,7,2,2,N
0.33,87,103,31,31,5,52,39,28,2.33,17,15,0.56,8,0.36,9,32,36,12,4,N
0.31,89,154,50,50,1,84,46,12,2.0,20,6,0.06,3,0.52,16,32,54,6,7,N
1.0,14,16,10,10,1,12,7,4,2.0,3,2,0.5,1,0.04,2,7,11,2,2,N
1.0,73,78,47,44,1,65,20,8,2.0,5,4,0.33,2,0.3,3,19,43,4,7,N
0.17,91,105,66,66,4,101,81,62,2.07,35,31,0.22,16,0.41,18,65,56,30,10,N
1.0,43,62,9,9,1,23,9,4,2.0,3,2,0.5,1,0.17,2,9,20,2,3,N
0.56,51,82,35,35,1,54,40,32,2.0,17,16,0.11,8,0.24,9,33,29,16,5,N
1.0,8,14,6,6,1,8,6,4,2.0,3,2,0.5,1,0.03,2,6,6,2,1,N
0.16,90,126,43,43,4,55,51,16,2.0,24,8,0.21,4,0.45,19,34,48,8,2,N
0.11,108,137,40,40,1,54,43,24,2.0,16,12,0.11,6,0.46,9,36,34,12,3,N
1.0,18,27,14,14,1,21,8,4,2.0,3,2,0.5,1,0.07,2,8,17,2,4,N
0.5,4,9,4,4,1,5,5,4,2.0,3,2,0.5,1,0.01,2,5,3,2,0,N
0.78,107,126,50,50,3,78,55,26,2.17,17,13,0.33,7,0.47,9,48,46,12,12,N
0.6,34,42,18,18,4,33,16,12,3.0,9,6,0.8,4,0.13,5,13,17,4,3,N
1.0,9,9,5,5,1,7,7,4,2.0,3,2,0.5,1,0.02,2,7,5,2,1,N
1.0,13,13,9,9,1,13,8,4,2.0,3,2,0.5,1,0.04,2,8,9,2,1,N
0.75,90,112,58,58,4,86,58,38,2.11,23,19,0.33,10,0.41,12,48,44,18,11,N
0.67,17,28,13,13,1,20,11,8,2.0,5,4,0.33,2,0.07,3,10,7,4,1,N
1.0,67,80,40,40,1,63,38,16,2.0,11,8,0.17,4,0.29,6,34,38,8,14,N
0.7,71,91,42,42,7,66,43,28,2.33,19,14,0.7,8,0.32,10,35,37,12,8,N
1.0,31,46,23,23,1,48,19,8,2.0,5,4,0.33,2,0.13,3,18,18,4,6,N
0.5,21,22,10,10,1,12,7,4,2.0,3,2,0.5,1,0.06,2,7,8,2,0,N
1.0,84,80,24,24,1,39,18,4,2.0,3,2,0.5,1,0.27,2,18,22,2,3,N
1.0,80,82,19,19,1,25,17,4,2.0,3,2,0.5,1,0.26,2,17,21,2,1,N
1.0,37,36,21,21,1,30,7,4,2.0,3,2,0.5,1,0.12,2,7,20,2,3,N
0.33,13,18,9,9,1,20,9,8,2.0,5,4,0.33,2,0.04,3,8,6,4,0,N
1.0,35,39,17,17,1,34,19,12,2.0,7,6,0.25,3,0.13,4,17,28,6,6,N
1.0,17,19,12,12,1,15,13,8,2.0,5,4,0.33,2,0.05,3,12,12,4,5,N
0.44,51,60,25,25,7,45,41,24,3.0,17,12,0.78,8,0.19,9,34,25,8,7,N
1.0,115,161,31,31,15,42,75,56,2.0,29,28,1.0,14,0.55,15,62,49,28,5,N
0.5,37,48,26,26,3,51,23,12,2.0,7,6,0.75,3,0.15,4,21,24,6,7,N
1.0,14,15,8,8,1,12,12,8,2.0,5,4,0.33,2,0.04,3,11,12,4,4,N
1.0,18,21,11,11,1,17,12,4,2.0,3,2,0.5,1,0.06,2,12,15,2,6,N
1.0,25,26,10,10,1,18,10,4,2.0,3,2,0.5,1,0.08,2,10,21,2,5,N
1.0,5,6,4,4,1,5,6,4,2.0,3,2,0.5,1,0.01,2,6,5,2,2,N
0.77,226,257,112,112,9,168,134,82,2.28,50,41,0.35,23,1.1,26,110,88,36,17,Y
1.0,18,19,9,9,1,13,13,8,2.0,5,4,0.33,2,0.05,3,12,14,4,4,N
1.0,16,17,9,9,1,15,9,4,2.0,3,2,0.5,1,0.05,2,9,12,2,4,N
1.0,19,28,17,17,1,27,13,8,2.0,5,4,0.33,2,0.07,3,12,17,4,4,N
1.0,6,12,9,9,1,10,7,4,2.0,3,2,0.5,1,0.02,2,7,6,2,2,N
1.0,22,28,16,16,1,26,15,8,2.0,5,4,0.33,2,0.08,3,14,18,4,5,N
1.0,21,31,20,20,1,22,13,8,2.0,5,4,0.33,2,0.08,3,12,18,4,3,N
1.0,5,7,7,7,1,8,5,4,2.0,3,2,0.5,1,0.01,2,5,3,2,1,N
1.0,42,51,24,24,1,31,32,12,2.0,9,6,0.2,3,0.16,5,29,32,6,14,N
0.88,61,70,34,34,7,43,37,26,2.17,15,13,0.88,7,0.26,8,31,38,12,11,N
1.0,19,32,20,20,1,24,15,4,2.0,6,2,0.25,1,0.08,4,13,14,2,5,N
1.0,5,7,7,7,1,8,5,4,2.0,3,2,0.5,1,0.01,2,5,3,2,1,N
1.0,47,55,24,24,1,31,30,8,2.0,7,4,0.25,2,0.18,4,28,35,4,14,N
1.0,14,15,13,13,1,15,8,4,2.0,3,2,0.5,1,0.04,2,8,11,2,3,N
1.0,19,32,20,20,1,24,15,4,2.0,6,2,0.25,1,0.08,4,13,14,2,5,N
1.0,51,61,38,37,20,45,63,40,10.0,39,20,1.0,18,0.2,20,45,33,4,3,N
1.0,56,67,42,41,23,54,72,46,11.5,45,23,1.0,21,0.22,23,51,35,4,3,N
1.0,9,12,7,7,1,8,7,4,2.0,3,2,0.5,1,0.03,2,7,9,2,3,N
1.0,47,55,23,23,1,32,24,4,2.0,5,2,0.33,1,0.18,3,23,34,2,13,N
0.8,20,23,10,10,1,20,18,16,2.67,9,8,0.2,5,0.07,5,15,13,6,3,N
0.67,36,58,31,31,1,43,32,14,2.33,15,7,0.11,4,0.17,9,25,22,6,7,N
1.0,24,34,18,17,1,26,11,4,2.0,3,2,0.5,1,0.09,2,11,17,2,5,N
0.83,59,74,28,28,3,54,27,22,2.2,11,11,0.5,6,0.25,6,23,32,10,8,N
0.75,21,22,16,16,1,24,16,12,2.0,7,6,0.25,3,0.06,4,14,14,6,3,N
1.0,18,24,16,16,4,20,19,12,2.0,7,6,1.0,3,0.06,4,17,13,6,4,N
0.86,32,42,25,25,4,31,32,22,2.2,13,11,0.57,6,0.12,7,27,20,10,4,N
0.75,46,50,29,29,1,47,22,12,2.0,7,6,0.25,3,0.18,4,20,33,6,6,Y
1.0,27,28,10,10,1,13,10,4,2.0,3,2,0.5,1,0.09,2,10,16,2,4,N
1.0,54,67,32,32,1,46,34,12,2.0,9,6,0.2,3,0.23,5,31,41,6,17,Y
1.0,33,35,20,20,1,27,8,4,2.0,3,2,0.5,1,0.12,2,8,25,2,3,Y
1.0,25,41,22,22,1,27,17,4,2.0,7,2,0.2,1,0.11,5,14,18,2,6,N
1.0,48,58,39,39,5,48,31,22,2.2,13,11,0.71,6,0.2,7,26,41,10,7,N
1.0,20,22,13,13,1,17,10,8,2.0,5,4,0.33,2,0.06,3,9,12,4,2,N
0.55,86,115,49,49,8,61,35,24,2.4,19,12,0.73,7,0.4,11,26,36,10,2,N
1.0,51,76,37,37,1,45,20,4,2.0,7,2,0.2,1,0.24,5,17,35,2,5,N
1.0,13,16,8,8,1,11,7,4,2.0,3,2,0.5,1,0.04,2,7,7,2,1,N
0.57,155,190,111,110,14,171,71,52,2.0,27,26,1.0,13,0.72,14,59,53,26,4,N
0.33,14,16,12,12,1,18,10,8,2.0,5,4,0.33,2,0.04,3,9,12,4,0,N
0.33,14,16,12,12,1,18,10,8,2.0,5,4,0.33,2,0.04,3,9,12,4,0,N
0.25,20,26,14,14,3,27,12,10,2.5,7,5,0.75,3,0.07,4,10,13,4,0,N
1.0,16,17,9,9,1,22,8,4,2.0,3,2,0.5,1,0.05,2,8,9,2,2,N
1.0,7,7,5,5,1,10,7,4,2.0,3,2,0.5,1,0.02,2,7,5,2,1,N
0.33,54,63,21,21,1,28,20,4,2.0,8,2,0.17,1,0.2,6,16,21,2,3,N
1.0,91,102,52,52,1,68,53,20,2.0,13,10,0.14,5,0.38,7,48,50,10,14,N
1.0,34,46,27,27,1,34,17,4,2.0,6,2,0.25,1,0.14,4,15,25,2,6,N
0.83,87,94,37,37,4,53,28,20,2.0,11,10,0.67,5,0.36,6,24,38,10,4,N
1.0,28,29,16,16,1,18,21,20,2.0,11,10,0.17,5,0.09,6,17,17,10,2,N
0.09,35,44,14,14,11,16,24,22,11.0,21,18,1.0,10,0.13,11,15,20,2,0,N
0.5,13,19,8,8,1,15,6,4,2.0,3,2,0.5,1,0.04,2,6,7,2,0,N
0.5,10,15,9,9,1,17,6,4,2.0,3,2,0.5,1,0.03,2,6,6,2,0,N
1.0,26,27,11,11,1,16,11,4,2.0,3,2,0.5,1,0.07,2,11,11,2,4,N
