CALL_PAIRS,NODE_COUNT,LOC_BLANK,NUM_UNIQUE_OPERANDS,NUMBER_OF_LINES,LOC_COMMENTS,NUM_OPERANDS,HALSTEAD_CONTENT,DESIGN_COMPLEXITY,HALSTEAD_DIFFICULTY,MULTIPLE_CONDITION_COUNT,PERCENT_COMMENTS,DECISION_COUNT,HALSTEAD_LENGTH,EDGE_COUNT,HALSTEAD_PROG_TIME,LOC_EXECUTABLE,HALSTEAD_VOLUME,HALSTEAD_EFFORT,LOC_TOTAL,Defective
6,39,9,50,60,4,114,54.5,21,33.1,8,8,8,286,59,3311.3,46,1802.9,59603.3,46,N
3,23,5,32,45,2,75,48,2,18.8,12,7.7,4,161,32,936.6,36,899.2,16859.6,37,N
2,9,2,14,13,0,19,26.1,2,7.5,2,0,2,42,9,80.9,10,195,1455.9,10,N
6,13,5,29,35,5,53,51.3,3,12.8,4,17.2,4,121,14,466.7,24,656.6,8399.7,24,N
2,6,1,7,11,0,9,18.2,2,3.9,2,0,2,19,6,15.1,9,70.3,271.2,9,N
1,7,2,10,14,0,14,17.1,2,7.7,2,0,2,30,7,56.4,11,131.8,1014.6,11,N
16,28,6,37,38,3,49,101,4,6,4,9.7,4,109,30,199.3,28,602.1,3588,28,Y
4,12,1,19,20,0,21,49.5,3,4.4,4,0,4,46,13,53.7,18,218.7,967,18,Y
6,18,5,27,38,0,40,36.5,7,16.3,4,0,4,106,23,538.8,32,595.2,9698.9,32,N
1,17,7,28,49,2,55,29.3,5,25.5,6,4.9,6,130,21,1061.3,39,748.1,19104.2,39,N
5,31,6,33,54,0,88,48.3,7,28,6,0,6,235,36,2103.7,47,1352.4,37867.2,47,N
1,37,9,32,71,13,117,30.3,2,47.5,22,21.3,22,246,47,3805.3,48,1441.1,68495.5,48,N
5,18,6,22,37,7,35,34,5,13.5,6,23.3,6,87,22,345.5,23,459.8,6218.2,23,N
7,30,14,56,56,7,132,96,1,17.7,2,17.1,2,276,30,1667,34,1697.3,30006.4,34,N
9,35,18,68,83,13,190,85.5,3,30.7,6,20.3,6,405,37,4489.4,51,2629.2,80809.3,51,N
0,16,6,37,49,16,94,49.3,1,22.9,6,38.1,6,195,18,1432.1,26,1127.4,25777.1,26,N
0,6,1,8,7,0,13,16,1,6.5,2,0,2,26,6,37.6,5,104,676,5,N
2,15,4,13,29,8,35,16.5,2,22.9,7,33.3,6,77,18,480.4,16,377.8,8646.5,16,N
20,32,11,43,50,4,58,123,4,6.1,4,10.5,4,131,34,251.8,34,746.8,4532.6,34,N
3,18,3,41,39,5,75,100.3,3,10.1,4,14.3,4,177,19,564,30,1009,10151.3,30,Y
6,16,3,22,28,2,36,39.3,3,11.5,2,8.3,2,87,17,286.2,22,449.8,5152.1,22,N
4,24,8,19,49,12,47,30.8,4,16.1,11,30,10,99,29,442.2,28,495,7959.1,28,N
14,26,7,30,38,6,40,79.3,4,6,4,20,4,90,28,158.6,24,475.7,2854.1,24,N
4,11,2,20,16,0,30,45.3,2,6.8,2,0,2,63,11,114.8,13,306.1,2065.9,13,N
6,17,10,47,93,21,74,36.9,8,28.3,2,25.6,2,164,23,1646.1,61,1045.5,29630.1,61,Y
10,22,11,56,85,15,72,39.9,8,28.3,3,20.6,2,170,29,1774.9,58,1129.5,31947.5,58,N
7,25,13,38,74,17,71,69.5,5,14,8,28.3,8,170,28,758.1,43,973.8,13645.3,43,Y
3,24,9,41,81,7,122,57.9,4,25.3,6,9.9,6,250,29,2057.8,64,1464.5,37041,64,N
6,17,3,22,28,1,33,64.8,3,5.3,4,4.2,4,70,18,99.2,23,340.1,1785.3,23,N
2,9,2,8,17,5,9,19.6,3,4.5,4,35.7,4,22,10,22,9,88,396,9,N
2,34,5,29,38,0,63,45.5,6,17.4,18,0,18,144,42,763.6,32,790.8,13744,32,N
1,26,8,24,54,2,39,72.3,2,5.7,14,4.4,14,83,32,129.9,43,411.2,2338.7,43,N
4,11,5,17,26,4,25,23.2,3,12.5,4,20,4,57,12,201.4,16,290,3624.8,16,N
2,6,1,6,8,1,6,16.7,2,3,2,16.7,2,14,6,8.4,5,50.2,150.6,5,N
2,7,2,11,16,4,16,19.5,2,8,2,30.8,2,35,7,69.4,9,156.1,1248.6,9,N
2,12,3,8,16,5,19,14.4,2,11.9,4,41.7,4,41,13,112.8,7,171,2030.2,7,N
5,15,5,31,36,0,58,57.9,4,13.1,6,0,6,138,17,551.4,30,757.9,9925.7,30,N
9,28,7,44,50,1,77,54,4,20.1,7,2.4,6,179,31,1214,41,1085.8,21852.3,41,N
3,7,0,7,6,0,9,21.2,2,3.2,2,0,2,19,7,12.2,5,68.1,218.9,5,N
4,24,7,21,46,12,33,26.7,4,14.9,13,31.6,12,75,30,331,26,399.1,5958.7,26,N
9,23,9,37,51,3,55,49.1,5,14.9,2,7.3,2,125,26,602.1,38,729.1,10838.1,38,N
10,47,16,50,74,8,90,72.5,9,16.2,19,14,16,193,57,1057.4,49,1174.9,19033.1,49,N
2,10,5,13,24,3,23,22.8,2,10.6,4,16.7,4,52,11,142.4,15,241.5,2563.4,15,N
3,18,9,14,44,15,30,26.1,3,10.7,4,44.1,4,61,19,166.5,19,279.7,2996.6,19,N
3,12,5,14,28,6,22,37.5,3,5.5,4,27.3,4,47,13,63.1,16,206.4,1135.4,16,N
1,5,1,6,11,0,9,18.5,2,3.8,2,0,2,20,5,14.4,9,69.2,259.5,9,N
10,69,11,54,81,5,126,81.9,12,19.8,29,7.3,24,264,85,1788.9,64,1623.5,32200.1,64,N
13,83,17,71,116,18,125,97.4,17,18.5,38,18.4,34,276,103,1849.1,80,1800.5,33283.9,80,N
5,56,13,51,88,5,119,57.4,9,28,15,6.8,14,258,66,2499.8,69,1607,44997,69,N
4,21,5,19,37,6,32,32.9,6,11,11,19.4,10,72,26,219,25,360,3941.1,25,N
3,11,4,9,27,13,10,20.9,2,5,5,59.1,2,25,14,29,9,104.3,521.2,9,N
12,41,14,48,61,6,65,86.5,8,10.2,14,13,12,147,48,495.8,40,878.7,8923.9,40,N
6,13,6,16,25,5,22,56.2,2,3.4,2,27.8,2,44,13,36.9,13,193.3,664.3,13,N
2,8,2,10,14,2,14,25,2,4.9,2,18.2,2,30,8,33.4,9,122.6,600.9,9,N
2,8,2,12,13,1,17,30.8,2,5,2,10,2,36,8,42.1,9,152.9,758.3,9,N
24,48,16,70,83,11,100,175.1,9,7.9,14,16.7,14,217,55,600.5,55,1375.8,10809.4,55,Y
16,36,15,53,76,1,92,64.9,19,25.2,4,1.7,4,257,53,2284.7,59,1633.9,41124.7,59,N
7,13,2,22,22,0,32,36.8,6,10.9,2,0,2,77,17,243.1,19,401.1,4375.9,19,N
18,37,21,56,88,2,83,68.4,19,20.8,4,3,4,222,54,1635.9,64,1419.1,29446.2,64,N
23,70,25,69,118,15,133,80,26,27,19,16.3,18,327,94,3235.5,77,2158.2,58239.4,77,Y
22,39,21,57,91,2,79,71.6,21,20.1,6,2.9,6,224,58,1607.1,67,1439.5,28928.6,67,N
17,61,16,41,76,3,86,65.8,15,18.9,16,5.1,14,211,74,1301.8,56,1241.2,23432.2,56,Y
2,7,1,8,14,2,11,18.9,2,5.5,2,16.7,2,26,7,31.8,10,104,572,10,N
4,14,7,23,43,6,32,34.7,5,11.8,2,17.1,2,77,17,269.2,29,409.8,4846.2,29,N
9,58,13,62,83,8,120,76.4,8,23.2,48,11.6,18,276,74,2288.6,61,1773.7,41194.4,61,N
2,6,1,7,11,0,9,18.2,2,3.9,2,0,2,19,6,15.1,9,70.3,271.2,9,N
14,43,18,57,109,13,160,68.8,6,37.9,14,14.4,14,408,49,5490.7,77,2608.1,98832,77,N
15,30,10,38,42,3,56,102.2,4,6.6,4,9.7,4,122,32,249.7,28,677.7,4494,28,N
4,10,1,13,14,0,15,30.5,3,4.6,4,0,4,32,11,36,12,140.6,648.7,12,N
6,29,4,33,38,1,51,50,9,12.4,16,3,14,110,37,424.2,32,617.6,7636,32,N
5,14,3,15,24,0,19,31.9,5,7.6,4,0,4,51,17,102.4,20,242.5,1843,20,N
3,22,3,36,42,9,55,60.6,6,12.2,9,26.3,6,130,27,503.2,28,741.1,9057.4,29,N
12,69,14,48,94,8,107,58,11,24.5,30,10.1,26,232,85,1937.1,71,1422,34868.5,71,Y
10,17,4,17,24,3,22,67.5,2,3.2,2,15.8,2,49,17,39.3,16,218.5,707,16,N
9,13,4,31,29,4,45,54.1,2,10.2,2,16.7,2,100,13,310,20,549.2,5580.4,20,N
3,7,0,8,8,1,8,25.2,2,2.5,2,14.3,2,17,7,8.7,6,62.9,157.3,6,N
10,20,4,24,27,4,28,74,3,4.1,4,18.2,4,61,21,68.6,18,302.2,1234,18,N
12,31,9,43,59,13,61,65,5,12.8,9,26.5,8,140,35,588.9,36,830.3,10600.9,36,N
0,13,0,8,14,2,15,11.6,1,19.7,7,15.4,6,47,16,249.7,11,228.3,4495.2,11,N
1,7,1,7,13,1,9,14.3,1,7.7,2,9.1,2,26,7,47.3,10,110.5,852,10,N
1,18,2,11,21,4,29,17.8,2,14.5,8,22.2,8,58,21,208.4,14,258.6,3750.4,14,N
13,24,5,28,38,7,37,73.6,4,6,4,21.9,4,84,26,144.6,25,437.6,2602.1,25,N
1,11,1,9,15,1,17,16.3,1,15.1,4,7.7,4,53,12,206.6,12,246.1,3719.2,12,N
15,29,14,44,72,4,82,58.7,13,23.3,2,7,2,224,40,1770.9,53,1368.3,31875.4,53,N
3,9,3,10,15,5,14,19.1,2,7,2,45.5,2,31,9,52.1,6,134,937.9,6,N
2,21,1,33,27,0,53,103.2,2,5.6,2,64,2,109,21,181.2,9,580.1,3260.8,25,N
2,21,1,31,27,0,53,95.6,2,6,2,64,2,109,21,190.2,9,572,3422.9,25,N
2,9,2,8,20,5,13,15.1,2,9.8,2,29.4,2,34,9,79.6,12,147,1432.7,12,N
2,21,1,33,27,0,53,103.2,2,5.6,2,64,2,109,21,181.2,9,580.1,3260.8,25,N
2,20,4,17,33,8,33,23,3,18.4,10,28.6,10,82,24,434.3,20,423.9,7817.8,20,N
2,16,3,10,29,14,21,17.7,7,12.6,8,56,4,50,22,156.1,11,223,2809.4,11,N
3,36,6,42,55,9,100,54.5,6,25,21,18.8,18,228,47,1892.8,39,1362.8,34070.5,39,N
17,29,7,35,41,5,44,97.5,4,5.7,4,15.2,4,101,31,173.3,28,551.4,3119.4,28,N
6,21,4,21,36,3,34,37.6,7,11.3,6,9.7,6,83,26,268.1,28,425.7,4825,28,N
0,14,2,8,14,0,36,12.8,1,29.3,6,0,6,85,16,606.7,11,373.4,10920.4,11,N
1,7,2,3,13,5,6,6.4,2,9,3,50,2,16,8,28.7,5,57.4,516.2,5,N
2,7,3,8,14,3,12,13.5,1,9,2,30,2,28,7,60.5,7,121,1089.1,7,N
1,7,3,4,13,2,5,11.5,1,5,2,22.2,2,16,7,15.9,7,57.4,286.8,7,N
3,14,3,11,20,1,18,18.9,3,9.8,6,6.3,6,41,16,101.2,15,185.5,1820.9,15,N
7,15,9,21,33,6,32,38.1,3,9.1,4,26.1,4,69,16,176.8,17,348.1,3182.3,17,N
4,10,3,18,20,4,25,42.2,3,6.9,4,25,4,61,11,113.1,12,293.3,2036.5,12,N
0,6,1,4,12,1,5,14.2,1,3.8,2,10,2,16,6,11.1,9,53.2,199.3,9,N
0,6,1,4,12,1,5,14.2,1,3.8,2,10,2,16,6,11.1,9,53.2,199.3,9,N
4,9,3,12,20,3,17,25.8,2,7.1,2,18.8,2,41,9,72,13,182.8,1295.1,13,N
0,6,1,4,12,1,5,14.2,1,3.8,2,10,2,16,6,11.1,9,53.2,199.3,9,N
0,6,1,4,12,1,5,14.2,1,3.8,2,10,2,16,6,11.1,9,53.2,199.3,9,N
3,13,3,9,21,4,11,21.2,4,5.5,6,23.5,6,28,15,35.7,13,116.8,642.2,13,N
3,10,7,13,40,21,21,23.7,1,8.9,2,65.6,2,46,10,104.1,11,210.9,1873.8,11,N
3,13,6,15,27,4,20,33.3,2,7.3,6,20,6,52,15,99.6,16,244.4,1792.4,16,N
6,39,14,41,77,8,70,80.4,9,11.1,26,12.9,18,155,53,550,54,892,9899.1,54,N
4,35,9,36,52,5,61,58.5,5,12.7,16,11.9,14,131,42,524.6,37,743.1,9443.4,37,N
2,16,4,12,29,5,26,16.1,3,18.4,9,20.8,8,61,19,303.2,19,296.3,5457.5,19,N
8,28,10,33,58,14,59,83.8,4,8.1,6,29.8,6,125,30,301.3,33,674,5423,33,N
5,15,4,20,24,4,32,40.5,4,7.2,7,21.1,6,60,18,116.6,15,291.5,2098.7,15,N
10,56,15,53,86,11,90,71.7,10,17.8,25,15.7,20,206,70,1267.1,59,1279.2,22807.4,59,Y
11,61,20,53,120,33,116,74.2,8,20.8,24,33.3,16,250,75,1781.8,66,1542.5,32072,66,Y
2,11,3,15,22,6,27,24.2,2,11.7,4,33.3,2,59,13,184.4,12,283.6,3318.5,12,N
14,78,16,64,85,4,130,122.5,11,14.2,28,5.9,24,277,93,1375.3,64,1741.1,24755.7,64,Y
6,15,6,23,36,5,26,39.2,4,9,2,17.2,2,67,17,177.9,24,354.1,3202.5,24,N
9,53,23,57,123,32,90,73,8,17.4,26,33.3,20,201,67,1222.6,66,1267.1,22006.8,67,Y
12,49,22,55,97,17,102,55.5,7,26,15,23,12,226,59,2078.2,57,1440.8,37407.3,57,Y
7,18,10,33,44,7,54,63.8,3,9.8,6,21.2,6,114,19,341.5,26,626.1,6146.9,26,N
13,76,26,73,126,16,148,99.2,11,21.3,16,17.2,14,322,88,2496.1,82,2110.6,44929.3,83,N
10,19,11,31,38,6,38,88.4,3,4.9,4,23.1,4,82,20,118.1,20,433.4,2125.1,20,N
4,26,8,15,43,5,39,18.4,4,26,12,14.7,10,93,33,689,29,477,12402.6,29,N
2,27,11,15,50,3,54,17.4,3,36,12,7.9,12,122,34,1251.6,35,625.8,22527.8,35,N
1,11,4,16,34,11,28,27.9,1,10.5,4,37.9,4,61,12,171.1,18,293.3,3079.1,18,N
5,13,7,22,29,2,28,64.3,2,4.5,2,9.5,2,59,13,70.9,19,286.6,1276.8,19,N
2,9,2,20,21,1,33,35.9,2,9.9,3,5.6,2,71,10,195.3,17,355,3514.5,17,N
3,17,3,21,25,0,28,55.6,4,6,6,0,6,68,19,111.2,21,333.7,2002,21,N
4,13,2,13,15,0,14,30.2,3,5.9,6,0,6,39,15,58.8,12,178.8,1059.1,12,N
4,13,2,13,15,0,14,30.2,3,5.9,6,0,6,39,15,58.8,12,178.8,1059.1,12,Y
7,31,17,36,89,19,77,45.7,7,22.5,14,26.8,14,176,37,1280.9,52,1026.6,23055.5,52,N
4,17,11,33,39,10,61,61.4,2,11.1,3,37,2,124,18,419.6,17,681,7552.8,17,N
9,65,25,52,107,18,110,81.5,12,18,19,22.2,18,240,77,1464.5,63,1466.1,26360.6,63,Y
14,58,13,54,77,11,95,95.4,10,13.2,20,17.5,16,206,69,922.4,52,1258.4,16603.3,52,Y
10,46,15,40,73,13,94,67.2,5,16.5,8,22.8,6,192,50,1009.8,44,1104.9,18176.2,44,N
2,12,0,12,11,0,12,37.8,2,4,6,0,6,35,14,33.6,10,151.3,605.1,10,N
14,48,12,55,69,11,87,91.4,9,12.7,19,19.6,16,188,58,812.8,45,1156.2,14630.6,45,Y
6,21,2,15,23,3,24,35.3,6,8.8,10,15,8,66,26,151.7,17,310.2,2730,17,N
6,22,2,16,24,3,32,35.5,6,11,10,14.3,8,82,27,238.3,18,389.9,4288.9,18,N
2,13,5,15,23,0,22,27,3,8.8,7,0,6,50,16,116.2,17,237.7,2092.2,17,N
1,12,0,11,11,0,15,31.9,2,5.5,6,0,6,41,14,52.8,10,174.2,950,10,Y
4,12,5,22,22,3,28,51,4,5.7,5,18.8,4,59,14,93,13,292.3,1674.1,13,N
5,11,3,8,17,2,12,33.5,2,3,2,15.4,2,28,11,16.7,11,100.4,301.1,11,N
6,12,4,14,20,2,19,46.7,2,4.1,2,13.3,2,44,12,43,13,190.2,774.2,13,N
8,29,6,21,30,4,35,55.4,7,6.7,10,17.4,8,76,34,136.7,19,369.2,2461.4,19,N
9,19,0,17,13,2,21,52,6,4.3,7,16.7,4,49,23,54,10,224.7,971.3,10,N
4,16,4,18,27,2,29,29.7,4,11.3,8,9.1,6,67,20,209.9,20,335,3778.1,20,N
4,13,2,10,15,0,11,25.9,3,5.5,6,0,6,33,15,43.6,12,142.6,784.4,12,N
4,13,2,12,15,0,14,27.5,3,6.4,6,0,6,39,15,62.9,12,176.4,1132,12,N
6,18,6,30,40,3,54,44.9,3,14.4,4,9.1,4,117,19,517,30,646.3,9306.1,30,N
5,14,2,15,13,1,19,29.4,2,7.6,4,10,2,47,16,94.4,9,223.5,1698.5,9,N
5,14,2,13,13,1,16,27.8,2,6.8,4,10,2,41,16,70.7,9,188,1272.5,9,N
5,14,2,15,13,1,19,29.4,2,7.6,4,10,2,47,16,94.4,9,223.5,1698.5,9,Y
5,14,2,15,13,1,19,29.4,2,7.6,4,10,2,47,16,94.4,9,223.5,1698.5,9,N
2,11,9,25,42,5,59,35.3,2,21.2,4,15.6,4,138,12,883.6,27,748.8,15905,27,N
2,8,3,13,18,0,15,26.8,2,6.9,2,0,2,40,8,71.4,14,185.8,1286,14,N
7,25,20,34,111,42,63,46.3,5,18.5,10,55.6,10,149,29,882.7,40,857.5,15888.6,48,N
10,20,12,30,65,4,59,63.5,3,13.8,4,7.7,4,160,21,668.1,48,873.5,12025.3,48,N
2,11,1,7,17,6,8,18.8,3,4.6,5,40,2,22,14,21.8,9,86,392.9,9,N
4,32,10,36,52,10,87,53,3,20.5,15,24.4,12,190,39,1242,31,1088.3,22355.6,31,N
7,32,16,54,84,17,89,61,5,25.6,6,25.4,6,243,46,2210.4,50,1557.5,39787.9,50,N
2,7,1,11,12,0,14,22.6,2,5.7,2,0,2,30,7,41.3,10,129.7,742.6,10,N
7,19,10,43,65,7,73,58.6,3,15.3,4,18.5,4,151,20,760.2,44,895.5,13683,47,N
10,65,22,56,101,12,91,68.9,3,17.9,31,15.4,30,196,81,1223.4,66,1231.9,22020.9,66,N
3,9,5,20,23,8,43,58.7,2,8.6,2,47.1,2,105,9,241.2,9,504.8,4341,9,N
5,33,8,29,54,10,51,55.1,5,13.2,16,22.2,16,133,40,532.1,35,726.1,9577.1,35,N
1,6,0,6,8,1,8,12.3,2,7.3,2,14.3,2,22,6,36.6,6,89.9,659.4,6,N
2,34,6,48,55,5,90,49.8,3,27.2,8,10.4,8,216,51,2044.5,43,1353.6,36801.7,43,N
3,36,8,34,54,5,108,54.4,1,25.4,12,11.1,12,245,43,1952.1,40,1382.7,35138,40,N
4,8,2,17,21,4,18,44.4,2,4.8,2,22.2,2,45,8,56,14,211.5,1007.8,14,N
0,5,0,3,5,0,4,8.4,1,5.3,2,0,2,13,5,13.3,4,45,239.9,4,N
12,48,11,46,78,16,107,66.8,7,20.9,13,24.2,12,233,55,1625.9,50,1398,29266.8,50,N
3,13,3,17,33,11,34,21.7,3,18,6,37.9,4,76,16,389.8,18,389.8,7016.9,18,N
1,7,1,5,7,0,9,9.3,2,7.2,2,0,2,18,7,26.6,5,66.6,479.6,5,N
1,8,1,9,13,2,13,15.3,2,7.2,2,18.2,2,26,8,44.3,9,110.5,797.7,9,N
11,48,14,44,86,13,90,52.1,9,23.5,19,18.3,18,202,58,1601.3,58,1225.4,28823.6,58,N
1,10,2,7,20,4,17,11.6,2,17,4,23.5,4,45,11,186.7,13,197.7,3360.1,13,N
14,34,10,38,63,12,67,51.2,6,16.8,8,23.1,8,147,38,797.9,40,857.4,14362,40,N
8,35,10,37,66,13,71,45.2,7,21.1,14,23.6,12,162,43,1117.5,42,953,20115.8,42,N
6,18,6,18,48,18,31,34.1,3,11.2,4,43.9,4,77,19,237.2,23,381.5,4270.4,23,N
0,7,0,8,12,1,21,16.4,1,10.5,2,9.1,2,43,7,100.3,10,172,1806,10,N
3,18,11,22,39,3,84,47.3,2,17.2,2,11.1,2,164,18,775.6,24,812.5,13960,24,N
1,17,5,21,25,0,80,51.7,2,15.2,2,0,2,162,17,666.2,19,787,11992.3,19,N
3,7,5,20,30,3,37,35.5,2,10.2,2,12.5,2,73,7,204.4,21,361.7,3679.9,21,N
0,8,4,6,20,6,13,10.6,1,11.9,4,40,4,31,9,83.9,9,126.7,1510,9,N
6,17,9,28,34,7,35,76.5,4,5,6,29.2,6,74,19,106.3,17,382.6,1912.9,17,N
5,12,1,12,15,1,17,30.8,3,5,4,7.7,4,36,13,42.1,12,152.9,758.3,12,N
7,34,11,25,45,8,51,47.2,4,12.2,12,24.2,8,111,41,393.2,25,578.3,7077.8,25,N
5,62,8,49,42,2,115,116.2,15,14.1,28,6.1,28,276,75,1280.6,31,1636.9,23050,31,N
7,21,10,24,51,14,37,44.2,2,10,6,35,6,85,23,246.5,26,442.8,4437.3,26,N
4,11,3,12,12,0,14,34.6,3,3.5,4,0,4,29,12,23.5,8,120.9,423.3,8,N
6,12,4,15,17,1,18,56.2,2,3,2,8.3,2,39,12,28.1,11,168.6,505.7,11,N
5,10,5,21,18,2,25,58.8,2,4.2,2,16.7,2,51,10,56.8,10,245.2,1021.6,10,N
2,6,0,5,5,0,5,14.6,2,2.5,2,0,2,11,6,5.1,4,36.5,91.4,4,N
17,110,30,88,168,25,226,95.4,20,34.7,41,18.3,36,483,134,6368.5,112,3306.4,114633.4,112,Y
4,12,3,14,13,0,18,36.1,3,4.5,4,0,4,37,13,40.6,9,162.5,731.3,9,N
4,9,3,12,15,2,16,26.7,2,5.3,2,18.2,2,33,9,42.3,9,142.6,760.7,9,N
4,12,3,17,27,6,19,40,3,5.6,4,26.1,4,47,13,69.4,17,223.5,1248.9,17,N
2,7,0,6,10,0,6,21.5,2,3,2,0,2,18,7,10.8,9,64.5,193.6,9,N
5,14,7,18,26,2,22,43.2,3,5.5,4,11.1,4,50,15,72.6,16,237.7,1307.6,16,N
3,12,1,18,22,0,21,42.9,3,5.8,4,0,4,52,13,81,20,250,1458.2,20,N
1,5,0,3,8,0,5,8.6,2,4.2,2,0,2,12,5,8.3,7,36,150,7,N
14,29,4,32,31,2,42,94.3,5,5.3,6,7.7,6,93,32,144.4,24,494.9,2598.4,24,N
11,31,6,38,43,2,61,47.8,7,16.1,13,5.6,12,131,37,684.4,34,767.4,12318.7,34,N
5,13,3,14,24,0,19,31.7,4,7.5,2,0,2,51,15,98.2,20,236.8,1767.8,20,N
1,5,0,3,8,0,5,8.6,2,4.2,2,0,2,12,5,8.3,7,36,150,7,N
14,28,4,35,31,2,47,103,4,5.4,4,7.7,4,102,30,165.2,24,553.5,2973,24,N
3,8,1,11,15,0,14,27.2,2,4.5,2,0,2,29,8,29.9,13,120.9,538.7,13,N
5,13,3,14,24,0,19,31.7,4,7.5,2,0,2,51,15,98.2,20,236.8,1767.8,20,N
3,45,3,33,45,3,51,97.1,20,6.2,20,9.8,4,112,63,206.1,37,600.1,3709.4,38,N
3,51,5,35,54,6,56,104.3,23,6.4,23,14.6,4,123,72,237.3,41,667.4,4271.6,42,N
3,7,0,9,8,0,9,24,2,3.5,2,0,2,21,7,16.3,7,84,294,7,N
13,23,5,34,32,3,47,89,3,6.2,2,11.5,2,102,24,191.3,23,553.5,3443,23,N
3,15,4,13,20,5,20,19,4,10.8,8,33.3,6,43,18,122.3,10,204.5,2201.9,10,N
7,25,6,22,43,5,36,35.7,6,13.9,7,13.9,6,94,32,383.9,31,496.8,6910.4,31,N
5,11,3,17,26,4,24,39.1,2,7.1,2,22.7,2,58,11,108.2,17,275.8,1946.7,18,N
8,23,9,32,54,16,59,43.1,5,17.5,11,36.4,10,133,27,734.1,28,754.4,13214.4,28,N
3,14,3,14,24,4,21,28.8,3,6.8,6,20,6,43,16,72.9,16,194.5,1313,16,N
4,17,2,13,20,1,18,43,4,4.2,6,5.9,6,42,19,41.2,16,178.4,741.1,16,N
4,27,4,20,31,1,32,35.9,6,10.4,11,3.9,10,74,32,215.7,25,373.3,3882.2,25,N
6,20,9,33,47,8,46,48.3,3,11.2,6,21.6,6,96,22,333.9,29,539,6010.8,29,Y
4,10,2,16,13,0,27,24.4,2,11,2,0,2,55,10,162.8,10,267.2,2930.7,10,N
17,31,9,41,46,4,54,104.2,5,6.6,6,11.1,6,121,34,251.1,32,686.4,4520,32,Y
3,8,4,25,27,2,33,48.4,2,7.3,2,9.1,2,68,8,141.8,20,351.6,2552.3,20,Y
6,14,4,18,27,0,25,36.2,5,9,2,0,2,66,17,164,22,327,2951.9,22,N
7,26,5,41,48,3,48,93.8,7,6.4,11,7.1,10,106,31,216.2,39,604.3,3890.8,39,N
2,9,3,12,17,0,20,22.5,3,8.3,4,0,4,42,10,86.7,13,187.3,1560.8,13,N
2,26,11,36,61,0,86,37.3,6,32.3,12,0,10,201,35,2152.6,49,1201.4,38746.2,49,N
5,17,3,35,45,4,51,52.8,5,13.8,2,9.8,2,127,20,562.1,37,730.9,10117.3,37,N
1,7,2,7,11,0,13,10.4,2,12.1,2,0,2,29,7,84.1,8,125.3,1513,8,N
4,59,34,53,171,25,155,59.3,8,36.6,26,19.1,26,345,71,4404,110,2168.5,79271.7,111,N
0,9,3,12,18,2,14,27.8,1,4.7,4,14.3,4,30,10,33.6,12,129.7,605.1,12,N
0,9,3,12,18,2,14,27.8,1,4.7,4,14.3,4,30,10,33.6,12,129.7,605.1,12,N
