HALSTEAD_EFFORT,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,HALSTEAD_LENGTH,NUM_OPERATORS,NUM_OPERANDS,NUMBER_OF_LINES,LOC_TOTAL,EDGE_COUNT,LOC_EXECUTABLE,NODE_COUNT,HALSTEAD_CONTENT,NUM_UNIQUE_OPERANDS,LOC_BLANK,CONDITION_COUNT,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,PERCENT_COMMENTS,CYCLOMATIC_COMPLEXITY,Defective
2229.05,123.84,241.48,52,32,20,14,12,13,12,12,26.16,13,1,8,5,3,0,0.0,3,N
1110.86,61.71,144.0,36,24,12,10,8,9,8,9,18.67,7,1,4,3,3,0,0.0,2,N
18875.0,1048.61,755.0,151,101,50,29,25,35,25,31,30.2,16,3,20,11,6,0,0.0,6,N
1685.67,93.65,187.3,42,27,15,9,8,9,8,9,20.81,10,0,4,3,4,0,0.0,2,N
355.35,19.74,76.15,20,13,7,5,4,9,4,9,16.32,6,0,4,3,3,0,0.0,2,N
11411.18,633.95,671.25,127,83,44,28,22,32,22,28,39.49,22,5,20,11,7,0,0.0,6,N
3010.96,167.28,264.7,57,36,21,13,11,13,11,12,23.27,12,1,8,5,4,0,0.0,3,N
115062.64,6392.37,2827.25,473,298,175,102,76,97,76,82,69.47,43,15,58,33,13,0,10.59,17,N
107406.67,5967.04,2533.7,412,256,156,89,65,70,64,62,59.77,46,15,34,19,14,1,12.33,10,N
48468.15,2692.68,2440.84,385,246,139,78,71,81,71,72,122.92,63,5,24,19,24,0,0.0,11,N
29456.04,1636.45,1338.91,224,142,82,44,39,52,39,43,60.86,41,1,26,20,11,0,4.88,11,N
9816.39,545.36,701.17,139,83,56,24,17,17,17,17,50.08,22,5,4,3,6,0,5.56,2,N
29080.61,1615.59,1600.77,271,162,109,67,54,42,54,37,88.12,45,12,8,11,13,0,0.0,7,N
71508.8,3972.71,3295.74,504,310,194,109,88,79,88,70,151.9,76,19,16,18,23,0,1.12,11,N
29970.57,1665.03,1248.77,216,132,84,42,30,40,30,35,52.03,35,9,14,12,10,0,6.25,7,N
1796.86,99.83,219.62,50,32,18,12,8,10,8,10,26.84,11,2,4,3,5,0,11.11,2,N
7876.2,437.57,539.27,106,69,37,23,20,21,20,19,36.92,19,1,4,6,6,0,0.0,4,N
5332.5,296.25,395.0,79,52,27,22,19,18,19,16,29.26,16,1,4,6,6,0,0.0,4,N
395438.84,21968.82,9702.9,1287,807,480,310,242,233,241,199,238.08,159,28,42,59,46,1,13.93,36,N
46024.85,2556.94,2043.07,327,209,118,91,61,61,61,54,90.69,55,12,16,15,20,0,20.78,9,N
1943.91,107.99,198.81,46,30,16,9,8,9,8,9,20.33,9,0,4,3,4,0,0.0,2,N
8983.13,499.06,722.42,142,90,52,24,19,30,19,29,58.1,23,4,8,5,11,0,0.0,3,N
1943.91,107.99,198.81,46,30,16,9,8,9,8,9,20.33,9,0,4,3,4,0,0.0,2,N
103097.32,5727.63,4102.97,590,357,233,144,104,102,102,90,163.29,102,20,36,25,29,2,16.39,14,N
19687.59,1093.75,952.63,179,117,62,40,36,41,36,35,46.09,24,2,12,13,7,0,0.0,8,N
1404.72,78.04,200.67,45,31,14,18,13,15,13,13,28.67,11,3,4,6,4,0,0.0,4,N
9144.94,508.05,625.51,116,73,43,39,18,28,18,24,42.78,25,5,14,11,9,0,43.75,6,N
1404.72,78.04,200.67,45,31,14,17,13,15,13,13,28.67,11,2,4,6,4,0,0.0,4,N
2664.41,148.02,236.84,51,36,15,14,13,14,13,12,21.05,10,0,4,6,3,0,0.0,4,N
3264.45,181.36,280.54,59,43,16,17,16,15,16,13,24.11,11,0,4,6,4,0,0.0,4,N
4689.17,260.51,427.5,88,61,27,29,23,31,23,27,38.97,16,3,12,10,7,0,8.0,6,N
5352.73,297.37,435.97,88,54,34,19,14,12,13,12,35.51,18,4,4,3,6,1,7.14,2,Y
141550.33,7863.91,3274.42,529,363,166,140,114,138,105,118,75.75,48,11,58,40,18,9,16.67,22,Y
4777.91,265.44,348.39,71,47,24,14,11,11,10,11,25.4,14,2,4,3,6,1,9.09,2,Y
16702.0,927.89,1286.97,217,144,73,60,43,47,41,41,99.17,45,10,12,13,17,2,16.32,8,Y
95809.13,5322.73,2517.35,418,279,139,117,90,96,88,81,66.14,42,18,42,30,12,2,9.28,17,Y
9065.86,503.66,503.66,99,67,32,19,17,19,16,18,27.98,16,0,6,5,8,1,11.11,3,Y
31877.94,1771.0,1776.48,287,185,102,73,53,56,52,49,99.0,54,12,16,15,20,1,13.33,9,Y
8321.46,462.3,755.42,136,89,47,32,23,26,23,24,68.58,32,7,4,6,14,0,0.0,4,Y
46844.09,2602.45,1854.76,314,205,109,94,70,83,66,70,73.44,41,15,38,27,17,4,13.16,15,Y
13563.07,753.5,930.8,161,110,51,36,27,28,27,25,63.88,35,4,8,8,9,0,10.0,5,Y
27226.57,1512.59,985.79,184,126,58,57,43,64,42,52,35.69,21,7,46,27,9,1,10.64,14,Y
48459.37,2692.19,1838.77,299,189,110,59,45,69,45,59,69.77,48,10,30,22,17,0,6.25,12,Y
6778.53,376.58,475.69,90,60,30,20,18,22,18,19,33.38,20,0,8,8,6,0,5.26,5,N
3548.61,197.14,299.56,63,41,22,12,9,12,9,12,25.29,13,1,4,3,5,0,10.0,2,N
3548.61,197.14,299.56,63,41,22,12,9,12,9,12,25.29,13,1,4,3,5,0,10.0,2,N
3645.43,202.52,325.48,67,43,24,12,9,12,9,12,29.06,15,1,4,3,5,0,10.0,2,N
148686.82,8260.37,3903.88,597,378,219,138,113,115,112,99,102.5,69,21,26,30,25,1,3.45,18,Y
25188.5,1399.36,1275.37,211,132,79,40,33,34,33,30,64.58,44,2,8,9,12,0,10.81,6,N
41048.67,2280.48,1665.74,282,167,115,61,51,45,51,39,67.6,42,7,4,12,8,0,3.77,8,N
2320.9,128.94,272.05,56,35,21,13,10,12,10,12,31.89,16,2,4,3,5,0,0.0,2,N
6882.97,382.39,549.68,104,68,36,26,24,22,24,19,43.9,23,1,8,8,5,0,0.0,5,N
21840.0,1213.33,1105.82,198,119,79,44,36,30,36,27,55.99,32,7,4,7,8,0,0.0,5,Y
37755.59,2097.53,2294.18,357,213,144,65,57,52,57,49,139.4,70,7,4,7,22,0,0.0,5,Y
45791.28,2543.96,2376.59,367,215,152,102,79,43,79,37,123.35,71,9,8,11,13,0,10.23,8,Y
116852.98,6491.83,4709.66,675,412,263,118,107,109,107,96,189.82,106,8,16,22,35,0,0.0,15,Y
582830.35,32379.46,10685.45,1413,857,556,246,214,229,211,201,195.9,158,27,62,51,45,3,2.31,30,Y
5735.89,318.66,369.21,76,47,29,17,13,17,13,16,23.77,14,3,8,5,4,0,0.0,3,N
45226.86,2512.6,2285.98,367,232,135,91,79,80,79,68,115.54,58,9,20,23,13,0,2.47,14,Y
726.48,40.36,103.78,30,22,8,5,4,11,4,11,14.83,4,0,6,3,3,0,0.0,2,N
8806.58,489.25,795.04,155,91,64,35,21,22,21,22,71.77,26,9,4,3,9,0,16.0,2,N
19777.28,1098.74,1168.28,207,128,79,51,37,32,37,30,69.01,35,9,12,7,10,0,9.76,4,N
64177.21,3565.4,2733.37,418,257,161,81,66,68,66,61,116.42,72,12,10,14,22,0,1.49,9,N
9961.7,553.43,669.69,125,83,42,37,33,30,33,26,45.02,24,2,12,10,9,0,0.0,6,N
9914.72,550.82,510.32,104,70,34,41,31,30,31,25,26.27,14,5,22,13,4,0,8.82,7,N
3114.36,173.02,312.48,65,42,23,15,14,19,14,17,31.35,15,0,10,7,5,0,0.0,4,N
14395.0,799.72,836.07,163,97,66,20,19,26,19,26,48.56,23,0,4,3,10,0,0.0,2,N
3114.36,173.02,312.48,65,42,23,15,14,19,14,17,31.35,15,0,10,7,5,0,0.0,4,N
3268.21,181.57,335.2,69,45,24,15,14,20,14,18,34.38,16,0,10,7,6,0,0.0,4,N
5496.65,305.37,404.17,85,51,34,16,11,13,11,12,29.72,15,3,6,5,3,0,8.33,3,N
26838.69,1491.04,1132.43,195,116,79,33,24,34,24,31,47.78,35,6,14,9,10,0,7.69,5,N
1517.0,84.28,155.59,36,23,13,12,9,7,9,7,15.96,8,2,4,3,2,0,0.0,2,N
10577.6,587.64,699.99,129,78,51,29,21,21,21,19,46.32,27,6,4,6,7,0,4.55,4,N
3150.52,175.03,339.29,74,48,26,12,11,16,11,16,36.54,14,0,4,3,8,0,0.0,2,N
23842.81,1324.6,1271.18,217,140,77,44,36,47,35,42,67.77,39,7,16,12,16,1,2.78,7,N
154013.92,8556.33,4688.48,680,445,235,151,118,150,117,127,142.73,93,24,58,45,36,1,7.14,25,N
1294.27,71.9,149.34,34,21,13,9,6,7,6,7,17.23,9,2,6,3,2,0,0.0,2,N
719.39,39.97,98.1,24,16,8,7,6,7,6,7,13.38,6,0,4,3,1,0,0.0,2,N
8678.36,482.13,500.37,101,64,37,25,21,29,21,24,28.85,16,2,14,12,5,0,4.55,7,N
238.4,13.24,68.11,19,14,5,5,4,9,4,9,19.46,5,0,4,3,3,0,0.0,2,N
15944.27,885.79,1357.5,223,140,83,50,36,48,36,44,115.58,53,10,20,11,19,0,7.69,6,N
32631.05,1812.84,1811.1,289,179,110,63,47,53,47,48,100.52,58,10,16,12,20,0,9.62,7,N
1681.86,93.44,199.04,44,31,13,17,16,14,16,12,23.55,10,0,6,7,3,0,0.0,4,N
52445.24,2913.62,2246.34,373,230,143,85,73,67,73,57,96.22,49,9,4,18,10,0,1.35,12,N
6560.0,364.44,410.0,82,50,32,21,16,15,16,14,25.63,16,0,8,5,5,0,15.79,3,N
6765.0,375.83,410.0,82,49,33,24,18,12,18,12,24.85,16,0,4,3,5,0,21.74,2,N
6175.54,343.09,422.26,83,57,26,21,19,22,19,20,28.87,16,0,12,7,6,0,0.0,4,N
1648.21,91.57,196.21,44,30,14,12,10,15,10,14,23.36,10,0,8,5,4,0,0.0,3,N
1092.32,60.68,127.44,30,20,10,10,9,6,9,6,14.87,7,0,4,3,1,0,0.0,2,N
2266.4,125.91,246.12,53,36,17,15,14,15,14,14,26.73,12,0,8,5,4,0,0.0,3,N
568.57,31.59,106.61,28,20,8,5,4,9,4,9,19.99,6,0,6,3,3,0,0.0,2,N
1355.23,75.29,166.8,40,27,13,10,9,12,9,12,20.53,8,0,4,3,5,0,0.0,2,N
3685.14,204.73,300.83,64,43,21,18,17,15,17,14,24.56,12,0,8,5,4,0,0.0,3,N
2372.72,131.82,288.85,63,40,23,12,11,14,11,14,35.16,14,0,4,3,6,0,0.0,2,N
8310.37,461.69,447.7,88,55,33,19,18,13,18,12,24.12,16,0,8,5,3,0,0.0,3,N
6152.97,341.83,408.6,81,49,32,17,16,12,16,12,27.13,17,0,4,3,6,0,0.0,2,N
2819.37,156.63,342.35,72,44,28,13,12,14,12,14,41.57,17,0,4,3,7,0,0.0,2,N
1557.81,86.54,166.91,38,24,14,10,9,8,9,8,17.88,9,0,4,3,3,0,0.0,2,N
5590.85,310.6,442.61,87,55,32,23,22,18,22,17,35.04,19,0,8,5,6,0,0.0,3,N
4016.74,223.15,398.35,82,49,33,27,18,14,18,14,39.51,18,2,4,3,7,0,25.0,2,N
5014.84,278.6,358.2,73,45,28,15,13,10,13,10,25.59,15,0,4,3,4,0,0.0,2,N
2125.46,118.08,270.51,59,37,22,12,11,13,11,13,34.43,14,0,4,3,6,0,0.0,2,N
871.59,48.42,129.66,30,19,11,6,4,9,4,9,19.29,9,1,4,3,3,0,0.0,2,N
3243.25,180.18,236.35,53,34,19,16,7,11,7,11,17.22,9,3,4,3,5,0,41.67,2,N
822.39,45.69,114.22,30,22,8,8,6,8,6,8,15.86,5,1,4,3,2,0,0.0,2,N
51383.14,2854.62,2140.96,347,203,144,56,37,55,37,53,89.21,54,13,12,7,21,0,11.9,4,N
13948.3,774.91,564.71,111,72,39,29,23,27,23,23,22.86,15,5,18,11,6,0,0.0,6,N
2092.83,116.27,241.48,52,36,16,11,9,16,9,15,27.86,12,1,8,5,5,0,0.0,3,N
781.73,43.43,138.97,34,24,10,9,7,11,7,11,24.71,8,1,4,3,4,0,0.0,2,N
2782.69,154.59,214.05,48,30,18,11,9,9,9,9,16.47,9,1,4,3,4,0,0.0,2,N
2976.5,165.36,212.61,47,29,18,10,8,14,8,12,15.19,9,1,8,7,4,0,0.0,4,N
1679.07,93.28,159.91,37,23,14,10,8,8,8,8,15.23,8,1,4,3,3,0,0.0,2,N
1609.1,89.39,260.06,56,34,22,12,9,13,9,13,42.03,16,2,4,3,4,0,0.0,2,N
6172.93,342.94,440.92,89,55,34,13,12,16,12,16,31.49,17,0,4,3,7,0,0.0,2,N
2752.14,152.9,235.23,52,34,18,16,7,11,7,11,20.1,10,3,4,3,5,0,41.67,2,N
68305.52,3794.75,2457.36,397,239,158,86,57,73,57,68,88.41,54,18,24,13,19,0,14.93,7,N
14702.26,816.79,595.23,117,78,39,45,25,27,25,23,24.1,15,4,18,11,6,0,37.5,6,N
6896.24,383.12,445.88,90,61,29,25,22,23,22,21,28.83,15,2,12,7,7,0,0.0,4,N
2898.63,161.04,222.97,50,32,18,11,9,9,9,9,17.15,9,1,4,3,4,0,0.0,2,N
1679.07,93.28,159.91,37,23,14,10,8,8,8,8,15.23,8,1,4,3,3,0,0.0,2,N
5883.89,326.88,445.0,89,55,34,13,12,16,12,16,33.66,18,0,4,3,8,0,0.0,2,N
502.31,27.91,97.67,25,16,9,6,4,9,4,9,18.99,7,0,4,3,3,0,0.0,2,N
19748.29,1097.13,954.5,170,110,60,28,20,41,20,37,46.13,29,5,18,11,8,0,4.76,6,N
22872.08,1270.67,1078.02,192,125,67,35,23,52,23,47,50.81,30,6,22,13,10,0,14.81,7,N
8678.36,482.13,500.37,101,64,37,25,21,29,21,24,28.85,16,2,14,12,5,0,4.55,7,N
30048.37,1669.35,1507.8,246,153,93,64,50,49,50,43,75.66,49,10,18,14,15,0,5.66,8,N
1681.86,93.44,199.04,44,31,13,17,16,14,16,12,23.55,10,0,6,7,3,0,0.0,4,N
26283.38,1460.19,1542.14,259,161,98,73,54,46,54,40,90.48,46,13,4,12,14,0,6.9,8,N
10710.87,595.05,808.93,152,97,55,33,27,37,27,33,61.09,27,4,12,10,9,0,3.57,6,N
1800.5,100.03,227.43,51,32,19,9,8,9,8,9,28.73,12,0,4,3,4,0,0.0,2,N
24374.21,1354.12,1075.33,186,118,68,35,28,57,28,47,47.44,33,5,34,23,9,0,0.0,12,N
51033.62,2835.2,1823.51,314,205,109,75,67,68,67,60,65.16,37,6,28,18,17,0,1.47,10,N
9151.3,508.41,533.83,101,61,40,20,15,18,15,17,31.14,21,4,8,5,5,0,0.0,3,N
33320.87,1851.16,1391.88,243,164,79,50,41,66,41,57,58.14,33,5,38,21,14,0,6.82,11,N
6656.28,369.79,532.5,103,68,35,19,15,27,15,24,42.6,21,3,16,9,7,0,0.0,5,N
8112.64,450.7,651.18,125,79,46,32,28,26,28,22,52.27,24,1,4,9,6,0,3.45,6,N
178710.34,9928.35,4090.58,608,376,232,121,82,116,81,100,93.63,77,9,56,34,28,1,25.69,18,N
1800.5,100.03,227.43,51,32,19,10,8,9,8,9,28.73,12,0,4,3,4,0,0.0,2,N
34291.94,1905.11,1893.2,311,183,128,73,58,44,58,39,104.52,53,14,8,11,15,0,0.0,7,N
63297.51,3516.53,2147.13,348,214,134,54,44,68,44,65,72.83,50,8,16,9,13,0,2.22,5,N
39892.13,2216.23,1665.06,269,177,92,66,58,62,58,54,69.5,48,5,20,18,18,0,3.33,10,N
1240.55,68.92,141.78,34,20,14,10,8,8,8,8,16.2,8,0,4,3,2,0,0.0,2,N
6006.03,333.67,333.67,68,44,24,12,11,17,11,15,18.54,12,0,8,7,5,0,0.0,4,N
4118.96,228.83,276.9,57,36,21,11,9,9,9,9,18.62,12,0,4,3,2,0,0.0,2,N
6086.79,338.15,340.86,67,42,25,12,10,12,10,11,19.09,14,0,6,5,2,0,0.0,3,N
22864.72,1270.26,1120.82,193,125,68,53,34,38,34,33,54.94,35,9,16,12,10,0,19.05,7,N
9878.21,548.79,694.56,128,80,48,22,20,25,20,23,48.84,27,1,4,6,11,0,0.0,4,N
70666.9,3925.94,2132.99,348,221,127,77,52,74,52,63,64.37,46,10,34,23,14,0,20.0,13,N
223888.39,12438.24,6126.3,867,532,335,153,122,141,121,124,167.64,110,16,36,32,32,1,9.7,19,N
10037.72,557.65,610.76,114,72,42,19,14,28,14,24,37.16,23,3,18,11,6,0,0.0,6,N
1800.5,100.03,227.43,51,32,19,10,8,9,8,9,28.73,12,0,4,3,4,0,0.0,2,N
72932.91,4051.83,1730.49,323,204,119,45,38,86,38,74,41.06,24,6,44,27,7,0,0.0,14,N
1593.02,88.5,229.06,53,36,17,10,9,16,9,15,32.94,11,0,8,5,4,0,0.0,3,N
120439.45,6691.08,3256.33,487,307,180,88,67,122,66,103,88.04,73,6,66,40,27,1,17.5,21,N
3349.04,186.06,356.7,72,46,26,19,15,16,15,14,37.99,18,1,4,6,5,0,6.25,4,N
30243.28,1680.18,1128.77,200,126,74,40,34,42,34,37,42.13,29,5,24,13,11,0,0.0,7,N
1066.0,59.22,164.0,41,28,13,9,6,13,6,13,25.23,8,1,4,3,5,0,0.0,2,Y
8150.47,452.8,535.13,120,76,44,21,20,48,20,41,35.13,13,0,32,17,1,0,0.0,9,N
37151.02,2063.94,1537.84,266,158,108,60,48,44,48,38,63.66,38,7,4,12,7,0,5.88,8,N
47999.33,2666.63,1768.4,297,183,114,65,46,56,46,48,65.15,42,8,20,16,13,0,16.36,10,N
5396.06,299.78,484.26,96,57,39,18,15,19,15,18,43.46,21,1,8,5,9,0,0.0,3,Y
6361.1,353.39,514.95,106,71,35,26,20,34,20,31,41.69,17,4,16,9,5,0,0.0,5,N
9917.4,550.97,681.72,134,87,47,26,20,50,20,43,46.86,21,4,24,17,5,0,0.0,9,Y
15290.22,849.46,949.05,176,118,58,52,43,45,42,37,58.91,27,3,4,15,9,1,10.64,10,N
76313.12,4239.62,2231.5,351,226,125,79,59,77,59,66,65.25,53,12,38,24,16,0,9.23,13,Y
11268.26,626.01,599.71,116,74,42,28,24,26,24,22,31.92,19,3,20,11,3,0,0.0,6,N
33861.93,1881.22,1746.85,285,173,112,56,48,49,47,46,90.12,52,7,16,9,20,1,2.08,5,Y
50170.62,2787.26,2433.94,385,243,142,84,73,75,73,67,118.08,62,7,20,17,21,0,2.67,10,N
252155.78,14008.65,5632.57,829,521,308,127,106,149,106,137,125.82,86,19,52,27,27,0,0.93,14,Y
2569.87,142.77,270.51,59,40,19,17,11,14,11,13,28.48,12,1,8,5,5,0,21.43,3,Y
4832.73,268.48,473.13,93,60,33,21,13,21,12,20,46.32,21,5,8,5,10,1,14.29,3,Y
3208.05,178.23,305.53,65,44,21,23,12,15,12,14,29.1,13,2,8,5,6,0,36.84,3,Y
13404.49,744.69,757.99,153,97,56,28,25,29,25,26,42.86,19,2,8,8,6,0,0.0,5,N
3814.64,211.92,331.71,69,46,23,21,12,19,12,17,28.84,14,2,12,7,6,0,29.41,4,Y
4118.96,228.83,276.9,57,36,21,12,9,9,9,9,18.62,12,0,4,3,2,0,10.0,2,Y
6086.79,338.15,340.86,67,42,25,13,10,12,10,11,19.09,14,0,6,5,2,0,9.09,3,Y
6017.65,334.31,440.0,88,57,31,28,22,19,21,17,32.17,17,5,4,6,6,1,4.55,4,Y
4980.42,276.69,355.74,74,46,28,19,16,16,16,14,25.41,14,2,4,6,4,0,0.0,4,Y
169489.04,9416.06,4903.46,715,450,265,144,111,151,111,131,141.86,92,21,64,41,28,0,9.02,22,Y
9703.67,539.09,660.68,125,78,47,25,17,18,16,17,44.98,24,3,8,5,7,1,15.79,3,N
3988.71,221.59,470.46,91,61,30,31,23,28,23,25,55.49,23,5,8,8,8,0,8.0,5,Y
114410.43,6356.14,3259.56,495,306,189,122,88,83,86,70,92.86,70,19,16,24,17,2,14.0,15,Y
3218.64,178.81,302.61,66,48,18,24,21,22,21,19,28.45,11,1,8,8,5,0,4.55,5,N
6589.95,366.11,387.64,79,53,26,23,16,26,16,23,22.8,13,4,14,9,5,0,5.88,5,N
1189.32,66.07,137.61,33,22,11,13,9,7,9,7,15.92,7,2,4,3,2,0,0.0,2,N
3029.38,168.3,220.89,52,36,16,15,13,16,13,14,16.11,7,1,12,7,1,0,0.0,4,N
