LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,Defective
6,11,5,0,0,12,7,0.15,6,2.0,7,1.0,36,1,0,47,1,48.3,28.0,37867.16,N
9,23,1,0,13,44,12,0.25,22,2.0,2,0.17,47,1,0,48,0,30.32,47.53,68495.54,N
6,10,5,0,7,12,6,0.26,6,2.0,5,0.83,22,1,0,23,0,34.0,13.52,6218.16,N
14,3,7,0,7,4,2,0.06,2,2.0,1,0.5,30,1,0,34,0,96.01,17.68,30006.37,N
18,7,9,0,13,12,4,0.08,6,2.0,3,0.75,37,1,0,51,0,85.54,30.74,80809.25,N
6,7,0,0,16,12,4,0.15,6,2.0,1,0.25,18,1,0,26,0,49.31,22.86,25777.05,N
1,3,0,0,0,4,2,0.4,2,2.0,1,0.5,6,1,0,5,0,16.0,6.5,676.0,N
4,9,2,0,8,14,5,0.31,6,2.33,2,0.4,18,4,0,16,0,16.51,22.88,8646.51,N
11,7,20,0,4,8,4,0.12,4,2.0,4,1.0,34,1,0,34,2,123.03,6.07,4532.64,N
3,5,3,0,5,8,3,0.1,4,2.0,3,1.0,19,1,0,30,1,100.29,10.06,10151.3,Y
3,5,6,0,2,4,3,0.14,2,2.0,3,1.0,17,1,0,22,0,39.27,11.45,5152.07,N
8,13,4,0,12,22,7,0.25,10,2.2,4,0.57,29,3,0,28,2,30.79,16.07,7959.08,N
7,7,14,0,6,8,4,0.17,4,2.0,4,1.0,28,1,0,24,2,79.28,6.0,2854.12,N
2,3,4,0,0,4,2,0.15,2,2.0,2,1.0,11,1,0,13,0,45.34,6.75,2065.86,N
10,10,6,0,21,4,8,0.13,2,2.0,8,1.0,23,1,0,61,0,36.89,28.34,29630.1,Y
11,12,10,0,15,6,9,0.16,2,3.0,8,0.89,29,1,0,58,0,39.93,28.29,31947.46,N
13,9,7,0,17,16,5,0.12,8,2.0,5,1.0,28,1,0,43,0,69.49,14.01,13645.26,Y
9,11,3,0,7,12,7,0.11,6,2.0,4,0.57,29,1,0,64,0,57.9,25.29,37041.01,N
3,5,6,0,1,8,3,0.13,4,2.0,3,1.0,18,1,0,23,0,64.76,5.25,1785.31,N
2,5,2,0,5,8,3,0.33,4,2.0,3,1.0,10,1,0,9,0,19.56,4.5,396.0,N
5,19,2,0,0,36,10,0.31,18,2.0,6,0.6,42,1,0,32,0,45.5,17.38,13744.03,N
8,15,1,0,2,28,8,0.19,14,2.0,2,0.25,32,1,0,43,1,72.3,5.69,2338.69,N
5,5,4,0,4,8,3,0.19,4,2.0,3,1.0,12,1,0,16,3,23.2,12.5,3624.82,N
1,3,2,0,1,4,2,0.4,2,2.0,2,1.0,6,1,0,5,0,16.73,3.0,150.57,N
2,3,2,0,4,4,2,0.22,2,2.0,2,1.0,7,1,0,9,2,19.51,8.0,1248.64,N
3,5,2,0,5,8,3,0.43,4,2.0,2,0.67,13,1,0,7,0,14.4,11.88,2030.23,N
5,7,5,0,0,12,4,0.13,6,2.0,4,1.0,17,1,0,30,0,57.87,13.1,9925.73,N
7,9,9,0,1,14,5,0.12,6,2.33,4,0.8,31,5,1,41,1,53.95,20.13,21852.33,N
0,3,3,0,0,4,2,0.4,2,2.0,2,1.0,7,1,0,5,1,21.19,3.21,218.94,N
7,15,4,0,12,26,8,0.31,12,2.17,4,0.5,30,5,0,26,4,26.74,14.93,5958.66,N
9,7,9,0,3,4,5,0.13,2,2.0,5,1.0,26,1,0,38,0,49.05,14.86,10838.14,N
16,23,10,0,8,38,12,0.24,16,2.38,9,0.75,57,7,0,49,1,72.52,16.2,19033.06,N
5,5,2,0,3,8,3,0.2,4,2.0,2,0.67,11,1,0,15,0,22.75,10.62,2563.41,N
9,5,3,0,15,8,3,0.16,4,2.0,3,1.0,19,1,0,19,2,26.1,10.71,2996.6,N
5,5,3,0,6,8,3,0.19,4,2.0,3,1.0,13,1,0,16,2,37.53,5.5,1135.41,N
1,3,1,0,0,4,2,0.22,2,2.0,2,1.0,5,1,0,9,0,18.45,3.75,259.45,N
11,35,10,0,5,58,18,0.28,24,2.42,12,0.67,85,10,0,64,3,81.86,19.83,32200.08,N
17,43,13,0,18,76,22,0.28,34,2.24,17,0.77,103,12,0,80,2,97.4,18.49,33283.94,N
13,21,5,0,5,30,12,0.17,14,2.14,9,0.75,66,9,0,69,0,57.39,28.0,44996.99,N
5,13,4,0,6,22,7,0.28,10,2.2,6,0.86,26,6,0,25,0,32.88,10.95,3941.05,N
4,9,3,0,13,10,5,0.56,2,5.0,2,0.4,14,5,1,9,1,20.85,5.0,521.24,N
14,17,12,0,6,28,9,0.23,12,2.33,8,0.89,48,5,0,40,0,86.51,10.16,8923.89,N
6,3,6,0,5,4,2,0.15,2,2.0,2,1.0,13,1,0,13,0,56.22,3.44,664.34,N
2,3,2,0,2,4,2,0.22,2,2.0,2,1.0,8,1,0,9,0,25.03,4.9,600.86,N
2,3,2,0,1,4,2,0.22,2,2.0,2,1.0,8,1,0,9,0,30.84,4.96,758.26,N
16,17,24,0,11,28,9,0.16,14,2.0,9,1.0,55,1,0,55,2,175.1,7.86,10809.44,Y
15,22,16,0,1,8,19,0.32,4,2.0,19,1.0,53,1,0,59,1,64.91,25.17,41124.72,N
2,8,7,0,0,4,6,0.32,2,2.0,6,1.0,17,1,0,19,0,36.77,10.91,4375.94,N
21,22,18,0,2,8,19,0.3,4,2.0,19,1.0,54,1,0,64,1,68.39,20.75,29446.21,N
25,37,23,0,15,38,26,0.34,18,2.11,26,1.0,94,1,0,77,1,79.98,26.99,58239.35,Y
21,25,22,0,2,12,21,0.31,6,2.0,21,1.0,58,1,0,67,1,71.63,20.1,28928.56,N
16,25,17,0,3,32,15,0.27,14,2.29,15,1.0,74,1,0,56,1,65.75,18.88,23432.15,Y
1,3,2,0,2,4,2,0.2,2,2.0,2,1.0,7,1,0,10,0,18.91,5.5,572.0,N
7,7,4,0,6,4,5,0.17,2,2.0,5,1.0,17,1,0,29,0,34.65,11.83,4846.19,N
13,35,9,0,8,52,18,0.3,18,2.89,8,0.44,74,12,0,61,1,76.37,23.23,41194.43,N
1,3,2,0,0,4,2,0.22,2,2.0,2,1.0,6,1,0,9,0,18.23,3.86,271.19,N
18,15,14,0,13,28,8,0.1,14,2.0,6,0.75,49,5,0,77,1,68.82,37.89,98831.96,N
10,7,15,0,3,8,4,0.14,4,2.0,4,1.0,32,1,0,28,2,102.19,6.63,4493.95,N
1,5,4,0,0,8,3,0.25,4,2.0,3,1.0,11,1,0,12,0,30.45,4.62,648.71,N
4,19,6,0,1,32,10,0.31,14,2.29,9,0.9,37,4,0,32,0,49.95,12.36,7636.01,N
3,8,5,0,0,8,5,0.25,4,2.0,5,1.0,17,1,0,20,0,31.91,7.6,1842.99,N
3,13,3,1,9,18,7,0.24,6,3.0,6,0.86,27,5,0,28,1,60.63,12.22,9057.37,N
14,35,12,0,8,60,18,0.25,26,2.31,11,0.61,85,10,0,71,4,57.99,24.52,34868.47,Y
4,3,10,0,3,4,2,0.13,2,2.0,2,1.0,17,1,0,16,0,67.54,3.24,706.95,N
4,3,9,0,4,4,2,0.1,2,2.0,2,1.0,13,1,0,20,3,54.05,10.16,5580.43,N
0,3,3,0,1,4,2,0.33,2,2.0,2,1.0,7,1,0,6,2,25.16,2.5,157.27,N
4,5,10,0,4,8,3,0.17,4,2.0,3,1.0,21,1,0,18,0,74.01,4.08,1234.01,N
9,11,12,0,13,18,6,0.17,8,2.25,5,0.83,35,5,0,36,3,65.03,12.77,10600.85,N
0,9,0,0,2,14,5,0.45,6,2.33,1,0.2,16,5,1,11,2,11.6,19.69,4495.15,N
1,3,1,0,1,4,2,0.2,2,2.0,1,0.5,7,1,0,10,2,14.32,7.71,852.01,N
2,9,1,0,4,16,5,0.36,8,2.0,2,0.4,21,1,0,14,0,17.84,14.5,3750.38,N
5,7,13,0,7,8,4,0.16,4,2.0,4,1.0,26,1,0,25,2,73.59,5.95,2602.12,N
1,5,1,0,1,8,3,0.25,4,2.0,1,0.33,12,1,0,12,0,16.29,15.11,3719.21,N
14,15,15,0,4,4,13,0.25,2,2.0,13,1.0,40,1,0,53,0,58.74,23.3,31875.39,N
3,3,3,0,5,4,2,0.33,2,2.0,2,1.0,9,1,0,6,2,19.14,7.0,937.86,N
1,3,2,16,0,4,2,0.08,2,2.0,2,1.0,21,1,0,9,0,103.2,5.62,3260.81,N
1,3,2,16,0,4,2,0.08,2,2.0,2,1.0,21,1,0,9,0,95.59,5.98,3422.92,N
2,3,2,0,5,4,2,0.17,2,2.0,2,1.0,9,1,0,12,2,15.07,9.75,1432.72,N
1,3,2,16,0,4,2,0.08,2,2.0,2,1.0,21,1,0,9,1,103.2,5.62,3260.81,N
4,11,2,0,8,20,6,0.3,10,2.0,3,0.5,24,1,0,20,1,22.99,18.44,7817.84,N
3,15,2,0,14,14,8,0.73,4,3.5,7,0.88,22,5,0,11,0,17.7,12.6,2809.44,N
6,25,3,0,9,42,13,0.33,18,2.33,6,0.46,47,1,0,39,0,54.51,25.0,34070.5,N
7,7,17,0,5,8,4,0.14,4,2.0,4,1.0,31,1,0,28,2,97.47,5.66,3119.36,N
4,11,6,0,3,12,7,0.25,6,2.0,7,1.0,26,1,0,28,0,37.56,11.33,4824.95,N
2,7,0,0,0,12,4,0.36,6,2.0,1,0.25,16,1,0,11,0,12.76,29.25,10920.4,N
2,5,1,0,5,6,3,0.6,2,3.0,2,0.67,8,3,1,5,1,6.37,9.0,516.23,N
3,3,2,0,3,4,2,0.29,2,2.0,1,0.5,7,1,0,7,3,13.45,9.0,1089.13,N
3,3,1,0,2,4,2,0.29,2,2.0,1,0.5,7,1,0,7,1,11.47,5.0,286.8,N
3,7,3,0,1,12,4,0.27,6,2.0,3,0.75,16,3,0,15,1,18.89,9.82,1820.94,N
9,5,7,0,6,8,3,0.18,4,2.0,3,1.0,16,1,0,17,2,38.07,9.14,3182.29,N
3,5,4,0,4,8,3,0.25,4,2.0,3,1.0,11,1,0,12,2,42.23,6.94,2036.45,N
1,3,0,0,1,4,2,0.22,2,2.0,1,0.5,6,1,0,9,0,14.17,3.75,199.32,N
1,3,0,0,1,4,2,0.22,2,2.0,1,0.5,6,1,0,9,0,14.17,3.75,199.32,N
3,3,4,0,3,4,2,0.15,2,2.0,2,1.0,9,1,0,13,2,25.81,7.08,1295.09,N
1,3,0,0,1,4,2,0.22,2,2.0,1,0.5,6,1,0,9,0,14.17,3.75,199.32,N
1,3,0,0,1,4,2,0.22,2,2.0,1,0.5,6,1,0,9,0,14.17,3.75,199.32,N
3,7,3,0,4,12,4,0.31,6,2.0,4,1.0,15,3,0,13,2,21.23,5.5,642.17,N
7,3,3,0,21,4,2,0.18,2,2.0,1,0.5,10,1,0,11,4,23.74,8.88,1873.84,N
6,7,3,0,4,12,4,0.25,6,2.0,2,0.5,15,1,0,16,3,33.33,7.33,1792.43,N
14,31,6,0,8,48,16,0.3,18,2.67,9,0.56,53,7,0,54,0,80.38,11.1,9899.11,N
9,17,4,0,5,32,9,0.24,14,2.29,5,0.56,42,5,0,37,0,58.47,12.71,9443.41,N
4,9,2,0,5,18,5,0.26,8,2.25,3,0.6,19,4,0,19,0,16.09,18.42,5457.54,N
10,7,8,0,14,12,4,0.12,6,2.0,4,1.0,30,1,0,33,0,83.78,8.05,5422.96,N
4,9,5,0,4,14,5,0.33,6,2.33,4,0.8,18,3,0,15,1,40.48,7.2,2098.65,N
15,31,10,0,11,50,16,0.27,20,2.5,10,0.63,70,13,0,59,0,71.74,17.83,22807.44,Y
20,31,11,0,33,46,16,0.24,16,2.88,8,0.5,75,6,0,66,0,74.18,20.79,32071.97,Y
3,7,2,0,6,8,4,0.33,2,4.0,2,0.5,13,4,1,12,0,24.24,11.7,3318.52,N
16,33,14,0,4,56,17,0.27,24,2.33,11,0.65,93,7,0,64,0,122.45,14.22,24755.65,Y
6,6,6,0,5,4,4,0.17,2,2.0,4,1.0,17,1,0,24,0,39.16,9.04,3202.49,N
23,31,9,1,32,52,16,0.24,20,2.6,8,0.5,67,12,0,66,3,72.95,17.37,22006.83,Y
22,22,12,0,17,30,12,0.21,12,2.5,7,0.58,59,10,0,57,0,55.49,25.96,37407.34,Y
10,5,7,0,7,12,3,0.12,6,2.0,3,1.0,19,3,1,26,0,63.77,9.82,6146.88,N
26,24,13,1,16,32,14,0.17,14,2.29,11,0.79,88,7,0,82,0,99.15,21.29,44929.28,N
11,5,10,0,6,8,3,0.15,4,2.0,3,1.0,20,1,0,20,0,88.39,4.9,2125.07,N
8,16,4,0,5,24,9,0.31,10,2.4,4,0.44,33,4,0,29,0,18.35,26.0,12402.61,N
11,16,2,0,3,24,9,0.26,12,2.0,3,0.33,34,1,0,35,0,17.38,36.0,22527.81,N
4,5,1,0,11,8,3,0.17,4,2.0,1,0.33,12,1,0,18,0,27.93,10.5,3079.11,N
7,3,5,0,2,4,2,0.11,2,2.0,2,1.0,13,1,0,19,0,64.34,4.45,1276.77,N
2,5,2,0,1,6,3,0.18,2,3.0,2,0.67,10,3,1,17,0,35.86,9.9,3514.5,N
3,7,3,0,0,12,4,0.19,6,2.0,4,1.0,19,1,0,21,0,55.61,6.0,2002.01,N
2,7,4,0,0,12,4,0.33,6,2.0,3,0.75,15,1,0,12,0,30.19,5.92,1059.13,N
2,7,4,0,0,12,4,0.33,6,2.0,3,0.75,15,1,0,12,0,30.19,5.92,1059.13,Y
17,15,7,0,19,28,8,0.15,14,2.0,7,0.88,37,1,0,52,0,45.71,22.46,23055.47,N
11,5,4,0,10,6,3,0.18,2,3.0,2,0.67,18,3,1,17,0,61.4,11.09,7552.8,N
25,25,9,0,18,38,14,0.22,18,2.11,12,0.86,77,1,0,63,1,81.53,17.98,26360.63,Y
13,25,14,0,11,40,13,0.25,16,2.5,10,0.77,69,7,0,52,0,95.37,13.19,16603.31,Y
15,11,10,0,13,16,6,0.14,6,2.67,5,0.83,50,4,0,44,0,67.17,16.45,18176.24,N
0,7,2,0,0,12,4,0.4,6,2.0,2,0.5,14,1,0,10,0,37.82,4.0,605.07,N
12,23,14,0,11,38,12,0.27,16,2.38,9,0.75,58,6,0,45,0,91.36,12.65,14630.58,Y
2,13,6,0,3,20,7,0.41,8,2.5,6,0.86,26,1,0,17,0,35.25,8.8,2730.02,N
2,13,6,0,3,20,7,0.39,8,2.5,6,0.86,27,1,0,18,0,35.45,11.0,4288.91,N
5,9,2,0,0,14,5,0.29,6,2.33,3,0.6,16,1,0,17,0,27.02,8.8,2092.15,N
0,7,1,0,0,12,4,0.4,6,2.0,2,0.5,14,1,0,10,0,31.93,5.45,949.99,Y
5,7,4,0,3,10,4,0.31,4,2.5,4,1.0,14,1,0,13,0,51.04,5.73,1674.07,N
3,3,5,0,2,4,2,0.18,2,2.0,2,1.0,11,1,0,11,1,33.46,3.0,301.14,N
4,3,6,0,2,4,2,0.15,2,2.0,2,1.0,12,1,0,13,1,46.71,4.07,774.24,N
6,13,8,0,4,20,7,0.37,8,2.5,7,1.0,34,1,0,19,0,55.38,6.67,2461.38,N
0,11,9,0,2,14,6,0.6,4,3.5,6,1.0,23,1,0,10,0,51.96,4.32,971.34,N
4,11,4,0,2,16,6,0.3,6,2.67,4,0.67,20,5,0,20,0,29.7,11.28,3778.06,N
2,7,4,0,0,12,4,0.33,6,2.0,3,0.75,15,1,0,12,0,25.93,5.5,784.43,N
2,7,4,0,0,12,4,0.33,6,2.0,3,0.75,15,1,0,12,0,27.49,6.42,1132.02,N
6,5,6,0,3,8,3,0.1,4,2.0,3,1.0,19,1,0,30,1,44.88,14.4,9306.1,N
2,7,5,0,1,8,4,0.44,2,4.0,2,0.5,16,4,1,9,0,29.41,7.6,1698.45,N
2,7,5,0,1,8,4,0.44,2,4.0,2,0.5,16,4,1,9,0,27.77,6.77,1272.5,N
2,7,5,0,1,8,4,0.44,2,4.0,2,0.5,16,4,1,9,0,29.41,7.6,1698.45,Y
2,7,5,0,1,8,4,0.44,2,4.0,2,0.5,16,4,1,9,0,29.41,7.6,1698.45,N
9,5,2,0,5,8,3,0.11,4,2.0,2,0.67,12,3,1,27,2,35.26,21.24,15905.03,N
3,3,2,0,0,4,2,0.14,2,2.0,2,1.0,8,1,0,14,0,26.83,6.92,1285.99,N
20,11,7,8,42,20,6,0.13,10,2.0,5,0.83,29,1,0,40,1,46.28,18.53,15888.57,N
12,5,10,0,4,8,3,0.06,4,2.0,3,1.0,21,1,0,48,1,63.45,13.77,12025.31,N
1,9,2,0,6,10,5,0.56,2,5.0,3,0.6,14,5,1,9,1,18.8,4.57,392.92,N
10,17,4,0,10,28,9,0.29,12,2.33,3,0.33,39,5,0,31,0,52.98,20.54,22355.6,N
16,20,7,0,17,12,16,0.32,6,2.0,5,0.31,46,1,0,50,1,60.97,25.55,39787.9,N
1,3,2,0,0,4,2,0.2,2,2.0,2,1.0,7,1,0,10,3,22.64,5.73,742.59,N
10,5,7,3,7,8,3,0.06,4,2.0,3,1.0,20,1,0,44,2,58.61,15.28,13683.04,N
22,35,10,0,12,62,18,0.27,30,2.07,3,0.17,81,4,0,66,0,68.92,17.87,22020.91,N
5,3,3,0,8,4,2,0.22,2,2.0,2,1.0,9,1,0,9,0,58.69,8.6,4341.04,N
8,17,5,0,10,32,9,0.26,16,2.0,5,0.56,40,1,0,35,6,55.05,13.19,9577.07,N
0,3,1,0,1,4,2,0.33,2,2.0,2,1.0,6,1,0,6,3,12.26,7.33,659.44,N
6,24,2,0,5,16,19,0.44,8,2.0,3,0.16,51,4,0,43,1,49.79,27.19,36801.7,N
8,16,3,0,5,24,9,0.23,12,2.0,1,0.11,43,1,0,40,2,54.41,25.41,35137.98,N
2,3,4,0,4,4,2,0.14,2,2.0,2,1.0,8,1,0,14,0,44.39,4.76,1007.83,N
0,3,0,0,0,4,2,0.5,2,2.0,1,0.5,5,1,0,4,1,8.43,5.33,239.85,N
11,17,12,0,16,26,9,0.18,12,2.17,7,0.78,55,3,0,50,2,66.78,20.93,29266.83,N
3,9,3,0,11,12,5,0.28,4,3.0,3,0.6,16,4,0,18,2,21.66,18.0,7016.86,N
1,3,1,0,0,4,2,0.4,2,2.0,2,1.0,7,1,0,5,2,9.25,7.2,479.58,N
1,3,1,0,2,4,2,0.22,2,2.0,2,1.0,8,1,0,9,1,15.29,7.22,797.67,N
14,23,11,0,13,38,12,0.21,18,2.11,9,0.75,58,4,0,58,2,52.09,23.52,28823.57,N
2,5,1,0,4,8,3,0.23,4,2.0,2,0.67,11,1,0,13,3,11.63,17.0,3360.12,N
10,11,14,0,12,16,6,0.15,8,2.0,6,1.0,38,1,0,40,2,51.19,16.75,14362.03,N
10,19,8,0,13,28,10,0.24,12,2.33,7,0.7,43,7,0,42,2,45.15,21.11,20115.78,N
6,5,6,0,18,8,3,0.13,4,2.0,3,1.0,19,1,0,23,2,34.08,11.19,4270.38,N
0,3,0,0,1,4,2,0.2,2,2.0,1,0.5,7,1,0,10,0,16.37,10.5,1806.0,N
11,3,3,0,3,4,2,0.08,2,2.0,2,1.0,18,1,0,24,0,47.29,17.18,13960.02,N
5,3,1,0,0,4,2,0.11,2,2.0,2,1.0,17,1,0,19,1,51.65,15.24,11992.27,N
5,3,3,0,3,4,2,0.1,2,2.0,2,1.0,7,1,0,21,2,35.54,10.17,3679.85,N
4,5,0,0,6,8,3,0.33,4,2.0,1,0.33,9,1,0,9,2,10.63,11.92,1509.98,N
9,7,6,0,7,12,4,0.24,6,2.0,4,1.0,19,1,0,17,2,76.51,5.0,1912.87,N
1,5,5,0,1,8,3,0.25,4,2.0,3,1.0,13,1,0,12,0,30.84,4.96,758.26,N
11,17,7,0,8,24,9,0.36,8,3.0,4,0.44,41,7,0,25,0,47.24,12.24,7077.77,N
8,29,5,0,2,56,15,0.48,28,2.0,15,1.0,75,15,1,31,0,116.24,14.08,23049.99,N
10,7,7,0,14,12,4,0.15,6,2.0,2,0.5,23,3,0,26,0,44.19,10.02,4437.26,N
3,5,4,0,0,8,3,0.38,4,2.0,3,1.0,12,1,0,8,0,34.55,3.5,423.25,N
4,3,6,0,1,4,2,0.18,2,2.0,2,1.0,12,1,0,11,0,56.19,3.0,505.67,N
5,3,5,0,2,4,2,0.2,2,2.0,2,1.0,10,1,0,10,0,58.84,4.17,1021.56,N
0,3,2,0,0,4,2,0.5,2,2.0,2,1.0,6,1,0,4,0,14.62,2.5,91.35,N
30,50,17,0,25,82,26,0.23,36,2.28,20,0.77,134,9,0,112,0,95.37,34.67,114633.41,Y
3,5,4,0,0,8,3,0.33,4,2.0,3,1.0,13,1,0,9,0,36.11,4.5,731.32,N
3,3,4,0,2,4,2,0.22,2,2.0,2,1.0,9,1,0,9,1,26.74,5.33,760.66,N
3,5,4,0,6,8,3,0.18,4,2.0,3,1.0,13,1,0,17,1,39.99,5.59,1248.86,N
0,3,2,0,0,4,2,0.22,2,2.0,2,1.0,7,1,0,9,2,21.51,3.0,193.59,N
7,5,5,0,2,8,3,0.19,4,2.0,3,1.0,15,1,0,16,0,43.23,5.5,1307.59,N
1,5,3,0,0,8,3,0.15,4,2.0,3,1.0,13,1,0,20,0,42.85,5.83,1458.23,N
0,3,1,0,0,4,2,0.29,2,2.0,2,1.0,5,1,0,7,0,8.64,4.17,150.0,N
4,9,14,0,2,12,5,0.21,6,2.0,5,1.0,32,1,0,24,2,94.27,5.25,2598.43,N
6,15,11,0,2,26,8,0.24,12,2.17,7,0.88,37,7,0,34,0,47.8,16.05,12318.72,N
3,6,5,0,0,4,4,0.2,2,2.0,4,1.0,15,1,0,20,0,31.73,7.46,1767.82,N
0,3,1,0,0,4,2,0.29,2,2.0,2,1.0,5,1,0,7,0,8.64,4.17,150.0,N
4,7,14,0,2,8,4,0.17,4,2.0,4,1.0,30,1,0,24,2,103.04,5.37,2972.97,N
1,3,3,0,0,4,2,0.15,2,2.0,2,1.0,8,1,0,13,0,27.15,4.45,538.68,N
3,6,5,0,0,4,4,0.2,2,2.0,4,1.0,15,1,0,20,0,31.73,7.46,1767.82,N
3,39,3,1,3,40,20,0.53,4,10.0,20,1.0,63,20,1,37,0,97.07,6.18,3709.37,N
5,45,3,1,6,46,23,0.55,4,11.5,23,1.0,72,23,1,41,0,104.29,6.4,4271.56,N
0,3,3,0,0,4,2,0.29,2,2.0,2,1.0,7,1,0,7,0,24.0,3.5,294.0,N
5,5,13,0,3,4,3,0.13,2,2.0,3,1.0,24,1,0,23,2,88.98,6.22,3442.96,N
4,9,3,0,5,16,5,0.5,6,2.67,4,0.8,18,1,0,10,1,18.99,10.77,2201.88,N
6,15,7,0,5,14,9,0.29,6,2.33,6,0.67,32,1,0,31,0,35.72,13.91,6910.42,N
3,3,5,1,4,4,2,0.11,2,2.0,2,1.0,11,1,0,17,2,39.07,7.06,1946.71,N
9,11,8,0,16,22,6,0.21,10,2.2,5,0.83,27,3,0,28,1,43.07,17.52,13214.36,N
3,7,3,0,4,12,4,0.25,6,2.0,3,0.75,16,1,0,16,1,28.82,6.75,1312.96,N
2,7,4,0,1,12,4,0.25,6,2.0,4,1.0,19,4,1,16,0,42.95,4.15,741.1,N
4,13,4,0,1,22,7,0.28,10,2.2,6,0.86,32,4,0,25,0,35.89,10.4,3882.17,N
9,7,6,0,8,12,4,0.14,6,2.0,3,0.75,22,1,0,29,0,48.34,11.15,6010.8,Y
2,3,4,0,0,4,2,0.2,2,2.0,2,1.0,10,1,0,10,1,24.36,10.97,2930.73,N
9,9,17,0,4,12,5,0.16,6,2.0,5,1.0,34,1,0,32,2,104.23,6.59,4519.95,Y
4,3,3,0,2,4,2,0.1,2,2.0,2,1.0,8,1,0,20,1,48.42,7.26,2552.29,Y
4,7,6,0,0,4,5,0.23,2,2.0,5,1.0,17,1,0,22,0,36.22,9.03,2951.88,N
5,13,7,0,3,22,7,0.18,10,2.2,7,1.0,31,5,0,39,1,93.84,6.44,3890.76,N
